2023-07-28 06:00:08 PM Checking Identities: 2426 s

2023-07-28 06:00:10 PM Index A791RC.A desc_e updated
2023-07-28 06:00:10 PM Index A791RX.A desc_e updated
2023-07-28 06:00:10 PM Index A792RC.A desc_e updated
2023-07-28 06:00:10 PM Index A794RC.A desc_e updated
2023-07-28 06:00:10 PM Index A794RX.A desc_e updated
2023-07-28 06:00:10 PM Index A795RC.A desc_e updated
2023-07-28 06:00:10 PM Index A795RX.A desc_e updated
2023-07-28 06:00:10 PM Index A796RC.A desc_e updated
2023-07-28 06:00:10 PM Index A796RX.A desc_e updated
2023-07-28 06:00:10 PM Index A797RC.A desc_e updated
2023-07-28 06:00:10 PM Index A797RX.A desc_e updated
2023-07-28 06:00:10 PM Index A939RC.A desc_e updated
2023-07-28 06:00:10 PM Index A939RX.A desc_e updated
2023-07-28 06:00:10 PM Index AD11RC.A desc_e updated
2023-07-28 06:00:10 PM Index AGDSRC.A desc_e updated
2023-07-28 06:00:10 PM Index AGDSRX.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAAFR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAALL.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAASPC.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITACAN.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAEU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAEUR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAEURO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAIOU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITALAO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0109ITAMDE.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAAFR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAALL.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAASPC.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITACAN.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAEU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAEUR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAEURO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAIOU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITALAO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0110ITAMDE.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAAFR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAALL.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAASPC.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITACAN.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAEU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAEUR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAEURO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAIOU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITALAO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0111ITAMDE.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAAFR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAALL.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAASPC.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITACAN.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAEU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAEUR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAEURO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAIOU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITALAO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0112ITAMDE.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAAFR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAALL.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAASPC.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITACAN.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAEU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAEUR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAEURO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAIOU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITALAO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0113ITAMDE.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAAFR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAALL.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAASPC.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITACAN.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAEU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAEUR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAEURO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAIOU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITALAO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0114ITAMDE.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAAFR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAALL.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAASPC.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITACAN.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAEU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAEUR.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAEURO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAIOU.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITALAO.A desc_e updated
2023-07-28 06:00:24 PM Index Y0115ITAMDE.A desc_e updated
2023-07-28 06:00:33 PM Index A0109ITAALL.Q desc_e updated
2023-07-28 06:00:33 PM Index A0110ITAALL.Q desc_e updated
2023-07-28 06:00:33 PM Index A0111ITAALL.Q desc_e updated
2023-07-28 06:00:33 PM Index A0112ITAALL.Q desc_e updated
2023-07-28 06:00:33 PM Index A0113ITAALL.Q desc_e updated
2023-07-28 06:00:33 PM Index A0114ITAALL.Q desc_e updated
2023-07-28 06:00:33 PM Index A0115ITAALL.Q desc_e updated
2023-07-28 06:00:34 PM Index A791RC.Q desc_e updated
2023-07-28 06:00:34 PM Index A791RX.Q desc_e updated
2023-07-28 06:00:34 PM Index A792RC.Q desc_e updated
2023-07-28 06:00:34 PM Index A794RC.Q desc_e updated
2023-07-28 06:00:34 PM Index A794RX.Q desc_e updated
2023-07-28 06:00:34 PM Index A795RC.Q desc_e updated
2023-07-28 06:00:34 PM Index A795RX.Q desc_e updated
2023-07-28 06:00:34 PM Index A796RC.Q desc_e updated
