,series_id,year,period,value,footnote_codes
5318,CEU0500000002    ,2007,M13,34.4,
5331,CEU0500000002    ,2008,M13,34.3,
5344,CEU0500000002    ,2009,M13,33.8,
5357,CEU0500000002    ,2010,M13,34.1,
5370,CEU0500000002    ,2011,M13,34.3,
5383,CEU0500000002    ,2012,M13,34.5,
5396,CEU0500000002    ,2013,M13,34.4,
5409,CEU0500000002    ,2014,M13,34.5,
5422,CEU0500000002    ,2015,M13,34.5,
5435,CEU0500000002    ,2016,M13,34.4,
5448,CEU0500000002    ,2017,M13,34.4,
5461,CEU0500000002    ,2018,M13,34.5,
5474,CEU0500000002    ,2019,M13,34.4,
5487,CEU0500000002    ,2020,M13,34.6,
5500,CEU0500000002    ,2021,M13,34.7,
5527,CEU0500000003    ,2007,M13,20.92,
5540,CEU0500000003    ,2008,M13,21.56,
5553,CEU0500000003    ,2009,M13,22.17,
5566,CEU0500000003    ,2010,M13,22.56,
5579,CEU0500000003    ,2011,M13,23.03,
5592,CEU0500000003    ,2012,M13,23.49,
5605,CEU0500000003    ,2013,M13,23.95,
5618,CEU0500000003    ,2014,M13,24.46,
5631,CEU0500000003    ,2015,M13,25.01,
5644,CEU0500000003    ,2016,M13,25.64,
5657,CEU0500000003    ,2017,M13,26.32,
5670,CEU0500000003    ,2018,M13,27.11,
5683,CEU0500000003    ,2019,M13,27.99,
5696,CEU0500000003    ,2020,M13,29.35,
5709,CEU0500000003    ,2021,M13,30.59,
5736,CEU0500000011    ,2007,M13,719.74,
5749,CEU0500000011    ,2008,M13,738.96,
5762,CEU0500000011    ,2009,M13,749.92,
5775,CEU0500000011    ,2010,M13,769.57,
5788,CEU0500000011    ,2011,M13,790.71,
5801,CEU0500000011    ,2012,M13,809.46,
5814,CEU0500000011    ,2013,M13,824.91,
5827,CEU0500000011    ,2014,M13,844.8,
5840,CEU0500000011    ,2015,M13,864.07,
5853,CEU0500000011    ,2016,M13,881.09,
5866,CEU0500000011    ,2017,M13,906.19,
5879,CEU0500000011    ,2018,M13,936.37,
5892,CEU0500000011    ,2019,M13,963.06,
5905,CEU0500000011    ,2020,M13,1014.39,
5918,CEU0500000011    ,2021,M13,1062.65,
5945,CEU0500000012    ,2007,M13,347.13,
5958,CEU0500000012    ,2008,M13,343.22,
5971,CEU0500000012    ,2009,M13,349.55,
5984,CEU0500000012    ,2010,M13,352.92,
5997,CEU0500000012    ,2011,M13,351.52,
6010,CEU0500000012    ,2012,M13,352.56,
6023,CEU0500000012    ,2013,M13,354.1,
6036,CEU0500000012    ,2014,M13,356.85,
6049,CEU0500000012    ,2015,M13,364.56,
6062,CEU0500000012    ,2016,M13,367.11,
6075,CEU0500000012    ,2017,M13,369.69,
6088,CEU0500000012    ,2018,M13,372.9,
6101,CEU0500000012    ,2019,M13,376.7,
6114,CEU0500000012    ,2020,M13,391.94,
6127,CEU0500000012    ,2021,M13,392.17,
6153,CEU0500000013    ,2007,M13,10.09,
6166,CEU0500000013    ,2008,M13,10.01,
6179,CEU0500000013    ,2009,M13,10.33,
6192,CEU0500000013    ,2010,M13,10.35,
6205,CEU0500000013    ,2011,M13,10.24,
6218,CEU0500000013    ,2012,M13,10.23,
6231,CEU0500000013    ,2013,M13,10.28,
6244,CEU0500000013    ,2014,M13,10.33,
6257,CEU0500000013    ,2015,M13,10.55,
6270,CEU0500000013    ,2016,M13,10.68,
6283,CEU0500000013    ,2017,M13,10.74,
6296,CEU0500000013    ,2018,M13,10.8,
6309,CEU0500000013    ,2019,M13,10.95,
6322,CEU0500000013    ,2020,M13,11.34,
6335,CEU0500000013    ,2021,M13,11.29,
6361,CEU0500000016    ,2007,M13,100.0,
6374,CEU0500000016    ,2008,M13,98.7,
6387,CEU0500000016    ,2009,M13,92.3,
6400,CEU0500000016    ,2010,M13,92.4,
6413,CEU0500000016    ,2011,M13,94.7,
