index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU2000000007    ,CEU2000000007    ,20000000,7,1947-M01,2022-M05,38.7,38.6,38.2,37.9,38.6,39.4,38.4,37.7,37.6,38.0,37.5,37.3,37.5,37.2,37.4,37.5,37.8,37.7,37.9,38.1,38.1,37.8,38.4,37.8,37.6,37.0,37.2,37.1,36.9,37.3,37.0,37.3,37.5,37.5,37.4,37.2,37.6,38.2,38.2,37.9,38.2,38.2,38.3,38.3,38.1,38.0,38.4,38.8,38.8,38.9,38.9,38.8,39.0,39.2,38.7,38.4,38.4,38.3,38.6,39.0,39.0,38.5,37.6,38.4,39.0,39.3,39.6,39.6,39.6,39.7,39.7,40.0,39.8,39.2,39.5
CEU2000000008    ,CEU2000000008    ,20000000,8,1947-M01,2022-M05,1.12,1.29,1.37,1.44,1.6,1.71,1.86,1.96,2.03,2.15,2.29,2.4,2.51,2.65,2.78,2.89,2.99,3.08,3.23,3.41,3.63,3.92,4.3,4.74,5.17,5.55,5.89,6.29,6.78,7.17,7.56,8.11,8.71,9.37,10.24,11.04,11.36,11.56,11.75,11.92,12.15,12.52,12.98,13.42,13.65,13.81,14.04,14.38,14.73,15.11,15.67,16.23,16.8,17.48,18.0,18.52,18.95,19.23,19.46,20.02,20.95,21.87,22.66,23.22,23.65,23.97,24.22,24.67,25.2,25.97,26.74,27.75,28.52,29.21,30.48
CEU2000000030    ,CEU2000000030    ,20000000,30,1947-M01,2022-M05,43.44,49.96,52.45,54.64,61.85,67.5,71.46,74.03,76.18,81.54,86.09,89.6,94.16,98.77,103.93,108.21,112.92,116.31,122.35,130.11,138.55,148.22,164.88,179.11,194.7,205.04,219.32,233.24,249.7,267.0,279.61,302.27,326.55,351.49,382.75,410.39,427.0,441.28,448.35,451.22,463.78,478.74,497.43,513.43,520.41,525.13,539.81,558.53,571.57,588.48,609.48,629.75,655.11,685.78,695.86,711.82,727.0,735.55,750.37,781.59,816.23,842.61,851.76,891.83,921.84,942.14,958.72,977.11,998.02,1031.88,1061.98,1108.59,1135.73,1145.52,1203.77
CEU2000000031    ,CEU2000000031    ,20000000,31,1964-M01,2022-M04,,,,,,,,,,,,,,,,,,372.79,385.96,399.11,412.35,423.49,446.83,459.26,478.38,487.03,490.65,470.24,461.55,466.78,459.13,460.78,446.72,423.99,418.76,423.52,427.86,427.18,419.41,415.49,412.25,409.18,405.73,398.01,387.5,379.98,379.88,383.61,381.56,381.88,386.73,394.33,401.42,406.03,401.07,404.67,404.34,398.67,392.86,396.54,402.55,399.24,406.32,416.81,416.04,416.45,418.06,419.77,430.53,440.83,444.25,452.22,455.71,454.12,453.38
CEU2000000032    ,CEU2000000032    ,20000000,32,1964-M01,2022-M04,,,,,,,,,,,,,,,,,,9.87,10.19,10.46,10.8,11.2,11.65,12.15,12.7,13.18,13.18,12.68,12.53,12.53,12.41,12.36,11.92,11.3,11.2,11.39,11.38,11.19,10.99,10.98,10.8,10.7,10.59,10.4,10.16,9.99,9.88,9.88,9.83,9.81,9.94,10.16,10.29,10.35,10.37,10.53,10.54,10.42,10.19,10.16,10.33,10.36,10.81,10.85,10.67,10.6,10.56,10.6,10.87,11.09,11.19,11.32,11.44,11.58,11.48
CEU2000000034    ,CEU2000000034    ,20000000,34,1947-M01,2022-M05,37.6,40.7,40.2,42.7,48.2,49.5,47.9,46.6,49.5,53.3,51.3,48.0,51.3,49.4,48.4,49.8,51.4,52.8,55.2,56.8,55.4,56.5,61.0,59.8,61.0,63.4,66.7,64.5,55.2,56.0,59.4,66.2,70.6,68.0,64.9,59.7,61.0,69.1,73.9,75.5,78.1,80.4,81.7,78.8,70.1,67.5,71.3,77.3,79.9,84.3,88.6,93.4,99.7,104.0,103.2,100.0,98.4,101.7,108.3,115.4,114.7,106.5,85.9,80.2,81.7,83.6,87.7,92.0,96.5,100.9,104.0,108.8,111.2,105.4,108.5
CEU2000000035    ,CEU2000000035    ,20000000,35,1947-M01,2022-M05,2.3,2.8,3.0,3.3,4.2,4.6,4.8,4.9,5.4,6.2,6.4,6.2,6.9,7.1,7.3,7.8,8.3,8.8,9.6,10.5,10.9,12.0,14.2,15.3,17.0,19.0,21.2,21.9,20.2,21.6,24.3,29.0,33.2,34.4,35.9,35.6,37.4,43.1,46.9,48.6,51.3,54.4,57.2,57.1,51.7,50.3,54.1,60.0,63.6,68.8,74.9,81.8,90.4,98.2,100.3,100.0,100.7,105.6,113.8,124.7,129.8,125.8,105.2,100.6,104.3,108.2,114.7,122.6,131.3,141.5,150.2,163.0,171.3,166.3,178.6
CEU2000000081    ,CEU2000000081    ,20000000,81,1947-M01,2022-M05,75054.0,81358.0,80286.0,85245.0,96193.0,98813.0,95576.0,92976.0,98770.0,106454.0,102452.0,95926.0,102476.0,98640.0,96630.0,99514.0,102756.0,105369.0,110229.0,113513.0,110709.0,112821.0,121858.0,119362.0,121875.0,126639.0,133150.0,128724.0,110185.0,111745.0,118675.0,132165.0,140907.0,135824.0,129656.0,119244.0,121759.0,137988.0,147598.0,150833.0,156047.0,160596.0,163087.0,157398.0,140076.0,134851.0,142409.0,154345.0,159580.0,168412.0,176854.0,186521.0,199119.0,207726.0,206180.0,199721.0,196515.0,203100.0,216391.0,230407.0,229154.0,212702.0,171659.0,160260.0,163088.0,166887.0,175118.0,183765.0,192734.0,201555.0,207721.0,217218.0,222182.0,210530.0,216692.0
CEU2000000082    ,CEU2000000082    ,20000000,82,1947-M01,2022-M05,84168.0,105214.0,110163.0,123024.0,154217.0,169448.0,178019.0,182632.0,200210.0,228644.0,234998.0,230581.0,257030.0,261867.0,268312.0,287361.0,307006.0,324950.0,355556.0,387273.0,402176.0,442543.0,523872.0,565544.0,630529.0,702274.0,784239.0,809060.0,746609.0,800714.0,897229.0,1071212.0,1227706.0,1273316.0,1327870.0,1316624.0,1383655.0,1594862.0,1734226.0,1797807.0,1895793.0,2010382.0,2117365.0,2112718.0,1911870.0,1861994.0,1999310.0,2219075.0,2350800.0,2545155.0,2770700.0,3027037.0,3344246.0,3631438.0,3710336.0,3698713.0,3724074.0,3904771.0,4210562.0,4613733.0,4801486.0,4652132.0,3889698.0,3720620.0,3856687.0,4000501.0,4240646.0,4533487.0,4856385.0,5235330.0,5553733.0,6027498.0,6336691.0,6150112.0,6604881.0
CEU2023600007    ,CEU2023600007    ,20236000,7,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37.7,37.7,37.8,38.3,38.4,38.3,38.3,38.1,38.2,38.5,38.3,38.1,37.9,37.7,37.8,38.5,38.2,38.0,37.6,37.9,38.1,38.6,38.8,38.5,38.7,38.8,38.8,38.7,38.8,38.5,38.5
