index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU3000000002    ,CEU3000000002    ,30000000,2,2006-M03,2022-M05,40.0,39.8,39.0,40.2,40.5,40.7,40.8,41.0,40.8,40.7,40.8,40.9,40.6,39.8,40.4
CEU3000000003    ,CEU3000000003    ,30000000,3,2006-M03,2022-M05,21.5,22.16,23.04,23.31,23.69,23.92,24.35,24.81,25.25,25.99,26.59,27.05,27.7,28.77,29.69
CEU3000000004    ,CEU3000000004    ,30000000,4,2006-M03,2022-M05,3.3,3.0,2.3,3.0,3.2,3.3,3.4,3.5,3.4,3.3,3.4,3.6,3.4,2.9,3.2
CEU3000000011    ,CEU3000000011    ,30000000,11,2006-M03,2022-M05,861.19,882.19,898.44,937.34,958.84,973.96,994.3,1016.42,1029.71,1057.77,1084.86,1107.27,1124.06,1146.39,1197.9
CEU3000000012    ,CEU3000000012    ,30000000,12,2006-M03,2022-M04,415.35,409.74,418.78,429.86,426.27,424.21,426.82,429.35,434.45,440.72,442.58,440.96,439.68,442.94,442.08
CEU3000000013    ,CEU3000000013    ,30000000,13,2006-M03,2022-M04,10.37,10.29,10.74,10.69,10.53,10.42,10.45,10.48,10.65,10.83,10.85,10.77,10.83,11.12,10.96
CEU3000000015    ,CEU3000000015    ,30000000,15,2006-M03,2022-M05,20.66,21.35,22.38,22.47,22.79,23.0,23.38,23.79,24.25,24.98,25.54,25.92,26.6,27.76,28.55
CEU3000000016    ,CEU3000000016    ,30000000,16,2006-M03,2022-M05,100.0,96.0,83.1,83.4,85.4,87.4,88.3,89.8,90.5,90.5,91.3,93.4,93.6,87.2,89.6
CEU3000000017    ,CEU3000000017    ,30000000,17,2006-M03,2022-M05,100.0,98.9,89.1,90.4,94.1,97.2,100.0,103.6,106.3,109.3,112.9,117.5,120.5,116.7,123.7
CEU3000000056    ,CEU3000000056    ,30000000,56,2006-M03,2022-M05,555853.0,533805.0,461923.0,463468.0,474645.0,485624.0,490828.0,499207.0,503119.0,502788.0,507436.0,519382.0,520057.0,484824.0,498190.0
CEU3000000057    ,CEU3000000057    ,30000000,57,2006-M03,2022-M05,11952549.0,11826543.0,10644034.0,10805730.0,11243724.0,11616134.0,11951313.0,12385191.0,12702922.0,13067167.0,13494904.0,14049093.0,14407279.0,13948178.0,14789799.0
CEU3000000058    ,CEU3000000058    ,30000000,58,2006-M03,2022-M05,45568.0,40139.0,27480.0,34898.0,37539.0,39069.0,40578.0,42662.0,41329.0,40667.0,41692.0,45266.0,43044.0,35289.0,39730.0
