index,Index,Label,unit,start,last,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02
CES3000000002    ,CES3000000002    ,30000000,2,2006-M03,2022-M02,39.8,39.8,40.0,40.1,40.0,39.9,39.9,40.0,39.9,39.9,40.0,39.8,40.0,40.0,40.0,40.1,40.1,40.1,40.1,39.9,40.1,40.1,40.0,40.0,40.2,40.0,40.0,40.1,39.8,39.9,39.6,39.6,39.4,39.0,38.9,39.0,38.5,38.7,38.6,38.7,39.0,39.1,39.2,39.3,39.6,39.7,39.9,39.6,40.0,40.2,40.5,40.1,40.2,40.3,40.4,40.4,40.4,40.5,40.3,40.5,40.4,40.4,40.5,40.4,40.4,40.4,40.3,40.6,40.4,40.6,40.8,40.8,40.7,40.8,40.6,40.7,40.7,40.5,40.6,40.6,40.6,40.7,40.7,40.9,40.8,40.7,40.7,40.8,40.7,40.9,40.9,40.8,41.0,40.9,40.7,40.7,41.0,40.9,41.1,41.1,40.9,41.0,40.9,41.0,41.1,41.0,41.0,41.0,40.8,40.8,40.8,40.6,40.8,40.9,40.6,40.7,40.7,40.6,40.8,40.7,40.7,40.8,40.8,40.7,40.7,40.7,40.8,40.8,40.6,40.7,40.8,40.7,40.6,40.7,40.8,40.8,41.0,40.8,40.8,41.0,41.0,40.8,40.7,41.0,40.9,41.1,40.9,40.9,41.0,41.0,40.9,40.8,40.8,40.9,40.8,40.7,40.7,40.6,40.6,40.7,40.4,40.5,40.5,40.3,40.5,40.4,40.4,40.6,40.4,38.0,38.7,39.1,39.7,40.0,40.2,40.5,40.3,40.1,40.5,40.4,40.5,40.4,40.4,40.3,40.5,40.4,40.4,40.3,40.3,40.4,40.3,40.7
CES3000000003    ,CES3000000003    ,30000000,3,2006-M03,2022-M02,20.71,20.85,20.73,20.81,20.94,20.94,21.02,21.17,21.13,21.29,21.19,21.3,21.29,21.44,21.43,21.54,21.57,21.62,21.65,21.57,21.68,21.78,21.7,21.84,21.96,21.9,22.04,22.17,22.13,22.23,22.27,22.44,22.59,22.63,22.77,22.9,23.0,23.03,23.01,23.03,23.1,23.11,23.14,23.12,23.18,23.13,23.15,23.22,23.18,23.21,23.31,23.24,23.36,23.43,23.43,23.48,23.41,23.48,23.62,23.5,23.54,23.6,23.69,23.67,23.76,23.7,23.75,23.88,23.73,23.82,23.86,23.85,23.88,23.94,23.8,23.9,23.93,23.9,23.94,23.91,23.99,24.08,24.05,24.13,24.16,24.24,24.32,24.36,24.37,24.41,24.48,24.47,24.58,24.61,24.68,24.73,24.73,24.71,24.74,24.83,24.84,24.89,24.83,24.9,24.93,24.92,24.98,25.03,25.09,25.12,25.15,25.14,25.23,25.37,25.4,25.43,25.51,25.53,25.61,25.66,25.76,25.86,25.97,25.99,26.0,26.13,26.12,26.27,26.25,26.32,26.4,26.42,26.42,26.55,26.52,26.54,26.66,26.58,26.7,26.73,26.74,26.78,26.91,26.87,26.92,26.94,26.95,27.01,27.0,27.07,27.1,27.15,27.25,27.32,27.32,27.46,27.5,27.47,27.56,27.66,27.75,27.79,27.85,27.93,28.03,28.16,28.21,28.28,28.41,29.29,29.02,28.65,28.79,28.92,28.89,28.86,29.0,29.01,29.07,29.18,29.2,29.35,29.53,29.62,29.8,29.86,30.02,30.14,30.24,30.35,30.55,30.41
CES3000000004    ,CES3000000004    ,30000000,4,2006-M03,2022-M02,3.4,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.4,3.3,3.2,3.2,3.3,3.3,3.2,3.3,3.2,3.2,3.2,3.1,3.1,3.0,2.9,2.9,2.8,2.6,2.3,2.3,2.3,2.1,2.4,2.1,2.2,2.2,2.3,2.5,2.6,2.7,2.7,2.8,2.7,2.9,2.9,3.1,3.0,3.0,3.1,3.3,3.2,3.2,3.2,3.1,3.2,3.2,3.1,3.2,3.1,3.1,3.2,3.2,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.5,3.4,3.4,3.5,3.5,3.6,3.5,3.4,3.4,3.5,3.4,3.5,3.6,3.5,3.4,3.3,3.3,3.4,3.3,3.4,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.5,3.5,3.4,3.5,3.6,3.6,3.6,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.0,2.0,2.4,2.5,3.0,3.0,3.0,3.2,3.1,3.2,3.2,3.2,3.3,3.2,3.3,3.2,3.2,3.2,3.3,3.2,3.3,3.2,3.4,3.6
CES3000000011    ,CES3000000011    ,30000000,11,2006-M03,2022-M02,824.26,829.83,829.2,834.48,837.6,835.51,838.7,846.8,843.09,849.47,847.6,847.74,851.6,857.6,857.2,863.75,864.96,866.96,868.17,860.64,869.37,873.38,868.0,873.6,882.79,876.0,881.6,889.02,880.77,886.98,881.89,888.62,890.05,882.57,885.75,893.1,885.5,891.26,888.19,891.26,900.9,903.6,907.09,908.62,917.93,918.26,923.69,919.51,927.2,933.04,944.06,931.92,939.07,944.23,946.57,948.59,945.76,950.94,951.89,951.75,951.02,953.44,959.45,956.27,959.9,957.48,957.13,969.53,958.69,967.09,973.49,973.08,971.92,976.75,966.28,972.73,973.95,967.95,971.96,970.75,973.99,980.06,978.84,986.92,985.73,986.57,989.82,993.89,991.86,998.37,1001.23,998.38,1007.78,1006.55,1004.48,1006.51,1013.93,1010.64,1016.81,1020.51,1015.96,1020.49,1015.55,1020.9,1024.62,1021.72,1024.18,1026.23,1023.67,1024.9,1026.12,1020.68,1029.38,1037.63,1031.24,1035.0,1038.26,1036.52,1044.89,1044.36,1048.43,1055.09,1059.58,1057.79,1058.2,1063.49,1065.7,1071.82,1065.75,1071.22,1077.12,1075.29,1072.65,1080.59,1082.02,1082.83,1093.06,1084.46,1089.36,1095.93,1096.34,1092.62,1095.24,1101.67,1101.03,1107.23,1102.26,1104.71,1107.0,1109.87,1108.39,1107.72,1111.8,1117.39,1114.66,1117.62,1119.25,1115.28,1118.94,1125.76,1121.1,1125.5,1127.93,1125.58,1135.22,1137.66,1139.68,1148.17,1147.76,1113.02,1123.07,1120.22,1142.96,1156.8,1161.38,1168.83,1168.7,1163.3,1177.34,1178.87,1182.6,1185.74,1193.01,1193.69,1206.9,1206.34,1212.81,1214.64,1218.67,1226.14,1231.17,1237.69
CES3000000012    ,CES3000000012    ,30000000,12,2006-M03,2022-M02,412.75,413.47,411.92,413.52,412.81,409.97,413.56,419.42,417.37,418.25,416.64,415.1,414.83,416.5,414.6,416.8,416.64,417.48,416.29,411.42,412.35,413.05,409.1,410.74,413.59,409.46,409.65,408.81,402.15,405.59,402.92,409.51,417.56,417.49,417.94,419.88,416.72,419.0,416.95,414.94,419.56,419.41,420.22,419.67,422.55,422.49,424.71,423.19,426.59,429.18,434.47,429.06,431.55,433.29,433.66,433.08,430.69,431.32,430.36,428.91,426.38,425.47,426.79,425.38,425.87,423.47,422.39,427.58,422.02,425.61,427.27,426.17,424.78,426.18,422.49,425.66,426.07,421.0,420.73,419.08,421.19,423.86,422.5,423.69,424.37,425.62,426.84,427.58,425.87,427.65,428.71,427.26,430.49,428.83,426.92,427.31,429.58,427.39,429.18,430.18,427.78,429.75,427.64,429.98,432.36,432.47,436.29,436.06,433.8,433.87,432.96,429.48,432.45,435.92,434.21,435.36,436.21,435.95,439.67,440.03,440.37,441.48,442.31,440.34,440.73,442.12,441.88,443.38,440.35,441.49,442.13,440.68,439.81,442.51,443.44,443.49,447.53,442.31,442.05,444.37,443.35,440.92,440.31,441.66,441.15,442.63,439.53,439.92,440.47,440.86,439.42,438.07,440.04,442.44,441.5,441.51,440.18,437.09,438.24,440.85,438.1,439.34,439.57,437.45,440.37,440.5,440.57,443.3,444.58,434.61,438.8,435.52,442.08,445.64,446.36,448.94,448.26,444.75,449.02,447.65,446.22,444.55,444.16,440.55,443.41,441.73,442.29,439.15,437.55,437.71,436.69,435.53
CES3000000013    ,CES3000000013    ,30000000,13,2006-M03,2022-M02,10.37,10.39,10.3,10.31,10.32,10.27,10.36,10.49,10.46,10.48,10.42,10.43,10.37,10.41,10.36,10.39,10.39,10.41,10.38,10.31,10.28,10.3,10.23,10.27,10.29,10.24,10.24,10.19,10.1,10.17,10.17,10.34,10.6,10.7,10.74,10.77,10.82,10.83,10.8,10.72,10.76,10.73,10.72,10.68,10.67,10.64,10.64,10.69,10.66,10.68,10.73,10.7,10.74,10.75,10.73,10.72,10.66,10.65,10.68,10.59,10.55,10.53,10.54,10.53,10.54,10.48,10.48,10.53,10.45,10.48,10.47,10.45,10.44,10.45,10.41,10.46,10.47,10.4,10.36,10.32,10.37,10.41,10.38,10.36,10.4,10.46,10.49,10.48,10.46,10.46,10.48,10.47,10.5,10.48,10.49,10.5,10.48,10.45,10.44,10.47,10.46,10.48,10.46,10.49,10.52,10.55,10.64,10.64,10.63,10.63,10.61,10.58,10.6,10.66,10.69,10.7,10.72,10.74,10.78,10.81,10.82,10.82,10.84,10.82,10.83,10.86,10.83,10.87,10.85,10.85,10.84,10.83,10.83,10.87,10.87,10.87,10.92,10.84,10.83,10.84,10.81,10.81,10.82,10.77,10.79,10.77,10.75,10.76,10.74,10.75,10.74,10.74,10.79,10.82,10.82,10.85,10.82,10.77,10.79,10.83,10.84,10.85,10.85,10.85,10.87,10.9,10.91,10.92,11.0,11.44,11.34,11.14,11.14,11.14,11.1,11.08,11.12,11.09,11.09,11.08,11.02,11.0,10.99,10.93,10.95,10.93,10.95,10.9,10.86,10.83,10.84,10.7
CES3000000015    ,CES3000000015    ,30000000,15,2006-M03,2022-M02,19.86,20.0,19.88,19.96,20.09,20.08,20.21,20.36,20.32,20.47,20.37,20.48,20.45,20.62,20.61,20.66,20.72,20.79,20.82,20.71,20.82,20.94,20.84,21.0,21.12,21.06,21.22,21.34,21.33,21.45,21.48,21.67,21.87,21.98,22.12,22.24,22.39,22.34,22.4,22.39,22.47,22.45,22.42,22.38,22.42,22.37,22.37,22.45,22.37,22.4,22.45,22.4,22.52,22.56,22.51,22.59,22.52,22.59,22.75,22.61,22.64,22.73,22.79,22.8,22.88,22.8,22.84,22.95,22.83,22.89,22.93,22.92,22.95,23.01,22.87,23.0,23.02,22.99,23.03,23.0,23.08,23.14,23.11,23.19,23.22,23.27,23.37,23.39,23.42,23.44,23.5,23.49,23.6,23.6,23.69,23.74,23.72,23.7,23.7,23.82,23.85,23.9,23.81,23.91,23.91,23.87,23.96,24.03,24.11,24.14,24.14,24.16,24.22,24.39,24.44,24.44,24.52,24.53,24.61,24.66,24.76,24.85,24.96,24.98,24.99,25.11,25.1,25.25,25.25,25.29,25.37,25.42,25.39,25.52,25.49,25.51,25.6,25.52,25.66,25.64,25.65,25.71,25.8,25.74,25.79,25.81,25.87,25.9,25.89,25.96,25.99,26.03,26.13,26.2,26.2,26.36,26.4,26.4,26.48,26.58,26.66,26.73,26.79,26.86,26.96,27.09,27.17,27.24,27.39,28.54,28.15,27.76,27.74,27.87,27.85,27.76,27.93,27.9,27.97,28.07,28.06,28.23,28.37,28.49,28.67,28.72,28.84,28.99,29.05,29.19,29.31,29.12
CES3000000016    ,CES3000000016    ,30000000,16,2006-M03,2022-M02,101.8,101.9,102.2,102.5,102.1,101.6,101.4,101.3,100.8,100.6,100.8,100.2,100.5,100.4,100.2,100.4,100.2,99.8,99.5,98.8,99.2,99.2,98.8,98.6,98.8,97.9,97.6,97.4,96.2,95.9,94.6,93.7,92.4,90.2,87.9,86.9,84.6,83.8,82.4,81.6,81.9,81.8,81.7,81.6,82.0,82.0,82.3,81.6,82.4,83.1,84.0,83.3,83.6,83.8,84.0,84.0,84.2,84.5,84.3,84.9,84.9,85.1,85.3,85.2,85.4,85.5,85.3,86.0,85.5,86.2,86.9,87.1,87.1,87.5,87.1,87.4,87.6,87.1,87.3,87.4,87.3,87.6,87.7,88.3,88.1,87.9,87.9,88.1,87.7,88.4,88.5,88.5,89.1,88.9,88.5,88.6,89.4,89.3,89.8,90.0,89.7,90.0,90.0,90.4,90.8,90.7,90.7,90.7,90.4,90.4,90.5,90.1,90.6,90.8,90.2,90.5,90.5,90.3,90.9,90.5,90.4,90.7,90.5,90.4,90.6,90.4,90.6,90.6,90.1,90.5,90.8,90.6,90.5,90.8,91.1,91.2,91.6,91.5,91.6,92.1,92.2,92.0,91.9,92.8,92.8,93.4,93.2,93.4,93.8,93.9,93.8,93.7,93.8,94.1,94.1,93.9,93.9,93.7,93.6,93.9,93.3,93.5,93.4,92.5,93.3,93.0,92.9,93.4,92.4,78.1,81.2,84.3,85.9,86.7,87.5,88.3,88.1,87.9,88.8,88.8,89.4,89.0,89.2,89.1,90.0,90.1,90.2,90.4,90.7,91.3,91.1,92.3
CES3000000017    ,CES3000000017    ,30000000,17,2006-M03,2022-M02,98.0,98.8,98.5,99.2,99.4,99.0,99.1,99.7,99.0,99.6,99.3,99.3,99.5,100.1,99.9,100.5,100.5,100.3,100.2,99.1,100.1,100.4,99.7,100.1,100.9,99.7,100.0,100.4,99.0,99.1,97.9,97.7,97.1,94.9,93.1,92.5,90.4,89.7,88.1,87.4,87.9,87.9,88.0,87.7,88.4,88.2,88.6,88.1,88.8,89.7,91.0,90.0,90.8,91.3,91.6,91.8,91.7,92.2,92.5,92.8,92.9,93.4,94.0,93.8,94.3,94.2,94.2,95.6,94.4,95.5,96.4,96.6,96.7,97.4,96.4,97.1,97.5,96.9,97.2,97.1,97.4,98.1,98.1,99.1,99.0,99.0,99.4,99.8,99.4,100.4,100.8,100.7,101.8,101.8,101.5,101.9,102.8,102.6,103.3,103.9,103.6,104.2,103.9,104.7,105.3,105.1,105.3,105.6,105.4,105.6,105.9,105.3,106.4,107.2,106.6,107.0,107.3,107.2,108.3,108.0,108.3,109.0,109.3,109.3,109.5,109.9,110.1,110.7,110.0,110.7,111.4,111.4,111.2,112.1,112.3,112.5,113.6,113.1,113.7,114.5,114.7,114.6,115.1,116.0,116.1,117.0,116.8,117.3,117.8,118.2,118.2,118.3,118.8,119.6,119.6,119.9,120.0,119.7,120.0,120.8,120.4,120.8,121.0,120.2,121.7,121.8,121.9,122.8,122.1,106.4,109.5,112.4,115.0,116.6,117.5,118.5,118.9,118.6,120.0,120.5,121.4,121.4,122.4,122.7,124.7,125.1,126.0,126.7,127.6,128.8,129.5,130.5
CES3000000019    ,CES3000000019    ,30000000,19,2006-M06,2021-M12,,,,40.0,,,39.9,,,39.9,,,39.9,,,40.0,,,40.1,,,40.0,,,40.1,,,40.0,,,39.8,,,39.3,,,38.8,,,38.7,,,39.1,,,39.5,,,39.8,,,40.3,,,40.3,,,40.4,,,40.4,,,40.4,,,40.4,,,40.5,,,40.8,,,40.7,,,40.6,,,40.6,,,40.8,,,40.7,,,40.8,,,40.9,,,40.8,,,41.0,,,40.9,,,41.0,,,40.9,,,40.7,,,40.8,,,40.7,,,40.7,,,40.8,,,40.7,,,40.7,,,40.7,,,40.8,,,40.9,,,40.9,,,40.9,,,41.0,,,41.0,,,40.8,,,40.7,,,40.6,,,40.5,,,40.4,,,40.5,,,38.6,,,40.0,,,40.3,,,40.5,,,40.4,,,40.4,,,40.3,,
