,series_id,year,period,value,footnote_codes
11410,CEU3000000007    ,1939,M13,37.8,
11423,CEU3000000007    ,1940,M13,38.2,
11436,CEU3000000007    ,1941,M13,40.7,
11449,CEU3000000007    ,1942,M13,43.2,
11462,CEU3000000007    ,1943,M13,45.1,
11475,CEU3000000007    ,1944,M13,45.4,
11488,CEU3000000007    ,1945,M13,43.6,
11501,CEU3000000007    ,1946,M13,40.4,
11514,CEU3000000007    ,1947,M13,40.5,
11527,CEU3000000007    ,1948,M13,40.1,
11540,CEU3000000007    ,1949,M13,39.2,
11553,CEU3000000007    ,1950,M13,40.5,
11566,CEU3000000007    ,1951,M13,40.8,
11579,CEU3000000007    ,1952,M13,40.8,
11592,CEU3000000007    ,1953,M13,40.6,
11605,CEU3000000007    ,1954,M13,39.7,
11618,CEU3000000007    ,1955,M13,40.8,
11631,CEU3000000007    ,1956,M13,40.5,
11644,CEU3000000007    ,1957,M13,39.9,
11657,CEU3000000007    ,1958,M13,39.2,
11670,CEU3000000007    ,1959,M13,40.3,
11683,CEU3000000007    ,1960,M13,39.8,
11696,CEU3000000007    ,1961,M13,39.9,
11709,CEU3000000007    ,1962,M13,40.5,
11722,CEU3000000007    ,1963,M13,40.6,
11735,CEU3000000007    ,1964,M13,40.8,
11748,CEU3000000007    ,1965,M13,41.2,
11761,CEU3000000007    ,1966,M13,41.4,
11774,CEU3000000007    ,1967,M13,40.6,
11787,CEU3000000007    ,1968,M13,40.7,
11800,CEU3000000007    ,1969,M13,40.6,
11813,CEU3000000007    ,1970,M13,39.8,
11826,CEU3000000007    ,1971,M13,39.9,
11839,CEU3000000007    ,1972,M13,40.6,
11852,CEU3000000007    ,1973,M13,40.7,
11865,CEU3000000007    ,1974,M13,40.0,
11878,CEU3000000007    ,1975,M13,39.5,
11891,CEU3000000007    ,1976,M13,40.1,
11904,CEU3000000007    ,1977,M13,40.3,
11917,CEU3000000007    ,1978,M13,40.4,
11930,CEU3000000007    ,1979,M13,40.2,
11943,CEU3000000007    ,1980,M13,39.6,
11956,CEU3000000007    ,1981,M13,39.8,
11969,CEU3000000007    ,1982,M13,38.9,
11982,CEU3000000007    ,1983,M13,40.1,
11995,CEU3000000007    ,1984,M13,40.6,
12008,CEU3000000007    ,1985,M13,40.5,
12021,CEU3000000007    ,1986,M13,40.7,
12034,CEU3000000007    ,1987,M13,40.9,
12047,CEU3000000007    ,1988,M13,41.0,
12060,CEU3000000007    ,1989,M13,40.9,
12073,CEU3000000007    ,1990,M13,40.5,
12086,CEU3000000007    ,1991,M13,40.4,
12099,CEU3000000007    ,1992,M13,40.7,
12112,CEU3000000007    ,1993,M13,41.1,
12125,CEU3000000007    ,1994,M13,41.7,
12138,CEU3000000007    ,1995,M13,41.3,
12151,CEU3000000007    ,1996,M13,41.3,
12164,CEU3000000007    ,1997,M13,41.7,
12177,CEU3000000007    ,1998,M13,41.4,
12190,CEU3000000007    ,1999,M13,41.4,
12203,CEU3000000007    ,2000,M13,41.3,
12216,CEU3000000007    ,2001,M13,40.3,
12229,CEU3000000007    ,2002,M13,40.5,
12242,CEU3000000007    ,2003,M13,40.4,
12255,CEU3000000007    ,2004,M13,40.8,
12268,CEU3000000007    ,2005,M13,40.7,
12281,CEU3000000007    ,2006,M13,41.1,
12294,CEU3000000007    ,2007,M13,41.2,
12307,CEU3000000007    ,2008,M13,40.8,
12320,CEU3000000007    ,2009,M13,39.8,
12333,CEU3000000007    ,2010,M13,41.1,
12346,CEU3000000007    ,2011,M13,41.4,
12359,CEU3000000007    ,2012,M13,41.7,
12372,CEU3000000007    ,2013,M13,41.8,
12385,CEU3000000007    ,2014,M13,42.0,
12398,CEU3000000007    ,2015,M13,41.8,
12411,CEU3000000007    ,2016,M13,41.9,
12424,CEU3000000007    ,2017,M13,41.9,
12437,CEU3000000007    ,2018,M13,42.2,
12450,CEU3000000007    ,2019,M13,41.6,
12463,CEU3000000007    ,2020,M13,40.7,
12476,CEU3000000007    ,2021,M13,41.4,
12494,CEU3000000008    ,1939,M13,0.49,
12507,CEU3000000008    ,1940,M13,0.53,
12520,CEU3000000008    ,1941,M13,0.61,
12533,CEU3000000008    ,1942,M13,0.74,
12546,CEU3000000008    ,1943,M13,0.86,
12559,CEU3000000008    ,1944,M13,0.91,
12572,CEU3000000008    ,1945,M13,0.9,
12585,CEU3000000008    ,1946,M13,0.95,
12598,CEU3000000008    ,1947,M13,1.09,
12611,CEU3000000008    ,1948,M13,1.2,
12624,CEU3000000008    ,1949,M13,1.25,
12637,CEU3000000008    ,1950,M13,1.32,
12650,CEU3000000008    ,1951,M13,1.45,
12663,CEU3000000008    ,1952,M13,1.53,
12676,CEU3000000008    ,1953,M13,1.63,
12689,CEU3000000008    ,1954,M13,1.66,
12702,CEU3000000008    ,1955,M13,1.74,
12715,CEU3000000008    ,1956,M13,1.84,
12728,CEU3000000008    ,1957,M13,1.93,
12741,CEU3000000008    ,1958,M13,1.98,
12754,CEU3000000008    ,1959,M13,2.07,
12767,CEU3000000008    ,1960,M13,2.14,
12780,CEU3000000008    ,1961,M13,2.2,
12793,CEU3000000008    ,1962,M13,2.27,
12806,CEU3000000008    ,1963,M13,2.34,
12819,CEU3000000008    ,1964,M13,2.41,
12832,CEU3000000008    ,1965,M13,2.49,
12845,CEU3000000008    ,1966,M13,2.6,
12858,CEU3000000008    ,1967,M13,2.71,
12871,CEU3000000008    ,1968,M13,2.89,
12884,CEU3000000008    ,1969,M13,3.07,
12897,CEU3000000008    ,1970,M13,3.24,
12910,CEU3000000008    ,1971,M13,3.45,
12923,CEU3000000008    ,1972,M13,3.7,
12936,CEU3000000008    ,1973,M13,3.97,
12949,CEU3000000008    ,1974,M13,4.31,
12962,CEU3000000008    ,1975,M13,4.71,
12975,CEU3000000008    ,1976,M13,5.1,
12988,CEU3000000008    ,1977,M13,5.55,
13001,CEU3000000008    ,1978,M13,6.05,
13014,CEU3000000008    ,1979,M13,6.57,
13027,CEU3000000008    ,1980,M13,7.15,
13040,CEU3000000008    ,1981,M13,7.87,
13053,CEU3000000008    ,1982,M13,8.36,
13066,CEU3000000008    ,1983,M13,8.7,
13079,CEU3000000008    ,1984,M13,9.05,
13092,CEU3000000008    ,1985,M13,9.4,
13105,CEU3000000008    ,1986,M13,9.6,
13118,CEU3000000008    ,1987,M13,9.77,
13131,CEU3000000008    ,1988,M13,10.05,
