,series_id,year,period,value,footnote_codes
162511,CEU3100000002    ,2007,M13,40.3,
162524,CEU3100000002    ,2008,M13,40.1,
162537,CEU3100000002    ,2009,M13,39.1,
162550,CEU3100000002    ,2010,M13,40.5,
162563,CEU3100000002    ,2011,M13,40.8,
162576,CEU3100000002    ,2012,M13,41.0,
162589,CEU3100000002    ,2013,M13,41.2,
162602,CEU3100000002    ,2014,M13,41.5,
162615,CEU3100000002    ,2015,M13,41.2,
162628,CEU3100000002    ,2016,M13,41.2,
162641,CEU3100000002    ,2017,M13,41.3,
162654,CEU3100000002    ,2018,M13,41.3,
162667,CEU3100000002    ,2019,M13,41.0,
162680,CEU3100000002    ,2020,M13,40.0,
162693,CEU3100000002    ,2021,M13,40.5,
162721,CEU3100000003    ,2007,M13,22.52,
162734,CEU3100000003    ,2008,M13,23.28,
162747,CEU3100000003    ,2009,M13,24.53,
162760,CEU3100000003    ,2010,M13,24.81,
162773,CEU3100000003    ,2011,M13,25.2,
162786,CEU3100000003    ,2012,M13,25.3,
162799,CEU3100000003    ,2013,M13,25.74,
162812,CEU3100000003    ,2014,M13,26.18,
162825,CEU3100000003    ,2015,M13,26.58,
162838,CEU3100000003    ,2016,M13,27.31,
162851,CEU3100000003    ,2017,M13,27.86,
162864,CEU3100000003    ,2018,M13,28.42,
162877,CEU3100000003    ,2019,M13,29.17,
162890,CEU3100000003    ,2020,M13,30.22,
162903,CEU3100000003    ,2021,M13,31.18,
162931,CEU3100000004    ,2007,M13,3.3,
162944,CEU3100000004    ,2008,M13,2.9,
162957,CEU3100000004    ,2009,M13,2.1,
162970,CEU3100000004    ,2010,M13,2.9,
162983,CEU3100000004    ,2011,M13,3.2,
162996,CEU3100000004    ,2012,M13,3.3,
163009,CEU3100000004    ,2013,M13,3.4,
163022,CEU3100000004    ,2014,M13,3.6,
163035,CEU3100000004    ,2015,M13,3.3,
163048,CEU3100000004    ,2016,M13,3.3,
163061,CEU3100000004    ,2017,M13,3.3,
163074,CEU3100000004    ,2018,M13,3.6,
163087,CEU3100000004    ,2019,M13,3.3,
163100,CEU3100000004    ,2020,M13,2.7,
163113,CEU3100000004    ,2021,M13,3.1,
163141,CEU3100000011    ,2007,M13,907.99,
163154,CEU3100000011    ,2008,M13,933.92,
163167,CEU3100000011    ,2009,M13,959.93,
163180,CEU3100000011    ,2010,M13,1004.07,
163193,CEU3100000011    ,2011,M13,1028.84,
163206,CEU3100000011    ,2012,M13,1037.93,
163219,CEU3100000011    ,2013,M13,1061.15,
163232,CEU3100000011    ,2014,M13,1085.63,
163245,CEU3100000011    ,2015,M13,1094.14,
163258,CEU3100000011    ,2016,M13,1124.36,
163271,CEU3100000011    ,2017,M13,1150.48,
163284,CEU3100000011    ,2018,M13,1174.68,
163297,CEU3100000011    ,2019,M13,1196.27,
163310,CEU3100000011    ,2020,M13,1210.04,
163323,CEU3100000011    ,2021,M13,1263.89,
163351,CEU3100000012    ,2007,M13,437.92,
163364,CEU3100000012    ,2008,M13,433.77,
163377,CEU3100000012    ,2009,M13,447.44,
163390,CEU3100000012    ,2010,M13,460.46,
163403,CEU3100000012    ,2011,M13,457.39,
163416,CEU3100000012    ,2012,M13,452.07,
163429,CEU3100000012    ,2013,M13,455.51,
163442,CEU3100000012    ,2014,M13,458.58,
163455,CEU3100000012    ,2015,M13,461.63,
163468,CEU3100000012    ,2016,M13,468.47,
163481,CEU3100000012    ,2017,M13,469.35,
163494,CEU3100000012    ,2018,M13,467.8,
163507,CEU3100000012    ,2019,M13,467.92,
163520,CEU3100000012    ,2020,M13,467.54,
163533,CEU3100000012    ,2021,M13,466.43,
163561,CEU3100000013    ,2007,M13,10.86,
163574,CEU3100000013    ,2008,M13,10.81,
163587,CEU3100000013    ,2009,M13,11.43,
163600,CEU3100000013    ,2010,M13,11.38,
163613,CEU3100000013    ,2011,M13,11.2,
163626,CEU3100000013    ,2012,M13,11.02,
163639,CEU3100000013    ,2013,M13,11.05,
163652,CEU3100000013    ,2014,M13,11.06,
163665,CEU3100000013    ,2015,M13,11.21,
163678,CEU3100000013    ,2016,M13,11.38,
163691,CEU3100000013    ,2017,M13,11.37,
163704,CEU3100000013    ,2018,M13,11.32,
163717,CEU3100000013    ,2019,M13,11.41,
163730,CEU3100000013    ,2020,M13,11.68,
163743,CEU3100000013    ,2021,M13,11.51,
163771,CEU3100000015    ,2007,M13,21.64,
163784,CEU3100000015    ,2008,M13,22.46,
163797,CEU3100000015    ,2009,M13,23.88,
163810,CEU3100000015    ,2010,M13,23.95,
163823,CEU3100000015    ,2011,M13,24.25,
163836,CEU3100000015    ,2012,M13,24.34,
163849,CEU3100000015    ,2013,M13,24.73,
163862,CEU3100000015    ,2014,M13,25.1,
163875,CEU3100000015    ,2015,M13,25.56,
163888,CEU3100000015    ,2016,M13,26.25,
163901,CEU3100000015    ,2017,M13,26.78,
163914,CEU3100000015    ,2018,M13,27.24,
163927,CEU3100000015    ,2019,M13,28.03,
163940,CEU3100000015    ,2020,M13,29.22,
