,series_id,year,period,value,footnote_codes
295227,CEU3100000007    ,1939,M13,38.2,
295240,CEU3100000007    ,1940,M13,39.5,
295253,CEU3100000007    ,1941,M13,42.3,
295266,CEU3100000007    ,1942,M13,45.3,
295279,CEU3100000007    ,1943,M13,46.7,
295292,CEU3100000007    ,1944,M13,46.7,
295305,CEU3100000007    ,1945,M13,44.6,
295318,CEU3100000007    ,1946,M13,40.3,
295331,CEU3100000007    ,1947,M13,40.7,
295344,CEU3100000007    ,1948,M13,40.6,
295357,CEU3100000007    ,1949,M13,39.6,
295370,CEU3100000007    ,1950,M13,41.3,
295383,CEU3100000007    ,1951,M13,41.7,
295396,CEU3100000007    ,1952,M13,41.6,
295409,CEU3100000007    ,1953,M13,41.4,
295422,CEU3100000007    ,1954,M13,40.3,
295435,CEU3100000007    ,1955,M13,41.5,
295448,CEU3100000007    ,1956,M13,41.2,
295461,CEU3100000007    ,1957,M13,40.5,
295474,CEU3100000007    ,1958,M13,39.6,
295487,CEU3100000007    ,1959,M13,40.9,
295500,CEU3100000007    ,1960,M13,40.3,
295513,CEU3100000007    ,1961,M13,40.4,
295526,CEU3100000007    ,1962,M13,41.1,
295539,CEU3100000007    ,1963,M13,41.3,
295552,CEU3100000007    ,1964,M13,41.6,
295565,CEU3100000007    ,1965,M13,42.1,
295578,CEU3100000007    ,1966,M13,42.3,
295591,CEU3100000007    ,1967,M13,41.3,
295604,CEU3100000007    ,1968,M13,41.5,
295617,CEU3100000007    ,1969,M13,41.4,
295630,CEU3100000007    ,1970,M13,40.4,
295643,CEU3100000007    ,1971,M13,40.4,
295656,CEU3100000007    ,1972,M13,41.3,
295669,CEU3100000007    ,1973,M13,41.6,
295682,CEU3100000007    ,1974,M13,40.8,
295695,CEU3100000007    ,1975,M13,40.0,
295708,CEU3100000007    ,1976,M13,40.8,
295721,CEU3100000007    ,1977,M13,41.1,
295734,CEU3100000007    ,1978,M13,41.2,
295747,CEU3100000007    ,1979,M13,40.9,
295760,CEU3100000007    ,1980,M13,40.2,
295773,CEU3100000007    ,1981,M13,40.3,
295786,CEU3100000007    ,1982,M13,39.4,
295799,CEU3100000007    ,1983,M13,40.8,
295812,CEU3100000007    ,1984,M13,41.5,
295825,CEU3100000007    ,1985,M13,41.3,
295838,CEU3100000007    ,1986,M13,41.4,
295851,CEU3100000007    ,1987,M13,41.6,
295864,CEU3100000007    ,1988,M13,41.9,
295877,CEU3100000007    ,1989,M13,41.7,
295890,CEU3100000007    ,1990,M13,41.1,
295903,CEU3100000007    ,1991,M13,40.9,
295916,CEU3100000007    ,1992,M13,41.3,
295929,CEU3100000007    ,1993,M13,41.9,
295942,CEU3100000007    ,1994,M13,42.6,
