index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU3200000001    ,CEU3200000001    ,32000000,1,1939-M01,2022-M05,4796.0,4839.0,5343.0,5528.0,5570.0,5531.0,5523.0,5978.0,6208.0,6296.0,6041.0,6204.0,6332.0,6312.0,6441.0,6229.0,6363.0,6424.0,6346.0,6176.0,6337.0,6367.0,6300.0,6399.0,6405.0,6474.0,6644.0,6878.0,6945.0,7074.0,7177.0,7086.0,6944.0,7039.0,7176.0,7082.0,6643.0,6891.0,7035.0,7162.0,7206.0,7054.0,7023.0,6753.0,6722.0,6870.0,6784.0,6757.0,6842.0,6938.0,6981.0,6958.0,6848.0,6853.0,6872.0,6889.0,6868.0,6751.0,6714.0,6649.0,6491.0,6386.0,6105.0,5774.0,5546.0,5390.0,5271.0,5174.0,5071.0,4943.0,4564.0,4464.0,4453.0,4457.0,4472.0,4512.0,4571.0,4640.0,4699.0,4742.0,4778.0,4594.0,4671.0
CEU3200000006    ,CEU3200000006    ,32000000,6,1939-M01,2022-M05,4201.0,4229.0,4740.0,5016.0,5171.0,5124.0,5069.0,5421.0,5506.0,5529.0,5262.0,5386.0,5441.0,5373.0,5449.0,5216.0,5315.0,5338.0,5227.0,5044.0,5172.0,5163.0,5085.0,5159.0,5138.0,5195.0,5324.0,5501.0,5517.0,5614.0,5668.0,5564.0,5473.0,5621.0,5720.0,5605.0,5186.0,5394.0,5486.0,5575.0,5600.0,5441.0,5401.0,5147.0,5134.0,5249.0,5167.0,5169.0,5240.0,5302.0,5326.0,5272.0,5163.0,5167.0,5191.0,5227.0,5214.0,5106.0,5075.0,5008.0,4872.0,4769.0,4513.0,4238.0,4037.0,3932.0,3841.0,3782.0,3725.0,3653.0,3332.0,3248.0,3241.0,3248.0,3237.0,3283.0,3333.0,3367.0,3415.0,3434.0,3427.0,3292.0,3336.0
CEU3200000010    ,CEU3200000010    ,32000000,10,1959-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,2214.0,2217.0,2184.0,2248.0,2257.0,2286.0,2369.0,2498.0,2537.0,2603.0,2663.0,2618.0,2566.0,2661.0,2752.0,2697.0,2491.0,2644.0,2707.0,2800.0,2834.0,2780.0,2780.0,2661.0,2670.0,2747.0,2701.0,2703.0,2747.0,2805.0,2833.0,2799.0,2738.0,2731.0,2718.0,2718.0,2694.0,2616.0,2588.0,2537.0,2455.0,2397.0,2251.0,2092.0,1984.0,1927.0,1884.0,1827.0,1802.0,1729.0,1581.0,1542.0,1526.0,1526.0,1522.0,1544.0,1557.0,1580.0,1618.0,1671.0,1709.0,1631.0,1663.0
CEU3231100001    ,CEU3231100001    ,32311000,1,1990-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.3,1515.2,1518.3,1534.6,1539.2,1560.0,1562.0,1557.9,1554.9,1549.8,1553.1,1551.2,1525.7,1517.5,1493.7,1477.6,1479.4,1484.1,1480.9,1456.4,1450.6,1458.8,1468.8,1473.7,1484.4,1511.8,1556.5,1598.0,1620.8,1645.0,1615.0,1637.7
CEU3231100006    ,CEU3231100006    ,32311000,6,1990-M01,2022-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165.0,1174.2,1182.0,1195.3,1200.4,1221.0,1227.7,1227.7,1227.6,1228.7,1227.9,1221.3,1202.3,1192.5,1177.8,1170.0,1172.2,1183.5,1183.9,1161.1,1152.2,1158.0,1169.0,1169.3,1176.0,1189.2,1212.2,1251.0,1272.2,1289.9,1273.9,1289.9
CEU3231100010    ,CEU3231100010    ,32311000,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.9,539.1,539.9,542.3,549.9,563.2,563.1,564.4,563.3,562.5,563.8,556.0,542.9,543.5,541.0,541.5,539.2,544.8,529.4,518.1,513.6,519.3,533.3,537.6,548.5,557.2,575.5,596.1,617.9,632.2,621.2,636.3
CEU3231110001    ,CEU3231110001    ,32311100,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,57.2,55.2,55.9,56.3,56.3,55.8,55.4,55.3,54.9,54.6,53.0,51.2,49.6,49.7,49.1,49.4,49.9,51.5,51.8,51.1,51.8,53.2,53.8,54.8,57.0,58.5,60.6,62.7,64.3,65.3,68.0
CEU3231120001    ,CEU3231120001    ,32311200,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,70.6,70.6,71.0,70.1,69.8,69.0,68.7,67.5,65.1,64.8,63.0,61.8,62.4,60.4,60.5,60.5,61.3,61.9,59.7,59.2,59.3,59.9,59.1,58.7,59.8,60.4,61.4,60.5,61.3,61.6,62.4
CEU3231122001    ,CEU3231122001    ,32311220,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,54.9,54.2,54.4,53.8,53.4,53.2,53.7,52.6,49.8,50.0,48.9,47.6,47.5,46.3,45.6,45.2,45.8,46.6,45.5,44.7,44.5,45.3,45.3,45.7,47.1,47.9,48.8,47.6,48.6,49.3,50.0
CEU3231123001    ,CEU3231123001    ,32311230,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,15.8,16.4,16.7,16.3,16.4,15.8,15.0,15.0,15.3,14.8,14.2,14.3,14.9,14.0,14.9,15.3,15.6,15.3,14.2,14.5,14.9,14.6,13.8,13.0,12.7,12.6,12.6,12.9,12.7,12.3,12.4
