,series_id,year,period,value,footnote_codes
1759,CEU4000000002    ,2007,M13,34.5,
1772,CEU4000000002    ,2008,M13,34.4,
1785,CEU4000000002    ,2009,M13,34.1,
1798,CEU4000000002    ,2010,M13,34.2,
1811,CEU4000000002    ,2011,M13,34.5,
1824,CEU4000000002    ,2012,M13,34.6,
1837,CEU4000000002    ,2013,M13,34.5,
1850,CEU4000000002    ,2014,M13,34.5,
1863,CEU4000000002    ,2015,M13,34.6,
1876,CEU4000000002    ,2016,M13,34.3,
1889,CEU4000000002    ,2017,M13,34.4,
1902,CEU4000000002    ,2018,M13,34.5,
1915,CEU4000000002    ,2019,M13,34.2,
1928,CEU4000000002    ,2020,M13,34.3,
1941,CEU4000000002    ,2021,M13,34.5,
1967,CEU4000000003    ,2007,M13,18.54,
1980,CEU4000000003    ,2008,M13,18.89,
1993,CEU4000000003    ,2009,M13,19.28,
2006,CEU4000000003    ,2010,M13,19.6,
2019,CEU4000000003    ,2011,M13,19.99,
2032,CEU4000000003    ,2012,M13,20.45,
2045,CEU4000000003    ,2013,M13,20.91,
2058,CEU4000000003    ,2014,M13,21.32,
2071,CEU4000000003    ,2015,M13,21.77,
2084,CEU4000000003    ,2016,M13,22.26,
2097,CEU4000000003    ,2017,M13,22.72,
2110,CEU4000000003    ,2018,M13,23.33,
2123,CEU4000000003    ,2019,M13,24.21,
2136,CEU4000000003    ,2020,M13,25.22,
2149,CEU4000000003    ,2021,M13,26.29,
2175,CEU4000000011    ,2007,M13,639.94,
2188,CEU4000000011    ,2008,M13,650.64,
2201,CEU4000000011    ,2009,M13,658.01,
2214,CEU4000000011    ,2010,M13,670.87,
2227,CEU4000000011    ,2011,M13,690.43,
2240,CEU4000000011    ,2012,M13,707.2,
2253,CEU4000000011    ,2013,M13,721.19,
2266,CEU4000000011    ,2014,M13,735.94,
2279,CEU4000000011    ,2015,M13,753.57,
2292,CEU4000000011    ,2016,M13,764.27,
2305,CEU4000000011    ,2017,M13,781.98,
2318,CEU4000000011    ,2018,M13,804.94,
2331,CEU4000000011    ,2019,M13,827.92,
2344,CEU4000000011    ,2020,M13,864.35,
2357,CEU4000000011    ,2021,M13,906.76,
2383,CEU4000000012    ,2007,M13,308.64,
2396,CEU4000000012    ,2008,M13,302.2,
2409,CEU4000000012    ,2009,M13,306.71,
2422,CEU4000000012    ,2010,M13,307.66,
2435,CEU4000000012    ,2011,M13,306.94,
2448,CEU4000000012    ,2012,M13,308.02,
2461,CEU4000000012    ,2013,M13,309.58,
