,series_id,year,period,value,footnote_codes
6310,CEU4000000007    ,1964,M13,39.7,
6323,CEU4000000007    ,1965,M13,39.6,
6336,CEU4000000007    ,1966,M13,39.1,
6349,CEU4000000007    ,1967,M13,38.5,
6362,CEU4000000007    ,1968,M13,38.2,
6375,CEU4000000007    ,1969,M13,37.9,
6388,CEU4000000007    ,1970,M13,37.6,
6401,CEU4000000007    ,1971,M13,37.4,
6414,CEU4000000007    ,1972,M13,37.4,
6427,CEU4000000007    ,1973,M13,37.2,
6440,CEU4000000007    ,1974,M13,36.8,
6453,CEU4000000007    ,1975,M13,36.4,
6466,CEU4000000007    ,1976,M13,36.3,
6479,CEU4000000007    ,1977,M13,36.0,
6492,CEU4000000007    ,1978,M13,35.6,
6505,CEU4000000007    ,1979,M13,35.4,
6518,CEU4000000007    ,1980,M13,35.0,
6531,CEU4000000007    ,1981,M13,35.0,
6544,CEU4000000007    ,1982,M13,34.6,
6557,CEU4000000007    ,1983,M13,34.6,
6570,CEU4000000007    ,1984,M13,34.7,
6583,CEU4000000007    ,1985,M13,34.4,
6596,CEU4000000007    ,1986,M13,34.1,
6609,CEU4000000007    ,1987,M13,34.1,
6622,CEU4000000007    ,1988,M13,33.8,
6635,CEU4000000007    ,1989,M13,33.8,
6648,CEU4000000007    ,1990,M13,33.7,
6661,CEU4000000007    ,1991,M13,33.6,
6674,CEU4000000007    ,1992,M13,33.8,
6687,CEU4000000007    ,1993,M13,34.1,
6700,CEU4000000007    ,1994,M13,34.3,
6713,CEU4000000007    ,1995,M13,34.1,
6726,CEU4000000007    ,1996,M13,34.1,
6739,CEU4000000007    ,1997,M13,34.2,
6752,CEU4000000007    ,1998,M13,34.1,
6765,CEU4000000007    ,1999,M13,33.9,
6778,CEU4000000007    ,2000,M13,33.8,
6791,CEU4000000007    ,2001,M13,33.5,
6804,CEU4000000007    ,2002,M13,33.6,
6817,CEU4000000007    ,2003,M13,33.5,
6830,CEU4000000007    ,2004,M13,33.5,
6843,CEU4000000007    ,2005,M13,33.4,
6856,CEU4000000007    ,2006,M13,33.4,
6869,CEU4000000007    ,2007,M13,33.3,
6882,CEU4000000007    ,2008,M13,33.1,
6895,CEU4000000007    ,2009,M13,32.8,
6908,CEU4000000007    ,2010,M13,33.3,
6921,CEU4000000007    ,2011,M13,33.7,
6934,CEU4000000007    ,2012,M13,33.8,
6947,CEU4000000007    ,2013,M13,33.7,
6960,CEU4000000007    ,2014,M13,33.6,
6973,CEU4000000007    ,2015,M13,33.7,
6986,CEU4000000007    ,2016,M13,33.5,
6999,CEU4000000007    ,2017,M13,33.8,
7012,CEU4000000007    ,2018,M13,33.9,
7025,CEU4000000007    ,2019,M13,33.8,
7038,CEU4000000007    ,2020,M13,34.1,
7051,CEU4000000007    ,2021,M13,34.3,
7068,CEU4000000008    ,1964,M13,2.85,
7081,CEU4000000008    ,1965,M13,2.94,
7094,CEU4000000008    ,1966,M13,3.04,
7107,CEU4000000008    ,1967,M13,3.15,
7120,CEU4000000008    ,1968,M13,3.32,
7133,CEU4000000008    ,1969,M13,3.48,
7146,CEU4000000008    ,1970,M13,3.65,
7159,CEU4000000008    ,1971,M13,3.86,
7172,CEU4000000008    ,1972,M13,4.23,
7185,CEU4000000008    ,1973,M13,4.46,
7198,CEU4000000008    ,1974,M13,4.74,
7211,CEU4000000008    ,1975,M13,5.01,
7224,CEU4000000008    ,1976,M13,5.31,
7237,CEU4000000008    ,1977,M13,5.66,
7250,CEU4000000008    ,1978,M13,6.1,
7263,CEU4000000008    ,1979,M13,6.55,
7276,CEU4000000008    ,1980,M13,7.03,
7289,CEU4000000008    ,1981,M13,7.54,
7302,CEU4000000008    ,1982,M13,7.9,
7315,CEU4000000008    ,1983,M13,8.22,
7328,CEU4000000008    ,1984,M13,8.44,
7341,CEU4000000008    ,1985,M13,8.59,
7354,CEU4000000008    ,1986,M13,8.73,
7367,CEU4000000008    ,1987,M13,8.91,
7380,CEU4000000008    ,1988,M13,9.14,
7393,CEU4000000008    ,1989,M13,9.45,
7406,CEU4000000008    ,1990,M13,9.82,
7419,CEU4000000008    ,1991,M13,10.07,
7432,CEU4000000008    ,1992,M13,10.29,
7445,CEU4000000008    ,1993,M13,10.53,
7458,CEU4000000008    ,1994,M13,10.79,
7471,CEU4000000008    ,1995,M13,11.08,
7484,CEU4000000008    ,1996,M13,11.44,
7497,CEU4000000008    ,1997,M13,11.88,
7510,CEU4000000008    ,1998,M13,12.37,
7523,CEU4000000008    ,1999,M13,12.8,
7536,CEU4000000008    ,2000,M13,13.28,
7549,CEU4000000008    ,2001,M13,13.68,
7562,CEU4000000008    ,2002,M13,13.99,
7575,CEU4000000008    ,2003,M13,14.31,
7588,CEU4000000008    ,2004,M13,14.55,
7601,CEU4000000008    ,2005,M13,14.9,
7614,CEU4000000008    ,2006,M13,15.36,
7627,CEU4000000008    ,2007,M13,15.74,
7640,CEU4000000008    ,2008,M13,16.13,
7653,CEU4000000008    ,2009,M13,16.44,
7666,CEU4000000008    ,2010,M13,16.78,
7679,CEU4000000008    ,2011,M13,17.1,
7692,CEU4000000008    ,2012,M13,17.38,
7705,CEU4000000008    ,2013,M13,17.69,
7718,CEU4000000008    ,2014,M13,18.21,
7731,CEU4000000008    ,2015,M13,18.61,
7744,CEU4000000008    ,2016,M13,18.93,
7757,CEU4000000008    ,2017,M13,19.29,
7770,CEU4000000008    ,2018,M13,19.88,
7783,CEU4000000008    ,2019,M13,20.63,
7796,CEU4000000008    ,2020,M13,21.41,
7809,CEU4000000008    ,2021,M13,22.41,
7826,CEU4000000030    ,1964,M13,113.25,
7839,CEU4000000030    ,1965,M13,116.36,
7852,CEU4000000030    ,1966,M13,118.78,
7865,CEU4000000030    ,1967,M13,121.57,
7878,CEU4000000030    ,1968,M13,126.69,
7891,CEU4000000030    ,1969,M13,132.13,
7904,CEU4000000030    ,1970,M13,137.15,
7917,CEU4000000030    ,1971,M13,144.11,
7930,CEU4000000030    ,1972,M13,158.09,
7943,CEU4000000030    ,1973,M13,165.61,
7956,CEU4000000030    ,1974,M13,174.18,
7969,CEU4000000030    ,1975,M13,182.61,
7982,CEU4000000030    ,1976,M13,192.4,
7995,CEU4000000030    ,1977,M13,203.51,
8008,CEU4000000030    ,1978,M13,217.18,
8021,CEU4000000030    ,1979,M13,232.01,
8034,CEU4000000030    ,1980,M13,246.25,
8047,CEU4000000030    ,1981,M13,263.58,
8060,CEU4000000030    ,1982,M13,273.74,
8073,CEU4000000030    ,1983,M13,284.42,
8086,CEU4000000030    ,1984,M13,292.64,
8099,CEU4000000030    ,1985,M13,295.47,
8112,CEU4000000030    ,1986,M13,297.73,
8125,CEU4000000030    ,1987,M13,303.76,
8138,CEU4000000030    ,1988,M13,309.24,
8151,CEU4000000030    ,1989,M13,319.07,
8164,CEU4000000030    ,1990,M13,331.24,
8177,CEU4000000030    ,1991,M13,338.71,
8190,CEU4000000030    ,1992,M13,348.17,
8203,CEU4000000030    ,1993,M13,358.7,
8216,CEU4000000030    ,1994,M13,369.63,
8229,CEU4000000030    ,1995,M13,378.04,
8242,CEU4000000030    ,1996,M13,389.77,
8255,CEU4000000030    ,1997,M13,406.55,
8268,CEU4000000030    ,1998,M13,422.4,
8281,CEU4000000030    ,1999,M13,433.44,
8294,CEU4000000030    ,2000,M13,448.78,
8307,CEU4000000030    ,2001,M13,458.58,
8320,CEU4000000030    ,2002,M13,469.97,
8333,CEU4000000030    ,2003,M13,480.0,
8346,CEU4000000030    ,2004,M13,487.37,
8359,CEU4000000030    ,2005,M13,497.07,
8372,CEU4000000030    ,2006,M13,512.82,
8385,CEU4000000030    ,2007,M13,524.57,
8398,CEU4000000030    ,2008,M13,534.44,
8411,CEU4000000030    ,2009,M13,540.19,
8424,CEU4000000030    ,2010,M13,558.05,
8437,CEU4000000030    ,2011,M13,575.88,
8450,CEU4000000030    ,2012,M13,587.09,
8463,CEU4000000030    ,2013,M13,595.36,
8476,CEU4000000030    ,2014,M13,611.77,
8489,CEU4000000030    ,2015,M13,626.54,
8502,CEU4000000030    ,2016,M13,633.77,
8515,CEU4000000030    ,2017,M13,652.11,
8528,CEU4000000030    ,2018,M13,674.74,
8541,CEU4000000030    ,2019,M13,697.95,
8554,CEU4000000030    ,2020,M13,730.52,
8567,CEU4000000030    ,2021,M13,769.17,
8584,CEU4000000031    ,1964,M13,362.98,
8597,CEU4000000031    ,1965,M13,367.07,
8610,CEU4000000031    ,1966,M13,364.36,
8623,CEU4000000031    ,1967,M13,361.82,
8636,CEU4000000031    ,1968,M13,361.97,
8649,CEU4000000031    ,1969,M13,358.08,
8662,CEU4000000031    ,1970,M13,351.67,
8675,CEU4000000031    ,1971,M13,354.08,
8688,CEU4000000031    ,1972,M13,375.51,
8701,CEU4000000031    ,1973,M13,370.49,
8714,CEU4000000031    ,1974,M13,351.17,
8727,CEU4000000031    ,1975,M13,337.54,
8740,CEU4000000031    ,1976,M13,336.36,
8753,CEU4000000031    ,1977,M13,334.17,
8766,CEU4000000031    ,1978,M13,331.07,
8779,CEU4000000031    ,1979,M13,317.39,
8792,CEU4000000031    ,1980,M13,297.04,
8805,CEU4000000031    ,1981,M13,288.38,
8818,CEU4000000031    ,1982,M13,282.5,
8831,CEU4000000031    ,1983,M13,284.99,
8844,CEU4000000031    ,1984,M13,283.29,
8857,CEU4000000031    ,1985,M13,276.4,
8870,CEU4000000031    ,1986,M13,274.15,
8883,CEU4000000031    ,1987,M13,270.01,
8896,CEU4000000031    ,1988,M13,264.31,
8909,CEU4000000031    ,1989,M13,260.25,
8922,CEU4000000031    ,1990,M13,256.78,
8935,CEU4000000031    ,1991,M13,252.2,
8948,CEU4000000031    ,1992,M13,251.93,
8961,CEU4000000031    ,1993,M13,252.43,
8974,CEU4000000031    ,1994,M13,253.87,
8987,CEU4000000031    ,1995,M13,252.36,
9000,CEU4000000031    ,1996,M13,252.93,
9013,CEU4000000031    ,1997,M13,257.96,
