,series_id,year,period,value,footnote_codes
117030,CEU4300000007    ,1972,M13,40.8,
117043,CEU4300000007    ,1973,M13,40.8,
117056,CEU4300000007    ,1974,M13,40.5,
117069,CEU4300000007    ,1975,M13,40.0,
117082,CEU4300000007    ,1976,M13,40.2,
117095,CEU4300000007    ,1977,M13,40.0,
117108,CEU4300000007    ,1978,M13,39.9,
117121,CEU4300000007    ,1979,M13,39.7,
117134,CEU4300000007    ,1980,M13,39.3,
117147,CEU4300000007    ,1981,M13,39.0,
117160,CEU4300000007    ,1982,M13,38.4,
117173,CEU4300000007    ,1983,M13,38.6,
117186,CEU4300000007    ,1984,M13,39.0,
117199,CEU4300000007    ,1985,M13,38.9,
117212,CEU4300000007    ,1986,M13,38.5,
117225,CEU4300000007    ,1987,M13,38.6,
117238,CEU4300000007    ,1988,M13,37.3,
117251,CEU4300000007    ,1989,M13,37.5,
117264,CEU4300000007    ,1990,M13,37.7,
117277,CEU4300000007    ,1991,M13,37.3,
117290,CEU4300000007    ,1992,M13,37.4,
117303,CEU4300000007    ,1993,M13,38.9,
117316,CEU4300000007    ,1994,M13,39.5,
117329,CEU4300000007    ,1995,M13,38.9,
117342,CEU4300000007    ,1996,M13,39.0,
117355,CEU4300000007    ,1997,M13,39.3,
117368,CEU4300000007    ,1998,M13,38.6,
117381,CEU4300000007    ,1999,M13,37.6,
117394,CEU4300000007    ,2000,M13,37.3,
117407,CEU4300000007    ,2001,M13,36.6,
117420,CEU4300000007    ,2002,M13,36.7,
117433,CEU4300000007    ,2003,M13,36.7,
117446,CEU4300000007    ,2004,M13,37.2,
117459,CEU4300000007    ,2005,M13,37.0,
117472,CEU4300000007    ,2006,M13,36.8,
117485,CEU4300000007    ,2007,M13,36.9,
117498,CEU4300000007    ,2008,M13,36.4,
117511,CEU4300000007    ,2009,M13,36.0,
117524,CEU4300000007    ,2010,M13,37.1,
117537,CEU4300000007    ,2011,M13,37.8,
117550,CEU4300000007    ,2012,M13,38.0,
117563,CEU4300000007    ,2013,M13,38.5,
117576,CEU4300000007    ,2014,M13,38.4,
117589,CEU4300000007    ,2015,M13,38.7,
117602,CEU4300000007    ,2016,M13,38.8,
117615,CEU4300000007    ,2017,M13,38.4,
117628,CEU4300000007    ,2018,M13,38.4,
117641,CEU4300000007    ,2019,M13,37.9,
117654,CEU4300000007    ,2020,M13,38.3,
117667,CEU4300000007    ,2021,M13,38.5,
117683,CEU4300000008    ,1972,M13,5.42,
117696,CEU4300000008    ,1973,M13,5.8,
117709,CEU4300000008    ,1974,M13,6.17,
117722,CEU4300000008    ,1975,M13,6.56,
117735,CEU4300000008    ,1976,M13,7.07,
117748,CEU4300000008    ,1977,M13,7.59,
117761,CEU4300000008    ,1978,M13,8.16,
117774,CEU4300000008    ,1979,M13,8.76,
117787,CEU4300000008    ,1980,M13,9.47,
117800,CEU4300000008    ,1981,M13,10.18,
117813,CEU4300000008    ,1982,M13,10.67,
117826,CEU4300000008    ,1983,M13,11.01,
117839,CEU4300000008    ,1984,M13,11.18,
117852,CEU4300000008    ,1985,M13,11.29,
117865,CEU4300000008    ,1986,M13,11.48,
117878,CEU4300000008    ,1987,M13,11.81,
117891,CEU4300000008    ,1988,M13,11.9,
117904,CEU4300000008    ,1989,M13,12.23,
117917,CEU4300000008    ,1990,M13,12.5,
117930,CEU4300000008    ,1991,M13,12.61,
117943,CEU4300000008    ,1992,M13,12.75,
117956,CEU4300000008    ,1993,M13,12.69,
117969,CEU4300000008    ,1994,M13,12.81,
117982,CEU4300000008    ,1995,M13,13.15,
117995,CEU4300000008    ,1996,M13,13.4,
118008,CEU4300000008    ,1997,M13,13.73,
118021,CEU4300000008    ,1998,M13,14.07,
118034,CEU4300000008    ,1999,M13,14.5,
118047,CEU4300000008    ,2000,M13,15.0,
118060,CEU4300000008    ,2001,M13,15.27,
118073,CEU4300000008    ,2002,M13,15.71,
118086,CEU4300000008    ,2003,M13,16.2,
118099,CEU4300000008    ,2004,M13,16.46,
118112,CEU4300000008    ,2005,M13,16.65,
