index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5000000002    ,CEU5000000002    ,50000000,2,2006-M03,2022-M05,36.1,36.5,36.5,36.5,36.6,36.6,36.6,36.8,36.3,35.9,36.2,36.1,36.3,36.6,36.9
CEU5000000003    ,CEU5000000003    ,50000000,3,2006-M03,2022-M05,28.09,28.66,29.4,30.53,31.59,31.83,32.91,34.07,35.14,36.67,38.3,40.08,42.19,43.85,44.35
CEU5000000011    ,CEU5000000011    ,50000000,11,2006-M03,2022-M05,1014.35,1047.5,1073.27,1114.65,1156.56,1166.45,1206.05,1252.44,1274.99,1315.74,1388.3,1447.26,1531.68,1605.25,1636.31
CEU5000000012    ,CEU5000000012    ,50000000,12,2006-M03,2022-M04,489.22,486.52,500.27,511.18,514.17,508.05,517.71,529.05,537.93,548.21,566.38,576.35,599.12,620.24,603.87
CEU5000000013    ,CEU5000000013    ,50000000,13,2006-M03,2022-M04,13.55,13.31,13.7,14.0,14.04,13.86,14.13,14.39,14.83,15.28,15.63,15.96,16.5,16.94,16.37
CEU5000000016    ,CEU5000000016    ,50000000,16,2006-M03,2022-M05,100.0,99.6,93.5,90.3,89.4,89.6,90.6,91.5,91.1,91.6,93.1,93.6,95.0,91.0,95.4
CEU5000000017    ,CEU5000000017    ,50000000,17,2006-M03,2022-M05,100.0,101.6,97.8,98.1,100.5,101.5,106.1,111.0,114.0,119.5,127.0,133.6,142.7,142.0,150.7
CEU5000000056    ,CEU5000000056    ,50000000,56,2006-M03,2022-M05,109497.0,109045.0,102335.0,98840.0,97897.0,98070.0,99154.0,100200.0,99762.0,100262.0,101988.0,102517.0,103974.0,99592.0,104470.0
CEU5000000057    ,CEU5000000057    ,50000000,57,2006-M03,2022-M05,3075259.0,3125219.0,3009096.0,3017734.0,3092170.0,3121333.0,3263464.0,3414040.0,3505690.0,3676388.0,3906100.0,4108783.0,4386867.0,4366952.0,4633062.0
CEU5051100002    ,CEU5051100002    ,50511000,2,2006-M03,2022-M04,35.9,36.4,36.4,36.3,36.9,37.6,37.3,37.4,37.6,37.4,37.6,37.7,37.6,37.9,38.1
CEU5051100003    ,CEU5051100003    ,50511000,3,2006-M03,2022-M04,29.83,31.12,32.34,33.24,34.27,35.16,36.96,38.9,40.79,42.46,43.99,45.72,47.69,48.51,48.48
CEU5051100011    ,CEU5051100011    ,50511000,11,2006-M03,2022-M04,1070.66,1132.76,1176.1,1206.45,1266.09,1320.94,1377.37,1454.21,1531.54,1586.08,1656.06,1725.8,1792.78,1840.84,1847.66
CEU5051100012    ,CEU5051100012    ,50511000,12,2006-M03,2022-M04,516.37,526.12,548.2,553.28,562.86,575.34,591.26,614.27,646.17,660.85,675.61,687.28,701.24,711.27,681.87
CEU5051100013    ,CEU5051100013    ,50511000,13,2006-M03,2022-M04,14.39,14.45,15.07,15.24,15.24,15.31,15.87,16.43,17.21,17.69,17.95,18.21,18.65,18.74,17.89
CEU5051100016    ,CEU5051100016    ,50511000,16,2006-M03,2022-M04,100.0,99.1,89.6,85.2,85.5,85.9,84.4,84.0,84.3,84.3,84.8,86.2,88.9,90.1,93.2
CEU5051100017    ,CEU5051100017    ,50511000,17,2006-M03,2022-M04,100.0,103.4,97.1,94.9,98.2,101.2,104.6,109.6,115.3,120.0,125.0,132.1,142.1,146.5,151.4
CEU5051100056    ,CEU5051100056    ,50511000,56,2006-M03,2022-M04,32347.0,32045.0,28967.0,27546.0,27656.0,27781.0,27303.0,27173.0,27279.0,27283.0,27430.0,27877.0,28749.0,29144.0,30138.0
CEU5051100057    ,CEU5051100057    ,50511000,57,2006-M03,2022-M04,964913.0,997319.0,936679.0,915746.0,947851.0,976845.0,1009143.0,1057075.0,1112623.0,1158341.0,1206565.0,1274561.0,1371135.0,1413844.0,1461179.0
CEU5051110002    ,CEU5051110002    ,50511100,2,2006-M03,2022-M04,34.7,35.4,35.2,35.0,35.5,35.8,35.5,35.7,36.1,36.1,36.1,36.1,35.5,35.6,35.5
CEU5051110003    ,CEU5051110003    ,50511100,3,2006-M03,2022-M04,23.64,24.23,24.91,25.9,26.7,26.86,27.25,27.93,28.2,27.71,27.74,27.75,29.35,31.57,32.69
CEU5051110011    ,CEU5051110011    ,50511100,11,2006-M03,2022-M04,821.4,857.88,875.76,906.67,947.74,962.46,968.66,995.65,1018.17,1001.05,1001.83,1002.72,1043.12,1123.56,1160.39
