,series_id,year,period,value,footnote_codes
96059,CEU5500000002    ,2007,M13,36.6,
96072,CEU5500000002    ,2008,M13,36.5,
96085,CEU5500000002    ,2009,M13,36.6,
96098,CEU5500000002    ,2010,M13,36.9,
96111,CEU5500000002    ,2011,M13,37.3,
96124,CEU5500000002    ,2012,M13,37.4,
96137,CEU5500000002    ,2013,M13,37.1,
96150,CEU5500000002    ,2014,M13,37.3,
96163,CEU5500000002    ,2015,M13,37.6,
96176,CEU5500000002    ,2016,M13,37.4,
96189,CEU5500000002    ,2017,M13,37.5,
96202,CEU5500000002    ,2018,M13,37.6,
96215,CEU5500000002    ,2019,M13,37.6,
96228,CEU5500000002    ,2020,M13,37.7,
96241,CEU5500000002    ,2021,M13,37.5,
96269,CEU5500000003    ,2007,M13,25.64,
96282,CEU5500000003    ,2008,M13,26.18,
96295,CEU5500000003    ,2009,M13,26.53,
96308,CEU5500000003    ,2010,M13,27.21,
96321,CEU5500000003    ,2011,M13,27.91,
96334,CEU5500000003    ,2012,M13,29.26,
96347,CEU5500000003    ,2013,M13,30.15,
96360,CEU5500000003    ,2014,M13,30.76,
96373,CEU5500000003    ,2015,M13,31.52,
96386,CEU5500000003    ,2016,M13,32.29,
96399,CEU5500000003    ,2017,M13,33.24,
96412,CEU5500000003    ,2018,M13,34.79,
96425,CEU5500000003    ,2019,M13,35.94,
96438,CEU5500000003    ,2020,M13,37.85,
96451,CEU5500000003    ,2021,M13,40.03,
96479,CEU5500000011    ,2007,M13,937.27,
96492,CEU5500000011    ,2008,M13,956.24,
96505,CEU5500000011    ,2009,M13,971.76,
96518,CEU5500000011    ,2010,M13,1003.94,
96531,CEU5500000011    ,2011,M13,1039.7,
96544,CEU5500000011    ,2012,M13,1093.0,
96557,CEU5500000011    ,2013,M13,1119.71,
96570,CEU5500000011    ,2014,M13,1146.22,
96583,CEU5500000011    ,2015,M13,1185.77,
96596,CEU5500000011    ,2016,M13,1208.2,
96609,CEU5500000011    ,2017,M13,1246.39,
96622,CEU5500000011    ,2018,M13,1309.49,
96635,CEU5500000011    ,2019,M13,1351.3,
96648,CEU5500000011    ,2020,M13,1426.24,
96661,CEU5500000011    ,2021,M13,1500.23,
96689,CEU5500000012    ,2007,M13,452.04,
96702,CEU5500000012    ,2008,M13,444.14,
96715,CEU5500000012    ,2009,M13,452.96,
96728,CEU5500000012    ,2010,M13,460.4,
96741,CEU5500000012    ,2011,M13,462.21,
96754,CEU5500000012    ,2012,M13,476.06,
96767,CEU5500000012    ,2013,M13,480.65,
96780,CEU5500000012    ,2014,M13,484.18,
96793,CEU5500000012    ,2015,M13,500.29,
96806,CEU5500000012    ,2016,M13,503.4,
96819,CEU5500000012    ,2017,M13,508.48,
96832,CEU5500000012    ,2018,M13,521.49,
96845,CEU5500000012    ,2019,M13,528.56,
96858,CEU5500000012    ,2020,M13,551.07,
96871,CEU5500000012    ,2021,M13,553.65,
96898,CEU5500000013    ,2007,M13,12.37,
96911,CEU5500000013    ,2008,M13,12.16,
96924,CEU5500000013    ,2009,M13,12.37,
96937,CEU5500000013    ,2010,M13,12.48,
96950,CEU5500000013    ,2011,M13,12.41,
96963,CEU5500000013    ,2012,M13,12.74,
96976,CEU5500000013    ,2013,M13,12.94,
96989,CEU5500000013    ,2014,M13,12.99,
97002,CEU5500000013    ,2015,M13,13.3,
97015,CEU5500000013    ,2016,M13,13.45,
97028,CEU5500000013    ,2017,M13,13.56,
97041,CEU5500000013    ,2018,M13,13.85,
97054,CEU5500000013    ,2019,M13,14.06,
97067,CEU5500000013    ,2020,M13,14.62,
97080,CEU5500000013    ,2021,M13,14.77,
97107,CEU5500000016    ,2007,M13,100.0,
97120,CEU5500000016    ,2008,M13,98.2,
97133,CEU5500000016    ,2009,M13,94.1,
97146,CEU5500000016    ,2010,M13,93.0,
97159,CEU5500000016    ,2011,M13,94.0,
97172,CEU5500000016    ,2012,M13,95.3,
97185,CEU5500000016    ,2013,M13,96.0,
97198,CEU5500000016    ,2014,M13,97.4,
97211,CEU5500000016    ,2015,M13,100.1,
97224,CEU5500000016    ,2016,M13,101.6,
97237,CEU5500000016    ,2017,M13,103.8,
97250,CEU5500000016    ,2018,M13,106.0,
97263,CEU5500000016    ,2019,M13,107.9,
97276,CEU5500000016    ,2020,M13,107.5,
97289,CEU5500000016    ,2021,M13,107.8,
97317,CEU5500000017    ,2007,M13,100.0,
97330,CEU5500000017    ,2008,M13,100.3,
97343,CEU5500000017    ,2009,M13,97.3,
97356,CEU5500000017    ,2010,M13,98.7,
97369,CEU5500000017    ,2011,M13,102.3,
97382,CEU5500000017    ,2012,M13,108.7,
97395,CEU5500000017    ,2013,M13,112.9,
97408,CEU5500000017    ,2014,M13,116.9,
97421,CEU5500000017    ,2015,M13,123.1,
97434,CEU5500000017    ,2016,M13,128.0,
97447,CEU5500000017    ,2017,M13,134.6,
97460,CEU5500000017    ,2018,M13,143.8,
97473,CEU5500000017    ,2019,M13,151.2,
97486,CEU5500000017    ,2020,M13,158.7,
97499,CEU5500000017    ,2021,M13,168.3,
97527,CEU5500000056    ,2007,M13,305199.0,
97540,CEU5500000056    ,2008,M13,299722.0,
97553,CEU5500000056    ,2009,M13,287131.0,
97566,CEU5500000056    ,2010,M13,283875.0,
97579,CEU5500000056    ,2011,M13,286757.0,
97592,CEU5500000056    ,2012,M13,290774.0,
97605,CEU5500000056    ,2013,M13,292849.0,
97618,CEU5500000056    ,2014,M13,297261.0,
97631,CEU5500000056    ,2015,M13,305642.0,
97644,CEU5500000056    ,2016,M13,310065.0,
97657,CEU5500000056    ,2017,M13,316915.0,
97670,CEU5500000056    ,2018,M13,323365.0,
97683,CEU5500000056    ,2019,M13,329161.0,
97696,CEU5500000056    ,2020,M13,328009.0,
97709,CEU5500000056    ,2021,M13,328908.0,
97737,CEU5500000057    ,2007,M13,7824524.0,
97750,CEU5500000057    ,2008,M13,7846793.0,
97763,CEU5500000057    ,2009,M13,7616500.0,
97776,CEU5500000057    ,2010,M13,7725092.0,
97789,CEU5500000057    ,2011,M13,8002018.0,
97802,CEU5500000057    ,2012,M13,8507389.0,
97815,CEU5500000057    ,2013,M13,8830259.0,
97828,CEU5500000057    ,2014,M13,9142994.0,
97841,CEU5500000057    ,2015,M13,9632370.0,
97854,CEU5500000057    ,2016,M13,10012324.0,
97867,CEU5500000057    ,2017,M13,10533332.0,
97880,CEU5500000057    ,2018,M13,11248989.0,
97893,CEU5500000057    ,2019,M13,11829373.0,
97906,CEU5500000057    ,2020,M13,12413720.0,
97919,CEU5500000057    ,2021,M13,13167393.0,
97947,CEU5552200002    ,2007,M13,37.6,
97960,CEU5552200002    ,2008,M13,37.5,
97973,CEU5552200002    ,2009,M13,37.5,
97986,CEU5552200002    ,2010,M13,38.1,
97999,CEU5552200002    ,2011,M13,38.4,
98012,CEU5552200002    ,2012,M13,38.1,
98025,CEU5552200002    ,2013,M13,37.8,
98038,CEU5552200002    ,2014,M13,38.0,
98051,CEU5552200002    ,2015,M13,38.4,
98064,CEU5552200002    ,2016,M13,38.3,
98077,CEU5552200002    ,2017,M13,38.6,
98090,CEU5552200002    ,2018,M13,38.8,
98103,CEU5552200002    ,2019,M13,38.6,
98116,CEU5552200002    ,2020,M13,38.8,
98129,CEU5552200002    ,2021,M13,38.4,
98156,CEU5552200003    ,2007,M13,23.78,
98169,CEU5552200003    ,2008,M13,23.89,
98182,CEU5552200003    ,2009,M13,23.86,
98195,CEU5552200003    ,2010,M13,24.28,
98208,CEU5552200003    ,2011,M13,24.93,
98221,CEU5552200003    ,2012,M13,26.71,
98234,CEU5552200003    ,2013,M13,26.91,
98247,CEU5552200003    ,2014,M13,27.6,
98260,CEU5552200003    ,2015,M13,28.92,
98273,CEU5552200003    ,2016,M13,29.75,
98286,CEU5552200003    ,2017,M13,31.29,
98299,CEU5552200003    ,2018,M13,33.85,
98312,CEU5552200003    ,2019,M13,35.86,
98325,CEU5552200003    ,2020,M13,38.79,
98338,CEU5552200003    ,2021,M13,41.84,
98365,CEU5552200011    ,2007,M13,893.2,
98378,CEU5552200011    ,2008,M13,894.59,
98391,CEU5552200011    ,2009,M13,894.75,
98404,CEU5552200011    ,2010,M13,924.32,
98417,CEU5552200011    ,2011,M13,958.64,
98430,CEU5552200011    ,2012,M13,1016.77,
98443,CEU5552200011    ,2013,M13,1017.03,
98456,CEU5552200011    ,2014,M13,1049.5,
98469,CEU5552200011    ,2015,M13,1111.76,
98482,CEU5552200011    ,2016,M13,1140.78,
98495,CEU5552200011    ,2017,M13,1206.75,
98508,CEU5552200011    ,2018,M13,1312.37,
98521,CEU5552200011    ,2019,M13,1383.4,
98534,CEU5552200011    ,2020,M13,1506.56,
98547,CEU5552200011    ,2021,M13,1608.33,
98574,CEU5552200012    ,2007,M13,430.79,
98587,CEU5552200012    ,2008,M13,415.5,
98600,CEU5552200012    ,2009,M13,417.06,
98613,CEU5552200012    ,2010,M13,423.89,
98626,CEU5552200012    ,2011,M13,426.18,
98639,CEU5552200012    ,2012,M13,442.86,
98652,CEU5552200012    ,2013,M13,436.57,
98665,CEU5552200012    ,2014,M13,443.32,
98678,CEU5552200012    ,2015,M13,469.06,
98691,CEU5552200012    ,2016,M13,475.31,
98704,CEU5552200012    ,2017,M13,492.31,
98717,CEU5552200012    ,2018,M13,522.63,
98730,CEU5552200012    ,2019,M13,541.12,
98743,CEU5552200012    ,2020,M13,582.11,
98756,CEU5552200012    ,2021,M13,593.55,
98783,CEU5552200013    ,2007,M13,11.47,
98796,CEU5552200013    ,2008,M13,11.1,
98809,CEU5552200013    ,2009,M13,11.12,
98822,CEU5552200013    ,2010,M13,11.13,
98835,CEU5552200013    ,2011,M13,11.08,
98848,CEU5552200013    ,2012,M13,11.63,
98861,CEU5552200013    ,2013,M13,11.55,
98874,CEU5552200013    ,2014,M13,11.66,
98887,CEU5552200013    ,2015,M13,12.2,
98900,CEU5552200013    ,2016,M13,12.4,
98913,CEU5552200013    ,2017,M13,12.77,
98926,CEU5552200013    ,2018,M13,13.48,
98939,CEU5552200013    ,2019,M13,14.03,
98952,CEU5552200013    ,2020,M13,14.99,
98965,CEU5552200013    ,2021,M13,15.44,
98992,CEU5552200016    ,2007,M13,100.0,
99005,CEU5552200016    ,2008,M13,95.1,
99018,CEU5552200016    ,2009,M13,90.2,
99031,CEU5552200016    ,2010,M13,90.2,
99044,CEU5552200016    ,2011,M13,91.2,
99057,CEU5552200016    ,2012,M13,91.3,
99070,CEU5552200016    ,2013,M13,91.8,
99083,CEU5552200016    ,2014,M13,90.6,
99096,CEU5552200016    ,2015,M13,91.8,
99109,CEU5552200016    ,2016,M13,92.9,
99122,CEU5552200016    ,2017,M13,94.8,
99135,CEU5552200016    ,2018,M13,95.5,
99148,CEU5552200016    ,2019,M13,94.9,
99161,CEU5552200016    ,2020,M13,96.2,
99174,CEU5552200016    ,2021,M13,96.7,
99201,CEU5552200017    ,2007,M13,100.0,
99214,CEU5552200017    ,2008,M13,95.5,
99227,CEU5552200017    ,2009,M13,90.5,
99240,CEU5552200017    ,2010,M13,92.1,
99253,CEU5552200017    ,2011,M13,95.6,
99266,CEU5552200017    ,2012,M13,102.6,
99279,CEU5552200017    ,2013,M13,103.8,
99292,CEU5552200017    ,2014,M13,105.1,
99305,CEU5552200017    ,2015,M13,111.6,
99318,CEU5552200017    ,2016,M13,116.3,
99331,CEU5552200017    ,2017,M13,124.7,
99344,CEU5552200017    ,2018,M13,135.9,
99357,CEU5552200017    ,2019,M13,143.1,
99370,CEU5552200017    ,2020,M13,157.0,
99383,CEU5552200017    ,2021,M13,170.0,
99410,CEU5552200056    ,2007,M13,107655.0,
99423,CEU5552200056    ,2008,M13,102340.0,
99436,CEU5552200056    ,2009,M13,97113.0,
99449,CEU5552200056    ,2010,M13,97067.0,
99462,CEU5552200056    ,2011,M13,98205.0,
99475,CEU5552200056    ,2012,M13,98335.0,
99488,CEU5552200056    ,2013,M13,98791.0,
99501,CEU5552200056    ,2014,M13,97497.0,
99514,CEU5552200056    ,2015,M13,98822.0,
99527,CEU5552200056    ,2016,M13,100058.0,
99540,CEU5552200056    ,2017,M13,102004.0,
99553,CEU5552200056    ,2018,M13,102778.0,
99566,CEU5552200056    ,2019,M13,102182.0,
99579,CEU5552200056    ,2020,M13,103602.0,
99592,CEU5552200056    ,2021,M13,104057.0,
99619,CEU5552200057    ,2007,M13,2560208.0,
99632,CEU5552200057    ,2008,M13,2444619.0,
99645,CEU5552200057    ,2009,M13,2317567.0,
99658,CEU5552200057    ,2010,M13,2356959.0,
99671,CEU5552200057    ,2011,M13,2448490.0,
99684,CEU5552200057    ,2012,M13,2626566.0,
99697,CEU5552200057    ,2013,M13,2658629.0,
99710,CEU5552200057    ,2014,M13,2690925.0,
99723,CEU5552200057    ,2015,M13,2857992.0,
99736,CEU5552200057    ,2016,M13,2977062.0,
99749,CEU5552200057    ,2017,M13,3191684.0,
99762,CEU5552200057    ,2018,M13,3479331.0,
99775,CEU5552200057    ,2019,M13,3664473.0,
99788,CEU5552200057    ,2020,M13,4019189.0,
99801,CEU5552200057    ,2021,M13,4353585.0,
99828,CEU5552210002    ,2007,M13,37.4,
99841,CEU5552210002    ,2008,M13,37.2,
99854,CEU5552210002    ,2009,M13,37.2,
99867,CEU5552210002    ,2010,M13,38.0,
99880,CEU5552210002    ,2011,M13,38.4,
99893,CEU5552210002    ,2012,M13,37.8,
99906,CEU5552210002    ,2013,M13,37.6,
99919,CEU5552210002    ,2014,M13,38.1,
99932,CEU5552210002    ,2015,M13,38.3,
99945,CEU5552210002    ,2016,M13,38.2,
99958,CEU5552210002    ,2017,M13,38.4,
99971,CEU5552210002    ,2018,M13,38.7,
99984,CEU5552210002    ,2019,M13,38.6,
99997,CEU5552210002    ,2020,M13,38.9,
100010,CEU5552210002    ,2021,M13,38.7,
100037,CEU5552210003    ,2007,M13,23.23,
100050,CEU5552210003    ,2008,M13,23.51,
100063,CEU5552210003    ,2009,M13,23.7,
100076,CEU5552210003    ,2010,M13,24.33,
100089,CEU5552210003    ,2011,M13,24.91,
100102,CEU5552210003    ,2012,M13,26.32,
100115,CEU5552210003    ,2013,M13,26.23,
100128,CEU5552210003    ,2014,M13,26.86,
100141,CEU5552210003    ,2015,M13,28.42,
100154,CEU5552210003    ,2016,M13,29.09,
100167,CEU5552210003    ,2017,M13,30.69,
100180,CEU5552210003    ,2018,M13,34.22,
100193,CEU5552210003    ,2019,M13,36.87,
100206,CEU5552210003    ,2020,M13,39.74,
100219,CEU5552210003    ,2021,M13,42.93,
100246,CEU5552210011    ,2007,M13,867.6,
100259,CEU5552210011    ,2008,M13,874.68,
100272,CEU5552210011    ,2009,M13,882.49,
100285,CEU5552210011    ,2010,M13,924.63,
100298,CEU5552210011    ,2011,M13,957.03,
100311,CEU5552210011    ,2012,M13,995.55,
100324,CEU5552210011    ,2013,M13,986.4,
100337,CEU5552210011    ,2014,M13,1023.17,
100350,CEU5552210011    ,2015,M13,1089.43,
100363,CEU5552210011    ,2016,M13,1110.09,
100376,CEU5552210011    ,2017,M13,1179.41,
100389,CEU5552210011    ,2018,M13,1323.67,
100402,CEU5552210011    ,2019,M13,1424.07,
100415,CEU5552210011    ,2020,M13,1546.38,
100428,CEU5552210011    ,2021,M13,1661.47,
100455,CEU5552210012    ,2007,M13,418.44,
100468,CEU5552210012    ,2008,M13,406.26,
100481,CEU5552210012    ,2009,M13,411.35,
