,series_id,year,period,value,footnote_codes
0,CES9000000001    ,1939,M01,3988.0,
1,CES9000000001    ,1939,M02,4001.0,
2,CES9000000001    ,1939,M03,4002.0,
3,CES9000000001    ,1939,M04,4002.0,
4,CES9000000001    ,1939,M05,4006.0,
5,CES9000000001    ,1939,M06,4003.0,
6,CES9000000001    ,1939,M07,4019.0,
7,CES9000000001    ,1939,M08,4046.0,
8,CES9000000001    ,1939,M09,4076.0,
9,CES9000000001    ,1939,M10,4089.0,
10,CES9000000001    ,1939,M11,4109.0,
11,CES9000000001    ,1939,M12,4134.0,
12,CES9000000001    ,1940,M01,4150.0,
13,CES9000000001    ,1940,M02,4150.0,
14,CES9000000001    ,1940,M03,4151.0,
15,CES9000000001    ,1940,M04,4152.0,
16,CES9000000001    ,1940,M05,4172.0,
17,CES9000000001    ,1940,M06,4218.0,
18,CES9000000001    ,1940,M07,4261.0,
19,CES9000000001    ,1940,M08,4282.0,
20,CES9000000001    ,1940,M09,4312.0,
21,CES9000000001    ,1940,M10,4353.0,
22,CES9000000001    ,1940,M11,4396.0,
23,CES9000000001    ,1940,M12,4415.0,
24,CES9000000001    ,1941,M01,4468.0,
25,CES9000000001    ,1941,M02,4504.0,
26,CES9000000001    ,1941,M03,4535.0,
27,CES9000000001    ,1941,M04,4585.0,
28,CES9000000001    ,1941,M05,4642.0,
29,CES9000000001    ,1941,M06,4701.0,
30,CES9000000001    ,1941,M07,4750.0,
31,CES9000000001    ,1941,M08,4821.0,
32,CES9000000001    ,1941,M09,4891.0,
33,CES9000000001    ,1941,M10,4907.0,
34,CES9000000001    ,1941,M11,4949.0,
35,CES9000000001    ,1941,M12,4971.0,
36,CES9000000001    ,1942,M01,5089.0,
37,CES9000000001    ,1942,M02,5146.0,
38,CES9000000001    ,1942,M03,5257.0,
39,CES9000000001    ,1942,M04,5357.0,
40,CES9000000001    ,1942,M05,5431.0,
41,CES9000000001    ,1942,M06,5510.0,
42,CES9000000001    ,1942,M07,5591.0,
43,CES9000000001    ,1942,M08,5814.0,
44,CES9000000001    ,1942,M09,5866.0,
45,CES9000000001    ,1942,M10,5956.0,
46,CES9000000001    ,1942,M11,6026.0,
47,CES9000000001    ,1942,M12,6072.0,
48,CES9000000001    ,1943,M01,6132.0,
49,CES9000000001    ,1943,M02,6223.0,
50,CES9000000001    ,1943,M03,6257.0,
51,CES9000000001    ,1943,M04,6267.0,
52,CES9000000001    ,1943,M05,6281.0,
53,CES9000000001    ,1943,M06,6324.0,
54,CES9000000001    ,1943,M07,6257.0,
55,CES9000000001    ,1943,M08,6151.0,
56,CES9000000001    ,1943,M09,6167.0,
57,CES9000000001    ,1943,M10,6170.0,
58,CES9000000001    ,1943,M11,6179.0,
59,CES9000000001    ,1943,M12,6271.0,
60,CES9000000001    ,1944,M01,6162.0,
61,CES9000000001    ,1944,M02,6129.0,
62,CES9000000001    ,1944,M03,6113.0,
63,CES9000000001    ,1944,M04,6112.0,
64,CES9000000001    ,1944,M05,6121.0,
65,CES9000000001    ,1944,M06,6147.0,
66,CES9000000001    ,1944,M07,6190.0,
67,CES9000000001    ,1944,M08,6204.0,
68,CES9000000001    ,1944,M09,6216.0,
69,CES9000000001    ,1944,M10,6223.0,
70,CES9000000001    ,1944,M11,6263.0,
71,CES9000000001    ,1944,M12,6375.0,
72,CES9000000001    ,1945,M01,6254.0,
73,CES9000000001    ,1945,M02,6239.0,
74,CES9000000001    ,1945,M03,6216.0,
75,CES9000000001    ,1945,M04,6185.0,
76,CES9000000001    ,1945,M05,6159.0,
77,CES9000000001    ,1945,M06,6181.0,
78,CES9000000001    ,1945,M07,6185.0,
79,CES9000000001    ,1945,M08,6135.0,
80,CES9000000001    ,1945,M09,5942.0,
81,CES9000000001    ,1945,M10,5854.0,
82,CES9000000001    ,1945,M11,5830.0,
83,CES9000000001    ,1945,M12,5811.0,
84,CES9000000001    ,1946,M01,5785.0,
85,CES9000000001    ,1946,M02,5778.0,
86,CES9000000001    ,1946,M03,5758.0,
87,CES9000000001    ,1946,M04,5761.0,
88,CES9000000001    ,1946,M05,5732.0,
89,CES9000000001    ,1946,M06,5680.0,
90,CES9000000001    ,1946,M07,5682.0,
91,CES9000000001    ,1946,M08,5681.0,
92,CES9000000001    ,1946,M09,5669.0,
93,CES9000000001    ,1946,M10,5664.0,
94,CES9000000001    ,1946,M11,5639.0,
95,CES9000000001    ,1946,M12,5628.0,
96,CES9000000001    ,1947,M01,5619.0,
97,CES9000000001    ,1947,M02,5606.0,
98,CES9000000001    ,1947,M03,5588.0,
