,series_id,year,period,value,footnote_codes
188148,CUUS0400AA0      ,1984,S01,165.4,
188149,CUUS0400AA0      ,1984,S02,169.4,
188151,CUUS0400AA0      ,1985,S01,172.6,
188152,CUUS0400AA0      ,1985,S02,176.4,
188154,CUUS0400AA0      ,1986,S01,177.5,
188155,CUUS0400AA0      ,1986,S02,179.6,
188157,CUUS0400AA0      ,1987,S01,183.0,
188158,CUUS0400AA0      ,1987,S02,186.6,
188160,CUUS0400AA0      ,1988,S01,190.2,
188161,CUUS0400AA0      ,1988,S02,194.3,
188163,CUUS0400AA0      ,1989,S01,199.4,
188164,CUUS0400AA0      ,1989,S02,203.5,
188166,CUUS0400AA0      ,1990,S01,209.2,
188167,CUUS0400AA0      ,1990,S02,215.8,
188169,CUUS0400AA0      ,1991,S01,220.1,
188170,CUUS0400AA0      ,1991,S02,223.7,
188172,CUUS0400AA0      ,1992,S01,227.9,
188173,CUUS0400AA0      ,1992,S02,231.3,
188175,CUUS0400AA0      ,1993,S01,235.1,
188176,CUUS0400AA0      ,1993,S02,237.4,
188178,CUUS0400AA0      ,1994,S01,240.3,
188179,CUUS0400AA0      ,1994,S02,243.4,
188181,CUUS0400AA0      ,1995,S01,247.2,
188182,CUUS0400AA0      ,1995,S02,249.1,
188184,CUUS0400AA0      ,1996,S01,253.2,
188185,CUUS0400AA0      ,1996,S02,256.4,
188187,CUUS0400AA0      ,1997,S01,259.6,
188188,CUUS0400AA0      ,1997,S02,262.2,
188190,CUUS0400AA0      ,1998,S01,264.5,
188191,CUUS0400AA0      ,1998,S02,267.1,
188193,CUUS0400AA0      ,1999,S01,271.2,
188194,CUUS0400AA0      ,1999,S02,274.7,
188196,CUUS0400AA0      ,2000,S01,279.8,
188197,CUUS0400AA0      ,2000,S02,285.4,
188199,CUUS0400AA0      ,2001,S01,291.3,
188200,CUUS0400AA0      ,2001,S02,294.4,
188202,CUUS0400AA0      ,2002,S01,297.4,
188203,CUUS0400AA0      ,2002,S02,299.8,
188205,CUUS0400AA0      ,2003,S01,304.3,
188206,CUUS0400AA0      ,2003,S02,305.3,
188208,CUUS0400AA0      ,2004,S01,310.2,
188209,CUUS0400AA0      ,2004,S02,313.6,
188211,CUUS0400AA0      ,2005,S01,318.6,
188212,CUUS0400AA0      ,2005,S02,324.4,
188214,CUUS0400AA0      ,2006,S01,330.5,
188215,CUUS0400AA0      ,2006,S02,334.5,
188217,CUUS0400AA0      ,2007,S01,340.893,
188218,CUUS0400AA0      ,2007,S02,345.224,
188220,CUUS0400AA0      ,2008,S01,354.028,
188221,CUUS0400AA0      ,2008,S02,356.064,
188223,CUUS0400AA0      ,2009,S01,352.039,
188224,CUUS0400AA0      ,2009,S02,355.387,
188226,CUUS0400AA0      ,2010,S01,356.896,
188227,CUUS0400AA0      ,2010,S02,358.231,
188229,CUUS0400AA0      ,2011,S01,366.008,
188230,CUUS0400AA0      ,2011,S02,369.427,
188232,CUUS0400AA0      ,2012,S01,374.296,
188233,CUUS0400AA0      ,2012,S02,376.949,
188235,CUUS0400AA0      ,2013,S01,380.015,
188236,CUUS0400AA0      ,2013,S02,382.377,
188238,CUUS0400AA0      ,2014,S01,386.919,
188239,CUUS0400AA0      ,2014,S02,389.67,
188241,CUUS0400AA0      ,2015,S01,390.807,
188242,CUUS0400AA0      ,2015,S02,394.832,
188244,CUUS0400AA0      ,2016,S01,398.048,
188245,CUUS0400AA0      ,2016,S02,402.755,
188247,CUUS0400AA0      ,2017,S01,409.141,
188248,CUUS0400AA0      ,2017,S02,414.4,
188250,CUUS0400AA0      ,2018,S01,422.6,
188251,CUUS0400AA0      ,2018,S02,428.502,
188253,CUUS0400AA0      ,2019,S01,433.899,
188254,CUUS0400AA0      ,2019,S02,440.112,
188256,CUUS0400AA0      ,2020,S01,442.334,
