,series_id,year,period,value,footnote_codes
17642,CUUR0000SAH      ,1967,M13,30.8,
17655,CUUR0000SAH      ,1968,M13,32.0,
17668,CUUR0000SAH      ,1969,M13,34.0,
17681,CUUR0000SAH      ,1970,M13,36.4,
17694,CUUR0000SAH      ,1971,M13,38.0,
17707,CUUR0000SAH      ,1972,M13,39.4,
17720,CUUR0000SAH      ,1973,M13,41.2,
17733,CUUR0000SAH      ,1974,M13,45.8,
17746,CUUR0000SAH      ,1975,M13,50.7,
17759,CUUR0000SAH      ,1976,M13,53.8,
17772,CUUR0000SAH      ,1977,M13,57.4,
17785,CUUR0000SAH      ,1978,M13,62.4,
17798,CUUR0000SAH      ,1979,M13,70.1,
17811,CUUR0000SAH      ,1980,M13,81.1,
17824,CUUR0000SAH      ,1981,M13,90.4,
17837,CUUR0000SAH      ,1982,M13,96.9,
17850,CUUR0000SAH      ,1983,M13,99.5,
17863,CUUR0000SAH      ,1984,M13,103.6,
17876,CUUR0000SAH      ,1985,M13,107.7,
17889,CUUR0000SAH      ,1986,M13,110.9,
17902,CUUR0000SAH      ,1987,M13,114.2,
17915,CUUR0000SAH      ,1988,M13,118.5,
17928,CUUR0000SAH      ,1989,M13,123.0,
17941,CUUR0000SAH      ,1990,M13,128.5,
17954,CUUR0000SAH      ,1991,M13,133.6,
17967,CUUR0000SAH      ,1992,M13,137.5,
17980,CUUR0000SAH      ,1993,M13,141.2,
17993,CUUR0000SAH      ,1994,M13,144.8,
18006,CUUR0000SAH      ,1995,M13,148.5,
18019,CUUR0000SAH      ,1996,M13,152.8,
18032,CUUR0000SAH      ,1997,M13,156.8,
18045,CUUR0000SAH      ,1998,M13,160.4,
18058,CUUR0000SAH      ,1999,M13,163.9,
18071,CUUR0000SAH      ,2000,M13,169.6,
18084,CUUR0000SAH      ,2001,M13,176.4,
18097,CUUR0000SAH      ,2002,M13,180.3,
18110,CUUR0000SAH      ,2003,M13,184.8,
18123,CUUR0000SAH      ,2004,M13,189.5,
18136,CUUR0000SAH      ,2005,M13,195.7,
18149,CUUR0000SAH      ,2006,M13,203.2,
18162,CUUR0000SAH      ,2007,M13,209.586,
18175,CUUR0000SAH      ,2008,M13,216.264,
18188,CUUR0000SAH      ,2009,M13,217.057,
18201,CUUR0000SAH      ,2010,M13,216.256,
18214,CUUR0000SAH      ,2011,M13,219.102,
18227,CUUR0000SAH      ,2012,M13,222.715,
18240,CUUR0000SAH      ,2013,M13,227.351,
18253,CUUR0000SAH      ,2014,M13,233.215,
18266,CUUR0000SAH      ,2015,M13,238.06,
18279,CUUR0000SAH      ,2016,M13,243.973,
18292,CUUR0000SAH      ,2017,M13,251.229,
18305,CUUR0000SAH      ,2018,M13,258.478,
18318,CUUR0000SAH      ,2019,M13,265.952,
18331,CUUR0000SAH      ,2020,M13,271.773,
18344,CUUR0000SAH      ,2021,M13,280.72,
18360,CUUR0000SAH1     ,1953,M13,22.0,
18373,CUUR0000SAH1     ,1954,M13,22.5,
18386,CUUR0000SAH1     ,1955,M13,22.7,
18399,CUUR0000SAH1     ,1956,M13,23.1,
18412,CUUR0000SAH1     ,1957,M13,24.0,
18425,CUUR0000SAH1     ,1958,M13,24.5,
18438,CUUR0000SAH1     ,1959,M13,24.7,
18451,CUUR0000SAH1     ,1960,M13,25.2,
18464,CUUR0000SAH1     ,1961,M13,25.4,
18477,CUUR0000SAH1     ,1962,M13,25.8,
18490,CUUR0000SAH1     ,1963,M13,26.1,
18503,CUUR0000SAH1     ,1964,M13,26.5,
18516,CUUR0000SAH1     ,1965,M13,27.0,
18529,CUUR0000SAH1     ,1966,M13,27.8,
18542,CUUR0000SAH1     ,1967,M13,28.8,
18555,CUUR0000SAH1     ,1968,M13,30.1,
18568,CUUR0000SAH1     ,1969,M13,32.6,
18581,CUUR0000SAH1     ,1970,M13,35.5,
18594,CUUR0000SAH1     ,1971,M13,37.0,
18607,CUUR0000SAH1     ,1972,M13,38.7,
18620,CUUR0000SAH1     ,1973,M13,40.5,
18633,CUUR0000SAH1     ,1974,M13,44.4,
18646,CUUR0000SAH1     ,1975,M13,48.8,
18659,CUUR0000SAH1     ,1976,M13,51.5,
18672,CUUR0000SAH1     ,1977,M13,54.9,
18685,CUUR0000SAH1     ,1978,M13,60.5,
18698,CUUR0000SAH1     ,1979,M13,68.9,
18711,CUUR0000SAH1     ,1980,M13,81.0,
18724,CUUR0000SAH1     ,1981,M13,90.5,
18737,CUUR0000SAH1     ,1982,M13,96.9,
18750,CUUR0000SAH1     ,1983,M13,99.1,
18763,CUUR0000SAH1     ,1984,M13,104.0,
18776,CUUR0000SAH1     ,1985,M13,109.8,
18789,CUUR0000SAH1     ,1986,M13,115.8,
18802,CUUR0000SAH1     ,1987,M13,121.3,
18815,CUUR0000SAH1     ,1988,M13,127.1,
18828,CUUR0000SAH1     ,1989,M13,132.8,
18841,CUUR0000SAH1     ,1990,M13,140.0,
18854,CUUR0000SAH1     ,1991,M13,146.3,
18867,CUUR0000SAH1     ,1992,M13,151.2,
18880,CUUR0000SAH1     ,1993,M13,155.7,
18893,CUUR0000SAH1     ,1994,M13,160.5,
18906,CUUR0000SAH1     ,1995,M13,165.7,
18919,CUUR0000SAH1     ,1996,M13,171.0,
18932,CUUR0000SAH1     ,1997,M13,176.3,
18945,CUUR0000SAH1     ,1998,M13,182.1,
18958,CUUR0000SAH1     ,1999,M13,187.3,
18971,CUUR0000SAH1     ,2000,M13,193.4,
18984,CUUR0000SAH1     ,2001,M13,200.6,
18997,CUUR0000SAH1     ,2002,M13,208.1,
19010,CUUR0000SAH1     ,2003,M13,213.1,
19023,CUUR0000SAH1     ,2004,M13,218.8,
19036,CUUR0000SAH1     ,2005,M13,224.4,
19049,CUUR0000SAH1     ,2006,M13,232.1,
19062,CUUR0000SAH1     ,2007,M13,240.611,
19075,CUUR0000SAH1     ,2008,M13,246.666,
19088,CUUR0000SAH1     ,2009,M13,249.354,
19101,CUUR0000SAH1     ,2010,M13,248.396,
19114,CUUR0000SAH1     ,2011,M13,251.646,
19127,CUUR0000SAH1     ,2012,M13,257.083,
19140,CUUR0000SAH1     ,2013,M13,263.056,
19153,CUUR0000SAH1     ,2014,M13,270.513,
19166,CUUR0000SAH1     ,2015,M13,278.803,
19179,CUUR0000SAH1     ,2016,M13,288.23,
19192,CUUR0000SAH1     ,2017,M13,297.803,
19205,CUUR0000SAH1     ,2018,M13,307.663,
19218,CUUR0000SAH1     ,2019,M13,318.053,
