,series_id,year,period,value,footnote_codes
13067,CUUR0000SAT      ,1935,M13,14.2,
13073,CUUR0000SAT      ,1936,M13,14.3,
13078,CUUR0000SAT      ,1937,M13,14.5,
13083,CUUR0000SAT      ,1938,M13,14.6,
13088,CUUR0000SAT      ,1939,M13,14.3,
13093,CUUR0000SAT      ,1940,M13,14.2,
13098,CUUR0000SAT      ,1941,M13,14.7,
13103,CUUR0000SAT      ,1942,M13,16.0,
13108,CUUR0000SAT      ,1943,M13,15.9,
13113,CUUR0000SAT      ,1944,M13,15.9,
13118,CUUR0000SAT      ,1945,M13,15.9,
13123,CUUR0000SAT      ,1946,M13,16.7,
13136,CUUR0000SAT      ,1947,M13,18.5,
13149,CUUR0000SAT      ,1948,M13,20.6,
13162,CUUR0000SAT      ,1949,M13,22.1,
13175,CUUR0000SAT      ,1950,M13,22.7,
13188,CUUR0000SAT      ,1951,M13,24.1,
13201,CUUR0000SAT      ,1952,M13,25.7,
13214,CUUR0000SAT      ,1953,M13,26.5,
13227,CUUR0000SAT      ,1954,M13,26.1,
13240,CUUR0000SAT      ,1955,M13,25.8,
13253,CUUR0000SAT      ,1956,M13,26.2,
13266,CUUR0000SAT      ,1957,M13,27.7,
13279,CUUR0000SAT      ,1958,M13,28.6,
13292,CUUR0000SAT      ,1959,M13,29.8,
13305,CUUR0000SAT      ,1960,M13,29.8,
13318,CUUR0000SAT      ,1961,M13,30.1,
13331,CUUR0000SAT      ,1962,M13,30.8,
13344,CUUR0000SAT      ,1963,M13,30.9,
13357,CUUR0000SAT      ,1964,M13,31.4,
13370,CUUR0000SAT      ,1965,M13,31.9,
13383,CUUR0000SAT      ,1966,M13,32.3,
13396,CUUR0000SAT      ,1967,M13,33.3,
13409,CUUR0000SAT      ,1968,M13,34.3,
13422,CUUR0000SAT      ,1969,M13,35.7,
13435,CUUR0000SAT      ,1970,M13,37.5,
13448,CUUR0000SAT      ,1971,M13,39.5,
13461,CUUR0000SAT      ,1972,M13,39.9,
13474,CUUR0000SAT      ,1973,M13,41.2,
13487,CUUR0000SAT      ,1974,M13,45.8,
13500,CUUR0000SAT      ,1975,M13,50.1,
13513,CUUR0000SAT      ,1976,M13,55.1,
13526,CUUR0000SAT      ,1977,M13,59.0,
13539,CUUR0000SAT      ,1978,M13,61.7,
13552,CUUR0000SAT      ,1979,M13,70.5,
13565,CUUR0000SAT      ,1980,M13,83.1,
13578,CUUR0000SAT      ,1981,M13,93.2,
13591,CUUR0000SAT      ,1982,M13,97.0,
13604,CUUR0000SAT      ,1983,M13,99.3,
13617,CUUR0000SAT      ,1984,M13,103.7,
13630,CUUR0000SAT      ,1985,M13,106.4,
13643,CUUR0000SAT      ,1986,M13,102.3,
13656,CUUR0000SAT      ,1987,M13,105.4,
13669,CUUR0000SAT      ,1988,M13,108.7,
13682,CUUR0000SAT      ,1989,M13,114.1,
13695,CUUR0000SAT      ,1990,M13,120.5,
13708,CUUR0000SAT      ,1991,M13,123.8,
13721,CUUR0000SAT      ,1992,M13,126.5,
13734,CUUR0000SAT      ,1993,M13,130.4,
13747,CUUR0000SAT      ,1994,M13,134.3,
13760,CUUR0000SAT      ,1995,M13,139.1,
13773,CUUR0000SAT      ,1996,M13,143.0,
13786,CUUR0000SAT      ,1997,M13,144.3,
13799,CUUR0000SAT      ,1998,M13,141.6,
