,series_id,year,period,value,footnote_codes
20973,CUUR0000AA0      ,1913,M13,29.7,
20986,CUUR0000AA0      ,1914,M13,30.1,
20999,CUUR0000AA0      ,1915,M13,30.4,
21012,CUUR0000AA0      ,1916,M13,32.7,
21025,CUUR0000AA0      ,1917,M13,38.4,
21038,CUUR0000AA0      ,1918,M13,45.1,
21051,CUUR0000AA0      ,1919,M13,51.8,
21064,CUUR0000AA0      ,1920,M13,60.0,
21077,CUUR0000AA0      ,1921,M13,53.6,
21090,CUUR0000AA0      ,1922,M13,50.2,
21103,CUUR0000AA0      ,1923,M13,51.1,
21116,CUUR0000AA0      ,1924,M13,51.2,
21129,CUUR0000AA0      ,1925,M13,52.5,
21142,CUUR0000AA0      ,1926,M13,53.0,
21155,CUUR0000AA0      ,1927,M13,52.0,
21168,CUUR0000AA0      ,1928,M13,51.3,
21181,CUUR0000AA0      ,1929,M13,51.3,
21194,CUUR0000AA0      ,1930,M13,50.0,
21207,CUUR0000AA0      ,1931,M13,45.6,
21220,CUUR0000AA0      ,1932,M13,40.9,
21233,CUUR0000AA0      ,1933,M13,38.8,
21246,CUUR0000AA0      ,1934,M13,40.1,
21259,CUUR0000AA0      ,1935,M13,41.1,
21272,CUUR0000AA0      ,1936,M13,41.5,
21285,CUUR0000AA0      ,1937,M13,43.0,
21298,CUUR0000AA0      ,1938,M13,42.2,
21311,CUUR0000AA0      ,1939,M13,41.6,
21324,CUUR0000AA0      ,1940,M13,42.0,
21337,CUUR0000AA0      ,1941,M13,44.1,
21350,CUUR0000AA0      ,1942,M13,48.8,
21363,CUUR0000AA0      ,1943,M13,51.8,
21376,CUUR0000AA0      ,1944,M13,52.7,
21389,CUUR0000AA0      ,1945,M13,53.9,
21402,CUUR0000AA0      ,1946,M13,58.5,
21415,CUUR0000AA0      ,1947,M13,66.9,
21428,CUUR0000AA0      ,1948,M13,72.1,
21441,CUUR0000AA0      ,1949,M13,71.4,
21454,CUUR0000AA0      ,1950,M13,72.1,
21467,CUUR0000AA0      ,1951,M13,77.8,
21480,CUUR0000AA0      ,1952,M13,79.5,
21493,CUUR0000AA0      ,1953,M13,80.1,
21506,CUUR0000AA0      ,1954,M13,80.5,
21519,CUUR0000AA0      ,1955,M13,80.2,
21532,CUUR0000AA0      ,1956,M13,81.4,
21545,CUUR0000AA0      ,1957,M13,84.3,
21558,CUUR0000AA0      ,1958,M13,86.6,
21571,CUUR0000AA0      ,1959,M13,87.3,
21584,CUUR0000AA0      ,1960,M13,88.7,
21597,CUUR0000AA0      ,1961,M13,89.6,
21610,CUUR0000AA0      ,1962,M13,90.6,
21623,CUUR0000AA0      ,1963,M13,91.7,
21636,CUUR0000AA0      ,1964,M13,92.9,
21649,CUUR0000AA0      ,1965,M13,94.5,
21662,CUUR0000AA0      ,1966,M13,97.2,
21675,CUUR0000AA0      ,1967,M13,100.0,
21688,CUUR0000AA0      ,1968,M13,104.2,
21701,CUUR0000AA0      ,1969,M13,109.8,
21714,CUUR0000AA0      ,1970,M13,116.3,
21727,CUUR0000AA0      ,1971,M13,121.3,
21740,CUUR0000AA0      ,1972,M13,125.3,
21753,CUUR0000AA0      ,1973,M13,133.1,
21766,CUUR0000AA0      ,1974,M13,147.7,
21779,CUUR0000AA0      ,1975,M13,161.2,
21792,CUUR0000AA0      ,1976,M13,170.5,
21805,CUUR0000AA0      ,1977,M13,181.5,
21818,CUUR0000AA0      ,1978,M13,195.4,
21831,CUUR0000AA0      ,1979,M13,217.4,
21844,CUUR0000AA0      ,1980,M13,246.8,
21857,CUUR0000AA0      ,1981,M13,272.4,
21870,CUUR0000AA0      ,1982,M13,289.1,
21883,CUUR0000AA0      ,1983,M13,298.4,
21896,CUUR0000AA0      ,1984,M13,311.1,
21909,CUUR0000AA0      ,1985,M13,322.2,
21922,CUUR0000AA0      ,1986,M13,328.4,
21935,CUUR0000AA0      ,1987,M13,340.4,
21948,CUUR0000AA0      ,1988,M13,354.3,
21961,CUUR0000AA0      ,1989,M13,371.3,
21974,CUUR0000AA0      ,1990,M13,391.4,
21987,CUUR0000AA0      ,1991,M13,408.0,
22000,CUUR0000AA0      ,1992,M13,420.3,
22013,CUUR0000AA0      ,1993,M13,432.7,
22026,CUUR0000AA0      ,1994,M13,444.0,
22039,CUUR0000AA0      ,1995,M13,456.5,
22052,CUUR0000AA0      ,1996,M13,469.9,
22065,CUUR0000AA0      ,1997,M13,480.8,
22078,CUUR0000AA0      ,1998,M13,488.3,
22091,CUUR0000AA0      ,1999,M13,499.0,
22104,CUUR0000AA0      ,2000,M13,515.8,
22117,CUUR0000AA0      ,2001,M13,530.4,
22130,CUUR0000AA0      ,2002,M13,538.8,
22143,CUUR0000AA0      ,2003,M13,551.1,
22156,CUUR0000AA0      ,2004,M13,565.8,
22169,CUUR0000AA0      ,2005,M13,585.0,
22182,CUUR0000AA0      ,2006,M13,603.9,
22195,CUUR0000AA0      ,2007,M13,621.106,
22208,CUUR0000AA0      ,2008,M13,644.951,
22221,CUUR0000AA0      ,2009,M13,642.658,
22234,CUUR0000AA0      ,2010,M13,653.198,
22247,CUUR0000AA0      ,2011,M13,673.818,
22260,CUUR0000AA0      ,2012,M13,687.761,
22273,CUUR0000AA0      ,2013,M13,697.836,
22286,CUUR0000AA0      ,2014,M13,709.156,
22299,CUUR0000AA0      ,2015,M13,709.998,
22312,CUUR0000AA0      ,2016,M13,718.955,
22325,CUUR0000AA0      ,2017,M13,734.269,
22338,CUUR0000AA0      ,2018,M13,752.205,
22351,CUUR0000AA0      ,2019,M13,765.836,
22364,CUUR0000AA0      ,2020,M13,775.284,
22377,CUUR0000AA0      ,2021,M13,811.705,
22393,CUUR0000AA0R     ,1913,M13,336.7,
22406,CUUR0000AA0R     ,1914,M13,332.2,
22419,CUUR0000AA0R     ,1915,M13,328.9,
22432,CUUR0000AA0R     ,1916,M13,305.8,
22445,CUUR0000AA0R     ,1917,M13,260.4,
22458,CUUR0000AA0R     ,1918,M13,221.7,
22471,CUUR0000AA0R     ,1919,M13,193.1,
22484,CUUR0000AA0R     ,1920,M13,166.7,
22497,CUUR0000AA0R     ,1921,M13,186.6,
22510,CUUR0000AA0R     ,1922,M13,199.2,
22523,CUUR0000AA0R     ,1923,M13,195.7,
22536,CUUR0000AA0R     ,1924,M13,195.3,
22549,CUUR0000AA0R     ,1925,M13,190.5,
22562,CUUR0000AA0R     ,1926,M13,188.7,
22575,CUUR0000AA0R     ,1927,M13,192.3,
22588,CUUR0000AA0R     ,1928,M13,194.9,
22601,CUUR0000AA0R     ,1929,M13,194.9,
22614,CUUR0000AA0R     ,1930,M13,200.0,
22627,CUUR0000AA0R     ,1931,M13,219.3,
22640,CUUR0000AA0R     ,1932,M13,244.5,
22653,CUUR0000AA0R     ,1933,M13,257.7,
22666,CUUR0000AA0R     ,1934,M13,249.4,
22679,CUUR0000AA0R     ,1935,M13,243.3,
22692,CUUR0000AA0R     ,1936,M13,241.0,
22705,CUUR0000AA0R     ,1937,M13,232.6,
22718,CUUR0000AA0R     ,1938,M13,237.0,
22731,CUUR0000AA0R     ,1939,M13,240.4,
22744,CUUR0000AA0R     ,1940,M13,238.1,
22757,CUUR0000AA0R     ,1941,M13,226.8,
22770,CUUR0000AA0R     ,1942,M13,204.9,
22783,CUUR0000AA0R     ,1943,M13,193.1,
22796,CUUR0000AA0R     ,1944,M13,189.8,
22809,CUUR0000AA0R     ,1945,M13,185.5,
22822,CUUR0000AA0R     ,1946,M13,170.9,
22835,CUUR0000AA0R     ,1947,M13,149.5,
22848,CUUR0000AA0R     ,1948,M13,138.7,
22861,CUUR0000AA0R     ,1949,M13,140.1,
22874,CUUR0000AA0R     ,1950,M13,138.7,
22887,CUUR0000AA0R     ,1951,M13,128.5,
22900,CUUR0000AA0R     ,1952,M13,125.8,
22913,CUUR0000AA0R     ,1953,M13,124.8,
22926,CUUR0000AA0R     ,1954,M13,124.2,
22939,CUUR0000AA0R     ,1955,M13,124.7,
22952,CUUR0000AA0R     ,1956,M13,122.9,
22965,CUUR0000AA0R     ,1957,M13,118.6,
22978,CUUR0000AA0R     ,1958,M13,115.5,
22991,CUUR0000AA0R     ,1959,M13,114.5,
23004,CUUR0000AA0R     ,1960,M13,112.7,
23017,CUUR0000AA0R     ,1961,M13,111.6,
23030,CUUR0000AA0R     ,1962,M13,110.4,
23043,CUUR0000AA0R     ,1963,M13,109.1,
23056,CUUR0000AA0R     ,1964,M13,107.6,
23069,CUUR0000AA0R     ,1965,M13,105.8,
23082,CUUR0000AA0R     ,1966,M13,102.9,
23095,CUUR0000AA0R     ,1967,M13,100.0,
23108,CUUR0000AA0R     ,1968,M13,96.0,
23121,CUUR0000AA0R     ,1969,M13,91.1,
23134,CUUR0000AA0R     ,1970,M13,86.0,
23147,CUUR0000AA0R     ,1971,M13,82.4,
23160,CUUR0000AA0R     ,1972,M13,79.9,
23173,CUUR0000AA0R     ,1973,M13,75.2,
23186,CUUR0000AA0R     ,1974,M13,67.8,
23199,CUUR0000AA0R     ,1975,M13,62.1,
23212,CUUR0000AA0R     ,1976,M13,58.7,
23225,CUUR0000AA0R     ,1977,M13,55.1,
23238,CUUR0000AA0R     ,1978,M13,51.2,
23251,CUUR0000AA0R     ,1979,M13,46.1,
23264,CUUR0000AA0R     ,1980,M13,40.6,
23277,CUUR0000AA0R     ,1981,M13,36.7,
23290,CUUR0000AA0R     ,1982,M13,34.6,
23303,CUUR0000AA0R     ,1983,M13,33.5,
23316,CUUR0000AA0R     ,1984,M13,32.1,
23329,CUUR0000AA0R     ,1985,M13,31.0,
23342,CUUR0000AA0R     ,1986,M13,30.5,
23355,CUUR0000AA0R     ,1987,M13,29.4,
23368,CUUR0000AA0R     ,1988,M13,28.2,
23381,CUUR0000AA0R     ,1989,M13,26.9,
23394,CUUR0000AA0R     ,1990,M13,25.6,
23407,CUUR0000AA0R     ,1991,M13,24.5,
23420,CUUR0000AA0R     ,1992,M13,23.8,
23433,CUUR0000AA0R     ,1993,M13,23.1,
23446,CUUR0000AA0R     ,1994,M13,22.5,
23459,CUUR0000AA0R     ,1995,M13,21.9,
23472,CUUR0000AA0R     ,1996,M13,21.3,
23485,CUUR0000AA0R     ,1997,M13,20.8,
23498,CUUR0000AA0R     ,1998,M13,20.5,
23511,CUUR0000AA0R     ,1999,M13,20.0,
23524,CUUR0000AA0R     ,2000,M13,19.4,
23537,CUUR0000AA0R     ,2001,M13,18.9,
23550,CUUR0000AA0R     ,2002,M13,18.6,
23563,CUUR0000AA0R     ,2003,M13,18.2,
23576,CUUR0000AA0R     ,2004,M13,17.7,
23589,CUUR0000AA0R     ,2005,M13,17.1,
23602,CUUR0000AA0R     ,2006,M13,16.6,
23615,CUUR0000AA0R     ,2007,M13,16.1,
23628,CUUR0000AA0R     ,2008,M13,15.5,
23641,CUUR0000AA0R     ,2009,M13,15.6,
23654,CUUR0000AA0R     ,2010,M13,15.3,
23667,CUUR0000AA0R     ,2011,M13,14.8,
23680,CUUR0000AA0R     ,2012,M13,14.5,
23693,CUUR0000AA0R     ,2013,M13,14.3,
23706,CUUR0000AA0R     ,2014,M13,14.1,
23719,CUUR0000AA0R     ,2015,M13,14.1,
23732,CUUR0000AA0R     ,2016,M13,13.9,
23745,CUUR0000AA0R     ,2017,M13,13.6,
23758,CUUR0000AA0R     ,2018,M13,13.3,
23771,CUUR0000AA0R     ,2019,M13,13.1,
23784,CUUR0000AA0R     ,2020,M13,12.9,
23797,CUUR0000AA0R     ,2021,M13,12.3,
23813,CUUR0000SA0      ,1913,M13,9.9,
23826,CUUR0000SA0      ,1914,M13,10.0,
23839,CUUR0000SA0      ,1915,M13,10.1,
23852,CUUR0000SA0      ,1916,M13,10.9,
23865,CUUR0000SA0      ,1917,M13,12.8,
23878,CUUR0000SA0      ,1918,M13,15.1,
23891,CUUR0000SA0      ,1919,M13,17.3,
23904,CUUR0000SA0      ,1920,M13,20.0,
23917,CUUR0000SA0      ,1921,M13,17.9,
23930,CUUR0000SA0      ,1922,M13,16.8,
23943,CUUR0000SA0      ,1923,M13,17.1,
23956,CUUR0000SA0      ,1924,M13,17.1,
23969,CUUR0000SA0      ,1925,M13,17.5,
23982,CUUR0000SA0      ,1926,M13,17.7,
23995,CUUR0000SA0      ,1927,M13,17.4,
24008,CUUR0000SA0      ,1928,M13,17.1,
24021,CUUR0000SA0      ,1929,M13,17.1,
24034,CUUR0000SA0      ,1930,M13,16.7,
24047,CUUR0000SA0      ,1931,M13,15.2,
24060,CUUR0000SA0      ,1932,M13,13.7,
24073,CUUR0000SA0      ,1933,M13,13.0,
24086,CUUR0000SA0      ,1934,M13,13.4,
24099,CUUR0000SA0      ,1935,M13,13.7,
24112,CUUR0000SA0      ,1936,M13,13.9,
24125,CUUR0000SA0      ,1937,M13,14.4,
24138,CUUR0000SA0      ,1938,M13,14.1,
24151,CUUR0000SA0      ,1939,M13,13.9,
24164,CUUR0000SA0      ,1940,M13,14.0,
24177,CUUR0000SA0      ,1941,M13,14.7,
24190,CUUR0000SA0      ,1942,M13,16.3,
24203,CUUR0000SA0      ,1943,M13,17.3,
24216,CUUR0000SA0      ,1944,M13,17.6,
24229,CUUR0000SA0      ,1945,M13,18.0,
24242,CUUR0000SA0      ,1946,M13,19.5,
24255,CUUR0000SA0      ,1947,M13,22.3,
24268,CUUR0000SA0      ,1948,M13,24.1,
24281,CUUR0000SA0      ,1949,M13,23.8,
24294,CUUR0000SA0      ,1950,M13,24.1,
24307,CUUR0000SA0      ,1951,M13,26.0,
24320,CUUR0000SA0      ,1952,M13,26.5,
24333,CUUR0000SA0      ,1953,M13,26.7,
24346,CUUR0000SA0      ,1954,M13,26.9,
