,series_id,year,period,value,footnote_codes
0,CUURA210AA0      ,1914,M12,27.9,
1,CUURA210AA0      ,1915,M12,28.3,
3,CUURA210AA0      ,1916,M12,32.5,
5,CUURA210AA0      ,1917,M12,38.6,
7,CUURA210AA0      ,1918,M12,46.3,
9,CUURA210AA0      ,1919,M06,48.4,
10,CUURA210AA0      ,1919,M12,54.0,
12,CUURA210AA0      ,1920,M06,61.0,
13,CUURA210AA0      ,1920,M12,57.8,
15,CUURA210AA0      ,1921,M05,53.1,
16,CUURA210AA0      ,1921,M09,51.9,
17,CUURA210AA0      ,1921,M12,50.8,
19,CUURA210AA0      ,1922,M03,48.2,
20,CUURA210AA0      ,1922,M06,48.4,
21,CUURA210AA0      ,1922,M09,47.8,
22,CUURA210AA0      ,1922,M12,49.0,
24,CUURA210AA0      ,1923,M03,49.2,
25,CUURA210AA0      ,1923,M06,50.5,
26,CUURA210AA0      ,1923,M09,51.2,
27,CUURA210AA0      ,1923,M12,50.8,
29,CUURA210AA0      ,1924,M03,50.4,
30,CUURA210AA0      ,1924,M06,50.1,
31,CUURA210AA0      ,1924,M09,50.4,
32,CUURA210AA0      ,1924,M12,50.3,
34,CUURA210AA0      ,1925,M06,51.5,
35,CUURA210AA0      ,1925,M12,51.9,
37,CUURA210AA0      ,1926,M06,52.0,
38,CUURA210AA0      ,1926,M12,51.6,
40,CUURA210AA0      ,1927,M06,51.7,
41,CUURA210AA0      ,1927,M12,50.3,
43,CUURA210AA0      ,1928,M06,50.2,
44,CUURA210AA0      ,1928,M12,49.6,
46,CUURA210AA0      ,1929,M06,50.0,
47,CUURA210AA0      ,1929,M12,49.4,
49,CUURA210AA0      ,1930,M06,49.4,
50,CUURA210AA0      ,1930,M12,46.9,
52,CUURA210AA0      ,1931,M06,43.7,
53,CUURA210AA0      ,1931,M12,42.0,
55,CUURA210AA0      ,1932,M06,39.9,
56,CUURA210AA0      ,1932,M12,37.9,
58,CUURA210AA0      ,1933,M06,37.3,
59,CUURA210AA0      ,1933,M12,38.3,
61,CUURA210AA0      ,1934,M06,39.1,
62,CUURA210AA0      ,1934,M11,39.2,
64,CUURA210AA0      ,1935,M03,40.6,
65,CUURA210AA0      ,1935,M07,40.6,
66,CUURA210AA0      ,1935,M10,40.8,
68,CUURA210AA0      ,1936,M01,40.7,
69,CUURA210AA0      ,1936,M04,40.5,
70,CUURA210AA0      ,1936,M07,41.3,
71,CUURA210AA0      ,1936,M09,41.9,
72,CUURA210AA0      ,1936,M12,41.2,
74,CUURA210AA0      ,1937,M03,42.1,
75,CUURA210AA0      ,1937,M06,43.0,
76,CUURA210AA0      ,1937,M09,43.7,
77,CUURA210AA0      ,1937,M12,43.0,
79,CUURA210AA0      ,1938,M03,42.2,
80,CUURA210AA0      ,1938,M06,42.6,
81,CUURA210AA0      ,1938,M09,42.6,
82,CUURA210AA0      ,1938,M12,42.4,
84,CUURA210AA0      ,1939,M03,42.2,
85,CUURA210AA0      ,1939,M06,42.2,
86,CUURA210AA0      ,1939,M09,42.6,
87,CUURA210AA0      ,1939,M12,42.2,
89,CUURA210AA0      ,1940,M03,42.2,
90,CUURA210AA0      ,1940,M06,42.5,
91,CUURA210AA0      ,1940,M09,42.8,
92,CUURA210AA0      ,1940,M10,42.5,
93,CUURA210AA0      ,1940,M11,42.3,
94,CUURA210AA0      ,1940,M12,42.7,
96,CUURA210AA0      ,1941,M01,42.7,
97,CUURA210AA0      ,1941,M02,42.8,
98,CUURA210AA0      ,1941,M03,43.0,
99,CUURA210AA0      ,1941,M04,43.4,
100,CUURA210AA0      ,1941,M05,43.7,
101,CUURA210AA0      ,1941,M06,44.5,
102,CUURA210AA0      ,1941,M07,44.8,
103,CUURA210AA0      ,1941,M08,45.6,
104,CUURA210AA0      ,1941,M09,46.4,
105,CUURA210AA0      ,1941,M10,46.8,
106,CUURA210AA0      ,1941,M11,47.3,
107,CUURA210AA0      ,1941,M12,47.4,
109,CUURA210AA0      ,1942,M01,48.0,
110,CUURA210AA0      ,1942,M02,48.2,
111,CUURA210AA0      ,1942,M03,49.0,
112,CUURA210AA0      ,1942,M04,49.3,
113,CUURA210AA0      ,1942,M05,49.7,
114,CUURA210AA0      ,1942,M06,50.0,
115,CUURA210AA0      ,1942,M07,50.0,
116,CUURA210AA0      ,1942,M08,49.8,
117,CUURA210AA0      ,1942,M09,50.0,
118,CUURA210AA0      ,1942,M10,50.8,
119,CUURA210AA0      ,1942,M11,51.1,
120,CUURA210AA0      ,1942,M12,51.5,
