,series_id,year,period,value,footnote_codes
214339,CUUS0300AA0      ,1984,S01,166.8,
214340,CUUS0300AA0      ,1984,S02,169.9,
214342,CUUS0300AA0      ,1985,S01,172.4,
214343,CUUS0300AA0      ,1985,S02,175.3,
214345,CUUS0300AA0      ,1986,S01,176.0,
214346,CUUS0300AA0      ,1986,S02,177.1,
214348,CUUS0300AA0      ,1987,S01,180.5,
214349,CUUS0300AA0      ,1987,S02,184.1,
214351,CUUS0300AA0      ,1988,S01,186.7,
214352,CUUS0300AA0      ,1988,S02,191.0,
214354,CUUS0300AA0      ,1989,S01,195.1,
214355,CUUS0300AA0      ,1989,S02,199.0,
214357,CUUS0300AA0      ,1990,S01,204.3,
214358,CUUS0300AA0      ,1990,S02,210.5,
214360,CUUS0300AA0      ,1991,S01,214.3,
214361,CUUS0300AA0      ,1991,S02,217.1,
214363,CUUS0300AA0      ,1992,S01,220.0,
214364,CUUS0300AA0      ,1992,S02,223.1,
214366,CUUS0300AA0      ,1993,S01,226.9,
214367,CUUS0300AA0      ,1993,S02,230.0,
214369,CUUS0300AA0      ,1994,S01,233.0,
214370,CUUS0300AA0      ,1994,S02,236.4,
214372,CUUS0300AA0      ,1995,S01,240.2,
214373,CUUS0300AA0      ,1995,S02,243.3,
214375,CUUS0300AA0      ,1996,S01,247.6,
214376,CUUS0300AA0      ,1996,S02,250.8,
214378,CUUS0300AA0      ,1997,S01,253.8,
214379,CUUS0300AA0      ,1997,S02,255.3,
214381,CUUS0300AA0      ,1998,S01,256.8,
214382,CUUS0300AA0      ,1998,S02,258.8,
214384,CUUS0300AA0      ,1999,S01,261.0,
214385,CUUS0300AA0      ,1999,S02,264.6,
214387,CUUS0300AA0      ,2000,S01,269.4,
214388,CUUS0300AA0      ,2000,S02,273.1,
214390,CUUS0300AA0      ,2001,S01,277.3,
214391,CUUS0300AA0      ,2001,S02,278.0,
214393,CUUS0300AA0      ,2002,S01,279.4,
214394,CUUS0300AA0      ,2002,S02,282.8,
214396,CUUS0300AA0      ,2003,S01,286.7,
214397,CUUS0300AA0      ,2003,S02,288.4,
214399,CUUS0300AA0      ,2004,S01,292.9,
214400,CUUS0300AA0      ,2004,S02,297.1,
214402,CUUS0300AA0      ,2005,S01,301.9,
214403,CUUS0300AA0      ,2005,S02,309.1,
214405,CUUS0300AA0      ,2006,S01,314.4,
214406,CUUS0300AA0      ,2006,S02,317.3,
214408,CUUS0300AA0      ,2007,S01,321.987,
214409,CUUS0300AA0      ,2007,S02,328.04,
214411,CUUS0300AA0      ,2008,S01,337.043,
214412,CUUS0300AA0      ,2008,S02,339.976,
214414,CUUS0300AA0      ,2009,S01,334.944,
214415,CUUS0300AA0      ,2009,S02,339.362,
214417,CUUS0300AA0      ,2010,S01,342.13,
214418,CUUS0300AA0      ,2010,S02,343.51,
214420,CUUS0300AA0      ,2011,S01,352.409,
214421,CUUS0300AA0      ,2011,S02,356.85,
214423,CUUS0300AA0      ,2012,S01,361.264,
214424,CUUS0300AA0      ,2012,S02,362.996,
214426,CUUS0300AA0      ,2013,S01,366.623,
214427,CUUS0300AA0      ,2013,S02,368.922,
214429,CUUS0300AA0      ,2014,S01,373.581,
214430,CUUS0300AA0      ,2014,S02,374.393,
214432,CUUS0300AA0      ,2015,S01,372.282,
214433,CUUS0300AA0      ,2015,S02,374.377,
