,series_id,year,period,value,footnote_codes
0,CWSR0000SAH      ,1967,M01,30.7,
1,CWSR0000SAH      ,1967,M02,30.8,
2,CWSR0000SAH      ,1967,M03,30.8,
3,CWSR0000SAH      ,1967,M04,30.8,
4,CWSR0000SAH      ,1967,M05,30.9,
5,CWSR0000SAH      ,1967,M06,31.0,
6,CWSR0000SAH      ,1967,M07,31.1,
7,CWSR0000SAH      ,1967,M08,31.2,
8,CWSR0000SAH      ,1967,M09,31.2,
9,CWSR0000SAH      ,1967,M10,31.3,
10,CWSR0000SAH      ,1967,M11,31.4,
11,CWSR0000SAH      ,1967,M12,31.5,
12,CWSR0000SAH      ,1968,M01,31.6,
13,CWSR0000SAH      ,1968,M02,31.7,
14,CWSR0000SAH      ,1968,M03,31.8,
15,CWSR0000SAH      ,1968,M04,31.9,
16,CWSR0000SAH      ,1968,M05,32.0,
17,CWSR0000SAH      ,1968,M06,32.2,
18,CWSR0000SAH      ,1968,M07,32.4,
19,CWSR0000SAH      ,1968,M08,32.6,
20,CWSR0000SAH      ,1968,M09,32.6,
21,CWSR0000SAH      ,1968,M10,32.8,
22,CWSR0000SAH      ,1968,M11,33.0,
23,CWSR0000SAH      ,1968,M12,33.1,
24,CWSR0000SAH      ,1969,M01,33.3,
25,CWSR0000SAH      ,1969,M02,33.4,
26,CWSR0000SAH      ,1969,M03,33.7,
27,CWSR0000SAH      ,1969,M04,33.9,
28,CWSR0000SAH      ,1969,M05,34.0,
29,CWSR0000SAH      ,1969,M06,34.2,
30,CWSR0000SAH      ,1969,M07,34.4,
31,CWSR0000SAH      ,1969,M08,34.6,
32,CWSR0000SAH      ,1969,M09,34.8,
33,CWSR0000SAH      ,1969,M10,34.9,
34,CWSR0000SAH      ,1969,M11,35.1,
35,CWSR0000SAH      ,1969,M12,35.3,
36,CWSR0000SAH      ,1970,M01,35.4,
37,CWSR0000SAH      ,1970,M02,35.7,
38,CWSR0000SAH      ,1970,M03,36.1,
39,CWSR0000SAH      ,1970,M04,36.3,
40,CWSR0000SAH      ,1970,M05,36.5,
41,CWSR0000SAH      ,1970,M06,36.6,
42,CWSR0000SAH      ,1970,M07,36.7,
43,CWSR0000SAH      ,1970,M08,37.0,
44,CWSR0000SAH      ,1970,M09,37.2,
45,CWSR0000SAH      ,1970,M10,37.4,
46,CWSR0000SAH      ,1970,M11,37.6,
47,CWSR0000SAH      ,1970,M12,37.8,
48,CWSR0000SAH      ,1971,M01,37.8,
49,CWSR0000SAH      ,1971,M02,37.8,
50,CWSR0000SAH      ,1971,M03,37.7,
51,CWSR0000SAH      ,1971,M04,37.8,
52,CWSR0000SAH      ,1971,M05,38.0,
53,CWSR0000SAH      ,1971,M06,38.2,
54,CWSR0000SAH      ,1971,M07,38.4,
55,CWSR0000SAH      ,1971,M08,38.6,
56,CWSR0000SAH      ,1971,M09,38.7,
57,CWSR0000SAH      ,1971,M10,38.8,
58,CWSR0000SAH      ,1971,M11,38.9,
59,CWSR0000SAH      ,1971,M12,39.1,
60,CWSR0000SAH      ,1972,M01,39.2,
61,CWSR0000SAH      ,1972,M02,39.3,
62,CWSR0000SAH      ,1972,M03,39.4,
63,CWSR0000SAH      ,1972,M04,39.5,
64,CWSR0000SAH      ,1972,M05,39.6,
65,CWSR0000SAH      ,1972,M06,39.7,
66,CWSR0000SAH      ,1972,M07,39.9,
67,CWSR0000SAH      ,1972,M08,40.0,
68,CWSR0000SAH      ,1972,M09,40.1,
69,CWSR0000SAH      ,1972,M10,40.2,
70,CWSR0000SAH      ,1972,M11,40.3,
71,CWSR0000SAH      ,1972,M12,40.4,
72,CWSR0000SAH      ,1973,M01,40.5,
73,CWSR0000SAH      ,1973,M02,40.6,
74,CWSR0000SAH      ,1973,M03,40.7,
75,CWSR0000SAH      ,1973,M04,40.8,
76,CWSR0000SAH      ,1973,M05,41.0,
77,CWSR0000SAH      ,1973,M06,41.2,
78,CWSR0000SAH      ,1973,M07,41.3,
79,CWSR0000SAH      ,1973,M08,41.6,
80,CWSR0000SAH      ,1973,M09,42.0,
81,CWSR0000SAH      ,1973,M10,42.5,
82,CWSR0000SAH      ,1973,M11,42.8,
83,CWSR0000SAH      ,1973,M12,43.2,
84,CWSR0000SAH      ,1974,M01,43.7,
85,CWSR0000SAH      ,1974,M02,44.0,
86,CWSR0000SAH      ,1974,M03,44.4,
