,series_id,year,period,value,footnote_codes
10839,CWUR0000SAT      ,1935,M13,14.1,
10845,CWUR0000SAT      ,1936,M13,14.2,
10850,CWUR0000SAT      ,1937,M13,14.5,
10855,CWUR0000SAT      ,1938,M13,14.6,
10860,CWUR0000SAT      ,1939,M13,14.2,
10865,CWUR0000SAT      ,1940,M13,14.1,
10870,CWUR0000SAT      ,1941,M13,14.6,
10875,CWUR0000SAT      ,1942,M13,15.9,
10880,CWUR0000SAT      ,1943,M13,15.8,
10885,CWUR0000SAT      ,1944,M13,15.8,
10890,CWUR0000SAT      ,1945,M13,15.8,
10895,CWUR0000SAT      ,1946,M13,16.6,
10908,CWUR0000SAT      ,1947,M13,18.4,
10921,CWUR0000SAT      ,1948,M13,20.4,
10934,CWUR0000SAT      ,1949,M13,22.0,
10947,CWUR0000SAT      ,1950,M13,22.6,
10960,CWUR0000SAT      ,1951,M13,24.0,
10973,CWUR0000SAT      ,1952,M13,25.6,
10986,CWUR0000SAT      ,1953,M13,26.3,
10999,CWUR0000SAT      ,1954,M13,25.9,
11012,CWUR0000SAT      ,1955,M13,25.6,
11025,CWUR0000SAT      ,1956,M13,26.1,
11038,CWUR0000SAT      ,1957,M13,27.6,
11051,CWUR0000SAT      ,1958,M13,28.4,
11064,CWUR0000SAT      ,1959,M13,29.6,
11077,CWUR0000SAT      ,1960,M13,29.6,
11090,CWUR0000SAT      ,1961,M13,30.0,
11103,CWUR0000SAT      ,1962,M13,30.6,
11116,CWUR0000SAT      ,1963,M13,30.8,
11129,CWUR0000SAT      ,1964,M13,31.2,
11142,CWUR0000SAT      ,1965,M13,31.7,
11155,CWUR0000SAT      ,1966,M13,32.2,
11168,CWUR0000SAT      ,1967,M13,33.1,
11181,CWUR0000SAT      ,1968,M13,34.1,
11194,CWUR0000SAT      ,1969,M13,35.5,
11207,CWUR0000SAT      ,1970,M13,37.3,
11220,CWUR0000SAT      ,1971,M13,39.2,
11233,CWUR0000SAT      ,1972,M13,39.7,
11246,CWUR0000SAT      ,1973,M13,41.0,
11259,CWUR0000SAT      ,1974,M13,45.5,
11272,CWUR0000SAT      ,1975,M13,49.8,
11285,CWUR0000SAT      ,1976,M13,54.7,
11298,CWUR0000SAT      ,1977,M13,58.6,
11311,CWUR0000SAT      ,1978,M13,61.5,
11324,CWUR0000SAT      ,1979,M13,70.4,
11337,CWUR0000SAT      ,1980,M13,82.9,
