,series_id,year,period,value,footnote_codes
36360,CWUS0000SAT      ,1984,S01,102.9,
36361,CWUS0000SAT      ,1984,S02,104.8,
36363,CWUS0000SAT      ,1985,S01,105.9,
36364,CWUS0000SAT      ,1985,S02,106.9,
36366,CWUS0000SAT      ,1986,S01,103.3,
36367,CWUS0000SAT      ,1986,S02,100.2,
36369,CWUS0000SAT      ,1987,S01,103.4,
36370,CWUS0000SAT      ,1987,S02,106.7,
36372,CWUS0000SAT      ,1988,S01,107.0,
36373,CWUS0000SAT      ,1988,S02,109.7,
36375,CWUS0000SAT      ,1989,S01,113.3,
36376,CWUS0000SAT      ,1989,S02,114.5,
36378,CWUS0000SAT      ,1990,S01,116.8,
36379,CWUS0000SAT      ,1990,S02,123.3,
36381,CWUS0000SAT      ,1991,S01,122.6,
36382,CWUS0000SAT      ,1991,S02,123.6,
36384,CWUS0000SAT      ,1992,S01,124.3,
36385,CWUS0000SAT      ,1992,S02,127.3,
36387,CWUS0000SAT      ,1993,S01,128.5,
36388,CWUS0000SAT      ,1993,S02,130.2,
36390,CWUS0000SAT      ,1994,S01,131.2,
36391,CWUS0000SAT      ,1994,S02,135.6,
36393,CWUS0000SAT      ,1995,S01,138.5,
36394,CWUS0000SAT      ,1995,S02,139.0,
36396,CWUS0000SAT      ,1996,S01,142.0,
36397,CWUS0000SAT      ,1996,S02,143.6,
36399,CWUS0000SAT      ,1997,S01,144.1,
36400,CWUS0000SAT      ,1997,S02,143.2,
36402,CWUS0000SAT      ,1998,S01,140.8,
36403,CWUS0000SAT      ,1998,S02,140.2,
36405,CWUS0000SAT      ,1999,S01,140.8,
36406,CWUS0000SAT      ,1999,S02,146.0,
36408,CWUS0000SAT      ,2000,S01,151.7,
36409,CWUS0000SAT      ,2000,S02,154.0,
36411,CWUS0000SAT      ,2001,S01,155.8,
36412,CWUS0000SAT      ,2001,S02,151.5,
36414,CWUS0000SAT      ,2002,S01,150.3,
36415,CWUS0000SAT      ,2002,S02,153.3,
36417,CWUS0000SAT      ,2003,S01,157.3,
36418,CWUS0000SAT      ,2003,S02,155.4,
36420,CWUS0000SAT      ,2004,S01,159.6,
36421,CWUS0000SAT      ,2004,S02,163.3,
36423,CWUS0000SAT      ,2005,S01,168.1,
36424,CWUS0000SAT      ,2005,S02,177.8,
36426,CWUS0000SAT      ,2006,S01,180.8,
36427,CWUS0000SAT      ,2006,S02,179.8,
36429,CWUS0000SAT      ,2007,S01,181.774,
36430,CWUS0000SAT      ,2007,S02,186.914,
36432,CWUS0000SAT      ,2008,S01,199.536,
36433,CWUS0000SAT      ,2008,S02,191.849,
36435,CWUS0000SAT      ,2009,S01,169.749,
36436,CWUS0000SAT      ,2009,S02,183.71,
36438,CWUS0000SAT      ,2010,S01,191.372,
36439,CWUS0000SAT      ,2010,S02,193.749,
36441,CWUS0000SAT      ,2011,S01,212.33,
36442,CWUS0000SAT      ,2011,S02,214.263,
36444,CWUS0000SAT      ,2012,S01,219.269,
36445,CWUS0000SAT      ,2012,S02,218.229,
36447,CWUS0000SAT      ,2013,S01,219.534,
36448,CWUS0000SAT      ,2013,S02,217.122,
36450,CWUS0000SAT      ,2014,S01,219.979,
36451,CWUS0000SAT      ,2014,S02,212.796,
36453,CWUS0000SAT      ,2015,S01,198.475,
36454,CWUS0000SAT      ,2015,S02,197.094,
36456,CWUS0000SAT      ,2016,S01,191.661,
36457,CWUS0000SAT      ,2016,S02,194.223,
36459,CWUS0000SAT      ,2017,S01,199.06,
36460,CWUS0000SAT      ,2017,S02,201.347,
36462,CWUS0000SAT      ,2018,S01,209.689,
36463,CWUS0000SAT      ,2018,S02,211.247,
36465,CWUS0000SAT      ,2019,S01,209.145,
36466,CWUS0000SAT      ,2019,S02,209.997,
36468,CWUS0000SAT      ,2020,S01,199.009,
36469,CWUS0000SAT      ,2020,S02,202.476,
36471,CWUS0000SAT      ,2021,S01,221.919,
36472,CWUS0000SAT      ,2021,S02,245.724,
36474,CWUS0000SAT1     ,1984,S01,102.8,
36475,CWUS0000SAT1     ,1984,S02,104.6,
36477,CWUS0000SAT1     ,1985,S01,105.7,
