,series_id,year,period,value,footnote_codes
3547,CWUR0000SAG      ,1967,M13,35.4,
3560,CWUR0000SAG      ,1968,M13,37.2,
3573,CWUR0000SAG      ,1969,M13,39.1,
3586,CWUR0000SAG      ,1970,M13,41.3,
3599,CWUR0000SAG      ,1971,M13,43.3,
3612,CWUR0000SAG      ,1972,M13,45.1,
3625,CWUR0000SAG      ,1973,M13,46.9,
3638,CWUR0000SAG      ,1974,M13,50.2,
3651,CWUR0000SAG      ,1975,M13,54.4,
3664,CWUR0000SAG      ,1976,M13,57.6,
3677,CWUR0000SAG      ,1977,M13,60.9,
3690,CWUR0000SAG      ,1978,M13,64.8,
3703,CWUR0000SAG      ,1979,M13,69.4,
3716,CWUR0000SAG      ,1980,M13,75.6,
3729,CWUR0000SAG      ,1981,M13,82.5,
3742,CWUR0000SAG      ,1982,M13,90.9,
3755,CWUR0000SAG      ,1983,M13,101.3,
3768,CWUR0000SAG      ,1984,M13,107.9,
3781,CWUR0000SAG      ,1985,M13,114.2,
3794,CWUR0000SAG      ,1986,M13,120.9,
3807,CWUR0000SAG      ,1987,M13,127.8,
3820,CWUR0000SAG      ,1988,M13,136.5,
3833,CWUR0000SAG      ,1989,M13,147.4,
3846,CWUR0000SAG      ,1990,M13,158.9,
3859,CWUR0000SAG      ,1991,M13,171.7,
3872,CWUR0000SAG      ,1992,M13,183.3,
3885,CWUR0000SAG      ,1993,M13,192.2,
3898,CWUR0000SAG      ,1994,M13,196.4,
3911,CWUR0000SAG      ,1995,M13,204.2,
3924,CWUR0000SAG      ,1996,M13,212.2,
3937,CWUR0000SAG      ,1997,M13,221.6,
3950,CWUR0000SAG      ,1998,M13,236.1,
3963,CWUR0000SAG      ,1999,M13,261.9,
3976,CWUR0000SAG      ,2000,M13,276.5,
3989,CWUR0000SAG      ,2001,M13,289.5,
4002,CWUR0000SAG      ,2002,M13,302.0,
4015,CWUR0000SAG      ,2003,M13,307.0,
4028,CWUR0000SAG      ,2004,M13,312.6,
4041,CWUR0000SAG      ,2005,M13,322.2,
4054,CWUR0000SAG      ,2006,M13,330.9,
4067,CWUR0000SAG      ,2007,M13,344.004,
4080,CWUR0000SAG      ,2008,M13,357.906,
4093,CWUR0000SAG      ,2009,M13,391.628,
4106,CWUR0000SAG      ,2010,M13,409.278,
4119,CWUR0000SAG      ,2011,M13,416.899,
4132,CWUR0000SAG      ,2012,M13,424.739,
4145,CWUR0000SAG      ,2013,M13,432.64,
4158,CWUR0000SAG      ,2014,M13,440.938,
4171,CWUR0000SAG      ,2015,M13,449.454,
4184,CWUR0000SAG      ,2016,M13,459.454,
4197,CWUR0000SAG      ,2017,M13,471.454,
4210,CWUR0000SAG      ,2018,M13,482.444,
4223,CWUR0000SAG      ,2019,M13,494.17,
4236,CWUR0000SAG      ,2020,M13,507.613,
4249,CWUR0000SAG      ,2021,M13,525.938,
4255,CWUR0000SAG1     ,1935,M13,14.3,
4256,CWUR0000SAG1     ,1936,M13,14.5,
4257,CWUR0000SAG1     ,1937,M13,15.3,
4258,CWUR0000SAG1     ,1938,M13,15.6,
4259,CWUR0000SAG1     ,1939,M13,15.6,
4260,CWUR0000SAG1     ,1940,M13,15.6,
4261,CWUR0000SAG1     ,1941,M13,16.0,
4262,CWUR0000SAG1     ,1942,M13,17.5,
4263,CWUR0000SAG1     ,1943,M13,19.3,
4264,CWUR0000SAG1     ,1944,M13,20.7,
4265,CWUR0000SAG1     ,1945,M13,21.3,
4266,CWUR0000SAG1     ,1946,M13,22.8,
4279,CWUR0000SAG1     ,1947,M13,25.6,
4292,CWUR0000SAG1     ,1948,M13,26.5,
4305,CWUR0000SAG1     ,1949,M13,26.4,
4318,CWUR0000SAG1     ,1950,M13,26.4,
4331,CWUR0000SAG1     ,1951,M13,28.9,
4344,CWUR0000SAG1     ,1952,M13,29.3,
4357,CWUR0000SAG1     ,1953,M13,29.5,
4370,CWUR0000SAG1     ,1954,M13,29.7,
4383,CWUR0000SAG1     ,1955,M13,30.2,
4396,CWUR0000SAG1     ,1956,M13,31.4,
4409,CWUR0000SAG1     ,1957,M13,32.6,
4422,CWUR0000SAG1     ,1958,M13,33.6,
4435,CWUR0000SAG1     ,1959,M13,34.3,
4448,CWUR0000SAG1     ,1960,M13,34.9,
4461,CWUR0000SAG1     ,1961,M13,35.1,
4474,CWUR0000SAG1     ,1962,M13,35.7,
4487,CWUR0000SAG1     ,1963,M13,36.2,
4500,CWUR0000SAG1     ,1964,M13,36.6,
4513,CWUR0000SAG1     ,1965,M13,36.9,
4526,CWUR0000SAG1     ,1966,M13,37.6,
4539,CWUR0000SAG1     ,1967,M13,38.7,
4552,CWUR0000SAG1     ,1968,M13,40.3,
4565,CWUR0000SAG1     ,1969,M13,42.3,
4578,CWUR0000SAG1     ,1970,M13,43.8,
4591,CWUR0000SAG1     ,1971,M13,45.2,
4604,CWUR0000SAG1     ,1972,M13,46.4,
4617,CWUR0000SAG1     ,1973,M13,48.5,
4630,CWUR0000SAG1     ,1974,M13,53.2,
4643,CWUR0000SAG1     ,1975,M13,58.3,
4656,CWUR0000SAG1     ,1976,M13,62.1,
4669,CWUR0000SAG1     ,1977,M13,66.2,
4682,CWUR0000SAG1     ,1978,M13,70.5,
4695,CWUR0000SAG1     ,1979,M13,75.7,
4708,CWUR0000SAG1     ,1980,M13,82.4,
4721,CWUR0000SAG1     ,1981,M13,89.0,
4734,CWUR0000SAG1     ,1982,M13,95.4,
4747,CWUR0000SAG1     ,1983,M13,100.3,
4760,CWUR0000SAG1     ,1984,M13,104.3,
4773,CWUR0000SAG1     ,1985,M13,108.3,
4786,CWUR0000SAG1     ,1986,M13,111.9,
4799,CWUR0000SAG1     ,1987,M13,115.0,
4812,CWUR0000SAG1     ,1988,M13,119.3,
4825,CWUR0000SAG1     ,1989,M13,124.8,
4838,CWUR0000SAG1     ,1990,M13,130.2,
4851,CWUR0000SAG1     ,1991,M13,134.7,
4864,CWUR0000SAG1     ,1992,M13,138.6,
4877,CWUR0000SAG1     ,1993,M13,141.6,
4890,CWUR0000SAG1     ,1994,M13,144.8,
4903,CWUR0000SAG1     ,1995,M13,147.3,
4916,CWUR0000SAG1     ,1996,M13,150.1,
4929,CWUR0000SAG1     ,1997,M13,152.6,
4942,CWUR0000SAG1     ,1998,M13,156.8,
4955,CWUR0000SAG1     ,1999,M13,161.3,
4968,CWUR0000SAG1     ,2000,M13,165.5,
4981,CWUR0000SAG1     ,2001,M13,170.3,
