index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
JTU000000000000000HIL         ,JTU000000000000000HIL         ,0,L,2000-M12,2022-M04,62569.0,58199.0,56852.0,60525.0,63697.0,64873.0,63864.0,56407.0,46750.0,49655.0,51655.0,53343.0,54947.0,58955.0,62589.0,63743.0,65585.0,68556.0,69911.0,72635.0,75550.0
JTU000000000000000HIR         ,JTU000000000000000HIR         ,0,R,2000-M12,2022-M04,47.4,44.5,43.6,45.9,47.5,47.5,46.3,41.1,35.6,38.1,39.2,39.8,40.3,42.4,44.1,44.2,44.7,46.0,46.3,51.1,51.7
JTU000000MW0000000HIL         ,JTU000000MW0000000HIL         ,0,L,2000-M12,2022-M04,14940.0,13401.0,12417.0,13184.0,13768.0,13843.0,14136.0,12517.0,10086.0,11427.0,12009.0,11996.0,12070.0,13202.0,13928.0,14342.0,14331.0,15187.0,14878.0,15810.0,16479.0
JTU000000MW0000000HIR         ,JTU000000MW0000000HIR         ,0,R,2000-M12,2022-M04,47.5,43.2,40.4,42.8,44.3,44.3,45.0,40.1,33.9,38.6,40.1,39.5,39.3,42.5,44.1,44.9,44.4,46.8,45.5,51.3,52.1
JTU000000NE0000000HIL         ,JTU000000NE0000000HIL         ,0,L,2000-M12,2022-M04,10677.0,9585.0,9643.0,10627.0,10637.0,10387.0,10116.0,9219.0,8514.0,8912.0,8730.0,8791.0,8813.0,8975.0,9911.0,10198.0,10479.0,10488.0,10853.0,11653.0,11366.0
JTU000000NE0000000HIR         ,JTU000000NE0000000HIR         ,0,R,2000-M12,2022-M04,42.1,38.3,38.8,42.7,42.4,40.9,39.3,35.7,34.1,35.9,34.8,34.8,34.6,34.8,37.9,38.4,38.9,38.5,39.5,45.8,43.8
JTU000000SO0000000HIL         ,JTU000000SO0000000HIL         ,0,L,2000-M12,2022-M04,22801.0,21922.0,21369.0,23117.0,24170.0,25223.0,24883.0,21428.0,17561.0,18503.0,19691.0,20812.0,21524.0,23219.0,24446.0,24410.0,25876.0,27298.0,28247.0,28003.0,30619.0
JTU000000SO0000000HIR         ,JTU000000SO0000000HIR         ,0,R,2000-M12,2022-M04,49.0,47.5,46.2,49.2,50.3,51.3,49.9,43.2,36.9,39.1,41.1,42.7,43.5,45.9,47.3,46.3,48.3,50.0,51.0,53.1,56.2
JTU000000WE0000000HIL         ,JTU000000WE0000000HIL         ,0,L,2000-M12,2022-M04,14152.0,13290.0,13422.0,13598.0,15124.0,15421.0,14726.0,13246.0,10586.0,10814.0,11229.0,11746.0,12542.0,13562.0,14305.0,14794.0,14899.0,15579.0,15930.0,17168.0,17084.0
JTU000000WE0000000HIR         ,JTU000000WE0000000HIR         ,0,R,2000-M12,2022-M04,49.3,46.7,47.0,46.7,50.6,50.4,47.6,43.4,36.6,37.8,38.8,39.3,40.8,43.0,44.2,44.6,44.0,45.0,45.1,51.8,50.2
JTU100000000000000HIL         ,JTU100000000000000HIL         ,100000,L,2000-M12,2022-M04,58463.0,54254.0,53295.0,56673.0,59760.0,60540.0,59431.0,52808.0,43391.0,45749.0,48550.0,49818.0,51519.0,55369.0,58528.0,59500.0,61499.0,64255.0,65505.0,68451.0,71164.0
JTU100000000000000HIR         ,JTU100000000000000HIR         ,100000,R,2000-M12,2022-M04,52.7,49.7,49.0,51.4,53.2,52.9,51.3,46.0,39.9,42.4,44.2,44.4,45.0,47.3,48.8,48.7,49.5,50.8,51.1,56.9,57.3
JTU110099000000000HIL         ,JTU110099000000000HIL         ,110099,L,2000-M12,2022-M04,278.0,230.0,254.0,272.0,289.0,312.0,336.0,379.0,202.0,291.0,337.0,382.0,360.0,393.0,304.0,293.0,371.0,447.0,304.0,199.0,237.0
JTU110099000000000HIR         ,JTU110099000000000HIR         ,110099,R,2000-M12,2022-M04,45.9,39.5,44.4,46.0,46.0,45.6,46.4,49.5,29.1,41.3,42.8,45.0,41.7,44.1,37.4,43.9,54.9,61.5,41.8,33.2,41.8
JTU230000000000000HIL         ,JTU230000000000000HIL         ,230000,L,2000-M12,2022-M04,5582.0,5224.0,5437.0,5559.0,5891.0,5566.0,4985.0,4554.0,3831.0,3995.0,4246.0,4027.0,3933.0,3716.0,3982.0,4059.0,4597.0,4532.0,4994.0,4984.0,4357.0
JTU230000000000000HIR         ,JTU230000000000000HIR         ,230000,R,2000-M12,2022-M04,81.8,77.8,80.7,79.7,80.3,72.4,65.3,63.6,63.7,72.4,76.7,71.3,67.2,60.4,61.6,60.3,66.0,62.2,66.6,68.7,58.8
JTU300000000000000HIL         ,JTU300000000000000HIL         ,300000,L,2000-M12,2022-M04,4870.0,4705.0,4263.0,4630.0,4570.0,4533.0,4523.0,3613.0,2781.0,3156.0,3104.0,3049.0,2966.0,3146.0,3224.0,3351.0,3986.0,4394.0,4052.0,4810.0,5271.0
