,series_id,year,period,value,footnote_codes
45225,JTU000000000000000HIL         ,2001,M13,62569.0,
45238,JTU000000000000000HIL         ,2002,M13,58199.0,
45251,JTU000000000000000HIL         ,2003,M13,56852.0,
45264,JTU000000000000000HIL         ,2004,M13,60525.0,
45277,JTU000000000000000HIL         ,2005,M13,63697.0,
45290,JTU000000000000000HIL         ,2006,M13,64873.0,
45303,JTU000000000000000HIL         ,2007,M13,63864.0,
45316,JTU000000000000000HIL         ,2008,M13,56407.0,
45329,JTU000000000000000HIL         ,2009,M13,46750.0,
45342,JTU000000000000000HIL         ,2010,M13,49655.0,
45355,JTU000000000000000HIL         ,2011,M13,51655.0,
45368,JTU000000000000000HIL         ,2012,M13,53343.0,
45381,JTU000000000000000HIL         ,2013,M13,54947.0,
45394,JTU000000000000000HIL         ,2014,M13,58955.0,
45407,JTU000000000000000HIL         ,2015,M13,62589.0,
45420,JTU000000000000000HIL         ,2016,M13,63743.0,
45433,JTU000000000000000HIL         ,2017,M13,65585.0,
45446,JTU000000000000000HIL         ,2018,M13,68556.0,
45459,JTU000000000000000HIL         ,2019,M13,69911.0,
45472,JTU000000000000000HIL         ,2020,M13,72635.0,
45485,JTU000000000000000HIL         ,2021,M13,75550.0,
45500,JTU000000000000000HIR         ,2001,M13,47.4,
45513,JTU000000000000000HIR         ,2002,M13,44.5,
45526,JTU000000000000000HIR         ,2003,M13,43.6,
45539,JTU000000000000000HIR         ,2004,M13,45.9,
45552,JTU000000000000000HIR         ,2005,M13,47.5,
45565,JTU000000000000000HIR         ,2006,M13,47.5,
45578,JTU000000000000000HIR         ,2007,M13,46.3,
45591,JTU000000000000000HIR         ,2008,M13,41.1,
45604,JTU000000000000000HIR         ,2009,M13,35.6,
45617,JTU000000000000000HIR         ,2010,M13,38.1,
45630,JTU000000000000000HIR         ,2011,M13,39.2,
45643,JTU000000000000000HIR         ,2012,M13,39.8,
45656,JTU000000000000000HIR         ,2013,M13,40.3,
45669,JTU000000000000000HIR         ,2014,M13,42.4,
45682,JTU000000000000000HIR         ,2015,M13,44.1,
45695,JTU000000000000000HIR         ,2016,M13,44.2,
45708,JTU000000000000000HIR         ,2017,M13,44.7,
45721,JTU000000000000000HIR         ,2018,M13,46.0,
45734,JTU000000000000000HIR         ,2019,M13,46.3,
45747,JTU000000000000000HIR         ,2020,M13,51.1,
45760,JTU000000000000000HIR         ,2021,M13,51.7,
71683,JTU000000MW0000000HIL         ,2001,M13,14940.0,
71696,JTU000000MW0000000HIL         ,2002,M13,13401.0,
71709,JTU000000MW0000000HIL         ,2003,M13,12417.0,
71722,JTU000000MW0000000HIL         ,2004,M13,13184.0,
71735,JTU000000MW0000000HIL         ,2005,M13,13768.0,
71748,JTU000000MW0000000HIL         ,2006,M13,13843.0,
71761,JTU000000MW0000000HIL         ,2007,M13,14136.0,
71774,JTU000000MW0000000HIL         ,2008,M13,12517.0,
71787,JTU000000MW0000000HIL         ,2009,M13,10086.0,
71800,JTU000000MW0000000HIL         ,2010,M13,11427.0,
71813,JTU000000MW0000000HIL         ,2011,M13,12009.0,
71826,JTU000000MW0000000HIL         ,2012,M13,11996.0,
71839,JTU000000MW0000000HIL         ,2013,M13,12070.0,
71852,JTU000000MW0000000HIL         ,2014,M13,13202.0,
71865,JTU000000MW0000000HIL         ,2015,M13,13928.0,
71878,JTU000000MW0000000HIL         ,2016,M13,14342.0,
71891,JTU000000MW0000000HIL         ,2017,M13,14331.0,
71904,JTU000000MW0000000HIL         ,2018,M13,15187.0,
71917,JTU000000MW0000000HIL         ,2019,M13,14878.0,
71930,JTU000000MW0000000HIL         ,2020,M13,15810.0,
71943,JTU000000MW0000000HIL         ,2021,M13,16479.0,
71958,JTU000000MW0000000HIR         ,2001,M13,47.5,
71971,JTU000000MW0000000HIR         ,2002,M13,43.2,
71984,JTU000000MW0000000HIR         ,2003,M13,40.4,
71997,JTU000000MW0000000HIR         ,2004,M13,42.8,
72010,JTU000000MW0000000HIR         ,2005,M13,44.3,
72023,JTU000000MW0000000HIR         ,2006,M13,44.3,
72036,JTU000000MW0000000HIR         ,2007,M13,45.0,
72049,JTU000000MW0000000HIR         ,2008,M13,40.1,
72062,JTU000000MW0000000HIR         ,2009,M13,33.9,
72075,JTU000000MW0000000HIR         ,2010,M13,38.6,
72088,JTU000000MW0000000HIR         ,2011,M13,40.1,
72101,JTU000000MW0000000HIR         ,2012,M13,39.5,
72114,JTU000000MW0000000HIR         ,2013,M13,39.3,
72127,JTU000000MW0000000HIR         ,2014,M13,42.5,
72140,JTU000000MW0000000HIR         ,2015,M13,44.1,
72153,JTU000000MW0000000HIR         ,2016,M13,44.9,
72166,JTU000000MW0000000HIR         ,2017,M13,44.4,
72179,JTU000000MW0000000HIR         ,2018,M13,46.8,
72192,JTU000000MW0000000HIR         ,2019,M13,45.5,
72205,JTU000000MW0000000HIR         ,2020,M13,51.3,
72218,JTU000000MW0000000HIR         ,2021,M13,52.1,
72233,JTU000000NE0000000HIL         ,2001,M13,10677.0,
72246,JTU000000NE0000000HIL         ,2002,M13,9585.0,
72259,JTU000000NE0000000HIL         ,2003,M13,9643.0,
72272,JTU000000NE0000000HIL         ,2004,M13,10627.0,
72285,JTU000000NE0000000HIL         ,2005,M13,10637.0,
72298,JTU000000NE0000000HIL         ,2006,M13,10387.0,
72311,JTU000000NE0000000HIL         ,2007,M13,10116.0,
72324,JTU000000NE0000000HIL         ,2008,M13,9219.0,
72337,JTU000000NE0000000HIL         ,2009,M13,8514.0,
72350,JTU000000NE0000000HIL         ,2010,M13,8912.0,
72363,JTU000000NE0000000HIL         ,2011,M13,8730.0,
72376,JTU000000NE0000000HIL         ,2012,M13,8791.0,
72389,JTU000000NE0000000HIL         ,2013,M13,8813.0,
72402,JTU000000NE0000000HIL         ,2014,M13,8975.0,
72415,JTU000000NE0000000HIL         ,2015,M13,9911.0,
72428,JTU000000NE0000000HIL         ,2016,M13,10198.0,
72441,JTU000000NE0000000HIL         ,2017,M13,10479.0,
72454,JTU000000NE0000000HIL         ,2018,M13,10488.0,
72467,JTU000000NE0000000HIL         ,2019,M13,10853.0,
72480,JTU000000NE0000000HIL         ,2020,M13,11653.0,
72493,JTU000000NE0000000HIL         ,2021,M13,11366.0,
72508,JTU000000NE0000000HIR         ,2001,M13,42.1,
72521,JTU000000NE0000000HIR         ,2002,M13,38.3,
72534,JTU000000NE0000000HIR         ,2003,M13,38.8,
72547,JTU000000NE0000000HIR         ,2004,M13,42.7,
72560,JTU000000NE0000000HIR         ,2005,M13,42.4,
72573,JTU000000NE0000000HIR         ,2006,M13,40.9,
72586,JTU000000NE0000000HIR         ,2007,M13,39.3,
72599,JTU000000NE0000000HIR         ,2008,M13,35.7,
72612,JTU000000NE0000000HIR         ,2009,M13,34.1,
72625,JTU000000NE0000000HIR         ,2010,M13,35.9,
72638,JTU000000NE0000000HIR         ,2011,M13,34.8,
72651,JTU000000NE0000000HIR         ,2012,M13,34.8,
72664,JTU000000NE0000000HIR         ,2013,M13,34.6,
72677,JTU000000NE0000000HIR         ,2014,M13,34.8,
72690,JTU000000NE0000000HIR         ,2015,M13,37.9,
72703,JTU000000NE0000000HIR         ,2016,M13,38.4,
72716,JTU000000NE0000000HIR         ,2017,M13,38.9,
72729,JTU000000NE0000000HIR         ,2018,M13,38.5,
72742,JTU000000NE0000000HIR         ,2019,M13,39.5,
72755,JTU000000NE0000000HIR         ,2020,M13,45.8,
72768,JTU000000NE0000000HIR         ,2021,M13,43.8,
72783,JTU000000SO0000000HIL         ,2001,M13,22801.0,
72796,JTU000000SO0000000HIL         ,2002,M13,21922.0,
72809,JTU000000SO0000000HIL         ,2003,M13,21369.0,
72822,JTU000000SO0000000HIL         ,2004,M13,23117.0,
72835,JTU000000SO0000000HIL         ,2005,M13,24170.0,
72848,JTU000000SO0000000HIL         ,2006,M13,25223.0,
72861,JTU000000SO0000000HIL         ,2007,M13,24883.0,
72874,JTU000000SO0000000HIL         ,2008,M13,21428.0,
72887,JTU000000SO0000000HIL         ,2009,M13,17561.0,
72900,JTU000000SO0000000HIL         ,2010,M13,18503.0,
72913,JTU000000SO0000000HIL         ,2011,M13,19691.0,
72926,JTU000000SO0000000HIL         ,2012,M13,20812.0,
72939,JTU000000SO0000000HIL         ,2013,M13,21524.0,
72952,JTU000000SO0000000HIL         ,2014,M13,23219.0,
72965,JTU000000SO0000000HIL         ,2015,M13,24446.0,
72978,JTU000000SO0000000HIL         ,2016,M13,24410.0,
72991,JTU000000SO0000000HIL         ,2017,M13,25876.0,
73004,JTU000000SO0000000HIL         ,2018,M13,27298.0,
73017,JTU000000SO0000000HIL         ,2019,M13,28247.0,
73030,JTU000000SO0000000HIL         ,2020,M13,28003.0,
73043,JTU000000SO0000000HIL         ,2021,M13,30619.0,
73058,JTU000000SO0000000HIR         ,2001,M13,49.0,
73071,JTU000000SO0000000HIR         ,2002,M13,47.5,
73084,JTU000000SO0000000HIR         ,2003,M13,46.2,
73097,JTU000000SO0000000HIR         ,2004,M13,49.2,
73110,JTU000000SO0000000HIR         ,2005,M13,50.3,
73123,JTU000000SO0000000HIR         ,2006,M13,51.3,
73136,JTU000000SO0000000HIR         ,2007,M13,49.9,
73149,JTU000000SO0000000HIR         ,2008,M13,43.2,
73162,JTU000000SO0000000HIR         ,2009,M13,36.9,
73175,JTU000000SO0000000HIR         ,2010,M13,39.1,
73188,JTU000000SO0000000HIR         ,2011,M13,41.1,
73201,JTU000000SO0000000HIR         ,2012,M13,42.7,
73214,JTU000000SO0000000HIR         ,2013,M13,43.5,
73227,JTU000000SO0000000HIR         ,2014,M13,45.9,
73240,JTU000000SO0000000HIR         ,2015,M13,47.3,
73253,JTU000000SO0000000HIR         ,2016,M13,46.3,
73266,JTU000000SO0000000HIR         ,2017,M13,48.3,
73279,JTU000000SO0000000HIR         ,2018,M13,50.0,
73292,JTU000000SO0000000HIR         ,2019,M13,51.0,
73305,JTU000000SO0000000HIR         ,2020,M13,53.1,
73318,JTU000000SO0000000HIR         ,2021,M13,56.2,
73333,JTU000000WE0000000HIL         ,2001,M13,14152.0,
73346,JTU000000WE0000000HIL         ,2002,M13,13290.0,
73359,JTU000000WE0000000HIL         ,2003,M13,13422.0,
73372,JTU000000WE0000000HIL         ,2004,M13,13598.0,
73385,JTU000000WE0000000HIL         ,2005,M13,15124.0,
73398,JTU000000WE0000000HIL         ,2006,M13,15421.0,
73411,JTU000000WE0000000HIL         ,2007,M13,14726.0,
73424,JTU000000WE0000000HIL         ,2008,M13,13246.0,
73437,JTU000000WE0000000HIL         ,2009,M13,10586.0,
73450,JTU000000WE0000000HIL         ,2010,M13,10814.0,
73463,JTU000000WE0000000HIL         ,2011,M13,11229.0,
73476,JTU000000WE0000000HIL         ,2012,M13,11746.0,
73489,JTU000000WE0000000HIL         ,2013,M13,12542.0,
73502,JTU000000WE0000000HIL         ,2014,M13,13562.0,
73515,JTU000000WE0000000HIL         ,2015,M13,14305.0,
73528,JTU000000WE0000000HIL         ,2016,M13,14794.0,
73541,JTU000000WE0000000HIL         ,2017,M13,14899.0,
73554,JTU000000WE0000000HIL         ,2018,M13,15579.0,
73567,JTU000000WE0000000HIL         ,2019,M13,15930.0,
73580,JTU000000WE0000000HIL         ,2020,M13,17168.0,
73593,JTU000000WE0000000HIL         ,2021,M13,17084.0,
73608,JTU000000WE0000000HIR         ,2001,M13,49.3,
73621,JTU000000WE0000000HIR         ,2002,M13,46.7,
73634,JTU000000WE0000000HIR         ,2003,M13,47.0,
73647,JTU000000WE0000000HIR         ,2004,M13,46.7,
73660,JTU000000WE0000000HIR         ,2005,M13,50.6,
73673,JTU000000WE0000000HIR         ,2006,M13,50.4,
73686,JTU000000WE0000000HIR         ,2007,M13,47.6,
73699,JTU000000WE0000000HIR         ,2008,M13,43.4,
73712,JTU000000WE0000000HIR         ,2009,M13,36.6,
73725,JTU000000WE0000000HIR         ,2010,M13,37.8,
73738,JTU000000WE0000000HIR         ,2011,M13,38.8,
