,series_id,year,period,value,footnote_codes
45225,JTU000000000000000TSL         ,2001,M13,64348.0,
45238,JTU000000000000000TSL         ,2002,M13,58719.0,
45251,JTU000000000000000TSL         ,2003,M13,56918.0,
45264,JTU000000000000000TSL         ,2004,M13,58459.0,
45277,JTU000000000000000TSL         ,2005,M13,61185.0,
45290,JTU000000000000000TSL         ,2006,M13,62632.0,
45303,JTU000000000000000TSL         ,2007,M13,62652.0,
45316,JTU000000000000000TSL         ,2008,M13,59882.0,
45329,JTU000000000000000TSL         ,2009,M13,51939.0,
45342,JTU000000000000000TSL         ,2010,M13,48671.0,
45355,JTU000000000000000TSL         ,2011,M13,49614.0,
45368,JTU000000000000000TSL         ,2012,M13,51093.0,
45381,JTU000000000000000TSL         ,2013,M13,52564.0,
45394,JTU000000000000000TSL         ,2014,M13,55931.0,
45407,JTU000000000000000TSL         ,2015,M13,59930.0,
45420,JTU000000000000000TSL         ,2016,M13,61512.0,
45433,JTU000000000000000TSL         ,2017,M13,63500.0,
45446,JTU000000000000000TSL         ,2018,M13,66245.0,
45459,JTU000000000000000TSL         ,2019,M13,68097.0,
45472,JTU000000000000000TSL         ,2020,M13,80778.0,
45485,JTU000000000000000TSL         ,2021,M13,69045.0,
45500,JTU000000000000000TSR         ,2001,M13,48.7,
45513,JTU000000000000000TSR         ,2002,M13,44.9,
45526,JTU000000000000000TSR         ,2003,M13,43.7,
45539,JTU000000000000000TSR         ,2004,M13,44.4,
45552,JTU000000000000000TSR         ,2005,M13,45.6,
45565,JTU000000000000000TSR         ,2006,M13,45.9,
45578,JTU000000000000000TSR         ,2007,M13,45.4,
45591,JTU000000000000000TSR         ,2008,M13,43.6,
45604,JTU000000000000000TSR         ,2009,M13,39.6,
45617,JTU000000000000000TSR         ,2010,M13,37.3,
45630,JTU000000000000000TSR         ,2011,M13,37.6,
45643,JTU000000000000000TSR         ,2012,M13,38.1,
45656,JTU000000000000000TSR         ,2013,M13,38.5,
45669,JTU000000000000000TSR         ,2014,M13,40.3,
45682,JTU000000000000000TSR         ,2015,M13,42.3,
45695,JTU000000000000000TSR         ,2016,M13,42.6,
45708,JTU000000000000000TSR         ,2017,M13,43.3,
45721,JTU000000000000000TSR         ,2018,M13,44.5,
45734,JTU000000000000000TSR         ,2019,M13,45.1,
45747,JTU000000000000000TSR         ,2020,M13,56.8,
45760,JTU000000000000000TSR         ,2021,M13,47.2,
71683,JTU000000MW0000000TSL         ,2001,M13,15985.0,
71696,JTU000000MW0000000TSL         ,2002,M13,13164.0,
71709,JTU000000MW0000000TSL         ,2003,M13,12334.0,
71722,JTU000000MW0000000TSL         ,2004,M13,12558.0,
71735,JTU000000MW0000000TSL         ,2005,M13,13541.0,
71748,JTU000000MW0000000TSL         ,2006,M13,13553.0,
71761,JTU000000MW0000000TSL         ,2007,M13,13930.0,
71774,JTU000000MW0000000TSL         ,2008,M13,13010.0,
71787,JTU000000MW0000000TSL         ,2009,M13,11260.0,
71800,JTU000000MW0000000TSL         ,2010,M13,11152.0,
71813,JTU000000MW0000000TSL         ,2011,M13,11351.0,
71826,JTU000000MW0000000TSL         ,2012,M13,11421.0,
71839,JTU000000MW0000000TSL         ,2013,M13,11468.0,
71852,JTU000000MW0000000TSL         ,2014,M13,12338.0,
71865,JTU000000MW0000000TSL         ,2015,M13,13353.0,
71878,JTU000000MW0000000TSL         ,2016,M13,13807.0,
71891,JTU000000MW0000000TSL         ,2017,M13,13834.0,
71904,JTU000000MW0000000TSL         ,2018,M13,14631.0,
71917,JTU000000MW0000000TSL         ,2019,M13,14420.0,
71930,JTU000000MW0000000TSL         ,2020,M13,17956.0,
71943,JTU000000MW0000000TSL         ,2021,M13,15115.0,
71958,JTU000000MW0000000TSR         ,2001,M13,50.8,
71971,JTU000000MW0000000TSR         ,2002,M13,42.5,
71984,JTU000000MW0000000TSR         ,2003,M13,40.2,
71997,JTU000000MW0000000TSR         ,2004,M13,40.8,
72010,JTU000000MW0000000TSR         ,2005,M13,43.6,
72023,JTU000000MW0000000TSR         ,2006,M13,43.3,
72036,JTU000000MW0000000TSR         ,2007,M13,44.3,
72049,JTU000000MW0000000TSR         ,2008,M13,41.7,
72062,JTU000000MW0000000TSR         ,2009,M13,37.8,
72075,JTU000000MW0000000TSR         ,2010,M13,37.7,
72088,JTU000000MW0000000TSR         ,2011,M13,37.9,
72101,JTU000000MW0000000TSR         ,2012,M13,37.6,
72114,JTU000000MW0000000TSR         ,2013,M13,37.4,
72127,JTU000000MW0000000TSR         ,2014,M13,39.7,
72140,JTU000000MW0000000TSR         ,2015,M13,42.3,
72153,JTU000000MW0000000TSR         ,2016,M13,43.2,
72166,JTU000000MW0000000TSR         ,2017,M13,42.9,
72179,JTU000000MW0000000TSR         ,2018,M13,45.0,
72192,JTU000000MW0000000TSR         ,2019,M13,44.1,
72205,JTU000000MW0000000TSR         ,2020,M13,58.3,
72218,JTU000000MW0000000TSR         ,2021,M13,47.7,
72233,JTU000000NE0000000TSL         ,2001,M13,11100.0,
72246,JTU000000NE0000000TSL         ,2002,M13,10129.0,
72259,JTU000000NE0000000TSL         ,2003,M13,9691.0,
72272,JTU000000NE0000000TSL         ,2004,M13,10300.0,
72285,JTU000000NE0000000TSL         ,2005,M13,10340.0,
72298,JTU000000NE0000000TSL         ,2006,M13,10042.0,
72311,JTU000000NE0000000TSL         ,2007,M13,9855.0,
72324,JTU000000NE0000000TSL         ,2008,M13,9851.0,
72337,JTU000000NE0000000TSL         ,2009,M13,9123.0,
72350,JTU000000NE0000000TSL         ,2010,M13,8802.0,
72363,JTU000000NE0000000TSL         ,2011,M13,8406.0,
72376,JTU000000NE0000000TSL         ,2012,M13,8693.0,
72389,JTU000000NE0000000TSL         ,2013,M13,8815.0,
72402,JTU000000NE0000000TSL         ,2014,M13,8907.0,
72415,JTU000000NE0000000TSL         ,2015,M13,9464.0,
72428,JTU000000NE0000000TSL         ,2016,M13,9898.0,
72441,JTU000000NE0000000TSL         ,2017,M13,10302.0,
72454,JTU000000NE0000000TSL         ,2018,M13,10094.0,
72467,JTU000000NE0000000TSL         ,2019,M13,10405.0,
72480,JTU000000NE0000000TSL         ,2020,M13,13497.0,
72493,JTU000000NE0000000TSL         ,2021,M13,10040.0,
72508,JTU000000NE0000000TSR         ,2001,M13,43.8,
72521,JTU000000NE0000000TSR         ,2002,M13,40.5,
72534,JTU000000NE0000000TSR         ,2003,M13,39.0,
72547,JTU000000NE0000000TSR         ,2004,M13,41.4,
72560,JTU000000NE0000000TSR         ,2005,M13,41.2,
72573,JTU000000NE0000000TSR         ,2006,M13,39.5,
72586,JTU000000NE0000000TSR         ,2007,M13,38.2,
72599,JTU000000NE0000000TSR         ,2008,M13,38.1,
72612,JTU000000NE0000000TSR         ,2009,M13,36.5,
72625,JTU000000NE0000000TSR         ,2010,M13,35.4,
72638,JTU000000NE0000000TSR         ,2011,M13,33.5,
72651,JTU000000NE0000000TSR         ,2012,M13,34.4,
72664,JTU000000NE0000000TSR         ,2013,M13,34.6,
72677,JTU000000NE0000000TSR         ,2014,M13,34.6,
72690,JTU000000NE0000000TSR         ,2015,M13,36.1,
72703,JTU000000NE0000000TSR         ,2016,M13,37.3,
72716,JTU000000NE0000000TSR         ,2017,M13,38.3,
72729,JTU000000NE0000000TSR         ,2018,M13,37.0,
72742,JTU000000NE0000000TSR         ,2019,M13,37.9,
72755,JTU000000NE0000000TSR         ,2020,M13,53.0,
72768,JTU000000NE0000000TSR         ,2021,M13,38.7,
72783,JTU000000SO0000000TSL         ,2001,M13,22733.0,
72796,JTU000000SO0000000TSL         ,2002,M13,21799.0,
72809,JTU000000SO0000000TSL         ,2003,M13,21682.0,
72822,JTU000000SO0000000TSL         ,2004,M13,21878.0,
72835,JTU000000SO0000000TSL         ,2005,M13,23002.0,
72848,JTU000000SO0000000TSL         ,2006,M13,24288.0,
72861,JTU000000SO0000000TSL         ,2007,M13,24171.0,
72874,JTU000000SO0000000TSL         ,2008,M13,22696.0,
72887,JTU000000SO0000000TSL         ,2009,M13,19313.0,
72900,JTU000000SO0000000TSL         ,2010,M13,17906.0,
72913,JTU000000SO0000000TSL         ,2011,M13,18990.0,
72926,JTU000000SO0000000TSL         ,2012,M13,19855.0,
72939,JTU000000SO0000000TSL         ,2013,M13,20170.0,
72952,JTU000000SO0000000TSL         ,2014,M13,21858.0,
72965,JTU000000SO0000000TSL         ,2015,M13,23418.0,
72978,JTU000000SO0000000TSL         ,2016,M13,23648.0,
72991,JTU000000SO0000000TSL         ,2017,M13,25129.0,
73004,JTU000000SO0000000TSL         ,2018,M13,26320.0,
73017,JTU000000SO0000000TSL         ,2019,M13,27046.0,
73030,JTU000000SO0000000TSL         ,2020,M13,30200.0,
73043,JTU000000SO0000000TSL         ,2021,M13,28429.0,
73058,JTU000000SO0000000TSR         ,2001,M13,48.8,
73071,JTU000000SO0000000TSR         ,2002,M13,47.2,
73084,JTU000000SO0000000TSR         ,2003,M13,46.9,
73097,JTU000000SO0000000TSR         ,2004,M13,46.5,
73110,JTU000000SO0000000TSR         ,2005,M13,47.9,
73123,JTU000000SO0000000TSR         ,2006,M13,49.4,
73136,JTU000000SO0000000TSR         ,2007,M13,48.5,
73149,JTU000000SO0000000TSR         ,2008,M13,45.7,
73162,JTU000000SO0000000TSR         ,2009,M13,40.6,
73175,JTU000000SO0000000TSR         ,2010,M13,37.8,
