,series_id,year,period,value,footnote_codes
13,PCUADLVWRADLVWR               ,2007,M13,106.4,
26,PCUADLVWRADLVWR               ,2008,M13,112.7,
39,PCUADLVWRADLVWR               ,2009,M13,114.2,
52,PCUADLVWRADLVWR               ,2010,M13,119.2,
65,PCUADLVWRADLVWR               ,2011,M13,125.5,
78,PCUADLVWRADLVWR               ,2012,M13,130.6,
91,PCUADLVWRADLVWR               ,2013,M13,135.8,
104,PCUADLVWRADLVWR               ,2014,M13,141.9,
117,PCUADLVWRADLVWR               ,2015,M13,144.8,
130,PCUADLVWRADLVWR               ,2016,M13,144.5,
143,PCUADLVWRADLVWR               ,2017,M13,148.0,
156,PCUADLVWRADLVWR               ,2018,M13,153.8,
169,PCUADLVWRADLVWR               ,2019,M13,159.3,
182,PCUADLVWRADLVWR               ,2020,M13,163.7,
195,PCUADLVWRADLVWR               ,2021,M13,173.149,
213,PCUAINFO-AINFO-               ,2007,M13,100.8,
226,PCUAINFO-AINFO-               ,2008,M13,102.1,
239,PCUAINFO-AINFO-               ,2009,M13,102.2,
252,PCUAINFO-AINFO-               ,2010,M13,101.8,
265,PCUAINFO-AINFO-               ,2011,M13,102.4,
278,PCUAINFO-AINFO-               ,2012,M13,102.7,
291,PCUAINFO-AINFO-               ,2013,M13,103.1,
304,PCUAINFO-AINFO-               ,2014,M13,103.3,
317,PCUAINFO-AINFO-               ,2015,M13,102.5,
330,PCUAINFO-AINFO-               ,2016,M13,102.6,
343,PCUAINFO-AINFO-               ,2017,M13,102.1,
356,PCUAINFO-AINFO-               ,2018,M13,102.5,
369,PCUAINFO-AINFO-               ,2019,M13,103.3,
382,PCUAINFO-AINFO-               ,2020,M13,104.5,
395,PCUAINFO-AINFO-               ,2021,M13,106.045,
413,PCUAMUM--AMUM--               ,2007,M13,103.8,
426,PCUAMUM--AMUM--               ,2008,M13,112.1,
439,PCUAMUM--AMUM--               ,2009,M13,106.3,
452,PCUAMUM--AMUM--               ,2010,M13,111.5,
465,PCUAMUM--AMUM--               ,2011,M13,119.5,
478,PCUAMUM--AMUM--               ,2012,M13,121.3,
491,PCUAMUM--AMUM--               ,2013,M13,122.2,
504,PCUAMUM--AMUM--               ,2014,M13,123.9,
517,PCUAMUM--AMUM--               ,2015,M13,117.4,
530,PCUAMUM--AMUM--               ,2016,M13,115.0,
543,PCUAMUM--AMUM--               ,2017,M13,119.2,
556,PCUAMUM--AMUM--               ,2018,M13,124.4,
569,PCUAMUM--AMUM--               ,2019,M13,124.3,
582,PCUAMUM--AMUM--               ,2020,M13,121.5,
595,PCUAMUM--AMUM--               ,2021,M13,137.582,
613,PCUARETTRARETTR               ,2007,M13,104.5,
626,PCUARETTRARETTR               ,2008,M13,107.8,
639,PCUARETTRARETTR               ,2009,M13,108.3,
652,PCUARETTRARETTR               ,2010,M13,110.2,
665,PCUARETTRARETTR               ,2011,M13,113.2,
678,PCUARETTRARETTR               ,2012,M13,116.6,
691,PCUARETTRARETTR               ,2013,M13,118.9,
704,PCUARETTRARETTR               ,2014,M13,121.4,
717,PCUARETTRARETTR               ,2015,M13,123.8,
730,PCUARETTRARETTR               ,2016,M13,125.2,
743,PCUARETTRARETTR               ,2017,M13,126.6,
756,PCUARETTRARETTR               ,2018,M13,128.6,
769,PCUARETTRARETTR               ,2019,M13,131.7,
782,PCUARETTRARETTR               ,2020,M13,136.7,
795,PCUARETTRARETTR               ,2021,M13,148.715,
813,PCUASHC--ASHC--               ,2007,M13,102.4,
826,PCUASHC--ASHC--               ,2008,M13,104.9,
839,PCUASHC--ASHC--               ,2009,M13,107.8,
852,PCUASHC--ASHC--               ,2010,M13,110.7,
865,PCUASHC--ASHC--               ,2011,M13,112.9,
878,PCUASHC--ASHC--               ,2012,M13,115.0,
891,PCUASHC--ASHC--               ,2013,M13,116.6,
904,PCUASHC--ASHC--               ,2014,M13,117.9,
917,PCUASHC--ASHC--               ,2015,M13,118.6,
930,PCUASHC--ASHC--               ,2016,M13,120.0,
943,PCUASHC--ASHC--               ,2017,M13,121.7,
956,PCUASHC--ASHC--               ,2018,M13,124.1,
969,PCUASHC--ASHC--               ,2019,M13,126.2,
982,PCUASHC--ASHC--               ,2020,M13,129.7,
995,PCUASHC--ASHC--               ,2021,M13,133.576,
1013,PCUASTDSVASTDSV               ,2007,M13,101.3,
1026,PCUASTDSVASTDSV               ,2008,M13,101.3,
1039,PCUASTDSVASTDSV               ,2009,M13,101.2,
1052,PCUASTDSVASTDSV               ,2010,M13,103.9,
1065,PCUASTDSVASTDSV               ,2011,M13,106.6,
1078,PCUASTDSVASTDSV               ,2012,M13,108.1,
1091,PCUASTDSVASTDSV               ,2013,M13,110.1,
1104,PCUASTDSVASTDSV               ,2014,M13,112.1,
1117,PCUASTDSVASTDSV               ,2015,M13,113.9,
1130,PCUASTDSVASTDSV               ,2016,M13,116.7,
1143,PCUASTDSVASTDSV               ,2017,M13,120.1,
1156,PCUASTDSVASTDSV               ,2018,M13,124.6,
1169,PCUASTDSVASTDSV               ,2019,M13,127.3,
1182,PCUASTDSVASTDSV               ,2020,M13,126.7,
1195,PCUASTDSVASTDSV               ,2021,M13,133.04,
1213,PCUATRADEATRADE               ,2007,M13,103.8,
1226,PCUATRADEATRADE               ,2008,M13,108.3,
1239,PCUATRADEATRADE               ,2009,M13,111.4,
1252,PCUATRADEATRADE               ,2010,M13,113.2,
1265,PCUATRADEATRADE               ,2011,M13,116.2,
1278,PCUATRADEATRADE               ,2012,M13,118.9,
1291,PCUATRADEATRADE               ,2013,M13,121.6,
1304,PCUATRADEATRADE               ,2014,M13,124.5,
1317,PCUATRADEATRADE               ,2015,M13,126.8,
1330,PCUATRADEATRADE               ,2016,M13,127.7,
1343,PCUATRADEATRADE               ,2017,M13,130.0,
1356,PCUATRADEATRADE               ,2018,M13,132.3,
1369,PCUATRADEATRADE               ,2019,M13,136.4,
1382,PCUATRADEATRADE               ,2020,M13,140.2,
1395,PCUATRADEATRADE               ,2021,M13,153.162,
