,series_id,year,period,value,footnote_codes
13,PCU322---322---               ,2004,M13,102.6,
26,PCU322---322---               ,2005,M13,106.9,
39,PCU322---322---               ,2006,M13,112.3,
52,PCU322---322---               ,2007,M13,115.7,
65,PCU322---322---               ,2008,M13,122.8,
78,PCU322---322---               ,2009,M13,123.3,
91,PCU322---322---               ,2010,M13,127.2,
104,PCU322---322---               ,2011,M13,131.5,
117,PCU322---322---               ,2012,M13,131.9,
130,PCU322---322---               ,2013,M13,134.8,
143,PCU322---322---               ,2014,M13,136.7,
156,PCU322---322---               ,2015,M13,136.5,
169,PCU322---322---               ,2016,M13,135.4,
182,PCU322---322---               ,2017,M13,138.8,
195,PCU322---322---               ,2018,M13,143.6,
208,PCU322---322---               ,2019,M13,145.4,
221,PCU322---322---               ,2020,M13,143.2,
234,PCU322---322---               ,2021,M13,155.121,
253,PCU3221--3221--               ,2004,M13,103.8,
266,PCU3221--3221--               ,2005,M13,109.4,
279,PCU3221--3221--               ,2006,M13,115.7,
292,PCU3221--3221--               ,2007,M13,119.3,
305,PCU3221--3221--               ,2008,M13,129.0,
318,PCU3221--3221--               ,2009,M13,126.6,
331,PCU3221--3221--               ,2010,M13,131.8,
344,PCU3221--3221--               ,2011,M13,135.9,
357,PCU3221--3221--               ,2012,M13,135.2,
370,PCU3221--3221--               ,2013,M13,136.8,
383,PCU3221--3221--               ,2014,M13,137.7,
396,PCU3221--3221--               ,2015,M13,136.3,
409,PCU3221--3221--               ,2016,M13,133.0,
422,PCU3221--3221--               ,2017,M13,136.5,
435,PCU3221--3221--               ,2018,M13,143.2,
448,PCU3221--3221--               ,2019,M13,142.5,
461,PCU3221--3221--               ,2020,M13,137.0,
474,PCU3221--3221--               ,2021,M13,151.999,
493,PCU32211-32211-               ,1974,M13,63.0,
506,PCU32211-32211-               ,1975,M13,80.5,
519,PCU32211-32211-               ,1976,M13,82.0,
532,PCU32211-32211-               ,1977,M13,81.5,
545,PCU32211-32211-               ,1978,M13,78.5,
558,PCU32211-32211-               ,1979,M13,88.2,
571,PCU32211-32211-               ,1980,M13,105.5,
584,PCU32211-32211-               ,1981,M13,111.0,
597,PCU32211-32211-               ,1982,M13,106.9,
610,PCU32211-32211-               ,1983,M13,98.8,
623,PCU32211-32211-               ,1984,M13,112.0,
636,PCU32211-32211-               ,1985,M13,100.9,
649,PCU32211-32211-               ,1986,M13,103.0,
662,PCU32211-32211-               ,1987,M13,117.0,
675,PCU32211-32211-               ,1988,M13,141.7,
688,PCU32211-32211-               ,1989,M13,161.3,
701,PCU32211-32211-               ,1990,M13,153.8,
714,PCU32211-32211-               ,1991,M13,121.8,
727,PCU32211-32211-               ,1992,M13,118.5,
740,PCU32211-32211-               ,1993,M13,105.8,
753,PCU32211-32211-               ,1994,M13,116.5,
766,PCU32211-32211-               ,1995,M13,182.4,
779,PCU32211-32211-               ,1996,M13,135.5,
792,PCU32211-32211-               ,1997,M13,131.0,
805,PCU32211-32211-               ,1998,M13,125.1,
818,PCU32211-32211-               ,1999,M13,122.7,
831,PCU32211-32211-               ,2000,M13,143.4,
844,PCU32211-32211-               ,2001,M13,122.9,
857,PCU32211-32211-               ,2002,M13,116.5,
870,PCU32211-32211-               ,2003,M13,120.9,
883,PCU32211-32211-               ,2004,M13,131.3,
896,PCU32211-32211-               ,2005,M13,137.4,
909,PCU32211-32211-               ,2006,M13,144.8,
922,PCU32211-32211-               ,2007,M13,163.2,
935,PCU32211-32211-               ,2008,M13,175.5,
948,PCU32211-32211-               ,2009,M13,162.1,
961,PCU32211-32211-               ,2010,M13,191.9,
974,PCU32211-32211-               ,2011,M13,203.8,
987,PCU32211-32211-               ,2012,M13,199.0,
1000,PCU32211-32211-               ,2013,M13,192.3,
1013,PCU32211-32211-               ,2014,M13,198.2,
1026,PCU32211-32211-               ,2015,M13,204.2,
1039,PCU32211-32211-               ,2016,M13,188.3,
1052,PCU32211-32211-               ,2017,M13,191.2,
1065,PCU32211-32211-               ,2018,M13,238.3,
1078,PCU32211-32211-               ,2019,M13,186.0,
1091,PCU32211-32211-               ,2020,M13,146.2,
1104,PCU32211-32211-               ,2021,M13,199.159,
1123,PCU322110322110               ,1974,M13,63.0,
1136,PCU322110322110               ,1975,M13,80.5,
1149,PCU322110322110               ,1976,M13,82.0,
1162,PCU322110322110               ,1977,M13,81.5,
1175,PCU322110322110               ,1978,M13,78.5,
1188,PCU322110322110               ,1979,M13,88.2,
1201,PCU322110322110               ,1980,M13,105.5,
1214,PCU322110322110               ,1981,M13,111.0,
1227,PCU322110322110               ,1982,M13,106.9,
1240,PCU322110322110               ,1983,M13,98.8,
1253,PCU322110322110               ,1984,M13,112.0,
1266,PCU322110322110               ,1985,M13,100.9,
1279,PCU322110322110               ,1986,M13,103.0,
1292,PCU322110322110               ,1987,M13,117.0,
1305,PCU322110322110               ,1988,M13,141.7,
1318,PCU322110322110               ,1989,M13,161.3,
1331,PCU322110322110               ,1990,M13,153.8,
1344,PCU322110322110               ,1991,M13,121.8,
1357,PCU322110322110               ,1992,M13,118.5,
1370,PCU322110322110               ,1993,M13,105.8,
1383,PCU322110322110               ,1994,M13,116.5,
1396,PCU322110322110               ,1995,M13,182.4,
1409,PCU322110322110               ,1996,M13,135.5,
1422,PCU322110322110               ,1997,M13,131.0,
1435,PCU322110322110               ,1998,M13,125.1,
1448,PCU322110322110               ,1999,M13,122.7,
1461,PCU322110322110               ,2000,M13,143.4,
1474,PCU322110322110               ,2001,M13,122.9,
1487,PCU322110322110               ,2002,M13,116.5,
1500,PCU322110322110               ,2003,M13,120.9,
1513,PCU322110322110               ,2004,M13,131.3,
1526,PCU322110322110               ,2005,M13,137.4,
1539,PCU322110322110               ,2006,M13,144.8,
1552,PCU322110322110               ,2007,M13,163.1,
1565,PCU322110322110               ,2008,M13,175.5,
1578,PCU322110322110               ,2009,M13,162.1,
1591,PCU322110322110               ,2010,M13,191.8,
1604,PCU322110322110               ,2011,M13,203.8,
1617,PCU322110322110               ,2012,M13,199.0,
1630,PCU322110322110               ,2013,M13,192.3,
1643,PCU322110322110               ,2014,M13,198.1,
1656,PCU322110322110               ,2015,M13,204.1,
1669,PCU322110322110               ,2016,M13,188.2,
1682,PCU322110322110               ,2017,M13,191.2,
1695,PCU322110322110               ,2018,M13,238.3,
1708,PCU322110322110               ,2019,M13,186.0,
1721,PCU322110322110               ,2020,M13,146.2,
1734,PCU322110322110               ,2021,M13,199.16,
1772,PCU3221103221109              ,1989,M13,105.7,
1793,PCU3221103221109              ,1994,M13,113.9,
1806,PCU3221103221109              ,1995,M13,149.4,
1819,PCU3221103221109              ,1996,M13,134.3,
1832,PCU3221103221109              ,1997,M13,129.1,
1845,PCU3221103221109              ,1998,M13,131.1,
1858,PCU3221103221109              ,1999,M13,133.7,
1871,PCU3221103221109              ,2000,M13,144.4,
1884,PCU3221103221109              ,2001,M13,130.5,
1897,PCU3221103221109              ,2002,M13,125.4,
1910,PCU3221103221109              ,2003,M13,136.2,
1923,PCU3221103221109              ,2004,M13,146.4,
1936,PCU3221103221109              ,2005,M13,155.9,
1968,PCU322110322110P              ,1983,M13,100.2,
1981,PCU322110322110P              ,1984,M13,114.1,
1994,PCU322110322110P              ,1985,M13,99.8,
2007,PCU322110322110P              ,1986,M13,103.9,
2020,PCU322110322110P              ,1987,M13,122.0,
2033,PCU322110322110P              ,1988,M13,147.5,
2046,PCU322110322110P              ,1989,M13,169.4,
2059,PCU322110322110P              ,1990,M13,162.3,
2072,PCU322110322110P              ,1991,M13,127.3,
2085,PCU322110322110P              ,1992,M13,124.9,
2098,PCU322110322110P              ,1993,M13,111.2,
2111,PCU322110322110P              ,1994,M13,121.4,
2124,PCU322110322110P              ,1995,M13,190.0,
2137,PCU322110322110P              ,1996,M13,141.1,
2150,PCU322110322110P              ,1997,M13,136.4,
2163,PCU322110322110P              ,1998,M13,130.4,
2176,PCU322110322110P              ,1999,M13,127.9,
2189,PCU322110322110P              ,2000,M13,152.6,
2202,PCU322110322110P              ,2001,M13,134.0,
2215,PCU322110322110P              ,2002,M13,125.0,
2228,PCU322110322110P              ,2003,M13,129.7,
2241,PCU322110322110P              ,2004,M13,140.9,
2254,PCU322110322110P              ,2005,M13,147.4,
2267,PCU322110322110P              ,2006,M13,154.4,
2280,PCU322110322110P              ,2007,M13,172.9,
