,series_id,year,period,value,footnote_codes
13,PCU333---333---               ,2004,M13,101.9,
26,PCU333---333---               ,2005,M13,105.6,
39,PCU333---333---               ,2006,M13,108.8,
52,PCU333---333---               ,2007,M13,112.1,
65,PCU333---333---               ,2008,M13,117.0,
78,PCU333---333---               ,2009,M13,120.3,
91,PCU333---333---               ,2010,M13,120.5,
104,PCU333---333---               ,2011,M13,123.4,
117,PCU333---333---               ,2012,M13,126.2,
130,PCU333---333---               ,2013,M13,127.9,
143,PCU333---333---               ,2014,M13,130.0,
156,PCU333---333---               ,2015,M13,131.5,
169,PCU333---333---               ,2016,M13,132.1,
182,PCU333---333---               ,2017,M13,133.3,
195,PCU333---333---               ,2018,M13,136.1,
208,PCU333---333---               ,2019,M13,140.1,
221,PCU333---333---               ,2020,M13,142.1,
234,PCU333---333---               ,2021,M13,148.847,
252,PCU3331--3331--               ,2004,M13,102.4,
265,PCU3331--3331--               ,2005,M13,107.4,
278,PCU3331--3331--               ,2006,M13,111.7,
291,PCU3331--3331--               ,2007,M13,115.4,
304,PCU3331--3331--               ,2008,M13,120.3,
317,PCU3331--3331--               ,2009,M13,124.2,
330,PCU3331--3331--               ,2010,M13,124.8,
343,PCU3331--3331--               ,2011,M13,128.1,
356,PCU3331--3331--               ,2012,M13,131.6,
369,PCU3331--3331--               ,2013,M13,133.3,
382,PCU3331--3331--               ,2014,M13,135.2,
395,PCU3331--3331--               ,2015,M13,136.3,
408,PCU3331--3331--               ,2016,M13,136.9,
421,PCU3331--3331--               ,2017,M13,137.5,
434,PCU3331--3331--               ,2018,M13,139.4,
447,PCU3331--3331--               ,2019,M13,144.0,
460,PCU3331--3331--               ,2020,M13,145.8,
473,PCU3331--3331--               ,2021,M13,151.531,
491,PCU33311-33311-               ,2004,M13,101.8,
504,PCU33311-33311-               ,2005,M13,105.8,
517,PCU33311-33311-               ,2006,M13,107.8,
530,PCU33311-33311-               ,2007,M13,110.5,
543,PCU33311-33311-               ,2008,M13,114.5,
556,PCU33311-33311-               ,2009,M13,117.8,
569,PCU33311-33311-               ,2010,M13,119.5,
582,PCU33311-33311-               ,2011,M13,121.8,
595,PCU33311-33311-               ,2012,M13,124.1,
608,PCU33311-33311-               ,2013,M13,125.1,
621,PCU33311-33311-               ,2014,M13,127.1,
634,PCU33311-33311-               ,2015,M13,128.2,
647,PCU33311-33311-               ,2016,M13,129.0,
660,PCU33311-33311-               ,2017,M13,130.0,
673,PCU33311-33311-               ,2018,M13,132.0,
686,PCU33311-33311-               ,2019,M13,135.7,
699,PCU33311-33311-               ,2020,M13,137.7,
712,PCU33311-33311-               ,2021,M13,143.585,
