,series_id,year,period,value,footnote_codes
13,PCU336---336---               ,2004,M13,100.9,
26,PCU336---336---               ,2005,M13,102.5,
39,PCU336---336---               ,2006,M13,103.2,
52,PCU336---336---               ,2007,M13,104.9,
65,PCU336---336---               ,2008,M13,107.3,
78,PCU336---336---               ,2009,M13,109.5,
91,PCU336---336---               ,2010,M13,110.4,
104,PCU336---336---               ,2011,M13,112.3,
117,PCU336---336---               ,2012,M13,114.8,
130,PCU336---336---               ,2013,M13,116.0,
143,PCU336---336---               ,2014,M13,117.6,
156,PCU336---336---               ,2015,M13,119.3,
169,PCU336---336---               ,2016,M13,120.2,
182,PCU336---336---               ,2017,M13,121.6,
195,PCU336---336---               ,2018,M13,123.3,
208,PCU336---336---               ,2019,M13,124.6,
221,PCU336---336---               ,2020,M13,125.3,
234,PCU336---336---               ,2021,M13,128.72,
253,PCU3361--3361--               ,2004,M13,99.4,
266,PCU3361--3361--               ,2005,M13,98.7,
279,PCU3361--3361--               ,2006,M13,96.1,
292,PCU3361--3361--               ,2007,M13,96.6,
305,PCU3361--3361--               ,2008,M13,98.0,
318,PCU3361--3361--               ,2009,M13,100.9,
331,PCU3361--3361--               ,2010,M13,101.2,
344,PCU3361--3361--               ,2011,M13,102.0,
357,PCU3361--3361--               ,2012,M13,104.7,
370,PCU3361--3361--               ,2013,M13,105.8,
383,PCU3361--3361--               ,2014,M13,107.7,
396,PCU3361--3361--               ,2015,M13,110.3,
409,PCU3361--3361--               ,2016,M13,111.3,
422,PCU3361--3361--               ,2017,M13,112.9,
435,PCU3361--3361--               ,2018,M13,113.8,
448,PCU3361--3361--               ,2019,M13,114.2,
461,PCU3361--3361--               ,2020,M13,114.0,
474,PCU3361--3361--               ,2021,M13,117.02,
493,PCU33611-33611-               ,2004,M13,99.2,
506,PCU33611-33611-               ,2005,M13,98.2,
519,PCU33611-33611-               ,2006,M13,95.1,
532,PCU33611-33611-               ,2007,M13,95.3,
545,PCU33611-33611-               ,2008,M13,96.6,
558,PCU33611-33611-               ,2009,M13,99.4,
571,PCU33611-33611-               ,2010,M13,99.4,
584,PCU33611-33611-               ,2011,M13,100.1,
597,PCU33611-33611-               ,2012,M13,102.6,
610,PCU33611-33611-               ,2013,M13,103.7,
623,PCU33611-33611-               ,2014,M13,105.6,
636,PCU33611-33611-               ,2015,M13,108.2,
649,PCU33611-33611-               ,2016,M13,109.1,
662,PCU33611-33611-               ,2017,M13,110.5,
675,PCU33611-33611-               ,2018,M13,111.3,
688,PCU33611-33611-               ,2019,M13,111.6,
701,PCU33611-33611-               ,2020,M13,111.2,
714,PCU33611-33611-               ,2021,M13,114.465,
733,PCU336110336110               ,1976,M13,64.0,
746,PCU336110336110               ,1977,M13,68.2,
759,PCU336110336110               ,1978,M13,72.9,
772,PCU336110336110               ,1979,M13,78.7,
785,PCU336110336110               ,1980,M13,86.0,
798,PCU336110336110               ,1981,M13,94.5,
811,PCU336110336110               ,1982,M13,99.6,
824,PCU336110336110               ,1983,M13,102.1,
837,PCU336110336110               ,1984,M13,104.6,
850,PCU336110336110               ,1985,M13,107.2,
863,PCU336110336110               ,1986,M13,111.0,
876,PCU336110336110               ,1987,M13,113.0,
889,PCU336110336110               ,1988,M13,114.1,
902,PCU336110336110               ,1989,M13,117.4,
915,PCU336110336110               ,1990,M13,119.9,
928,PCU336110336110               ,1991,M13,125.3,
941,PCU336110336110               ,1992,M13,129.1,
954,PCU336110336110               ,1993,M13,133.2,
967,PCU336110336110               ,1994,M13,138.0,
980,PCU336110336110               ,1995,M13,139.1,
993,PCU336110336110               ,1996,M13,140.4,
1006,PCU336110336110               ,1997,M13,138.7,
1019,PCU336110336110               ,1998,M13,136.8,
1032,PCU336110336110               ,1999,M13,137.6,
1045,PCU336110336110               ,2000,M13,138.7,
1058,PCU336110336110               ,2001,M13,137.6,
1071,PCU336110336110               ,2002,M13,134.9,
1084,PCU336110336110               ,2003,M13,135.1,
1097,PCU336110336110               ,2004,M13,136.5,
1110,PCU336110336110               ,2005,M13,135.1,
1123,PCU336110336110               ,2006,M13,130.8,
1136,PCU336110336110               ,2007,M13,131.1,
1149,PCU336110336110               ,2008,M13,132.9,
1162,PCU336110336110               ,2009,M13,136.7,
1175,PCU336110336110               ,2010,M13,136.8,
1188,PCU336110336110               ,2011,M13,137.7,
1201,PCU336110336110               ,2012,M13,141.2,
1214,PCU336110336110               ,2013,M13,142.7,
1227,PCU336110336110               ,2014,M13,145.3,
1240,PCU336110336110               ,2015,M13,148.9,
1253,PCU336110336110               ,2016,M13,150.1,
1266,PCU336110336110               ,2017,M13,152.1,
1279,PCU336110336110               ,2018,M13,153.2,
1292,PCU336110336110               ,2019,M13,153.6,
1305,PCU336110336110               ,2020,M13,153.1,
1318,PCU336110336110               ,2021,M13,157.534,
1343,PCU3361103361101              ,1994,M13,133.6,
1356,PCU3361103361101              ,1995,M13,133.9,
1369,PCU3361103361101              ,1996,M13,135.1,
1382,PCU3361103361101              ,1997,M13,133.3,
1395,PCU3361103361101              ,1998,M13,131.6,
1408,PCU3361103361101              ,1999,M13,131.1,
1421,PCU3361103361101              ,2000,M13,132.5,
1434,PCU3361103361101              ,2001,M13,131.8,
1447,PCU3361103361101              ,2002,M13,129.3,
1460,PCU3361103361101              ,2003,M13,129.3,
1473,PCU3361103361101              ,2004,M13,131.5,
1486,PCU3361103361101              ,2005,M13,131.5,
1499,PCU3361103361101              ,2006,M13,127.8,
1512,PCU3361103361101              ,2007,M13,126.0,
1525,PCU3361103361101              ,2008,M13,128.8,
1538,PCU3361103361101              ,2009,M13,130.6,
1551,PCU3361103361101              ,2010,M13,128.5,
1564,PCU3361103361101              ,2011,M13,129.4,
1577,PCU3361103361101              ,2012,M13,130.7,
1590,PCU3361103361101              ,2013,M13,129.8,
1603,PCU3361103361101              ,2014,M13,130.6,
1616,PCU3361103361101              ,2015,M13,132.8,
1629,PCU3361103361101              ,2016,M13,132.9,
1642,PCU3361103361101              ,2017,M13,133.5,
1655,PCU3361103361101              ,2018,M13,133.5,
1668,PCU3361103361101              ,2019,M13,134.4,
1681,PCU3361103361101              ,2020,M13,134.0,
1694,PCU3361103361101              ,2021,M13,137.284,
1712,PCU3361103361102              ,1964,M13,37.2,
1725,PCU3361103361102              ,1965,M13,37.0,
1738,PCU3361103361102              ,1966,M13,36.9,
1751,PCU3361103361102              ,1967,M13,37.2,
1764,PCU3361103361102              ,1968,M13,38.5,
1777,PCU3361103361102              ,1969,M13,39.5,
1790,PCU3361103361102              ,1970,M13,41.4,
1803,PCU3361103361102              ,1971,M13,44.6,
1816,PCU3361103361102              ,1972,M13,45.5,
1829,PCU3361103361102              ,1973,M13,46.3,
1842,PCU3361103361102              ,1974,M13,51.5,
