,series_id,year,period,value,footnote_codes
0,PCU337---337---               ,1984,M12,100.0,
1,PCU337---337---               ,1985,M01,100.4,
2,PCU337---337---               ,1985,M02,100.8,
3,PCU337---337---               ,1985,M03,101.0,
4,PCU337---337---               ,1985,M04,101.5,
5,PCU337---337---               ,1985,M05,101.9,
6,PCU337---337---               ,1985,M06,102.1,
7,PCU337---337---               ,1985,M07,102.1,
8,PCU337---337---               ,1985,M08,102.3,
9,PCU337---337---               ,1985,M09,102.5,
10,PCU337---337---               ,1985,M10,102.4,
11,PCU337---337---               ,1985,M11,102.7,
12,PCU337---337---               ,1985,M12,102.8,
13,PCU337---337---               ,1985,M13,101.9,
14,PCU337---337---               ,1986,M01,103.0,
15,PCU337---337---               ,1986,M02,103.3,
16,PCU337---337---               ,1986,M03,103.4,
17,PCU337---337---               ,1986,M04,103.7,
18,PCU337---337---               ,1986,M05,103.9,
19,PCU337---337---               ,1986,M06,103.9,
20,PCU337---337---               ,1986,M07,104.0,
21,PCU337---337---               ,1986,M08,104.2,
22,PCU337---337---               ,1986,M09,104.1,
23,PCU337---337---               ,1986,M10,104.4,
24,PCU337---337---               ,1986,M11,104.6,
25,PCU337---337---               ,1986,M12,104.7,
26,PCU337---337---               ,1986,M13,103.9,
27,PCU337---337---               ,1987,M01,105.0,
28,PCU337---337---               ,1987,M02,105.3,
29,PCU337---337---               ,1987,M03,105.6,
30,PCU337---337---               ,1987,M04,106.0,
31,PCU337---337---               ,1987,M05,106.2,
32,PCU337---337---               ,1987,M06,106.3,
33,PCU337---337---               ,1987,M07,106.2,
34,PCU337---337---               ,1987,M08,106.6,
35,PCU337---337---               ,1987,M09,106.9,
36,PCU337---337---               ,1987,M10,107.2,
37,PCU337---337---               ,1987,M11,107.5,
38,PCU337---337---               ,1987,M12,108.0,
39,PCU337---337---               ,1987,M13,106.4,
40,PCU337---337---               ,1988,M01,109.0,
41,PCU337---337---               ,1988,M02,109.1,
42,PCU337---337---               ,1988,M03,110.1,
43,PCU337---337---               ,1988,M04,110.2,
44,PCU337---337---               ,1988,M05,111.1,
45,PCU337---337---               ,1988,M06,111.4,
46,PCU337---337---               ,1988,M07,111.9,
47,PCU337---337---               ,1988,M08,112.3,
48,PCU337---337---               ,1988,M09,112.5,
49,PCU337---337---               ,1988,M10,112.7,
50,PCU337---337---               ,1988,M11,112.9,
51,PCU337---337---               ,1988,M12,113.3,
52,PCU337---337---               ,1988,M13,111.4,
53,PCU337---337---               ,1989,M01,113.6,
54,PCU337---337---               ,1989,M02,114.0,
55,PCU337---337---               ,1989,M03,114.4,
56,PCU337---337---               ,1989,M04,114.7,
57,PCU337---337---               ,1989,M05,115.2,
58,PCU337---337---               ,1989,M06,115.5,
59,PCU337---337---               ,1989,M07,115.7,
60,PCU337---337---               ,1989,M08,116.3,
61,PCU337---337---               ,1989,M09,116.6,
62,PCU337---337---               ,1989,M10,117.0,
63,PCU337---337---               ,1989,M11,117.0,
64,PCU337---337---               ,1989,M12,117.2,
65,PCU337---337---               ,1989,M13,115.6,
66,PCU337---337---               ,1990,M01,117.7,
67,PCU337---337---               ,1990,M02,118.0,
68,PCU337---337---               ,1990,M03,118.1,
69,PCU337---337---               ,1990,M04,118.5,
70,PCU337---337---               ,1990,M05,119.0,
71,PCU337---337---               ,1990,M06,119.2,
72,PCU337---337---               ,1990,M07,119.2,
73,PCU337---337---               ,1990,M08,119.4,
74,PCU337---337---               ,1990,M09,119.6,
75,PCU337---337---               ,1990,M10,119.9,
76,PCU337---337---               ,1990,M11,120.3,
77,PCU337---337---               ,1990,M12,120.5,
78,PCU337---337---               ,1990,M13,119.1,
79,PCU337---337---               ,1991,M01,120.9,
80,PCU337---337---               ,1991,M02,121.3,
81,PCU337---337---               ,1991,M03,121.4,
82,PCU337---337---               ,1991,M04,121.5,
83,PCU337---337---               ,1991,M05,121.5,
84,PCU337---337---               ,1991,M06,121.6,
85,PCU337---337---               ,1991,M07,121.7,
86,PCU337---337---               ,1991,M08,121.8,
87,PCU337---337---               ,1991,M09,121.9,
88,PCU337---337---               ,1991,M10,121.9,
89,PCU337---337---               ,1991,M11,121.9,
90,PCU337---337---               ,1991,M12,121.8,
91,PCU337---337---               ,1991,M13,121.6,
92,PCU337---337---               ,1992,M01,122.3,
93,PCU337---337---               ,1992,M02,122.4,
94,PCU337---337---               ,1992,M03,122.6,
95,PCU337---337---               ,1992,M04,122.8,
96,PCU337---337---               ,1992,M05,122.9,
97,PCU337---337---               ,1992,M06,122.5,
98,PCU337---337---               ,1992,M07,123.0,
99,PCU337---337---               ,1992,M08,123.2,
100,PCU337---337---               ,1992,M09,123.3,
101,PCU337---337---               ,1992,M10,123.1,
102,PCU337---337---               ,1992,M11,123.5,
103,PCU337---337---               ,1992,M12,123.6,
104,PCU337---337---               ,1992,M13,122.9,
105,PCU337---337---               ,1993,M01,123.5,
106,PCU337---337---               ,1993,M02,124.3,
107,PCU337---337---               ,1993,M03,124.3,
108,PCU337---337---               ,1993,M04,124.5,
109,PCU337---337---               ,1993,M05,125.1,
110,PCU337---337---               ,1993,M06,125.4,
111,PCU337---337---               ,1993,M07,125.5,
112,PCU337---337---               ,1993,M08,125.7,
113,PCU337---337---               ,1993,M09,125.8,
114,PCU337---337---               ,1993,M10,126.6,
115,PCU337---337---               ,1993,M11,126.7,
116,PCU337---337---               ,1993,M12,127.2,
117,PCU337---337---               ,1993,M13,125.4,
118,PCU337---337---               ,1994,M01,127.6,
119,PCU337---337---               ,1994,M02,128.1,
120,PCU337---337---               ,1994,M03,128.3,
121,PCU337---337---               ,1994,M04,128.9,
122,PCU337---337---               ,1994,M05,130.1,
123,PCU337---337---               ,1994,M06,130.1,
124,PCU337---337---               ,1994,M07,130.2,
125,PCU337---337---               ,1994,M08,130.1,
126,PCU337---337---               ,1994,M09,130.3,
127,PCU337---337---               ,1994,M10,130.5,
128,PCU337---337---               ,1994,M11,130.9,
129,PCU337---337---               ,1994,M12,131.0,
130,PCU337---337---               ,1994,M13,129.7,
131,PCU337---337---               ,1995,M01,131.5,
132,PCU337---337---               ,1995,M02,132.0,
133,PCU337---337---               ,1995,M03,132.1,
134,PCU337---337---               ,1995,M04,132.6,
135,PCU337---337---               ,1995,M05,132.8,
136,PCU337---337---               ,1995,M06,133.4,
137,PCU337---337---               ,1995,M07,133.4,
138,PCU337---337---               ,1995,M08,133.9,
139,PCU337---337---               ,1995,M09,133.8,
140,PCU337---337---               ,1995,M10,134.4,
141,PCU337---337---               ,1995,M11,134.9,
142,PCU337---337---               ,1995,M12,134.9,
143,PCU337---337---               ,1995,M13,133.3,
144,PCU337---337---               ,1996,M01,135.2,
145,PCU337---337---               ,1996,M02,135.7,
146,PCU337---337---               ,1996,M03,135.6,
147,PCU337---337---               ,1996,M04,135.8,
148,PCU337---337---               ,1996,M05,135.7,
149,PCU337---337---               ,1996,M06,135.9,
150,PCU337---337---               ,1996,M07,136.2,
151,PCU337---337---               ,1996,M08,136.1,
152,PCU337---337---               ,1996,M09,136.4,
153,PCU337---337---               ,1996,M10,137.1,
154,PCU337---337---               ,1996,M11,137.3,
155,PCU337---337---               ,1996,M12,137.4,
156,PCU337---337---               ,1996,M13,136.2,
157,PCU337---337---               ,1997,M01,137.5,
158,PCU337---337---               ,1997,M02,137.6,
159,PCU337---337---               ,1997,M03,137.7,
160,PCU337---337---               ,1997,M04,138.0,
161,PCU337---337---               ,1997,M05,138.2,
162,PCU337---337---               ,1997,M06,138.2,
163,PCU337---337---               ,1997,M07,138.5,
164,PCU337---337---               ,1997,M08,138.3,
165,PCU337---337---               ,1997,M09,138.6,
166,PCU337---337---               ,1997,M10,138.6,
167,PCU337---337---               ,1997,M11,138.9,
168,PCU337---337---               ,1997,M12,138.9,
169,PCU337---337---               ,1997,M13,138.2,
170,PCU337---337---               ,1998,M01,139.1,
171,PCU337---337---               ,1998,M02,139.3,
172,PCU337---337---               ,1998,M03,139.4,
173,PCU337---337---               ,1998,M04,139.4,
174,PCU337---337---               ,1998,M05,139.7,
175,PCU337---337---               ,1998,M06,139.6,
176,PCU337---337---               ,1998,M07,139.6,
177,PCU337---337---               ,1998,M08,139.7,
178,PCU337---337---               ,1998,M09,139.7,
179,PCU337---337---               ,1998,M10,140.1,
180,PCU337---337---               ,1998,M11,140.0,
181,PCU337---337---               ,1998,M12,140.2,
182,PCU337---337---               ,1998,M13,139.7,
183,PCU337---337---               ,1999,M01,140.5,
184,PCU337---337---               ,1999,M02,140.5,
185,PCU337---337---               ,1999,M03,140.6,
186,PCU337---337---               ,1999,M04,140.7,
187,PCU337---337---               ,1999,M05,140.9,
188,PCU337---337---               ,1999,M06,141.1,
189,PCU337---337---               ,1999,M07,141.3,
190,PCU337---337---               ,1999,M08,141.6,
191,PCU337---337---               ,1999,M09,141.8,
192,PCU337---337---               ,1999,M10,142.0,
193,PCU337---337---               ,1999,M11,142.0,
194,PCU337---337---               ,1999,M12,142.1,
195,PCU337---337---               ,1999,M13,141.3,
196,PCU337---337---               ,2000,M01,142.4,
197,PCU337---337---               ,2000,M02,142.5,
198,PCU337---337---               ,2000,M03,143.0,
199,PCU337---337---               ,2000,M04,143.2,
200,PCU337---337---               ,2000,M05,143.4,
201,PCU337---337---               ,2000,M06,143.5,
202,PCU337---337---               ,2000,M07,143.5,
203,PCU337---337---               ,2000,M08,143.6,
204,PCU337---337---               ,2000,M09,143.5,
205,PCU337---337---               ,2000,M10,143.7,
206,PCU337---337---               ,2000,M11,143.8,
207,PCU337---337---               ,2000,M12,143.9,
208,PCU337---337---               ,2000,M13,143.3,
209,PCU337---337---               ,2001,M01,144.1,
210,PCU337---337---               ,2001,M02,144.3,
211,PCU337---337---               ,2001,M03,144.7,
212,PCU337---337---               ,2001,M04,144.8,
213,PCU337---337---               ,2001,M05,145.2,
214,PCU337---337---               ,2001,M06,145.3,
215,PCU337---337---               ,2001,M07,145.4,
216,PCU337---337---               ,2001,M08,145.2,
217,PCU337---337---               ,2001,M09,145.4,
218,PCU337---337---               ,2001,M10,145.5,
219,PCU337---337---               ,2001,M11,145.5,
220,PCU337---337---               ,2001,M12,145.5,
221,PCU337---337---               ,2001,M13,145.1,
222,PCU337---337---               ,2002,M01,145.6,
223,PCU337---337---               ,2002,M02,145.8,
224,PCU337---337---               ,2002,M03,145.7,
225,PCU337---337---               ,2002,M04,145.7,
226,PCU337---337---               ,2002,M05,145.9,
227,PCU337---337---               ,2002,M06,146.1,
228,PCU337---337---               ,2002,M07,146.6,
229,PCU337---337---               ,2002,M08,146.6,
230,PCU337---337---               ,2002,M09,147.0,
231,PCU337---337---               ,2002,M10,147.2,
232,PCU337---337---               ,2002,M11,147.0,
233,PCU337---337---               ,2002,M12,146.8,
234,PCU337---337---               ,2002,M13,146.3,
235,PCU337---337---               ,2003,M01,147.0,
236,PCU337---337---               ,2003,M02,147.1,
237,PCU337---337---               ,2003,M03,147.2,
238,PCU337---337---               ,2003,M04,147.3,
239,PCU337---337---               ,2003,M05,147.4,
240,PCU337---337---               ,2003,M06,147.5,
241,PCU337---337---               ,2003,M07,147.6,
242,PCU337---337---               ,2003,M08,147.5,
243,PCU337---337---               ,2003,M09,147.2,
244,PCU337---337---               ,2003,M10,147.6,
245,PCU337---337---               ,2003,M11,147.5,
246,PCU337---337---               ,2003,M12,147.6,
247,PCU337---337---               ,2003,M13,147.4,
248,PCU337---337---               ,2004,M01,147.4,
249,PCU337---337---               ,2004,M02,148.7,
250,PCU337---337---               ,2004,M03,149.0,
251,PCU337---337---               ,2004,M04,149.7,
252,PCU337---337---               ,2004,M05,151.4,
253,PCU337---337---               ,2004,M06,151.7,
254,PCU337---337---               ,2004,M07,152.0,
255,PCU337---337---               ,2004,M08,152.7,
256,PCU337---337---               ,2004,M09,152.8,
257,PCU337---337---               ,2004,M10,153.4,
258,PCU337---337---               ,2004,M11,154.6,
