,series_id,year,period,value,footnote_codes
0,PCU339---339---               ,2003,M12,100.0,
1,PCU339---339---               ,2004,M01,100.5,
2,PCU339---339---               ,2004,M02,100.9,
3,PCU339---339---               ,2004,M03,100.8,
4,PCU339---339---               ,2004,M04,101.0,
5,PCU339---339---               ,2004,M05,100.9,
6,PCU339---339---               ,2004,M06,101.2,
7,PCU339---339---               ,2004,M07,101.2,
8,PCU339---339---               ,2004,M08,101.4,
9,PCU339---339---               ,2004,M09,101.8,
10,PCU339---339---               ,2004,M10,101.3,
11,PCU339---339---               ,2004,M11,101.3,
12,PCU339---339---               ,2004,M12,101.6,
14,PCU339---339---               ,2005,M01,102.2,
15,PCU339---339---               ,2005,M02,102.5,
16,PCU339---339---               ,2005,M03,102.7,
17,PCU339---339---               ,2005,M04,102.6,
18,PCU339---339---               ,2005,M05,102.8,
19,PCU339---339---               ,2005,M06,102.9,
20,PCU339---339---               ,2005,M07,102.9,
21,PCU339---339---               ,2005,M08,103.0,
22,PCU339---339---               ,2005,M09,103.1,
23,PCU339---339---               ,2005,M10,103.3,
24,PCU339---339---               ,2005,M11,103.3,
25,PCU339---339---               ,2005,M12,103.6,
27,PCU339---339---               ,2006,M01,104.0,
28,PCU339---339---               ,2006,M02,103.9,
29,PCU339---339---               ,2006,M03,104.2,
30,PCU339---339---               ,2006,M04,104.5,
31,PCU339---339---               ,2006,M05,104.9,
32,PCU339---339---               ,2006,M06,104.8,
33,PCU339---339---               ,2006,M07,105.1,
34,PCU339---339---               ,2006,M08,105.2,
35,PCU339---339---               ,2006,M09,104.9,
36,PCU339---339---               ,2006,M10,104.8,
37,PCU339---339---               ,2006,M11,105.3,
38,PCU339---339---               ,2006,M12,105.4,
40,PCU339---339---               ,2007,M01,106.1,
41,PCU339---339---               ,2007,M02,106.5,
42,PCU339---339---               ,2007,M03,106.8,
43,PCU339---339---               ,2007,M04,106.8,
44,PCU339---339---               ,2007,M05,107.1,
45,PCU339---339---               ,2007,M06,107.0,
46,PCU339---339---               ,2007,M07,106.9,
47,PCU339---339---               ,2007,M08,107.0,
48,PCU339---339---               ,2007,M09,107.1,
49,PCU339---339---               ,2007,M10,107.2,
50,PCU339---339---               ,2007,M11,107.5,
51,PCU339---339---               ,2007,M12,107.7,
53,PCU339---339---               ,2008,M01,108.5,
54,PCU339---339---               ,2008,M02,108.7,
55,PCU339---339---               ,2008,M03,109.2,
56,PCU339---339---               ,2008,M04,109.3,
57,PCU339---339---               ,2008,M05,109.4,
58,PCU339---339---               ,2008,M06,109.9,
59,PCU339---339---               ,2008,M07,110.8,
60,PCU339---339---               ,2008,M08,110.5,
61,PCU339---339---               ,2008,M09,110.4,
62,PCU339---339---               ,2008,M10,110.6,
63,PCU339---339---               ,2008,M11,110.4,
64,PCU339---339---               ,2008,M12,110.8,
66,PCU339---339---               ,2009,M01,111.4,
67,PCU339---339---               ,2009,M02,111.4,
68,PCU339---339---               ,2009,M03,111.6,
69,PCU339---339---               ,2009,M04,111.7,
70,PCU339---339---               ,2009,M05,111.3,
71,PCU339---339---               ,2009,M06,111.4,
72,PCU339---339---               ,2009,M07,111.2,
73,PCU339---339---               ,2009,M08,111.3,
74,PCU339---339---               ,2009,M09,111.4,
75,PCU339---339---               ,2009,M10,111.6,
76,PCU339---339---               ,2009,M11,111.8,
77,PCU339---339---               ,2009,M12,112.0,
79,PCU339---339---               ,2010,M01,112.1,
80,PCU339---339---               ,2010,M02,112.1,
81,PCU339---339---               ,2010,M03,112.5,
82,PCU339---339---               ,2010,M04,112.6,
83,PCU339---339---               ,2010,M05,112.6,
84,PCU339---339---               ,2010,M06,112.7,
85,PCU339---339---               ,2010,M07,113.2,
86,PCU339---339---               ,2010,M08,113.3,
87,PCU339---339---               ,2010,M09,113.3,
88,PCU339---339---               ,2010,M10,113.8,
89,PCU339---339---               ,2010,M11,113.9,
90,PCU339---339---               ,2010,M12,113.9,
92,PCU339---339---               ,2011,M01,114.4,
93,PCU339---339---               ,2011,M02,114.9,
94,PCU339---339---               ,2011,M03,115.1,
95,PCU339---339---               ,2011,M04,115.5,
96,PCU339---339---               ,2011,M05,115.5,
97,PCU339---339---               ,2011,M06,115.8,
98,PCU339---339---               ,2011,M07,116.1,
99,PCU339---339---               ,2011,M08,116.3,
100,PCU339---339---               ,2011,M09,116.4,
101,PCU339---339---               ,2011,M10,116.5,
102,PCU339---339---               ,2011,M11,116.6,
103,PCU339---339---               ,2011,M12,116.7,
105,PCU339---339---               ,2012,M01,116.9,
106,PCU339---339---               ,2012,M02,117.7,
107,PCU339---339---               ,2012,M03,117.7,
108,PCU339---339---               ,2012,M04,117.5,
109,PCU339---339---               ,2012,M05,117.3,
110,PCU339---339---               ,2012,M06,117.5,
111,PCU339---339---               ,2012,M07,117.6,
112,PCU339---339---               ,2012,M08,117.6,
113,PCU339---339---               ,2012,M09,117.9,
114,PCU339---339---               ,2012,M10,117.6,
115,PCU339---339---               ,2012,M11,117.8,
116,PCU339---339---               ,2012,M12,118.0,
118,PCU339---339---               ,2013,M01,118.2,
119,PCU339---339---               ,2013,M02,118.4,
120,PCU339---339---               ,2013,M03,118.6,
121,PCU339---339---               ,2013,M04,118.8,
122,PCU339---339---               ,2013,M05,118.9,
123,PCU339---339---               ,2013,M06,118.7,
124,PCU339---339---               ,2013,M07,118.6,
125,PCU339---339---               ,2013,M08,118.8,
126,PCU339---339---               ,2013,M09,118.7,
127,PCU339---339---               ,2013,M10,118.6,
128,PCU339---339---               ,2013,M11,118.8,
129,PCU339---339---               ,2013,M12,118.7,
131,PCU339---339---               ,2014,M01,119.0,
132,PCU339---339---               ,2014,M02,119.2,
133,PCU339---339---               ,2014,M03,118.6,
