,series_id,year,period,value,footnote_codes
13,PCU442---442---               ,2004,M13,102.4,
26,PCU442---442---               ,2005,M13,110.7,
39,PCU442---442---               ,2006,M13,116.6,
52,PCU442---442---               ,2007,M13,117.4,
65,PCU442---442---               ,2008,M13,120.3,
78,PCU442---442---               ,2009,M13,121.5,
91,PCU442---442---               ,2010,M13,121.1,
104,PCU442---442---               ,2011,M13,124.3,
117,PCU442---442---               ,2012,M13,126.7,
130,PCU442---442---               ,2013,M13,130.7,
143,PCU442---442---               ,2014,M13,134.8,
156,PCU442---442---               ,2015,M13,134.9,
169,PCU442---442---               ,2016,M13,137.7,
182,PCU442---442---               ,2017,M13,142.0,
195,PCU442---442---               ,2018,M13,139.3,
208,PCU442---442---               ,2019,M13,142.9,
221,PCU442---442---               ,2020,M13,147.0,
234,PCU442---442---               ,2021,M13,170.592,P
251,PCU4421--4421--               ,2004,M13,100.8,
264,PCU4421--4421--               ,2005,M13,108.0,
277,PCU4421--4421--               ,2006,M13,111.0,
290,PCU4421--4421--               ,2007,M13,110.6,
303,PCU4421--4421--               ,2008,M13,113.7,
316,PCU4421--4421--               ,2009,M13,117.2,
329,PCU4421--4421--               ,2010,M13,117.0,
342,PCU4421--4421--               ,2011,M13,118.4,
355,PCU4421--4421--               ,2012,M13,120.1,
368,PCU4421--4421--               ,2013,M13,120.5,
381,PCU4421--4421--               ,2014,M13,122.2,
394,PCU4421--4421--               ,2015,M13,124.3,
407,PCU4421--4421--               ,2016,M13,129.9,
420,PCU4421--4421--               ,2017,M13,133.5,
433,PCU4421--4421--               ,2018,M13,132.7,
446,PCU4421--4421--               ,2019,M13,139.8,
459,PCU4421--4421--               ,2020,M13,146.9,
472,PCU4421--4421--               ,2021,M13,171.804,P
489,PCU44211-44211-               ,2004,M13,100.8,
502,PCU44211-44211-               ,2005,M13,108.0,
515,PCU44211-44211-               ,2006,M13,111.0,
528,PCU44211-44211-               ,2007,M13,110.6,
541,PCU44211-44211-               ,2008,M13,113.7,
554,PCU44211-44211-               ,2009,M13,117.2,
567,PCU44211-44211-               ,2010,M13,117.0,
580,PCU44211-44211-               ,2011,M13,118.4,
593,PCU44211-44211-               ,2012,M13,120.1,
606,PCU44211-44211-               ,2013,M13,120.5,
619,PCU44211-44211-               ,2014,M13,122.2,
632,PCU44211-44211-               ,2015,M13,124.3,
645,PCU44211-44211-               ,2016,M13,129.9,
658,PCU44211-44211-               ,2017,M13,133.5,
671,PCU44211-44211-               ,2018,M13,132.7,
684,PCU44211-44211-               ,2019,M13,139.8,
697,PCU44211-44211-               ,2020,M13,146.9,
710,PCU44211-44211-               ,2021,M13,171.804,P
733,PCU442110442110               ,2004,M13,102.2,
746,PCU442110442110               ,2005,M13,109.4,
759,PCU442110442110               ,2006,M13,112.5,
772,PCU442110442110               ,2007,M13,112.1,
785,PCU442110442110               ,2008,M13,115.2,
798,PCU442110442110               ,2009,M13,118.8,
811,PCU442110442110               ,2010,M13,118.6,
824,PCU442110442110               ,2011,M13,120.0,
837,PCU442110442110               ,2012,M13,121.7,
850,PCU442110442110               ,2013,M13,122.1,
863,PCU442110442110               ,2014,M13,123.9,
876,PCU442110442110               ,2015,M13,125.9,
889,PCU442110442110               ,2016,M13,131.6,
902,PCU442110442110               ,2017,M13,135.3,
915,PCU442110442110               ,2018,M13,134.5,
928,PCU442110442110               ,2019,M13,141.7,
941,PCU442110442110               ,2020,M13,148.9,
954,PCU442110442110               ,2021,M13,174.112,P
977,PCU4421104421101              ,2004,M13,102.2,
990,PCU4421104421101              ,2005,M13,109.4,
1003,PCU4421104421101              ,2006,M13,112.5,
1016,PCU4421104421101              ,2007,M13,112.1,
1029,PCU4421104421101              ,2008,M13,115.2,
1042,PCU4421104421101              ,2009,M13,118.8,
1055,PCU4421104421101              ,2010,M13,118.6,
1068,PCU4421104421101              ,2011,M13,120.0,
