,series_id,year,period,value,footnote_codes
7,PCU447---447---               ,2001,M13,105.6,
20,PCU447---447---               ,2002,M13,66.8,
33,PCU447---447---               ,2003,M13,54.1,
46,PCU447---447---               ,2004,M13,51.3,
59,PCU447---447---               ,2005,M13,51.0,
72,PCU447---447---               ,2006,M13,50.9,
85,PCU447---447---               ,2007,M13,74.0,
98,PCU447---447---               ,2008,M13,70.3,
111,PCU447---447---               ,2009,M13,68.5,
124,PCU447---447---               ,2010,M13,71.8,
137,PCU447---447---               ,2011,M13,77.4,
150,PCU447---447---               ,2012,M13,81.0,
163,PCU447---447---               ,2013,M13,86.5,
176,PCU447---447---               ,2014,M13,94.1,
189,PCU447---447---               ,2015,M13,101.3,
202,PCU447---447---               ,2016,M13,106.9,
215,PCU447---447---               ,2017,M13,110.9,
228,PCU447---447---               ,2018,M13,113.2,
241,PCU447---447---               ,2019,M13,113.1,
254,PCU447---447---               ,2020,M13,138.5,
267,PCU447---447---               ,2021,M13,138.636,
279,PCU4471--4471--               ,2001,M13,105.6,
292,PCU4471--4471--               ,2002,M13,66.8,
305,PCU4471--4471--               ,2003,M13,54.1,
318,PCU4471--4471--               ,2004,M13,51.3,
331,PCU4471--4471--               ,2005,M13,51.0,
344,PCU4471--4471--               ,2006,M13,50.9,
357,PCU4471--4471--               ,2007,M13,74.0,
370,PCU4471--4471--               ,2008,M13,70.3,
383,PCU4471--4471--               ,2009,M13,68.5,
396,PCU4471--4471--               ,2010,M13,71.8,
409,PCU4471--4471--               ,2011,M13,77.4,
422,PCU4471--4471--               ,2012,M13,81.0,
435,PCU4471--4471--               ,2013,M13,86.5,
448,PCU4471--4471--               ,2014,M13,94.1,
461,PCU4471--4471--               ,2015,M13,101.3,
474,PCU4471--4471--               ,2016,M13,106.9,
487,PCU4471--4471--               ,2017,M13,110.9,
500,PCU4471--4471--               ,2018,M13,113.2,
513,PCU4471--4471--               ,2019,M13,113.1,
526,PCU4471--4471--               ,2020,M13,138.5,
539,PCU4471--4471--               ,2021,M13,138.636,
551,PCU44710-44710-               ,2001,M13,105.6,
564,PCU44710-44710-               ,2002,M13,66.8,
577,PCU44710-44710-               ,2003,M13,54.1,
590,PCU44710-44710-               ,2004,M13,51.3,
603,PCU44710-44710-               ,2005,M13,51.0,
616,PCU44710-44710-               ,2006,M13,50.9,
629,PCU44710-44710-               ,2007,M13,74.0,
642,PCU44710-44710-               ,2008,M13,70.3,
655,PCU44710-44710-               ,2009,M13,68.5,
668,PCU44710-44710-               ,2010,M13,71.8,
681,PCU44710-44710-               ,2011,M13,77.4,
694,PCU44710-44710-               ,2012,M13,81.0,
707,PCU44710-44710-               ,2013,M13,86.5,
720,PCU44710-44710-               ,2014,M13,94.1,
733,PCU44710-44710-               ,2015,M13,101.3,
746,PCU44710-44710-               ,2016,M13,106.9,
759,PCU44710-44710-               ,2017,M13,110.9,
772,PCU44710-44710-               ,2018,M13,113.2,
785,PCU44710-44710-               ,2019,M13,113.1,
798,PCU44710-44710-               ,2020,M13,138.5,
811,PCU44710-44710-               ,2021,M13,138.636,
823,PCU447100447100               ,2001,M13,93.8,
836,PCU447100447100               ,2002,M13,59.3,
849,PCU447100447100               ,2003,M13,48.1,
862,PCU447100447100               ,2004,M13,45.6,
875,PCU447100447100               ,2005,M13,45.3,
888,PCU447100447100               ,2006,M13,45.2,
901,PCU447100447100               ,2007,M13,65.7,
914,PCU447100447100               ,2008,M13,62.5,
927,PCU447100447100               ,2009,M13,60.8,
940,PCU447100447100               ,2010,M13,63.8,
953,PCU447100447100               ,2011,M13,68.8,
966,PCU447100447100               ,2012,M13,72.0,
979,PCU447100447100               ,2013,M13,76.8,
992,PCU447100447100               ,2014,M13,83.5,
1005,PCU447100447100               ,2015,M13,90.0,
1018,PCU447100447100               ,2016,M13,94.9,
1031,PCU447100447100               ,2017,M13,98.5,
1044,PCU447100447100               ,2018,M13,100.5,
1057,PCU447100447100               ,2019,M13,100.4,
1070,PCU447100447100               ,2020,M13,123.1,
1083,PCU447100447100               ,2021,M13,123.17,
1108,PCU4471004471001              ,2020,M13,124.1,
1121,PCU4471004471001              ,2021,M13,124.002,
1146,PCU44710044710011             ,2020,M13,142.5,
1159,PCU44710044710011             ,2021,M13,138.526,
1188,PCU44710044710012             ,2014,M13,102.6,
1201,PCU44710044710012             ,2015,M13,108.5,
1214,PCU44710044710012             ,2016,M13,111.4,
1227,PCU44710044710012             ,2017,M13,113.9,
1240,PCU44710044710012             ,2018,M13,109.2,
1253,PCU44710044710012             ,2019,M13,104.9,
1266,PCU44710044710012             ,2020,M13,107.2,
1279,PCU44710044710012             ,2021,M13,113.158,
1304,PCU447100447100P              ,2020,M13,124.1,
1317,PCU447100447100P              ,2021,M13,124.002,
