,series_id,year,period,value,footnote_codes
13,PCU452---452---               ,2004,M13,103.1,
26,PCU452---452---               ,2005,M13,103.4,
39,PCU452---452---               ,2006,M13,106.6,
52,PCU452---452---               ,2007,M13,110.0,
65,PCU452---452---               ,2008,M13,112.9,
78,PCU452---452---               ,2009,M13,105.7,
91,PCU452---452---               ,2010,M13,114.7,
104,PCU452---452---               ,2011,M13,116.5,
117,PCU452---452---               ,2012,M13,125.7,
130,PCU452---452---               ,2013,M13,125.8,
143,PCU452---452---               ,2014,M13,125.8,
156,PCU452---452---               ,2015,M13,123.9,
169,PCU452---452---               ,2016,M13,124.8,
182,PCU452---452---               ,2017,M13,125.3,
195,PCU452---452---               ,2018,M13,123.9,
208,PCU452---452---               ,2019,M13,126.9,
221,PCU452---452---               ,2020,M13,124.6,
234,PCU452---452---               ,2021,M13,131.777,
252,PCU4522--4522--               ,2004,M13,105.4,
265,PCU4522--4522--               ,2005,M13,105.1,
278,PCU4522--4522--               ,2006,M13,105.6,
291,PCU4522--4522--               ,2007,M13,111.4,
304,PCU4522--4522--               ,2008,M13,117.8,
317,PCU4522--4522--               ,2009,M13,111.3,
330,PCU4522--4522--               ,2010,M13,122.6,
343,PCU4522--4522--               ,2011,M13,125.4,
356,PCU4522--4522--               ,2012,M13,130.3,
369,PCU4522--4522--               ,2013,M13,125.9,
382,PCU4522--4522--               ,2014,M13,122.0,
395,PCU4522--4522--               ,2015,M13,116.9,
408,PCU4522--4522--               ,2016,M13,119.4,
421,PCU4522--4522--               ,2017,M13,123.6,
434,PCU4522--4522--               ,2018,M13,122.9,
447,PCU4522--4522--               ,2019,M13,122.5,
460,PCU4522--4522--               ,2020,M13,122.7,
473,PCU4522--4522--               ,2021,M13,136.576,
491,PCU45221-45221-               ,2004,M13,105.4,
504,PCU45221-45221-               ,2005,M13,105.1,
517,PCU45221-45221-               ,2006,M13,105.6,
530,PCU45221-45221-               ,2007,M13,111.4,
543,PCU45221-45221-               ,2008,M13,117.8,
556,PCU45221-45221-               ,2009,M13,111.3,
569,PCU45221-45221-               ,2010,M13,122.6,
582,PCU45221-45221-               ,2011,M13,125.4,
595,PCU45221-45221-               ,2012,M13,130.3,
608,PCU45221-45221-               ,2013,M13,125.9,
621,PCU45221-45221-               ,2014,M13,122.0,
634,PCU45221-45221-               ,2015,M13,116.9,
647,PCU45221-45221-               ,2016,M13,119.4,
660,PCU45221-45221-               ,2017,M13,123.6,
673,PCU45221-45221-               ,2018,M13,122.9,
686,PCU45221-45221-               ,2019,M13,122.5,
699,PCU45221-45221-               ,2020,M13,122.7,
712,PCU45221-45221-               ,2021,M13,136.576,
730,PCU452210452210               ,2018,M13,104.1,
743,PCU452210452210               ,2019,M13,103.8,
756,PCU452210452210               ,2020,M13,103.9,
769,PCU452210452210               ,2021,M13,115.709,
787,PCU4522104522101              ,2018,M13,104.6,
800,PCU4522104522101              ,2019,M13,105.0,
813,PCU4522104522101              ,2020,M13,105.8,
826,PCU4522104522101              ,2021,M13,117.221,
844,PCU452210452210P              ,2018,M13,104.6,
857,PCU452210452210P              ,2019,M13,105.0,
870,PCU452210452210P              ,2020,M13,105.8,
883,PCU452210452210P              ,2021,M13,117.221,
901,PCU4523--4523--               ,2004,M13,97.7,
914,PCU4523--4523--               ,2005,M13,99.5,
927,PCU4523--4523--               ,2006,M13,108.9,
940,PCU4523--4523--               ,2007,M13,110.0,
953,PCU4523--4523--               ,2008,M13,107.9,
966,PCU4523--4523--               ,2009,M13,99.5,
979,PCU4523--4523--               ,2010,M13,105.3,
992,PCU4523--4523--               ,2011,M13,105.8,
1005,PCU4523--4523--               ,2012,M13,116.0,
1018,PCU4523--4523--               ,2013,M13,119.6,
1031,PCU4523--4523--               ,2014,M13,122.8,
1044,PCU4523--4523--               ,2015,M13,123.6,
1057,PCU4523--4523--               ,2016,M13,123.0,
1070,PCU4523--4523--               ,2017,M13,120.5,
1083,PCU4523--4523--               ,2018,M13,120.0,
1096,PCU4523--4523--               ,2019,M13,124.5,
1109,PCU4523--4523--               ,2020,M13,120.9,
1122,PCU4523--4523--               ,2021,M13,124.871,
1140,PCU45231-45231-               ,2004,M13,97.7,
1153,PCU45231-45231-               ,2005,M13,99.5,
1166,PCU45231-45231-               ,2006,M13,108.9,
1179,PCU45231-45231-               ,2007,M13,110.0,
1192,PCU45231-45231-               ,2008,M13,107.9,
1205,PCU45231-45231-               ,2009,M13,99.5,
1218,PCU45231-45231-               ,2010,M13,105.3,
1231,PCU45231-45231-               ,2011,M13,105.8,
1244,PCU45231-45231-               ,2012,M13,116.0,
1257,PCU45231-45231-               ,2013,M13,119.6,
1270,PCU45231-45231-               ,2014,M13,122.8,
1283,PCU45231-45231-               ,2015,M13,123.6,
1296,PCU45231-45231-               ,2016,M13,123.0,
1309,PCU45231-45231-               ,2017,M13,120.5,
1322,PCU45231-45231-               ,2018,M13,120.0,
1335,PCU45231-45231-               ,2019,M13,124.5,
1348,PCU45231-45231-               ,2020,M13,121.0,
1361,PCU45231-45231-               ,2021,M13,124.901,
1379,PCU452310452310               ,2004,M13,97.7,
1392,PCU452310452310               ,2005,M13,99.5,
1405,PCU452310452310               ,2006,M13,108.9,
1418,PCU452310452310               ,2007,M13,110.0,
1431,PCU452310452310               ,2008,M13,107.9,
1444,PCU452310452310               ,2009,M13,99.5,
1457,PCU452310452310               ,2010,M13,105.3,
1470,PCU452310452310               ,2011,M13,105.8,
1483,PCU452310452310               ,2012,M13,116.0,
1496,PCU452310452310               ,2013,M13,119.6,
1509,PCU452310452310               ,2014,M13,122.8,
1522,PCU452310452310               ,2015,M13,123.6,
1535,PCU452310452310               ,2016,M13,123.0,
1548,PCU452310452310               ,2017,M13,120.5,
1561,PCU452310452310               ,2018,M13,120.1,
1574,PCU452310452310               ,2019,M13,124.5,
1587,PCU452310452310               ,2020,M13,121.0,
1600,PCU452310452310               ,2021,M13,124.924,
1618,PCU4523104523101              ,2004,M13,97.7,
1631,PCU4523104523101              ,2005,M13,99.5,
1644,PCU4523104523101              ,2006,M13,108.9,
1657,PCU4523104523101              ,2007,M13,110.0,
1670,PCU4523104523101              ,2008,M13,107.9,
1683,PCU4523104523101              ,2009,M13,99.5,
1696,PCU4523104523101              ,2010,M13,105.3,
1709,PCU4523104523101              ,2011,M13,105.8,
1722,PCU4523104523101              ,2012,M13,116.0,
1735,PCU4523104523101              ,2013,M13,119.6,
1748,PCU4523104523101              ,2014,M13,122.8,
1761,PCU4523104523101              ,2015,M13,123.6,
1774,PCU4523104523101              ,2016,M13,123.0,
1787,PCU4523104523101              ,2017,M13,120.1,
1800,PCU4523104523101              ,2018,M13,119.4,
1813,PCU4523104523101              ,2019,M13,124.1,
1826,PCU4523104523101              ,2020,M13,120.4,
1839,PCU4523104523101              ,2021,M13,124.527,
1857,PCU45231045231011             ,2009,M13,90.3,
1870,PCU45231045231011             ,2010,M13,97.6,
1883,PCU45231045231011             ,2011,M13,97.3,
1896,PCU45231045231011             ,2012,M13,106.9,
1909,PCU45231045231011             ,2013,M13,110.5,
1922,PCU45231045231011             ,2014,M13,113.6,
1935,PCU45231045231011             ,2015,M13,114.0,
1948,PCU45231045231011             ,2016,M13,113.2,
1961,PCU45231045231011             ,2017,M13,109.7,
1974,PCU45231045231011             ,2018,M13,108.9,
1987,PCU45231045231011             ,2019,M13,114.4,
2000,PCU45231045231011             ,2020,M13,109.7,
2013,PCU45231045231011             ,2021,M13,114.104,
2034,PCU45231045231012             ,2009,M13,118.6,
2047,PCU45231045231012             ,2010,M13,119.6,
2060,PCU45231045231012             ,2011,M13,122.3,
2073,PCU45231045231012             ,2012,M13,126.9,
2086,PCU45231045231012             ,2013,M13,128.2,
2099,PCU45231045231012             ,2014,M13,130.9,
2112,PCU45231045231012             ,2015,M13,134.1,
2125,PCU45231045231012             ,2016,M13,135.7,
2138,PCU45231045231012             ,2017,M13,137.2,
2151,PCU45231045231012             ,2018,M13,137.3,
2164,PCU45231045231012             ,2019,M13,137.0,
2177,PCU45231045231012             ,2020,M13,139.0,
2190,PCU45231045231012             ,2021,M13,140.726,
2208,PCU452310452310P              ,2004,M13,97.7,
2221,PCU452310452310P              ,2005,M13,99.5,
2234,PCU452310452310P              ,2006,M13,108.9,
2247,PCU452310452310P              ,2007,M13,110.0,
2260,PCU452310452310P              ,2008,M13,107.9,
2273,PCU452310452310P              ,2009,M13,99.5,
2286,PCU452310452310P              ,2010,M13,105.3,
2299,PCU452310452310P              ,2011,M13,105.8,
2312,PCU452310452310P              ,2012,M13,116.0,
2325,PCU452310452310P              ,2013,M13,119.6,
2338,PCU452310452310P              ,2014,M13,122.8,
2351,PCU452310452310P              ,2015,M13,123.6,
2364,PCU452310452310P              ,2016,M13,123.0,
2377,PCU452310452310P              ,2017,M13,120.1,
