index,Index,Label,unit,start,last,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU483---483---               ,PCU483---483---               ,"PPI industry sub-sector data for Water transportation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,101.3,106.4,111.1,113.5,127.0,116.1,125.5,133.4,136.4,135.1,138.4,138.9,131.7,129.8,137.1,143.6,138.8,149.148
PCU483111483111               ,PCU483111483111               ,"PPI industry data for Deep sea freight transportation, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2022-M04,106.3,113.1,119.5,116.4,115.9,114.4,113.3,114.1,113.1,116.7,134.0,155.8,172.2,185.8,219.9,225.9,231.9,233.3,230.0,258.3,218.8,244.8,253.8,249.9,249.2,262.5,259.2,241.6,262.8,291.8,309.5,292.0,328.986
PCU4831114831115              ,PCU4831114831115              ,"PPI industry data for Deep sea freight transportation-Deep sea freight transportation services, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2022-M04,106.4,113.2,119.7,117.1,116.3,114.4,113.4,114.2,113.1,117.0,135.2,158.2,175.5,189.5,224.6,230.8,236.9,238.3,234.9,263.9,223.6,250.1,259.3,255.3,254.5,268.2,264.8,246.8,268.4,298.1,316.2,298.3,336.089
PCU483111483111P              ,PCU483111483111P              ,"PPI industry data for Deep sea freight transportation-Primary services, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2022-M04,106.4,113.2,119.7,117.1,116.3,114.4,113.4,114.2,113.1,117.0,135.2,158.2,175.5,189.5,224.6,230.8,236.9,238.3,234.9,263.9,223.6,250.1,259.3,255.3,254.5,268.2,264.8,246.8,268.4,298.1,316.2,298.3,336.089
PCU483113483113               ,PCU483113483113               ,"PPI industry data for Coastal and Great Lakes freight transport., not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,101.7,109.9,119.9,130.2,141.8,137.4,146.7,158.5,166.7,165.6,167.7,173.4,166.8,150.1,151.0,153.0,154.8,163.967
PCU4831134831131              ,PCU4831134831131              ,"PPI industry data for Coastal and Great Lakes freight transport.-Coastal and intercoastal freight transportation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,101.2,111.4,121.1,133.2,138.9,133.2,144.2,154.9,162.9,159.1,159.1,166.1,156.6,138.5,127.4,126.9,127.0,128.839
PCU4831134831132              ,PCU4831134831132              ,"PPI industry data for Coastal and Great Lakes freight transport.-Great Lakes - St. Lawrence Seaway freight transportation, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2022-M04,,,,100.5,101.3,100.6,102.0,104.6,106.4,107.4,107.4,107.4,108.2,106.6,106.3,107.7,112.0,120.3,133.2,154.0,156.2,163.2,181.7,200.6,205.7,198.6,,,184.7,195.8,202.1,193.3,208.987
PCU4831134831133              ,PCU4831134831133              ,"PPI industry data for Coastal and Great Lakes freight transport.-Coastal and intercoastal towing transportation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,103.7,109.7,116.4,122.5,157.1,147.5,152.8,164.7,172.7,173.9,179.6,185.8,181.1,161.4,176.4,187.8,205.0,239.22
PCU483113483113P              ,PCU483113483113P              ,"PPI industry data for Coastal and Great Lakes freight transport.-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,101.8,110.2,119.0,129.2,141.0,135.3,144.8,156.1,164.1,162.9,164.9,170.6,163.7,146.3,146.6,148.7,150.7,159.2
PCU483113483113SM             ,PCU483113483113SM             ,"PPI industry data for Coastal and Great Lakes freight transport.-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2013-M13,,,,,,,,,,,,,,,,101.1,108.3,124.6,128.0,133.8,159.1,162.4,182.7,193.6,196.5,,,,,,,,
