,series_id,year,period,value,footnote_codes
0,PCU4861--4861--               ,2003,M12,100.0,
1,PCU4861--4861--               ,2004,M01,103.6,
2,PCU4861--4861--               ,2004,M02,103.6,
3,PCU4861--4861--               ,2004,M03,101.7,
4,PCU4861--4861--               ,2004,M04,102.0,
5,PCU4861--4861--               ,2004,M05,102.0,
6,PCU4861--4861--               ,2004,M06,103.4,
7,PCU4861--4861--               ,2004,M07,105.1,
8,PCU4861--4861--               ,2004,M08,105.2,
9,PCU4861--4861--               ,2004,M09,105.2,
10,PCU4861--4861--               ,2004,M10,105.2,
11,PCU4861--4861--               ,2004,M11,105.1,
12,PCU4861--4861--               ,2004,M12,105.0,
13,PCU4861--4861--               ,2004,M13,103.9,
14,PCU4861--4861--               ,2005,M01,111.3,
15,PCU4861--4861--               ,2005,M02,111.1,
16,PCU4861--4861--               ,2005,M03,111.0,
17,PCU4861--4861--               ,2005,M04,111.1,
18,PCU4861--4861--               ,2005,M05,111.1,
19,PCU4861--4861--               ,2005,M06,111.1,
20,PCU4861--4861--               ,2005,M07,115.4,
21,PCU4861--4861--               ,2005,M08,115.4,
22,PCU4861--4861--               ,2005,M09,115.4,
23,PCU4861--4861--               ,2005,M10,115.4,
24,PCU4861--4861--               ,2005,M11,115.4,
25,PCU4861--4861--               ,2005,M12,115.4,
26,PCU4861--4861--               ,2005,M13,113.3,
27,PCU4861--4861--               ,2006,M01,120.5,
28,PCU4861--4861--               ,2006,M02,120.5,
29,PCU4861--4861--               ,2006,M03,120.5,
30,PCU4861--4861--               ,2006,M04,120.5,
31,PCU4861--4861--               ,2006,M05,120.3,
32,PCU4861--4861--               ,2006,M06,120.3,
33,PCU4861--4861--               ,2006,M07,123.6,
34,PCU4861--4861--               ,2006,M08,123.6,
35,PCU4861--4861--               ,2006,M09,123.6,
36,PCU4861--4861--               ,2006,M10,123.6,
37,PCU4861--4861--               ,2006,M11,123.6,
38,PCU4861--4861--               ,2006,M12,123.6,
39,PCU4861--4861--               ,2006,M13,122.0,
40,PCU4861--4861--               ,2007,M01,120.4,
41,PCU4861--4861--               ,2007,M02,120.4,
42,PCU4861--4861--               ,2007,M03,120.8,
43,PCU4861--4861--               ,2007,M04,121.3,
44,PCU4861--4861--               ,2007,M05,124.1,
45,PCU4861--4861--               ,2007,M06,124.1,
46,PCU4861--4861--               ,2007,M07,127.6,
47,PCU4861--4861--               ,2007,M08,127.6,
48,PCU4861--4861--               ,2007,M09,129.3,
49,PCU4861--4861--               ,2007,M10,129.5,
50,PCU4861--4861--               ,2007,M11,129.6,
51,PCU4861--4861--               ,2007,M12,129.7,
52,PCU4861--4861--               ,2007,M13,125.4,
53,PCU4861--4861--               ,2008,M01,130.7,
54,PCU4861--4861--               ,2008,M02,130.8,
55,PCU4861--4861--               ,2008,M03,130.9,
56,PCU4861--4861--               ,2008,M04,135.3,
57,PCU4861--4861--               ,2008,M05,135.3,
58,PCU4861--4861--               ,2008,M06,135.3,
59,PCU4861--4861--               ,2008,M07,140.9,
60,PCU4861--4861--               ,2008,M08,140.9,
61,PCU4861--4861--               ,2008,M09,141.5,
62,PCU4861--4861--               ,2008,M10,141.5,
63,PCU4861--4861--               ,2008,M11,141.5,
64,PCU4861--4861--               ,2008,M12,141.2,
65,PCU4861--4861--               ,2008,M13,137.1,
66,PCU4861--4861--               ,2009,M01,142.4,
67,PCU4861--4861--               ,2009,M02,142.4,
68,PCU4861--4861--               ,2009,M03,139.7,
69,PCU4861--4861--               ,2009,M04,141.0,
70,PCU4861--4861--               ,2009,M05,134.2,
71,PCU4861--4861--               ,2009,M06,134.2,
72,PCU4861--4861--               ,2009,M07,143.0,
73,PCU4861--4861--               ,2009,M08,143.2,
74,PCU4861--4861--               ,2009,M09,143.1,
75,PCU4861--4861--               ,2009,M10,143.1,
76,PCU4861--4861--               ,2009,M11,143.1,
77,PCU4861--4861--               ,2009,M12,143.1,
78,PCU4861--4861--               ,2009,M13,141.0,
79,PCU4861--4861--               ,2010,M01,173.1,
80,PCU4861--4861--               ,2010,M02,173.1,
81,PCU4861--4861--               ,2010,M03,172.7,
82,PCU4861--4861--               ,2010,M04,177.4,
83,PCU4861--4861--               ,2010,M05,177.5,
84,PCU4861--4861--               ,2010,M06,178.8,
85,PCU4861--4861--               ,2010,M07,179.3,
86,PCU4861--4861--               ,2010,M08,179.8,
87,PCU4861--4861--               ,2010,M09,197.6,
88,PCU4861--4861--               ,2010,M10,197.3,
89,PCU4861--4861--               ,2010,M11,197.3,
90,PCU4861--4861--               ,2010,M12,197.3,
91,PCU4861--4861--               ,2010,M13,183.4,
92,PCU4861--4861--               ,2011,M01,181.0,
93,PCU4861--4861--               ,2011,M02,181.0,
94,PCU4861--4861--               ,2011,M03,181.0,
95,PCU4861--4861--               ,2011,M04,179.3,
96,PCU4861--4861--               ,2011,M05,179.3,
97,PCU4861--4861--               ,2011,M06,182.7,
98,PCU4861--4861--               ,2011,M07,188.7,
99,PCU4861--4861--               ,2011,M08,188.7,
100,PCU4861--4861--               ,2011,M09,188.7,
101,PCU4861--4861--               ,2011,M10,188.7,
102,PCU4861--4861--               ,2011,M11,188.7,
103,PCU4861--4861--               ,2011,M12,188.7,
104,PCU4861--4861--               ,2011,M13,184.7,
105,PCU4861--4861--               ,2012,M01,189.5,
106,PCU4861--4861--               ,2012,M02,189.5,
107,PCU4861--4861--               ,2012,M03,189.5,
108,PCU4861--4861--               ,2012,M04,187.7,
109,PCU4861--4861--               ,2012,M05,187.7,
110,PCU4861--4861--               ,2012,M06,187.7,
111,PCU4861--4861--               ,2012,M07,201.2,
112,PCU4861--4861--               ,2012,M08,202.3,
113,PCU4861--4861--               ,2012,M09,202.3,
114,PCU4861--4861--               ,2012,M10,202.9,
115,PCU4861--4861--               ,2012,M11,202.9,
116,PCU4861--4861--               ,2012,M12,202.9,
117,PCU4861--4861--               ,2012,M13,195.5,
118,PCU4861--4861--               ,2013,M01,203.0,
119,PCU4861--4861--               ,2013,M02,203.0,
120,PCU4861--4861--               ,2013,M03,203.2,
121,PCU4861--4861--               ,2013,M04,207.9,
122,PCU4861--4861--               ,2013,M05,207.9,
123,PCU4861--4861--               ,2013,M06,207.9,
124,PCU4861--4861--               ,2013,M07,213.9,
125,PCU4861--4861--               ,2013,M08,217.1,
126,PCU4861--4861--               ,2013,M09,217.1,
127,PCU4861--4861--               ,2013,M10,217.1,
128,PCU4861--4861--               ,2013,M11,217.6,
129,PCU4861--4861--               ,2013,M12,217.6,
130,PCU4861--4861--               ,2013,M13,211.1,
131,PCU4861--4861--               ,2014,M01,218.4,
132,PCU4861--4861--               ,2014,M02,218.4,
133,PCU4861--4861--               ,2014,M03,217.5,
134,PCU4861--4861--               ,2014,M04,217.7,
135,PCU4861--4861--               ,2014,M05,217.7,
136,PCU4861--4861--               ,2014,M06,219.1,
137,PCU4861--4861--               ,2014,M07,222.3,
