,series_id,year,period,value,footnote_codes
13,PCU488---488---               ,2004,M13,101.1,
26,PCU488---488---               ,2005,M13,104.1,
39,PCU488---488---               ,2006,M13,106.5,
52,PCU488---488---               ,2007,M13,108.5,
65,PCU488---488---               ,2008,M13,111.7,
78,PCU488---488---               ,2009,M13,108.6,
91,PCU488---488---               ,2010,M13,110.7,
104,PCU488---488---               ,2011,M13,114.0,
117,PCU488---488---               ,2012,M13,115.7,
130,PCU488---488---               ,2013,M13,117.5,
143,PCU488---488---               ,2014,M13,118.7,
156,PCU488---488---               ,2015,M13,118.7,
169,PCU488---488---               ,2016,M13,119.2,
182,PCU488---488---               ,2017,M13,121.3,
195,PCU488---488---               ,2018,M13,123.9,
208,PCU488---488---               ,2019,M13,126.3,
221,PCU488---488---               ,2020,M13,123.9,
234,PCU488---488---               ,2021,M13,142.774,
252,PCU4881--4881--               ,1997,M13,102.5,
265,PCU4881--4881--               ,1998,M13,105.2,
278,PCU4881--4881--               ,1999,M13,108.6,
291,PCU4881--4881--               ,2000,M13,114.2,
304,PCU4881--4881--               ,2001,M13,117.5,
317,PCU4881--4881--               ,2002,M13,121.4,
330,PCU4881--4881--               ,2003,M13,125.1,
343,PCU4881--4881--               ,2004,M13,128.1,
356,PCU4881--4881--               ,2005,M13,134.2,
369,PCU4881--4881--               ,2006,M13,138.6,
382,PCU4881--4881--               ,2007,M13,141.0,
395,PCU4881--4881--               ,2008,M13,145.4,
408,PCU4881--4881--               ,2009,M13,149.2,
421,PCU4881--4881--               ,2010,M13,154.5,
434,PCU4881--4881--               ,2011,M13,157.5,
447,PCU4881--4881--               ,2012,M13,159.0,
460,PCU4881--4881--               ,2013,M13,160.7,
473,PCU4881--4881--               ,2014,M13,162.2,
486,PCU4881--4881--               ,2015,M13,165.9,
499,PCU4881--4881--               ,2016,M13,168.9,
512,PCU4881--4881--               ,2017,M13,173.1,
525,PCU4881--4881--               ,2018,M13,177.1,
538,PCU4881--4881--               ,2019,M13,181.5,
551,PCU4881--4881--               ,2020,M13,178.1,
564,PCU4881--4881--               ,2021,M13,191.603,
582,PCU48811-48811-               ,2004,M13,101.1,
595,PCU48811-48811-               ,2005,M13,104.8,
608,PCU48811-48811-               ,2006,M13,108.6,
621,PCU48811-48811-               ,2007,M13,109.6,
634,PCU48811-48811-               ,2008,M13,112.3,
647,PCU48811-48811-               ,2009,M13,117.9,
660,PCU48811-48811-               ,2010,M13,122.1,
673,PCU48811-48811-               ,2011,M13,123.4,
686,PCU48811-48811-               ,2012,M13,125.3,
699,PCU48811-48811-               ,2013,M13,126.2,
712,PCU48811-48811-               ,2014,M13,127.5,
725,PCU48811-48811-               ,2015,M13,129.8,
738,PCU48811-48811-               ,2016,M13,131.5,
751,PCU48811-48811-               ,2017,M13,133.7,
764,PCU48811-48811-               ,2018,M13,136.3,
777,PCU48811-48811-               ,2019,M13,139.9,
790,PCU48811-48811-               ,2020,M13,135.8,
803,PCU48811-48811-               ,2021,M13,149.908,
821,PCU488119488119               ,2004,M13,101.1,
834,PCU488119488119               ,2005,M13,104.8,
847,PCU488119488119               ,2006,M13,108.6,
860,PCU488119488119               ,2007,M13,109.7,
873,PCU488119488119               ,2008,M13,112.4,
886,PCU488119488119               ,2009,M13,117.9,
899,PCU488119488119               ,2010,M13,122.1,
912,PCU488119488119               ,2011,M13,123.4,
925,PCU488119488119               ,2012,M13,125.3,
938,PCU488119488119               ,2013,M13,126.2,
951,PCU488119488119               ,2014,M13,127.5,
964,PCU488119488119               ,2015,M13,129.8,
977,PCU488119488119               ,2016,M13,131.5,
990,PCU488119488119               ,2017,M13,133.7,
1003,PCU488119488119               ,2018,M13,136.4,
1016,PCU488119488119               ,2019,M13,139.9,
1029,PCU488119488119               ,2020,M13,135.9,
1042,PCU488119488119               ,2021,M13,149.932,
1066,PCU4881194881195              ,2015,M13,102.5,
1079,PCU4881194881195              ,2016,M13,104.0,
1092,PCU4881194881195              ,2017,M13,105.7,
1105,PCU4881194881195              ,2018,M13,107.2,
1118,PCU4881194881195              ,2019,M13,109.2,
1131,PCU4881194881195              ,2020,M13,112.9,
1144,PCU4881194881195              ,2021,M13,123.59,
1168,PCU488119488119501            ,2015,M13,101.8,
1181,PCU488119488119501            ,2016,M13,103.6,
1194,PCU488119488119501            ,2017,M13,104.9,
1207,PCU488119488119501            ,2018,M13,102.5,
1220,PCU488119488119501            ,2019,M13,101.0,
1233,PCU488119488119501            ,2020,M13,105.4,
1246,PCU488119488119501            ,2021,M13,124.589,
