,series_id,year,period,value,footnote_codes
18,PCU493---493---               ,1994,M13,82.7,
31,PCU493---493---               ,1995,M13,84.1,
44,PCU493---493---               ,1996,M13,84.6,
57,PCU493---493---               ,1997,M13,85.4,
70,PCU493---493---               ,1998,M13,86.5,
83,PCU493---493---               ,1999,M13,89.0,
96,PCU493---493---               ,2000,M13,90.8,
109,PCU493---493---               ,2001,M13,93.2,
122,PCU493---493---               ,2002,M13,94.5,
135,PCU493---493---               ,2003,M13,95.8,
149,PCU493---493---               ,2007,M13,102.5,
162,PCU493---493---               ,2008,M13,106.5,
175,PCU493---493---               ,2009,M13,107.2,
188,PCU493---493---               ,2010,M13,105.5,
201,PCU493---493---               ,2011,M13,103.5,
214,PCU493---493---               ,2012,M13,101.2,
227,PCU493---493---               ,2013,M13,99.9,
240,PCU493---493---               ,2014,M13,100.1,
253,PCU493---493---               ,2015,M13,101.5,
266,PCU493---493---               ,2016,M13,102.2,
279,PCU493---493---               ,2017,M13,105.0,
292,PCU493---493---               ,2018,M13,108.9,
305,PCU493---493---               ,2019,M13,108.8,
318,PCU493---493---               ,2020,M13,108.7,
331,PCU493---493---               ,2021,M13,115.463,P
347,PCU4931--4931--               ,2007,M13,102.5,
360,PCU4931--4931--               ,2008,M13,106.5,
373,PCU4931--4931--               ,2009,M13,107.2,
386,PCU4931--4931--               ,2010,M13,105.5,
399,PCU4931--4931--               ,2011,M13,103.5,
412,PCU4931--4931--               ,2012,M13,101.2,
425,PCU4931--4931--               ,2013,M13,99.9,
438,PCU4931--4931--               ,2014,M13,100.0,
451,PCU4931--4931--               ,2015,M13,101.5,
464,PCU4931--4931--               ,2016,M13,102.2,
477,PCU4931--4931--               ,2017,M13,105.0,
490,PCU4931--4931--               ,2018,M13,108.9,
503,PCU4931--4931--               ,2019,M13,108.7,
516,PCU4931--4931--               ,2020,M13,108.6,
529,PCU4931--4931--               ,2021,M13,115.424,P
545,PCU49311-49311-               ,2004,M13,100.3,
558,PCU49311-49311-               ,2005,M13,101.5,
571,PCU49311-49311-               ,2006,M13,103.8,
584,PCU49311-49311-               ,2007,M13,107.3,
597,PCU49311-49311-               ,2008,M13,111.9,
610,PCU49311-49311-               ,2009,M13,112.2,
623,PCU49311-49311-               ,2010,M13,109.7,
636,PCU49311-49311-               ,2011,M13,106.6,
649,PCU49311-49311-               ,2012,M13,103.3,
662,PCU49311-49311-               ,2013,M13,100.9,
675,PCU49311-49311-               ,2014,M13,100.5,
688,PCU49311-49311-               ,2015,M13,102.2,
701,PCU49311-49311-               ,2016,M13,103.1,
714,PCU49311-49311-               ,2017,M13,105.9,
727,PCU49311-49311-               ,2018,M13,109.4,
740,PCU49311-49311-               ,2019,M13,109.4,
753,PCU49311-49311-               ,2020,M13,109.5,
766,PCU49311-49311-               ,2021,M13,116.356,P
782,PCU493110493110               ,2004,M13,100.4,
795,PCU493110493110               ,2005,M13,101.6,
808,PCU493110493110               ,2006,M13,103.8,
821,PCU493110493110               ,2007,M13,107.4,
834,PCU493110493110               ,2008,M13,111.9,
847,PCU493110493110               ,2009,M13,112.2,
860,PCU493110493110               ,2010,M13,109.7,
873,PCU493110493110               ,2011,M13,106.6,
886,PCU493110493110               ,2012,M13,103.3,
899,PCU493110493110               ,2013,M13,101.0,
912,PCU493110493110               ,2014,M13,100.5,
925,PCU493110493110               ,2015,M13,102.3,
938,PCU493110493110               ,2016,M13,103.1,
951,PCU493110493110               ,2017,M13,106.0,
964,PCU493110493110               ,2018,M13,109.5,
977,PCU493110493110               ,2019,M13,109.5,
990,PCU493110493110               ,2020,M13,109.5,
1003,PCU493110493110               ,2021,M13,116.426,P
1025,PCU4931104931101              ,1994,M13,101.8,
1038,PCU4931104931101              ,1995,M13,102.5,
1051,PCU4931104931101              ,1996,M13,102.5,
1064,PCU4931104931101              ,1997,M13,102.1,
1077,PCU4931104931101              ,1998,M13,103.3,
1090,PCU4931104931101              ,1999,M13,105.0,
1103,PCU4931104931101              ,2000,M13,105.6,
1116,PCU4931104931101              ,2001,M13,106.2,
1129,PCU4931104931101              ,2002,M13,107.5,
1142,PCU4931104931101              ,2003,M13,109.3,
1155,PCU4931104931101              ,2004,M13,109.8,
1168,PCU4931104931101              ,2005,M13,110.6,
1181,PCU4931104931101              ,2006,M13,113.1,
1194,PCU4931104931101              ,2007,M13,117.5,
1207,PCU4931104931101              ,2008,M13,122.5,
1220,PCU4931104931101              ,2009,M13,122.9,
1233,PCU4931104931101              ,2010,M13,119.8,
1246,PCU4931104931101              ,2011,M13,116.2,
1259,PCU4931104931101              ,2012,M13,112.4,
1272,PCU4931104931101              ,2013,M13,109.4,
1285,PCU4931104931101              ,2014,M13,108.9,
1298,PCU4931104931101              ,2015,M13,110.9,
1311,PCU4931104931101              ,2016,M13,112.0,
1324,PCU4931104931101              ,2017,M13,115.3,
1337,PCU4931104931101              ,2018,M13,119.3,
1350,PCU4931104931101              ,2019,M13,119.3,
1363,PCU4931104931101              ,2020,M13,119.8,
1376,PCU4931104931101              ,2021,M13,127.495,P
1398,PCU493110493110P              ,1994,M13,101.8,
1411,PCU493110493110P              ,1995,M13,102.5,
1424,PCU493110493110P              ,1996,M13,102.5,
1437,PCU493110493110P              ,1997,M13,102.1,
1450,PCU493110493110P              ,1998,M13,103.3,
1463,PCU493110493110P              ,1999,M13,105.0,
1476,PCU493110493110P              ,2000,M13,105.6,
1489,PCU493110493110P              ,2001,M13,106.2,
1502,PCU493110493110P              ,2002,M13,107.5,
1515,PCU493110493110P              ,2003,M13,109.3,
1528,PCU493110493110P              ,2004,M13,109.8,
1541,PCU493110493110P              ,2005,M13,110.6,
1554,PCU493110493110P              ,2006,M13,113.1,
1567,PCU493110493110P              ,2007,M13,117.5,
1580,PCU493110493110P              ,2008,M13,122.5,
1593,PCU493110493110P              ,2009,M13,122.9,
1606,PCU493110493110P              ,2010,M13,119.8,
1619,PCU493110493110P              ,2011,M13,116.2,
1632,PCU493110493110P              ,2012,M13,112.4,
1645,PCU493110493110P              ,2013,M13,109.4,
