,series_id,year,period,value,footnote_codes
0,PCU312---312---               ,2003,M12,100.0,
1,PCU312---312---               ,2004,M01,101.4,
2,PCU312---312---               ,2004,M02,101.2,
3,PCU312---312---               ,2004,M03,100.7,
4,PCU312---312---               ,2004,M04,101.5,
5,PCU312---312---               ,2004,M05,100.2,
6,PCU312---312---               ,2004,M06,101.2,
7,PCU312---312---               ,2004,M07,100.6,
8,PCU312---312---               ,2004,M08,101.1,
9,PCU312---312---               ,2004,M09,100.6,
10,PCU312---312---               ,2004,M10,101.2,
11,PCU312---312---               ,2004,M11,101.2,
12,PCU312---312---               ,2004,M12,101.5,
14,PCU312---312---               ,2005,M01,104.1,
15,PCU312---312---               ,2005,M02,104.0,
16,PCU312---312---               ,2005,M03,104.2,
17,PCU312---312---               ,2005,M04,104.4,
18,PCU312---312---               ,2005,M05,104.6,
19,PCU312---312---               ,2005,M06,104.8,
20,PCU312---312---               ,2005,M07,104.8,
21,PCU312---312---               ,2005,M08,105.1,
22,PCU312---312---               ,2005,M09,105.2,
23,PCU312---312---               ,2005,M10,105.2,
24,PCU312---312---               ,2005,M11,105.5,
25,PCU312---312---               ,2005,M12,105.5,
27,PCU312---312---               ,2006,M01,106.0,
28,PCU312---312---               ,2006,M02,106.4,
29,PCU312---312---               ,2006,M03,106.6,
30,PCU312---312---               ,2006,M04,106.5,
31,PCU312---312---               ,2006,M05,106.6,
32,PCU312---312---               ,2006,M06,106.9,
33,PCU312---312---               ,2006,M07,106.2,
34,PCU312---312---               ,2006,M08,105.5,
35,PCU312---312---               ,2006,M09,105.9,
36,PCU312---312---               ,2006,M10,105.9,
37,PCU312---312---               ,2006,M11,106.5,
38,PCU312---312---               ,2006,M12,106.9,
40,PCU312---312---               ,2007,M01,107.5,
41,PCU312---312---               ,2007,M02,109.0,
42,PCU312---312---               ,2007,M03,108.5,
43,PCU312---312---               ,2007,M04,109.1,
44,PCU312---312---               ,2007,M05,109.2,
45,PCU312---312---               ,2007,M06,109.3,
46,PCU312---312---               ,2007,M07,109.2,
47,PCU312---312---               ,2007,M08,109.9,
48,PCU312---312---               ,2007,M09,110.3,
49,PCU312---312---               ,2007,M10,111.1,
50,PCU312---312---               ,2007,M11,111.1,
51,PCU312---312---               ,2007,M12,111.2,
53,PCU312---312---               ,2008,M01,112.1,
54,PCU312---312---               ,2008,M02,112.7,
55,PCU312---312---               ,2008,M03,112.7,
56,PCU312---312---               ,2008,M04,112.9,
57,PCU312---312---               ,2008,M05,114.2,
58,PCU312---312---               ,2008,M06,114.1,
59,PCU312---312---               ,2008,M07,115.0,
60,PCU312---312---               ,2008,M08,114.8,
61,PCU312---312---               ,2008,M09,115.2,
62,PCU312---312---               ,2008,M10,116.1,
63,PCU312---312---               ,2008,M11,116.0,
64,PCU312---312---               ,2008,M12,116.3,
66,PCU312---312---               ,2009,M01,117.6,
67,PCU312---312---               ,2009,M02,119.2,
68,PCU312---312---               ,2009,M03,120.3,
69,PCU312---312---               ,2009,M04,119.6,
70,PCU312---312---               ,2009,M05,119.2,
71,PCU312---312---               ,2009,M06,119.4,
72,PCU312---312---               ,2009,M07,119.4,
73,PCU312---312---               ,2009,M08,119.5,
74,PCU312---312---               ,2009,M09,119.9,
75,PCU312---312---               ,2009,M10,120.6,
76,PCU312---312---               ,2009,M11,121.3,
77,PCU312---312---               ,2009,M12,121.3,
79,PCU312---312---               ,2010,M01,121.8,
80,PCU312---312---               ,2010,M02,122.0,
81,PCU312---312---               ,2010,M03,122.4,
82,PCU312---312---               ,2010,M04,122.1,
83,PCU312---312---               ,2010,M05,123.5,
84,PCU312---312---               ,2010,M06,123.9,
85,PCU312---312---               ,2010,M07,123.6,
86,PCU312---312---               ,2010,M08,123.4,
87,PCU312---312---               ,2010,M09,123.2,
88,PCU312---312---               ,2010,M10,124.7,
89,PCU312---312---               ,2010,M11,124.8,
90,PCU312---312---               ,2010,M12,125.7,
92,PCU312---312---               ,2011,M01,126.3,
93,PCU312---312---               ,2011,M02,126.7,
94,PCU312---312---               ,2011,M03,126.7,
95,PCU312---312---               ,2011,M04,125.8,
96,PCU312---312---               ,2011,M05,126.5,
97,PCU312---312---               ,2011,M06,126.7,
98,PCU312---312---               ,2011,M07,128.3,
99,PCU312---312---               ,2011,M08,128.3,
100,PCU312---312---               ,2011,M09,128.5,
101,PCU312---312---               ,2011,M10,129.6,
102,PCU312---312---               ,2011,M11,129.7,
103,PCU312---312---               ,2011,M12,130.1,
105,PCU312---312---               ,2012,M01,130.8,
106,PCU312---312---               ,2012,M02,131.4,
107,PCU312---312---               ,2012,M03,131.2,
108,PCU312---312---               ,2012,M04,131.7,
109,PCU312---312---               ,2012,M05,131.6,
110,PCU312---312---               ,2012,M06,131.4,
111,PCU312---312---               ,2012,M07,132.5,
112,PCU312---312---               ,2012,M08,132.6,
113,PCU312---312---               ,2012,M09,132.7,
114,PCU312---312---               ,2012,M10,133.6,
115,PCU312---312---               ,2012,M11,133.6,
116,PCU312---312---               ,2012,M12,134.3,
118,PCU312---312---               ,2013,M01,134.9,
119,PCU312---312---               ,2013,M02,134.9,
120,PCU312---312---               ,2013,M03,135.0,
121,PCU312---312---               ,2013,M04,135.0,
122,PCU312---312---               ,2013,M05,134.0,
123,PCU312---312---               ,2013,M06,134.2,
124,PCU312---312---               ,2013,M07,134.3,
125,PCU312---312---               ,2013,M08,134.4,
126,PCU312---312---               ,2013,M09,134.3,
127,PCU312---312---               ,2013,M10,135.3,
128,PCU312---312---               ,2013,M11,135.2,
129,PCU312---312---               ,2013,M12,136.8,
131,PCU312---312---               ,2014,M01,136.7,
132,PCU312---312---               ,2014,M02,137.3,
133,PCU312---312---               ,2014,M03,137.6,
134,PCU312---312---               ,2014,M04,137.4,
135,PCU312---312---               ,2014,M05,137.9,
136,PCU312---312---               ,2014,M06,138.0,
137,PCU312---312---               ,2014,M07,138.2,
138,PCU312---312---               ,2014,M08,138.2,
139,PCU312---312---               ,2014,M09,138.0,
140,PCU312---312---               ,2014,M10,138.0,
141,PCU312---312---               ,2014,M11,138.2,
142,PCU312---312---               ,2014,M12,139.0,
144,PCU312---312---               ,2015,M01,139.9,
145,PCU312---312---               ,2015,M02,140.4,
146,PCU312---312---               ,2015,M03,140.1,
147,PCU312---312---               ,2015,M04,139.9,
148,PCU312---312---               ,2015,M05,140.2,
149,PCU312---312---               ,2015,M06,140.9,
150,PCU312---312---               ,2015,M07,141.5,
151,PCU312---312---               ,2015,M08,141.3,
152,PCU312---312---               ,2015,M09,141.8,
153,PCU312---312---               ,2015,M10,141.3,
154,PCU312---312---               ,2015,M11,142.5,
155,PCU312---312---               ,2015,M12,142.7,
157,PCU312---312---               ,2016,M01,145.0,
158,PCU312---312---               ,2016,M02,145.0,
159,PCU312---312---               ,2016,M03,145.2,
160,PCU312---312---               ,2016,M04,144.9,
161,PCU312---312---               ,2016,M05,144.6,
162,PCU312---312---               ,2016,M06,145.7,
163,PCU312---312---               ,2016,M07,146.1,
164,PCU312---312---               ,2016,M08,146.0,
165,PCU312---312---               ,2016,M09,146.1,
166,PCU312---312---               ,2016,M10,145.5,
167,PCU312---312---               ,2016,M11,146.4,
168,PCU312---312---               ,2016,M12,147.0,
170,PCU312---312---               ,2017,M01,146.9,
171,PCU312---312---               ,2017,M02,147.2,
172,PCU312---312---               ,2017,M03,147.2,
173,PCU312---312---               ,2017,M04,148.1,
174,PCU312---312---               ,2017,M05,148.2,
175,PCU312---312---               ,2017,M06,148.2,
176,PCU312---312---               ,2017,M07,148.3,
177,PCU312---312---               ,2017,M08,148.2,
178,PCU312---312---               ,2017,M09,148.2,
179,PCU312---312---               ,2017,M10,150.6,
180,PCU312---312---               ,2017,M11,151.3,
181,PCU312---312---               ,2017,M12,150.3,
183,PCU312---312---               ,2018,M01,150.7,
184,PCU312---312---               ,2018,M02,150.6,
185,PCU312---312---               ,2018,M03,151.2,
186,PCU312---312---               ,2018,M04,151.8,
187,PCU312---312---               ,2018,M05,151.6,
188,PCU312---312---               ,2018,M06,151.7,
189,PCU312---312---               ,2018,M07,152.7,
190,PCU312---312---               ,2018,M08,152.5,
191,PCU312---312---               ,2018,M09,152.9,
192,PCU312---312---               ,2018,M10,154.5,
193,PCU312---312---               ,2018,M11,154.4,
194,PCU312---312---               ,2018,M12,154.5,
196,PCU312---312---               ,2019,M01,155.3,
197,PCU312---312---               ,2019,M02,155.2,
198,PCU312---312---               ,2019,M03,157.6,
199,PCU312---312---               ,2019,M04,157.5,
200,PCU312---312---               ,2019,M05,157.6,
201,PCU312---312---               ,2019,M06,157.2,
202,PCU312---312---               ,2019,M07,157.4,
203,PCU312---312---               ,2019,M08,157.5,
204,PCU312---312---               ,2019,M09,157.9,
205,PCU312---312---               ,2019,M10,158.1,
206,PCU312---312---               ,2019,M11,159.2,
207,PCU312---312---               ,2019,M12,159.3,
209,PCU312---312---               ,2020,M01,160.1,
210,PCU312---312---               ,2020,M02,161.1,
211,PCU312---312---               ,2020,M03,161.2,
212,PCU312---312---               ,2020,M04,161.1,
213,PCU312---312---               ,2020,M05,161.7,
214,PCU312---312---               ,2020,M06,161.4,
215,PCU312---312---               ,2020,M07,162.0,
216,PCU312---312---               ,2020,M08,162.2,
217,PCU312---312---               ,2020,M09,162.2,
218,PCU312---312---               ,2020,M10,163.2,
219,PCU312---312---               ,2020,M11,164.4,
220,PCU312---312---               ,2020,M12,163.0,
222,PCU312---312---               ,2021,M01,163.9,
223,PCU312---312---               ,2021,M02,165.8,
224,PCU312---312---               ,2021,M03,166.0,
225,PCU312---312---               ,2021,M04,166.0,
226,PCU312---312---               ,2021,M05,166.0,
227,PCU312---312---               ,2021,M06,166.0,
228,PCU312---312---               ,2021,M07,166.969,
229,PCU312---312---               ,2021,M08,167.307,
230,PCU312---312---               ,2021,M09,169.504,
231,PCU312---312---               ,2021,M10,171.295,
232,PCU312---312---               ,2021,M11,171.794,
233,PCU312---312---               ,2021,M12,172.804,
235,PCU312---312---               ,2022,M01,175.387,P
236,PCU312---312---               ,2022,M02,176.5,P
237,PCU312---312---               ,2022,M03,177.14,P
238,PCU312---312---               ,2022,M04,178.565,P
239,PCU3121--3121--               ,1984,M12,100.0,
240,PCU3121--3121--               ,1985,M01,100.2,
241,PCU3121--3121--               ,1985,M02,100.9,
242,PCU3121--3121--               ,1985,M03,100.6,
243,PCU3121--3121--               ,1985,M04,100.4,
244,PCU3121--3121--               ,1985,M05,100.7,
245,PCU3121--3121--               ,1985,M06,100.5,
246,PCU3121--3121--               ,1985,M07,100.8,
247,PCU3121--3121--               ,1985,M08,100.2,
248,PCU3121--3121--               ,1985,M09,100.2,
249,PCU3121--3121--               ,1985,M10,101.2,
250,PCU3121--3121--               ,1985,M11,101.1,
251,PCU3121--3121--               ,1985,M12,101.3,
253,PCU3121--3121--               ,1986,M01,101.7,
254,PCU3121--3121--               ,1986,M02,102.3,
255,PCU3121--3121--               ,1986,M03,102.6,
256,PCU3121--3121--               ,1986,M04,103.2,
257,PCU3121--3121--               ,1986,M05,103.1,
258,PCU3121--3121--               ,1986,M06,102.7,
259,PCU3121--3121--               ,1986,M07,102.8,
260,PCU3121--3121--               ,1986,M08,102.7,
