,series_id,year,period,value,footnote_codes
13,PCU53112-53112-               ,2004,M13,102.3,
26,PCU53112-53112-               ,2005,M13,105.1,
39,PCU53112-53112-               ,2006,M13,107.7,
52,PCU53112-53112-               ,2007,M13,107.2,
65,PCU53112-53112-               ,2008,M13,110.6,
78,PCU53112-53112-               ,2009,M13,109.4,
91,PCU53112-53112-               ,2010,M13,109.4,
104,PCU53112-53112-               ,2011,M13,109.8,
117,PCU53112-53112-               ,2012,M13,110.2,
130,PCU53112-53112-               ,2013,M13,112.1,
143,PCU53112-53112-               ,2014,M13,114.4,
156,PCU53112-53112-               ,2015,M13,117.9,
169,PCU53112-53112-               ,2016,M13,120.1,
182,PCU53112-53112-               ,2017,M13,122.7,
195,PCU53112-53112-               ,2018,M13,123.9,
208,PCU53112-53112-               ,2019,M13,127.4,
221,PCU53112-53112-               ,2020,M13,129.9,
234,PCU53112-53112-               ,2021,M13,131.711,P
251,PCU531120531120               ,1996,M13,99.6,
264,PCU531120531120               ,1997,M13,101.0,
277,PCU531120531120               ,1998,M13,103.3,
290,PCU531120531120               ,1999,M13,105.9,
303,PCU531120531120               ,2000,M13,109.0,
316,PCU531120531120               ,2001,M13,111.6,
329,PCU531120531120               ,2002,M13,114.4,
342,PCU531120531120               ,2003,M13,115.6,
355,PCU531120531120               ,2004,M13,119.6,
368,PCU531120531120               ,2005,M13,123.0,
381,PCU531120531120               ,2006,M13,126.0,
394,PCU531120531120               ,2007,M13,125.4,
407,PCU531120531120               ,2008,M13,129.4,
420,PCU531120531120               ,2009,M13,128.0,
433,PCU531120531120               ,2010,M13,128.0,
446,PCU531120531120               ,2011,M13,128.4,
459,PCU531120531120               ,2012,M13,128.9,
472,PCU531120531120               ,2013,M13,131.2,
485,PCU531120531120               ,2014,M13,133.8,
498,PCU531120531120               ,2015,M13,137.9,
511,PCU531120531120               ,2016,M13,140.5,
524,PCU531120531120               ,2017,M13,143.5,
537,PCU531120531120               ,2018,M13,144.9,
550,PCU531120531120               ,2019,M13,149.1,
563,PCU531120531120               ,2020,M13,151.9,
576,PCU531120531120               ,2021,M13,154.092,P
593,PCU5311205311201              ,1996,M13,101.6,
606,PCU5311205311201              ,1997,M13,105.4,
619,PCU5311205311201              ,1998,M13,107.8,
632,PCU5311205311201              ,1999,M13,109.1,
645,PCU5311205311201              ,2000,M13,108.7,
658,PCU5311205311201              ,2001,M13,108.9,
671,PCU5311205311201              ,2002,M13,107.6,
684,PCU5311205311201              ,2003,M13,103.5,
697,PCU5311205311201              ,2004,M13,107.4,
710,PCU5311205311201              ,2005,M13,111.2,
723,PCU5311205311201              ,2006,M13,114.0,
736,PCU5311205311201              ,2007,M13,112.8,
749,PCU5311205311201              ,2008,M13,115.2,
762,PCU5311205311201              ,2009,M13,114.8,
775,PCU5311205311201              ,2010,M13,115.8,
788,PCU5311205311201              ,2011,M13,116.1,
801,PCU5311205311201              ,2012,M13,114.5,
814,PCU5311205311201              ,2013,M13,118.0,
827,PCU5311205311201              ,2014,M13,121.0,
840,PCU5311205311201              ,2015,M13,123.2,
853,PCU5311205311201              ,2016,M13,125.4,
866,PCU5311205311201              ,2017,M13,127.2,
879,PCU5311205311201              ,2018,M13,130.6,
892,PCU5311205311201              ,2019,M13,133.5,
905,PCU5311205311201              ,2020,M13,135.4,
918,PCU5311205311201              ,2021,M13,134.364,P
935,PCU5311205311202              ,1996,M13,98.7,
948,PCU5311205311202              ,1997,M13,99.8,
961,PCU5311205311202              ,1998,M13,102.1,
974,PCU5311205311202              ,1999,M13,106.3,
987,PCU5311205311202              ,2000,M13,111.3,
1000,PCU5311205311202              ,2001,M13,115.3,
1013,PCU5311205311202              ,2002,M13,120.3,
1026,PCU5311205311202              ,2003,M13,122.9,
1039,PCU5311205311202              ,2004,M13,123.0,
1052,PCU5311205311202              ,2005,M13,124.4,
1065,PCU5311205311202              ,2006,M13,126.5,
1078,PCU5311205311202              ,2007,M13,126.9,
1091,PCU5311205311202              ,2008,M13,133.3,
1104,PCU5311205311202              ,2009,M13,133.3,
1117,PCU5311205311202              ,2010,M13,134.2,
1130,PCU5311205311202              ,2011,M13,133.5,
1143,PCU5311205311202              ,2012,M13,134.6,
1156,PCU5311205311202              ,2013,M13,136.1,
1169,PCU5311205311202              ,2014,M13,138.5,
1182,PCU5311205311202              ,2015,M13,145.4,
1195,PCU5311205311202              ,2016,M13,147.6,
1208,PCU5311205311202              ,2017,M13,151.6,
1221,PCU5311205311202              ,2018,M13,151.6,
1234,PCU5311205311202              ,2019,M13,157.1,
1247,PCU5311205311202              ,2020,M13,160.8,
1260,PCU5311205311202              ,2021,M13,164.41,P
1277,PCU5311205311203              ,1996,M13,97.2,
1290,PCU5311205311203              ,1997,M13,96.4,
1303,PCU5311205311203              ,1998,M13,100.4,
1316,PCU5311205311203              ,1999,M13,105.5,
1329,PCU5311205311203              ,2000,M13,108.4,
1342,PCU5311205311203              ,2001,M13,109.9,
1355,PCU5311205311203              ,2002,M13,111.2,
1368,PCU5311205311203              ,2003,M13,118.5,
1381,PCU5311205311203              ,2004,M13,123.5,
1394,PCU5311205311203              ,2005,M13,124.4,
1407,PCU5311205311203              ,2006,M13,129.5,
1420,PCU5311205311203              ,2007,M13,128.9,
1433,PCU5311205311203              ,2008,M13,125.5,
1446,PCU5311205311203              ,2009,M13,118.1,
1459,PCU5311205311203              ,2010,M13,106.7,
1472,PCU5311205311203              ,2011,M13,107.7,
1485,PCU5311205311203              ,2012,M13,109.0,
1498,PCU5311205311203              ,2013,M13,110.2,
1511,PCU5311205311203              ,2014,M13,110.6,
1524,PCU5311205311203              ,2015,M13,112.2,
1537,PCU5311205311203              ,2016,M13,114.8,
1550,PCU5311205311203              ,2017,M13,118.9,
1563,PCU5311205311203              ,2018,M13,119.8,
1576,PCU5311205311203              ,2019,M13,125.1,
1589,PCU5311205311203              ,2020,M13,129.6,
1602,PCU5311205311203              ,2021,M13,132.118,P
1619,PCU5311205311207              ,2003,M13,103.7,
1632,PCU5311205311207              ,2004,M13,108.0,
1645,PCU5311205311207              ,2005,M13,114.4,
1658,PCU5311205311207              ,2006,M13,119.8,
1671,PCU5311205311207              ,2007,M13,119.5,
1684,PCU5311205311207              ,2008,M13,129.7,
1697,PCU5311205311207              ,2009,M13,115.7,
1710,PCU5311205311207              ,2010,M13,115.5,
1723,PCU5311205311207              ,2011,M13,125.4,
1736,PCU5311205311207              ,2012,M13,135.3,
1749,PCU5311205311207              ,2013,M13,135.5,
1762,PCU5311205311207              ,2014,M13,138.6,
1775,PCU5311205311207              ,2015,M13,135.3,
1788,PCU5311205311207              ,2016,M13,141.7,
1801,PCU5311205311207              ,2017,M13,142.6,
1814,PCU5311205311207              ,2018,M13,143.8,
1827,PCU5311205311207              ,2019,M13,143.4,
1840,PCU5311205311207              ,2020,M13,143.0,
1853,PCU5311205311207              ,2021,M13,151.79,P
1870,PCU531120531120P              ,1996,M13,99.6,
1883,PCU531120531120P              ,1997,M13,101.0,
1896,PCU531120531120P              ,1998,M13,103.3,
1909,PCU531120531120P              ,1999,M13,105.9,
1922,PCU531120531120P              ,2000,M13,109.0,
