,series_id,year,period,value,footnote_codes
13,PCU313---313---               ,2004,M13,101.1,
26,PCU313---313---               ,2005,M13,103.6,
39,PCU313---313---               ,2006,M13,106.6,
52,PCU313---313---               ,2007,M13,108.2,
65,PCU313---313---               ,2008,M13,112.4,
78,PCU313---313---               ,2009,M13,112.3,
91,PCU313---313---               ,2010,M13,115.9,
104,PCU313---313---               ,2011,M13,130.2,
117,PCU313---313---               ,2012,M13,128.3,
130,PCU313---313---               ,2013,M13,128.6,
143,PCU313---313---               ,2014,M13,130.1,
156,PCU313---313---               ,2015,M13,128.6,
169,PCU313---313---               ,2016,M13,127.8,
182,PCU313---313---               ,2017,M13,128.6,
195,PCU313---313---               ,2018,M13,132.3,
208,PCU313---313---               ,2019,M13,134.8,
221,PCU313---313---               ,2020,M13,134.6,
234,PCU313---313---               ,2021,M13,148.016,P
251,PCU3131--3131--               ,1985,M13,99.4,
264,PCU3131--3131--               ,1986,M13,99.7,
277,PCU3131--3131--               ,1987,M13,101.9,
290,PCU3131--3131--               ,1988,M13,104.9,
303,PCU3131--3131--               ,1989,M13,106.4,
316,PCU3131--3131--               ,1990,M13,109.7,
329,PCU3131--3131--               ,1991,M13,110.7,
342,PCU3131--3131--               ,1992,M13,109.9,
355,PCU3131--3131--               ,1993,M13,107.0,
368,PCU3131--3131--               ,1994,M13,107.4,
381,PCU3131--3131--               ,1995,M13,112.1,
394,PCU3131--3131--               ,1996,M13,113.6,
407,PCU3131--3131--               ,1997,M13,114.1,
420,PCU3131--3131--               ,1998,M13,112.1,
433,PCU3131--3131--               ,1999,M13,106.9,
446,PCU3131--3131--               ,2000,M13,105.5,
459,PCU3131--3131--               ,2001,M13,103.0,
472,PCU3131--3131--               ,2002,M13,99.8,
485,PCU3131--3131--               ,2003,M13,100.9,
498,PCU3131--3131--               ,2004,M13,105.6,
511,PCU3131--3131--               ,2005,M13,108.8,
524,PCU3131--3131--               ,2006,M13,111.1,
537,PCU3131--3131--               ,2007,M13,114.0,
550,PCU3131--3131--               ,2008,M13,121.1,
563,PCU3131--3131--               ,2009,M13,117.6,
576,PCU3131--3131--               ,2010,M13,126.7,
589,PCU3131--3131--               ,2011,M13,152.0,
602,PCU3131--3131--               ,2012,M13,138.8,
615,PCU3131--3131--               ,2013,M13,137.7,
628,PCU3131--3131--               ,2014,M13,137.8,
641,PCU3131--3131--               ,2015,M13,132.0,
654,PCU3131--3131--               ,2016,M13,129.8,
667,PCU3131--3131--               ,2017,M13,132.8,
680,PCU3131--3131--               ,2018,M13,139.4,
693,PCU3131--3131--               ,2019,M13,137.6,
706,PCU3131--3131--               ,2020,M13,133.4,
719,PCU3131--3131--               ,2021,M13,154.074,P
736,PCU31311-31311-               ,1985,M13,99.4,
749,PCU31311-31311-               ,1986,M13,99.7,
762,PCU31311-31311-               ,1987,M13,101.9,
775,PCU31311-31311-               ,1988,M13,104.9,
788,PCU31311-31311-               ,1989,M13,106.4,
801,PCU31311-31311-               ,1990,M13,109.7,
814,PCU31311-31311-               ,1991,M13,110.7,
827,PCU31311-31311-               ,1992,M13,109.9,
840,PCU31311-31311-               ,1993,M13,107.0,
853,PCU31311-31311-               ,1994,M13,107.4,
866,PCU31311-31311-               ,1995,M13,112.1,
879,PCU31311-31311-               ,1996,M13,113.6,
892,PCU31311-31311-               ,1997,M13,114.1,
905,PCU31311-31311-               ,1998,M13,112.1,
918,PCU31311-31311-               ,1999,M13,106.9,
931,PCU31311-31311-               ,2000,M13,105.5,
944,PCU31311-31311-               ,2001,M13,103.0,
957,PCU31311-31311-               ,2002,M13,99.8,
970,PCU31311-31311-               ,2003,M13,100.9,
983,PCU31311-31311-               ,2004,M13,105.6,
996,PCU31311-31311-               ,2005,M13,108.8,
1009,PCU31311-31311-               ,2006,M13,111.1,
1022,PCU31311-31311-               ,2007,M13,114.0,
1035,PCU31311-31311-               ,2008,M13,121.1,
1048,PCU31311-31311-               ,2009,M13,117.6,
1061,PCU31311-31311-               ,2010,M13,126.7,
1074,PCU31311-31311-               ,2011,M13,152.0,
1087,PCU31311-31311-               ,2012,M13,138.8,
1100,PCU31311-31311-               ,2013,M13,137.7,
1113,PCU31311-31311-               ,2014,M13,137.8,
1126,PCU31311-31311-               ,2015,M13,132.0,
1139,PCU31311-31311-               ,2016,M13,129.8,
1152,PCU31311-31311-               ,2017,M13,132.8,
1165,PCU31311-31311-               ,2018,M13,139.4,
1178,PCU31311-31311-               ,2019,M13,137.6,
1191,PCU31311-31311-               ,2020,M13,133.4,
1204,PCU31311-31311-               ,2021,M13,154.074,P
1221,PCU313110313110               ,2012,M13,96.6,
1234,PCU313110313110               ,2013,M13,95.8,
1247,PCU313110313110               ,2014,M13,95.9,
1260,PCU313110313110               ,2015,M13,91.9,
1273,PCU313110313110               ,2016,M13,90.3,
1286,PCU313110313110               ,2017,M13,92.5,
1299,PCU313110313110               ,2018,M13,97.1,
1312,PCU313110313110               ,2019,M13,95.8,
1325,PCU313110313110               ,2020,M13,92.9,
1338,PCU313110313110               ,2021,M13,107.264,P
1355,PCU3131103131104              ,1983,M13,100.8,
1368,PCU3131103131104              ,1984,M13,102.7,
1381,PCU3131103131104              ,1985,M13,99.0,
1394,PCU3131103131104              ,1986,M13,98.4,
1407,PCU3131103131104              ,1987,M13,101.5,
1420,PCU3131103131104              ,1988,M13,104.2,
1433,PCU3131103131104              ,1989,M13,103.8,
1446,PCU3131103131104              ,1990,M13,106.5,
1459,PCU3131103131104              ,1991,M13,107.2,
1472,PCU3131103131104              ,1992,M13,105.9,
1485,PCU3131103131104              ,1993,M13,101.6,
1498,PCU3131103131104              ,1994,M13,101.7,
1511,PCU3131103131104              ,1995,M13,105.9,
1524,PCU3131103131104              ,1996,M13,106.3,
1537,PCU3131103131104              ,1997,M13,104.7,
1550,PCU3131103131104              ,1998,M13,102.4,
1563,PCU3131103131104              ,1999,M13,96.6,
1576,PCU3131103131104              ,2000,M13,95.1,
1589,PCU3131103131104              ,2001,M13,93.6,
1602,PCU3131103131104              ,2002,M13,90.5,
1615,PCU3131103131104              ,2003,M13,92.3,
1628,PCU3131103131104              ,2004,M13,98.2,
1641,PCU3131103131104              ,2005,M13,97.4,
1654,PCU3131103131104              ,2006,M13,98.3,
1667,PCU3131103131104              ,2007,M13,101.1,
1680,PCU3131103131104              ,2008,M13,107.8,
1693,PCU3131103131104              ,2009,M13,106.0,
1706,PCU3131103131104              ,2010,M13,115.0,
1719,PCU3131103131104              ,2011,M13,150.1,
1732,PCU3131103131104              ,2012,M13,124.4,
1745,PCU3131103131104              ,2013,M13,122.0,
1758,PCU3131103131104              ,2014,M13,121.3,
1771,PCU3131103131104              ,2015,M13,113.8,
1784,PCU3131103131104              ,2016,M13,112.0,
1797,PCU3131103131104              ,2017,M13,117.2,
1810,PCU3131103131104              ,2018,M13,127.4,
1823,PCU3131103131104              ,2019,M13,124.7,
1836,PCU3131103131104              ,2020,M13,119.9,
1849,PCU3131103131104              ,2021,M13,142.971,P
1866,PCU31311031311041             ,1983,M13,100.2,
1879,PCU31311031311041             ,1984,M13,103.2,
1892,PCU31311031311041             ,1985,M13,97.9,
1905,PCU31311031311041             ,1986,M13,93.0,
1918,PCU31311031311041             ,1987,M13,94.7,
1931,PCU31311031311041             ,1988,M13,100.5,
1944,PCU31311031311041             ,1989,M13,93.3,
1957,PCU31311031311041             ,1990,M13,96.0,
1970,PCU31311031311041             ,1991,M13,99.6,
1983,PCU31311031311041             ,1992,M13,99.2,
1996,PCU31311031311041             ,1993,M13,91.8,
2009,PCU31311031311041             ,1994,M13,93.7,
2022,PCU31311031311041             ,1995,M13,101.7,
2035,PCU31311031311041             ,1996,M13,98.8,
2048,PCU31311031311041             ,1997,M13,97.7,
2061,PCU31311031311041             ,1998,M13,95.7,
2074,PCU31311031311041             ,1999,M13,86.1,
2087,PCU31311031311041             ,2000,M13,81.1,
2100,PCU31311031311041             ,2001,M13,79.5,
2113,PCU31311031311041             ,2002,M13,74.2,
2126,PCU31311031311041             ,2003,M13,75.3,
2139,PCU31311031311041             ,2004,M13,82.2,
2152,PCU31311031311041             ,2005,M13,76.3,
2165,PCU31311031311041             ,2006,M13,73.9,
2178,PCU31311031311041             ,2007,M13,76.3,
2191,PCU31311031311041             ,2008,M13,83.0,
2204,PCU31311031311041             ,2009,M13,81.6,
2217,PCU31311031311041             ,2010,M13,93.8,
2230,PCU31311031311041             ,2011,M13,143.8,
2243,PCU31311031311041             ,2012,M13,98.4,
2256,PCU31311031311041             ,2013,M13,95.4,
2269,PCU31311031311041             ,2014,M13,94.4,
2282,PCU31311031311041             ,2015,M13,83.2,
2295,PCU31311031311041             ,2016,M13,81.3,
2308,PCU31311031311041             ,2017,M13,87.1,
2321,PCU31311031311041             ,2018,M13,99.1,
2334,PCU31311031311041             ,2019,M13,94.1,
2347,PCU31311031311041             ,2020,M13,89.9,
2360,PCU31311031311041             ,2021,M13,115.163,P
2376,PCU31311031311043             ,1967,M13,46.9,
2389,PCU31311031311043             ,1968,M13,51.5,
2402,PCU31311031311043             ,1969,M13,50.0,
2415,PCU31311031311043             ,1970,M13,48.4,
2428,PCU31311031311043             ,1971,M13,51.0,
2441,PCU31311031311043             ,1972,M13,53.7,
2454,PCU31311031311043             ,1973,M13,60.0,
2467,PCU31311031311043             ,1974,M13,75.0,
2480,PCU31311031311043             ,1975,M13,65.3,
2493,PCU31311031311043             ,1976,M13,84.6,
2506,PCU31311031311043             ,1977,M13,87.2,
2519,PCU31311031311043             ,1978,M13,87.7,
2532,PCU31311031311043             ,1979,M13,91.5,
2545,PCU31311031311043             ,1980,M13,110.6,
2558,PCU31311031311043             ,1981,M13,112.7,
2571,PCU31311031311043             ,1982,M13,102.8,
