,series_id,year,period,value,footnote_codes
13,PCU5613--5613--               ,1997,M13,101.0,
26,PCU5613--5613--               ,1998,M13,103.2,
39,PCU5613--5613--               ,1999,M13,105.2,
52,PCU5613--5613--               ,2000,M13,107.3,
65,PCU5613--5613--               ,2001,M13,108.2,
78,PCU5613--5613--               ,2002,M13,108.9,
91,PCU5613--5613--               ,2003,M13,111.4,
104,PCU5613--5613--               ,2004,M13,113.9,
117,PCU5613--5613--               ,2005,M13,116.3,
130,PCU5613--5613--               ,2006,M13,119.2,
143,PCU5613--5613--               ,2007,M13,121.7,
156,PCU5613--5613--               ,2008,M13,123.2,
169,PCU5613--5613--               ,2009,M13,123.5,
182,PCU5613--5613--               ,2010,M13,124.9,
195,PCU5613--5613--               ,2011,M13,125.5,
208,PCU5613--5613--               ,2012,M13,126.3,
221,PCU5613--5613--               ,2013,M13,128.6,
234,PCU5613--5613--               ,2014,M13,131.1,
247,PCU5613--5613--               ,2015,M13,133.4,
260,PCU5613--5613--               ,2016,M13,136.7,
273,PCU5613--5613--               ,2017,M13,138.7,
286,PCU5613--5613--               ,2018,M13,139.5,
299,PCU5613--5613--               ,2019,M13,142.3,
312,PCU5613--5613--               ,2020,M13,145.1,
325,PCU5613--5613--               ,2021,M13,150.721,P
341,PCU56133-56133-               ,2004,M13,101.3,
354,PCU56133-56133-               ,2005,M13,102.9,
367,PCU56133-56133-               ,2006,M13,105.4,
380,PCU56133-56133-               ,2007,M13,107.6,
393,PCU56133-56133-               ,2008,M13,109.0,
406,PCU56133-56133-               ,2009,M13,110.2,
419,PCU56133-56133-               ,2010,M13,112.1,
432,PCU56133-56133-               ,2011,M13,112.4,
445,PCU56133-56133-               ,2012,M13,113.6,
458,PCU56133-56133-               ,2013,M13,115.5,
471,PCU56133-56133-               ,2014,M13,116.7,
484,PCU56133-56133-               ,2015,M13,117.5,
497,PCU56133-56133-               ,2016,M13,122.7,
510,PCU56133-56133-               ,2017,M13,124.1,
523,PCU56133-56133-               ,2018,M13,123.2,
536,PCU56133-56133-               ,2019,M13,125.2,
549,PCU56133-56133-               ,2020,M13,124.9,
562,PCU56133-56133-               ,2021,M13,127.499,P
578,PCU561330561330               ,2004,M13,101.3,
591,PCU561330561330               ,2005,M13,102.9,
604,PCU561330561330               ,2006,M13,105.4,
617,PCU561330561330               ,2007,M13,107.6,
630,PCU561330561330               ,2008,M13,109.0,
643,PCU561330561330               ,2009,M13,110.2,
656,PCU561330561330               ,2010,M13,112.1,
669,PCU561330561330               ,2011,M13,112.4,
682,PCU561330561330               ,2012,M13,113.6,
695,PCU561330561330               ,2013,M13,115.5,
708,PCU561330561330               ,2014,M13,116.7,
721,PCU561330561330               ,2015,M13,117.5,
734,PCU561330561330               ,2016,M13,122.7,
747,PCU561330561330               ,2017,M13,124.1,
760,PCU561330561330               ,2018,M13,123.2,
773,PCU561330561330               ,2019,M13,125.2,
786,PCU561330561330               ,2020,M13,124.9,
799,PCU561330561330               ,2021,M13,127.499,P
821,PCU5613305613301              ,1995,M13,103.7,
834,PCU5613305613301              ,1996,M13,106.0,
847,PCU5613305613301              ,1997,M13,108.1,
860,PCU5613305613301              ,1998,M13,108.6,
873,PCU5613305613301              ,1999,M13,110.6,
886,PCU5613305613301              ,2000,M13,115.1,
899,PCU5613305613301              ,2001,M13,121.4,
912,PCU5613305613301              ,2002,M13,125.1,
925,PCU5613305613301              ,2003,M13,128.4,
938,PCU5613305613301              ,2004,M13,130.9,
951,PCU5613305613301              ,2005,M13,133.0,
964,PCU5613305613301              ,2006,M13,136.2,
977,PCU5613305613301              ,2007,M13,139.0,
990,PCU5613305613301              ,2008,M13,140.9,
1003,PCU5613305613301              ,2009,M13,142.4,
1016,PCU5613305613301              ,2010,M13,144.8,
1029,PCU5613305613301              ,2011,M13,145.3,
1042,PCU5613305613301              ,2012,M13,146.8,
1055,PCU5613305613301              ,2013,M13,149.2,
1068,PCU5613305613301              ,2014,M13,150.8,
1081,PCU5613305613301              ,2015,M13,151.8,
1094,PCU5613305613301              ,2016,M13,158.6,
1107,PCU5613305613301              ,2017,M13,160.5,
1120,PCU5613305613301              ,2018,M13,159.3,
1133,PCU5613305613301              ,2019,M13,161.9,
1146,PCU5613305613301              ,2020,M13,161.5,
1159,PCU5613305613301              ,2021,M13,164.882,P
1181,PCU561330561330P              ,1995,M13,103.7,
1194,PCU561330561330P              ,1996,M13,106.0,
1207,PCU561330561330P              ,1997,M13,108.1,
1220,PCU561330561330P              ,1998,M13,108.6,
1233,PCU561330561330P              ,1999,M13,110.6,
1246,PCU561330561330P              ,2000,M13,115.1,
1259,PCU561330561330P              ,2001,M13,121.4,
1272,PCU561330561330P              ,2002,M13,125.1,
1285,PCU561330561330P              ,2003,M13,128.4,
1298,PCU561330561330P              ,2004,M13,130.9,
1311,PCU561330561330P              ,2005,M13,133.0,
1324,PCU561330561330P              ,2006,M13,136.2,
1337,PCU561330561330P              ,2007,M13,139.0,
1350,PCU561330561330P              ,2008,M13,140.9,
1363,PCU561330561330P              ,2009,M13,142.4,
1376,PCU561330561330P              ,2010,M13,144.8,
1389,PCU561330561330P              ,2011,M13,145.3,
1402,PCU561330561330P              ,2012,M13,146.8,
1415,PCU561330561330P              ,2013,M13,149.2,
1428,PCU561330561330P              ,2014,M13,150.8,
1441,PCU561330561330P              ,2015,M13,151.8,
1454,PCU561330561330P              ,2016,M13,158.6,
1467,PCU561330561330P              ,2017,M13,160.5,
1480,PCU561330561330P              ,2018,M13,159.3,
1493,PCU561330561330P              ,2019,M13,161.9,
1506,PCU561330561330P              ,2020,M13,161.5,
1519,PCU561330561330P              ,2021,M13,164.882,P
1535,PCU56138-56138-               ,2011,M13,100.1,
1548,PCU56138-56138-               ,2012,M13,100.5,
1561,PCU56138-56138-               ,2013,M13,102.4,
1574,PCU56138-56138-               ,2014,M13,105.1,
1587,PCU56138-56138-               ,2015,M13,107.8,
1600,PCU56138-56138-               ,2016,M13,109.0,
1613,PCU56138-56138-               ,2017,M13,110.7,
1626,PCU56138-56138-               ,2018,M13,112.5,
1639,PCU56138-56138-               ,2019,M13,115.1,
1652,PCU56138-56138-               ,2020,M13,119.2,
1665,PCU56138-56138-               ,2021,M13,125.336,P
1681,PCU561380561380               ,2011,M13,100.1,
1694,PCU561380561380               ,2012,M13,100.5,
1707,PCU561380561380               ,2013,M13,102.4,
1720,PCU561380561380               ,2014,M13,105.1,
1733,PCU561380561380               ,2015,M13,107.8,
1746,PCU561380561380               ,2016,M13,109.0,
1759,PCU561380561380               ,2017,M13,110.7,
1772,PCU561380561380               ,2018,M13,112.5,
1785,PCU561380561380               ,2019,M13,115.1,
1798,PCU561380561380               ,2020,M13,119.2,
1811,PCU561380561380               ,2021,M13,125.328,P
1833,PCU5613805613801              ,1995,M13,103.0,
1846,PCU5613805613801              ,1996,M13,104.9,
1859,PCU5613805613801              ,1997,M13,106.5,
1872,PCU5613805613801              ,1998,M13,108.8,
