,series_id,year,period,value,footnote_codes
19,PCU7131--7131--               ,2007,M13,105.2,
32,PCU7131--7131--               ,2008,M13,109.8,
45,PCU7131--7131--               ,2009,M13,112.5,
58,PCU7131--7131--               ,2010,M13,118.2,
71,PCU7131--7131--               ,2011,M13,123.1,
84,PCU7131--7131--               ,2012,M13,132.3,
97,PCU7131--7131--               ,2013,M13,140.5,
110,PCU7131--7131--               ,2014,M13,147.6,
123,PCU7131--7131--               ,2015,M13,154.6,
136,PCU7131--7131--               ,2016,M13,163.2,
149,PCU7131--7131--               ,2017,M13,171.6,
162,PCU7131--7131--               ,2018,M13,175.9,
175,PCU7131--7131--               ,2019,M13,185.3,
188,PCU7131--7131--               ,2020,M13,188.3,
201,PCU7131--7131--               ,2021,M13,189.427,
225,PCU71311-71311-               ,2007,M13,105.2,
238,PCU71311-71311-               ,2008,M13,109.8,
251,PCU71311-71311-               ,2009,M13,112.5,
264,PCU71311-71311-               ,2010,M13,118.0,
277,PCU71311-71311-               ,2011,M13,122.9,
290,PCU71311-71311-               ,2012,M13,132.1,
303,PCU71311-71311-               ,2013,M13,140.3,
316,PCU71311-71311-               ,2014,M13,147.4,
329,PCU71311-71311-               ,2015,M13,154.3,
342,PCU71311-71311-               ,2016,M13,163.0,
355,PCU71311-71311-               ,2017,M13,171.3,
368,PCU71311-71311-               ,2018,M13,175.7,
381,PCU71311-71311-               ,2019,M13,185.0,
394,PCU71311-71311-               ,2020,M13,188.0,
407,PCU71311-71311-               ,2021,M13,189.133,
431,PCU713110713110               ,2007,M13,105.2,
444,PCU713110713110               ,2008,M13,109.8,
457,PCU713110713110               ,2009,M13,112.5,
470,PCU713110713110               ,2010,M13,118.0,
483,PCU713110713110               ,2011,M13,122.9,
496,PCU713110713110               ,2012,M13,132.0,
509,PCU713110713110               ,2013,M13,140.3,
522,PCU713110713110               ,2014,M13,147.4,
535,PCU713110713110               ,2015,M13,154.3,
548,PCU713110713110               ,2016,M13,163.0,
561,PCU713110713110               ,2017,M13,171.3,
574,PCU713110713110               ,2018,M13,175.7,
587,PCU713110713110               ,2019,M13,185.0,
600,PCU713110713110               ,2020,M13,188.0,
613,PCU713110713110               ,2021,M13,189.124,
637,PCU7131107131101              ,2007,M13,107.5,
650,PCU7131107131101              ,2008,M13,113.7,
663,PCU7131107131101              ,2009,M13,116.4,
676,PCU7131107131101              ,2010,M13,123.7,
689,PCU7131107131101              ,2011,M13,130.9,
702,PCU7131107131101              ,2012,M13,141.8,
715,PCU7131107131101              ,2013,M13,151.0,
728,PCU7131107131101              ,2014,M13,158.9,
741,PCU7131107131101              ,2015,M13,167.7,
754,PCU7131107131101              ,2016,M13,180.3,
767,PCU7131107131101              ,2017,M13,190.1,
780,PCU7131107131101              ,2018,M13,192.6,
793,PCU7131107131101              ,2019,M13,200.2,
806,PCU7131107131101              ,2020,M13,202.7,
819,PCU7131107131101              ,2021,M13,200.345,
843,PCU7131107131102              ,2007,M13,103.8,
856,PCU7131107131102              ,2008,M13,108.0,
869,PCU7131107131102              ,2009,M13,112.7,
882,PCU7131107131102              ,2010,M13,116.1,
895,PCU7131107131102              ,2011,M13,117.1,
908,PCU7131107131102              ,2012,M13,122.6,
921,PCU7131107131102              ,2013,M13,128.3,
934,PCU7131107131102              ,2014,M13,131.5,
947,PCU7131107131102              ,2015,M13,135.6,
960,PCU7131107131102              ,2016,M13,141.9,
973,PCU7131107131102              ,2017,M13,149.0,
986,PCU7131107131102              ,2018,M13,158.6,
999,PCU7131107131102              ,2019,M13,171.6,
1012,PCU7131107131102              ,2020,M13,175.3,
1025,PCU7131107131102              ,2021,M13,182.52,
1049,PCU7131107131103              ,2007,M13,101.1,
1062,PCU7131107131103              ,2008,M13,102.6,
1075,PCU7131107131103              ,2009,M13,103.8,
1088,PCU7131107131103              ,2010,M13,105.5,
1101,PCU7131107131103              ,2011,M13,105.8,
1114,PCU7131107131103              ,2012,M13,112.2,
1127,PCU7131107131103              ,2013,M13,115.3,
1140,PCU7131107131103              ,2014,M13,116.4,
1153,PCU7131107131103              ,2015,M13,116.9,
1166,PCU7131107131103              ,2016,M13,123.2,
1179,PCU7131107131103              ,2017,M13,129.5,
1192,PCU7131107131103              ,2018,M13,131.6,
1205,PCU7131107131103              ,2019,M13,136.2,
1218,PCU7131107131103              ,2020,M13,138.2,
1231,PCU7131107131103              ,2021,M13,141.907,
1255,PCU713110713110P              ,2007,M13,105.7,
1268,PCU713110713110P              ,2008,M13,110.7,
1281,PCU713110713110P              ,2009,M13,113.6,
1294,PCU713110713110P              ,2010,M13,119.1,
1307,PCU713110713110P              ,2011,M13,124.0,
1320,PCU713110713110P              ,2012,M13,133.1,
1333,PCU713110713110P              ,2013,M13,140.5,
1346,PCU713110713110P              ,2014,M13,146.0,
1359,PCU713110713110P              ,2015,M13,152.3,
1372,PCU713110713110P              ,2016,M13,162.4,
1385,PCU713110713110P              ,2017,M13,171.1,
1398,PCU713110713110P              ,2018,M13,174.9,
1411,PCU713110713110P              ,2019,M13,182.9,
1424,PCU713110713110P              ,2020,M13,185.6,
1437,PCU713110713110P              ,2021,M13,186.475,
1457,PCU713110713110SM             ,2009,M13,101.6,
1470,PCU713110713110SM             ,2010,M13,106.1,
1483,PCU713110713110SM             ,2011,M13,111.0,
1496,PCU713110713110SM             ,2012,M13,122.2,
1509,PCU713110713110SM             ,2013,M13,139.2,
1522,PCU713110713110SM             ,2014,M13,160.3,
1535,PCU713110713110SM             ,2015,M13,173.9,
1554,PCU713110713110SM             ,2017,M13,173.9,
1567,PCU713110713110SM             ,2018,M13,185.0,
1580,PCU713110713110SM             ,2019,M13,208.1,
1593,PCU713110713110SM             ,2020,M13,213.9,
1606,PCU713110713110SM             ,2021,M13,218.357,
1624,PCU71391-71391-               ,2006,M13,101.9,
1637,PCU71391-71391-               ,2007,M13,104.5,
1650,PCU71391-71391-               ,2008,M13,106.3,
1663,PCU71391-71391-               ,2009,M13,105.6,
1676,PCU71391-71391-               ,2010,M13,107.3,
1689,PCU71391-71391-               ,2011,M13,109.2,
1702,PCU71391-71391-               ,2012,M13,110.8,
1715,PCU71391-71391-               ,2013,M13,111.2,
1728,PCU71391-71391-               ,2014,M13,112.7,
1741,PCU71391-71391-               ,2015,M13,116.5,
1754,PCU71391-71391-               ,2016,M13,119.6,
1767,PCU71391-71391-               ,2017,M13,119.2,
1780,PCU71391-71391-               ,2018,M13,124.0,
1793,PCU71391-71391-               ,2019,M13,128.4,
1806,PCU71391-71391-               ,2020,M13,132.2,
1819,PCU71391-71391-               ,2021,M13,136.611,
1837,PCU713910713910               ,2006,M13,101.9,
1850,PCU713910713910               ,2007,M13,104.5,
1863,PCU713910713910               ,2008,M13,106.3,
1876,PCU713910713910               ,2009,M13,105.6,
1889,PCU713910713910               ,2010,M13,107.3,
1902,PCU713910713910               ,2011,M13,109.2,
1915,PCU713910713910               ,2012,M13,110.8,
1928,PCU713910713910               ,2013,M13,111.2,
1941,PCU713910713910               ,2014,M13,112.7,
1954,PCU713910713910               ,2015,M13,116.5,
1967,PCU713910713910               ,2016,M13,119.6,
1980,PCU713910713910               ,2017,M13,119.2,
1993,PCU713910713910               ,2018,M13,124.0,
2006,PCU713910713910               ,2019,M13,128.4,
2019,PCU713910713910               ,2020,M13,132.2,
2032,PCU713910713910               ,2021,M13,136.611,
2050,PCU7139107139101              ,2006,M13,103.2,
2063,PCU7139107139101              ,2007,M13,106.0,
2076,PCU7139107139101              ,2008,M13,107.8,
2089,PCU7139107139101              ,2009,M13,105.5,
2102,PCU7139107139101              ,2010,M13,107.5,
2115,PCU7139107139101              ,2011,M13,110.0,
2128,PCU7139107139101              ,2012,M13,112.5,
2141,PCU7139107139101              ,2013,M13,111.6,
2154,PCU7139107139101              ,2014,M13,113.8,
2167,PCU7139107139101              ,2015,M13,119.7,
2180,PCU7139107139101              ,2016,M13,126.0,
2193,PCU7139107139101              ,2017,M13,126.7,
2206,PCU7139107139101              ,2018,M13,132.6,
2219,PCU7139107139101              ,2019,M13,138.3,
2232,PCU7139107139101              ,2020,M13,141.4,
2245,PCU7139107139101              ,2021,M13,145.293,
2263,PCU7139107139102              ,2006,M13,99.5,
2276,PCU7139107139102              ,2007,M13,101.0,
2289,PCU7139107139102              ,2008,M13,102.6,
2302,PCU7139107139102              ,2009,M13,100.5,
2315,PCU7139107139102              ,2010,M13,101.6,
2328,PCU7139107139102              ,2011,M13,102.5,
2341,PCU7139107139102              ,2012,M13,103.0,
2354,PCU7139107139102              ,2013,M13,103.5,
2367,PCU7139107139102              ,2014,M13,101.7,
2380,PCU7139107139102              ,2015,M13,104.0,
2393,PCU7139107139102              ,2016,M13,106.4,
2406,PCU7139107139102              ,2017,M13,102.6,
2419,PCU7139107139102              ,2018,M13,106.9,
2432,PCU7139107139102              ,2019,M13,110.2,
2445,PCU7139107139102              ,2020,M13,116.0,
2458,PCU7139107139102              ,2021,M13,123.185,
2476,PCU7139107139103              ,2006,M13,103.8,
2489,PCU7139107139103              ,2007,M13,108.5,
2502,PCU7139107139103              ,2008,M13,109.4,
2515,PCU7139107139103              ,2009,M13,109.4,
2528,PCU7139107139103              ,2010,M13,109.5,
2541,PCU7139107139103              ,2011,M13,112.5,
2554,PCU7139107139103              ,2012,M13,113.6,
2567,PCU7139107139103              ,2013,M13,115.1,
2580,PCU7139107139103              ,2014,M13,115.4,
2593,PCU7139107139103              ,2015,M13,117.1,
2606,PCU7139107139103              ,2016,M13,117.6,
2619,PCU7139107139103              ,2017,M13,124.1,
2632,PCU7139107139103              ,2018,M13,126.8,
2645,PCU7139107139103              ,2019,M13,130.8,
2658,PCU7139107139103              ,2020,M13,133.7,
2671,PCU7139107139103              ,2021,M13,140.753,
2689,PCU7139107139104              ,2006,M13,100.7,
2702,PCU7139107139104              ,2007,M13,100.4,
2715,PCU7139107139104              ,2008,M13,105.7,
2728,PCU7139107139104              ,2009,M13,107.8,
2741,PCU7139107139104              ,2010,M13,110.6,
2754,PCU7139107139104              ,2011,M13,110.0,
2767,PCU7139107139104              ,2012,M13,111.2,
2780,PCU7139107139104              ,2013,M13,112.6,
2793,PCU7139107139104              ,2014,M13,112.8,
2806,PCU7139107139104              ,2015,M13,113.0,
2819,PCU7139107139104              ,2016,M13,114.3,
2832,PCU7139107139104              ,2017,M13,113.0,
2845,PCU7139107139104              ,2018,M13,115.8,
2858,PCU7139107139104              ,2019,M13,119.7,
2871,PCU7139107139104              ,2020,M13,128.6,
2884,PCU7139107139104              ,2021,M13,122.749,
2902,PCU713910713910P              ,2006,M13,102.0,
2915,PCU713910713910P              ,2007,M13,104.5,
2928,PCU713910713910P              ,2008,M13,106.5,
2941,PCU713910713910P              ,2009,M13,105.4,
2954,PCU713910713910P              ,2010,M13,106.9,
2967,PCU713910713910P              ,2011,M13,108.6,
2980,PCU713910713910P              ,2012,M13,110.1,
2993,PCU713910713910P              ,2013,M13,110.3,
3006,PCU713910713910P              ,2014,M13,110.8,
3019,PCU713910713910P              ,2015,M13,114.4,
3032,PCU713910713910P              ,2016,M13,117.9,
3045,PCU713910713910P              ,2017,M13,118.5,
3058,PCU713910713910P              ,2018,M13,123.1,
3071,PCU713910713910P              ,2019,M13,127.6,
3084,PCU713910713910P              ,2020,M13,131.7,
3097,PCU713910713910P              ,2021,M13,136.527,
3115,PCU713910713910SM             ,2006,M13,100.7,
3128,PCU713910713910SM             ,2007,M13,103.6,
3141,PCU713910713910SM             ,2008,M13,104.1,
3154,PCU713910713910SM             ,2009,M13,107.1,
3167,PCU713910713910SM             ,2010,M13,112.5,
3180,PCU713910713910SM             ,2011,M13,115.8,
3214,PCU713910713910SM             ,2014,M13,129.1,
3227,PCU713910713910SM             ,2015,M13,135.1,
3261,PCU713910713910SM             ,2018,M13,135.1,
3274,PCU713910713910SM             ,2019,M13,138.6,
3292,PCU71394-71394-               ,2005,M13,98.6,
3305,PCU71394-71394-               ,2006,M13,98.7,
3318,PCU71394-71394-               ,2007,M13,99.9,
3331,PCU71394-71394-               ,2008,M13,100.4,
3344,PCU71394-71394-               ,2009,M13,99.5,
3357,PCU71394-71394-               ,2010,M13,100.1,
3370,PCU71394-71394-               ,2011,M13,101.5,
3383,PCU71394-71394-               ,2012,M13,102.5,
