,series_id,year,period,value,footnote_codes
13,PCU316---316---               ,1985,M13,101.3,
26,PCU316---316---               ,1986,M13,103.0,
39,PCU316---316---               ,1987,M13,106.6,
52,PCU316---316---               ,1988,M13,113.4,
65,PCU316---316---               ,1989,M13,118.0,
78,PCU316---316---               ,1990,M13,122.6,
91,PCU316---316---               ,1991,M13,124.8,
104,PCU316---316---               ,1992,M13,127.0,
117,PCU316---316---               ,1993,M13,129.0,
130,PCU316---316---               ,1994,M13,130.6,
143,PCU316---316---               ,1995,M13,134.1,
156,PCU316---316---               ,1996,M13,134.7,
169,PCU316---316---               ,1997,M13,137.1,
182,PCU316---316---               ,1998,M13,137.1,
195,PCU316---316---               ,1999,M13,136.5,
208,PCU316---316---               ,2000,M13,137.9,
221,PCU316---316---               ,2001,M13,141.3,
234,PCU316---316---               ,2002,M13,141.1,
247,PCU316---316---               ,2003,M13,142.8,
260,PCU316---316---               ,2004,M13,143.6,
273,PCU316---316---               ,2005,M13,144.5,
286,PCU316---316---               ,2006,M13,146.6,
299,PCU316---316---               ,2007,M13,149.7,
312,PCU316---316---               ,2008,M13,153.5,
325,PCU316---316---               ,2009,M13,153.8,
338,PCU316---316---               ,2010,M13,156.2,
351,PCU316---316---               ,2011,M13,164.0,
364,PCU316---316---               ,2012,M13,167.7,
377,PCU316---316---               ,2013,M13,174.7,
390,PCU316---316---               ,2014,M13,181.1,
403,PCU316---316---               ,2015,M13,180.6,
416,PCU316---316---               ,2016,M13,178.5,
429,PCU316---316---               ,2017,M13,178.3,
442,PCU316---316---               ,2018,M13,176.3,
455,PCU316---316---               ,2019,M13,175.2,
468,PCU316---316---               ,2020,M13,173.4,
481,PCU316---316---               ,2021,M13,184.44,P
498,PCU3161--3161--               ,1978,M13,79.0,
511,PCU3161--3161--               ,1979,M13,111.1,
524,PCU3161--3161--               ,1980,M13,97.3,
537,PCU3161--3161--               ,1981,M13,100.0,
550,PCU3161--3161--               ,1982,M13,98.4,
563,PCU3161--3161--               ,1983,M13,103.8,
576,PCU3161--3161--               ,1984,M13,115.8,
589,PCU3161--3161--               ,1985,M13,111.9,
602,PCU3161--3161--               ,1986,M13,119.9,
615,PCU3161--3161--               ,1987,M13,137.5,
628,PCU3161--3161--               ,1988,M13,158.7,
641,PCU3161--3161--               ,1989,M13,161.6,
654,PCU3161--3161--               ,1990,M13,168.0,
667,PCU3161--3161--               ,1991,M13,158.9,
680,PCU3161--3161--               ,1992,M13,156.1,
693,PCU3161--3161--               ,1993,M13,160.9,
706,PCU3161--3161--               ,1994,M13,171.9,
719,PCU3161--3161--               ,1995,M13,183.9,
732,PCU3161--3161--               ,1996,M13,172.4,
745,PCU3161--3161--               ,1997,M13,176.9,
758,PCU3161--3161--               ,1998,M13,171.6,
771,PCU3161--3161--               ,1999,M13,168.8,
784,PCU3161--3161--               ,2000,M13,174.6,
797,PCU3161--3161--               ,2001,M13,191.7,
810,PCU3161--3161--               ,2002,M13,191.4,
823,PCU3161--3161--               ,2003,M13,200.5,
836,PCU3161--3161--               ,2004,M13,205.7,
849,PCU3161--3161--               ,2005,M13,204.8,
862,PCU3161--3161--               ,2006,M13,208.4,
875,PCU3161--3161--               ,2007,M13,215.9,
888,PCU3161--3161--               ,2008,M13,221.3,
901,PCU3161--3161--               ,2009,M13,212.1,
914,PCU3161--3161--               ,2010,M13,217.0,
927,PCU3161--3161--               ,2011,M13,237.2,
940,PCU3161--3161--               ,2012,M13,235.7,
953,PCU3161--3161--               ,2013,M13,256.4,
966,PCU3161--3161--               ,2014,M13,273.2,
979,PCU3161--3161--               ,2015,M13,246.4,
992,PCU3161--3161--               ,2016,M13,227.2,
1005,PCU3161--3161--               ,2017,M13,219.1,
1018,PCU3161--3161--               ,2018,M13,199.6,
1031,PCU3161--3161--               ,2019,M13,183.0,
1044,PCU3161--3161--               ,2020,M13,168.0,
1057,PCU3161--3161--               ,2021,M13,205.802,P
1074,PCU31611-31611-               ,1978,M13,79.0,
1087,PCU31611-31611-               ,1979,M13,111.1,
1100,PCU31611-31611-               ,1980,M13,97.3,
1113,PCU31611-31611-               ,1981,M13,100.0,
1126,PCU31611-31611-               ,1982,M13,98.4,
1139,PCU31611-31611-               ,1983,M13,103.8,
1152,PCU31611-31611-               ,1984,M13,115.8,
1165,PCU31611-31611-               ,1985,M13,111.9,
1178,PCU31611-31611-               ,1986,M13,119.9,
1191,PCU31611-31611-               ,1987,M13,137.5,
1204,PCU31611-31611-               ,1988,M13,158.7,
1217,PCU31611-31611-               ,1989,M13,161.6,
1230,PCU31611-31611-               ,1990,M13,168.0,
1243,PCU31611-31611-               ,1991,M13,158.9,
1256,PCU31611-31611-               ,1992,M13,156.1,
1269,PCU31611-31611-               ,1993,M13,160.9,
1282,PCU31611-31611-               ,1994,M13,171.9,
1295,PCU31611-31611-               ,1995,M13,183.9,
1308,PCU31611-31611-               ,1996,M13,172.4,
1321,PCU31611-31611-               ,1997,M13,176.9,
1334,PCU31611-31611-               ,1998,M13,171.6,
1347,PCU31611-31611-               ,1999,M13,168.8,
1360,PCU31611-31611-               ,2000,M13,174.6,
1373,PCU31611-31611-               ,2001,M13,191.7,
1386,PCU31611-31611-               ,2002,M13,191.4,
1399,PCU31611-31611-               ,2003,M13,200.5,
1412,PCU31611-31611-               ,2004,M13,205.7,
1425,PCU31611-31611-               ,2005,M13,204.8,
1438,PCU31611-31611-               ,2006,M13,208.4,
1451,PCU31611-31611-               ,2007,M13,215.9,
1464,PCU31611-31611-               ,2008,M13,221.3,
1477,PCU31611-31611-               ,2009,M13,212.1,
1490,PCU31611-31611-               ,2010,M13,217.0,
1503,PCU31611-31611-               ,2011,M13,237.2,
1516,PCU31611-31611-               ,2012,M13,235.7,
1529,PCU31611-31611-               ,2013,M13,256.4,
1542,PCU31611-31611-               ,2014,M13,273.2,
1555,PCU31611-31611-               ,2015,M13,246.4,
1568,PCU31611-31611-               ,2016,M13,227.2,
1581,PCU31611-31611-               ,2017,M13,219.1,
1594,PCU31611-31611-               ,2018,M13,199.6,
1607,PCU31611-31611-               ,2019,M13,183.0,
1620,PCU31611-31611-               ,2020,M13,168.0,
1633,PCU31611-31611-               ,2021,M13,205.802,P
1650,PCU316110316110               ,1978,M13,79.0,
1663,PCU316110316110               ,1979,M13,111.1,
1676,PCU316110316110               ,1980,M13,97.3,
1689,PCU316110316110               ,1981,M13,100.0,
1702,PCU316110316110               ,1982,M13,98.4,
1715,PCU316110316110               ,1983,M13,103.8,
1728,PCU316110316110               ,1984,M13,115.8,
1741,PCU316110316110               ,1985,M13,111.9,
1754,PCU316110316110               ,1986,M13,119.9,
1767,PCU316110316110               ,1987,M13,137.5,
1780,PCU316110316110               ,1988,M13,158.7,
1793,PCU316110316110               ,1989,M13,161.6,
1806,PCU316110316110               ,1990,M13,168.0,
1819,PCU316110316110               ,1991,M13,158.9,
1832,PCU316110316110               ,1992,M13,156.1,
1845,PCU316110316110               ,1993,M13,160.9,
1858,PCU316110316110               ,1994,M13,171.9,
1871,PCU316110316110               ,1995,M13,183.9,
1884,PCU316110316110               ,1996,M13,172.4,
1897,PCU316110316110               ,1997,M13,176.9,
1910,PCU316110316110               ,1998,M13,171.5,
1923,PCU316110316110               ,1999,M13,168.7,
1936,PCU316110316110               ,2000,M13,174.5,
1949,PCU316110316110               ,2001,M13,191.6,
1962,PCU316110316110               ,2002,M13,191.3,
1975,PCU316110316110               ,2003,M13,200.4,
1988,PCU316110316110               ,2004,M13,205.6,
2001,PCU316110316110               ,2005,M13,204.7,
2014,PCU316110316110               ,2006,M13,208.2,
2027,PCU316110316110               ,2007,M13,215.7,
2040,PCU316110316110               ,2008,M13,221.1,
2053,PCU316110316110               ,2009,M13,211.9,
2066,PCU316110316110               ,2010,M13,216.9,
2079,PCU316110316110               ,2011,M13,237.0,
2092,PCU316110316110               ,2012,M13,235.6,
2105,PCU316110316110               ,2013,M13,256.2,
2118,PCU316110316110               ,2014,M13,273.0,
2131,PCU316110316110               ,2015,M13,246.2,
2144,PCU316110316110               ,2016,M13,227.1,
2157,PCU316110316110               ,2017,M13,219.0,
2170,PCU316110316110               ,2018,M13,199.5,
2183,PCU316110316110               ,2019,M13,182.8,
2196,PCU316110316110               ,2020,M13,167.8,
2209,PCU316110316110               ,2021,M13,205.665,P
2226,PCU3161103161101              ,1998,M13,97.7,
2239,PCU3161103161101              ,1999,M13,96.6,
2252,PCU3161103161101              ,2000,M13,100.0,
2265,PCU3161103161101              ,2001,M13,110.1,
2278,PCU3161103161101              ,2002,M13,109.9,
2291,PCU3161103161101              ,2003,M13,115.6,
2304,PCU3161103161101              ,2004,M13,118.8,
2317,PCU3161103161101              ,2005,M13,118.3,
2330,PCU3161103161101              ,2006,M13,120.6,
2343,PCU3161103161101              ,2007,M13,124.3,
2356,PCU3161103161101              ,2008,M13,126.4,
2369,PCU3161103161101              ,2009,M13,119.4,
2382,PCU3161103161101              ,2010,M13,122.5,
2395,PCU3161103161101              ,2011,M13,135.4,
2408,PCU3161103161101              ,2012,M13,134.0,
2421,PCU3161103161101              ,2013,M13,146.6,
2434,PCU3161103161101              ,2014,M13,156.8,
2447,PCU3161103161101              ,2015,M13,140.3,
2460,PCU3161103161101              ,2016,M13,128.5,
2473,PCU3161103161101              ,2017,M13,123.3,
2486,PCU3161103161101              ,2018,M13,110.7,
2499,PCU3161103161101              ,2019,M13,99.5,
2512,PCU3161103161101              ,2020,M13,89.2,
2525,PCU3161103161101              ,2021,M13,114.017,P
2548,PCU3161103161102              ,2012,M13,101.3,
2561,PCU3161103161102              ,2013,M13,101.7,
2574,PCU3161103161102              ,2014,M13,102.7,
2587,PCU3161103161102              ,2015,M13,103.4,
2600,PCU3161103161102              ,2016,M13,105.7,
2613,PCU3161103161102              ,2017,M13,108.3,
2626,PCU3161103161102              ,2018,M13,108.8,
2639,PCU3161103161102              ,2019,M13,110.2,
2652,PCU3161103161102              ,2020,M13,111.8,
2665,PCU3161103161102              ,2021,M13,114.02,P
2688,PCU31611031611021             ,1982,M13,103.0,
2701,PCU31611031611021             ,1983,M13,107.5,
2714,PCU31611031611021             ,1984,M13,104.3,
2727,PCU31611031611021             ,1985,M13,106.8,
2740,PCU31611031611021             ,1986,M13,113.4,
2753,PCU31611031611021             ,1987,M13,118.9,
2766,PCU31611031611021             ,1988,M13,123.6,
2779,PCU31611031611021             ,1989,M13,127.2,
2792,PCU31611031611021             ,1990,M13,133.1,
2805,PCU31611031611021             ,1991,M13,118.9,
2818,PCU31611031611021             ,1992,M13,119.2,
2831,PCU31611031611021             ,1993,M13,123.7,
2844,PCU31611031611021             ,1994,M13,138.4,
2857,PCU31611031611021             ,1995,M13,143.3,
2870,PCU31611031611021             ,1996,M13,136.8,
2883,PCU31611031611021             ,1997,M13,137.7,
2896,PCU31611031611021             ,1998,M13,119.9,
2909,PCU31611031611021             ,1999,M13,120.5,
2922,PCU31611031611021             ,2000,M13,122.5,
2935,PCU31611031611021             ,2001,M13,135.5,
2948,PCU31611031611021             ,2002,M13,139.9,
2961,PCU31611031611021             ,2003,M13,139.7,
2974,PCU31611031611021             ,2004,M13,140.0,
2987,PCU31611031611021             ,2005,M13,139.1,
3000,PCU31611031611021             ,2006,M13,138.1,
3013,PCU31611031611021             ,2007,M13,140.3,
3026,PCU31611031611021             ,2008,M13,148.1,
3039,PCU31611031611021             ,2009,M13,153.4,
3052,PCU31611031611021             ,2010,M13,154.5,
3065,PCU31611031611021             ,2011,M13,158.4,
3078,PCU31611031611021             ,2012,M13,159.8,
3091,PCU31611031611021             ,2013,M13,159.3,
3104,PCU31611031611021             ,2014,M13,160.3,
3117,PCU31611031611021             ,2015,M13,161.4,
3130,PCU31611031611021             ,2016,M13,167.4,
3143,PCU31611031611021             ,2017,M13,172.3,
3156,PCU31611031611021             ,2018,M13,173.5,
3169,PCU31611031611021             ,2019,M13,175.2,
3182,PCU31611031611021             ,2020,M13,176.8,
3195,PCU31611031611021             ,2021,M13,180.108,P
3218,PCU316110316110P              ,1982,M13,97.8,
3231,PCU316110316110P              ,1983,M13,103.8,
3244,PCU316110316110P              ,1984,M13,116.2,
3257,PCU316110316110P              ,1985,M13,111.4,
3270,PCU316110316110P              ,1986,M13,120.1,
3283,PCU316110316110P              ,1987,M13,137.1,
3296,PCU316110316110P              ,1988,M13,159.1,
3309,PCU316110316110P              ,1989,M13,161.4,
3322,PCU316110316110P              ,1990,M13,168.3,
3335,PCU316110316110P              ,1991,M13,158.7,
3348,PCU316110316110P              ,1992,M13,155.9,
3361,PCU316110316110P              ,1993,M13,160.6,
3374,PCU316110316110P              ,1994,M13,171.5,
3387,PCU316110316110P              ,1995,M13,183.2,
3400,PCU316110316110P              ,1996,M13,171.5,
3413,PCU316110316110P              ,1997,M13,175.6,
3426,PCU316110316110P              ,1998,M13,169.9,
3439,PCU316110316110P              ,1999,M13,168.2,
3452,PCU316110316110P              ,2000,M13,173.8,
3465,PCU316110316110P              ,2001,M13,191.5,
3478,PCU316110316110P              ,2002,M13,191.7,
3491,PCU316110316110P              ,2003,M13,201.0,
3504,PCU316110316110P              ,2004,M13,206.3,
3517,PCU316110316110P              ,2005,M13,205.3,
3530,PCU316110316110P              ,2006,M13,209.2,
3543,PCU316110316110P              ,2007,M13,215.6,
3556,PCU316110316110P              ,2008,M13,219.7,
3569,PCU316110316110P              ,2009,M13,208.6,
3582,PCU316110316110P              ,2010,M13,213.8,
3595,PCU316110316110P              ,2011,M13,235.2,
3608,PCU316110316110P              ,2012,M13,233.2,
3621,PCU316110316110P              ,2013,M13,254.1,
3634,PCU316110316110P              ,2014,M13,271.1,
3647,PCU316110316110P              ,2015,M13,243.9,
3660,PCU316110316110P              ,2016,M13,224.5,
3673,PCU316110316110P              ,2017,M13,216.2,
3686,PCU316110316110P              ,2018,M13,196.4,
3699,PCU316110316110P              ,2019,M13,179.5,
3712,PCU316110316110P              ,2020,M13,164.2,
3725,PCU316110316110P              ,2021,M13,202.682,P
3742,PCU3162--3162--               ,2004,M13,100.1,
3755,PCU3162--3162--               ,2005,M13,101.1,
3768,PCU3162--3162--               ,2006,M13,102.2,
3781,PCU3162--3162--               ,2007,M13,103.3,
3794,PCU3162--3162--               ,2008,M13,106.3,
3807,PCU3162--3162--               ,2009,M13,107.7,
3820,PCU3162--3162--               ,2010,M13,108.7,
3833,PCU3162--3162--               ,2011,M13,111.8,
3846,PCU3162--3162--               ,2012,M13,118.5,
3859,PCU3162--3162--               ,2013,M13,122.8,
3872,PCU3162--3162--               ,2014,M13,125.7,
3885,PCU3162--3162--               ,2015,M13,127.8,
3898,PCU3162--3162--               ,2016,M13,129.5,
3911,PCU3162--3162--               ,2017,M13,130.7,
3924,PCU3162--3162--               ,2018,M13,131.7,
3937,PCU3162--3162--               ,2019,M13,134.4,
3950,PCU3162--3162--               ,2020,M13,135.4,
3963,PCU3162--3162--               ,2021,M13,138.956,P
3980,PCU31621-31621-               ,2004,M13,100.1,
3993,PCU31621-31621-               ,2005,M13,101.1,
4006,PCU31621-31621-               ,2006,M13,102.2,
4019,PCU31621-31621-               ,2007,M13,103.3,
4032,PCU31621-31621-               ,2008,M13,106.3,
4045,PCU31621-31621-               ,2009,M13,107.7,
4058,PCU31621-31621-               ,2010,M13,108.7,
4071,PCU31621-31621-               ,2011,M13,111.8,
4084,PCU31621-31621-               ,2012,M13,118.5,
4097,PCU31621-31621-               ,2013,M13,122.8,
4110,PCU31621-31621-               ,2014,M13,125.7,
