index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WDU01110207                   ,WDU01110207                   ,"PPI Commodity data for Farm products-Pineapples, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2015-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7,109.9,96.0,104.2,107.9,113.6,,,116.3,118.6,113.3,128.3,134.5,130.6,,,,,,,,,
WDU01110217                   ,WDU01110217                   ,"PPI Commodity data for Farm products-Bananas, 40 lb. box, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M12,1985-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,45.7,46.1,42.9,41.3,42.2,41.3,43.5,43.9,38.1,43.3,44.0,49.1,64.8,68.7,72.8,76.5,87.0,101.3,107.1,100.0,114.6,98.5,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01110218                   ,WDU01110218                   ,"PPI Commodity data for Farm products-Table grapes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2011-M13,,,,,,,,,,,,,,,,,,,,,,32.4,29.8,29.0,25.5,29.3,23.2,30.7,25.0,27.4,29.1,28.8,31.0,31.4,27.6,30.6,28.9,29.8,30.1,25.0,26.8,29.6,30.7,30.7,31.2,,52.1,50.6,52.1,56.1,60.8,80.9,,88.8,98.7,98.5,100.0,81.7,,81.2,102.8,,,,,,,,,,,,,,,,,,,,,,141.5,103.2,129.2,116.7,,,
WDU01110223                   ,WDU01110223                   ,"PPI Commodity data for Farm products-Cantaloupes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M05,1991-M10,,,,,,,,,,,,,,,,,,,,,,31.0,38.0,38.8,33.6,35.1,39.6,34.7,25.4,23.7,30.5,33.1,35.7,35.3,36.5,35.2,34.9,36.7,39.5,35.4,41.2,44.1,42.7,40.9,45.4,,48.3,58.2,66.1,68.0,73.3,71.4,91.3,91.7,97.9,112.3,,,154.0,65.3,80.5,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0112                       ,WDU0112                       ,"PPI Commodity data for Farm products-Dried fruits, bulk, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,,,,,,,,,,,,,,16.3,11.9,12.8,16.3,18.1,15.4,16.6,18.5,19.7,19.6,19.4,27.3,29.9,24.9,26.2,24.4,23.3,23.2,22.4,23.1,25.2,28.2,28.8,30.1,30.2,35.7,52.7,62.3,53.7,59.8,86.3,90.7,135.0,97.4,98.1,100.0,100.7,90.4,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01120101                   ,WDU01120101                   ,"PPI Commodity data for Farm products-Prunes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,,,,,,,,,,,,,,24.6,19.8,22.4,26.7,28.7,25.7,30.8,37.1,39.9,37.8,29.1,33.8,42.3,42.7,44.8,38.5,34.6,33.4,31.3,34.0,38.2,39.8,40.1,44.4,43.3,48.0,61.7,71.9,64.8,64.1,77.3,94.0,120.4,115.7,106.3,100.0,101.3,102.3,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01120102                   ,WDU01120102                   ,"PPI Commodity data for Farm products-Raisins, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,,,,,,,,,,,,,,14.2,9.6,9.9,13.4,15.2,12.4,12.1,12.2,12.9,13.6,16.2,25.3,24.6,16.0,17.0,18.1,,,,,,23.2,24.0,24.0,24.5,30.4,48.7,58.0,48.8,57.8,90.1,89.3,141.5,88.8,94.5,100.0,100.5,85.2,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01130101                   ,WDU01130101                   ,"PPI Commodity data for Farm products-Dry pea beans, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M09,,,,,,,,,,,,,,,,,,,,,,37.3,34.3,21.9,22.1,22.2,23.9,25.6,26.5,29.0,22.3,22.5,26.2,21.0,19.3,20.1,21.1,21.0,21.2,23.2,24.6,22.8,28.1,26.8,25.7,41.4,39.4,49.5,120.7,,75.8,65.8,68.3,65.0,81.0,117.5,100.0,74.5,94.6,,64.1,78.7,101.8,116.4,98.5,65.3,69.5,68.6,96.2,100.4,87.2,66.9,69.8,80.8,50.2,67.4,87.8,82.0,119.8,127.3,107.9,138.1,,,168.8,222.6,238.4,,223.7
WDU01130102                   ,WDU01130102                   ,"PPI Commodity data for Farm products-Dry pinto beans, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4,173.1,197.8,133.4,185.1,155.5,165.0,119.4,112.3,147.9,253.6,175.2,226.5,255.3,184.9,265.5,344.0,320.2,268.8,371.7,484.7,400.3,327.8
WDU01130103                   ,WDU01130103                   ,"PPI Commodity data for Farm products-Dry great northern beans, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.4,125.5,176.1,216.9,184.0,131.9,142.8,127.1,117.3,129.2,185.5,198.0,174.9,183.7,194.8,301.7,,,307.3,399.7,,494.8,
