,series_id,year,period,value,footnote_codes
3116,WDU01110207                   ,1992,M13,108.7,
3129,WDU01110207                   ,1993,M13,109.9,
3142,WDU01110207                   ,1994,M13,96.0,
3155,WDU01110207                   ,1995,M13,104.2,
3168,WDU01110207                   ,1996,M13,107.9,
3181,WDU01110207                   ,1997,M13,113.6,
3205,WDU01110207                   ,2000,M13,116.3,
3218,WDU01110207                   ,2001,M13,118.6,
3230,WDU01110207                   ,2002,M13,113.3,
3243,WDU01110207                   ,2003,M13,128.3,
3256,WDU01110207                   ,2004,M13,134.5,
3268,WDU01110207                   ,2005,M13,130.6,
3320,WDU01110217                   ,1962,M13,47.0,
3333,WDU01110217                   ,1963,M13,45.7,
3346,WDU01110217                   ,1964,M13,46.1,
3359,WDU01110217                   ,1965,M13,42.9,
3372,WDU01110217                   ,1966,M13,41.3,
3385,WDU01110217                   ,1967,M13,42.2,
3398,WDU01110217                   ,1968,M13,41.3,
3411,WDU01110217                   ,1969,M13,43.5,
3424,WDU01110217                   ,1970,M13,43.9,
3437,WDU01110217                   ,1971,M13,38.1,
3450,WDU01110217                   ,1972,M13,43.3,
3463,WDU01110217                   ,1973,M13,44.0,
3476,WDU01110217                   ,1974,M13,49.1,
3487,WDU01110217                   ,1975,M13,64.8,
3500,WDU01110217                   ,1976,M13,68.7,
3513,WDU01110217                   ,1977,M13,72.8,
3526,WDU01110217                   ,1978,M13,76.5,
3539,WDU01110217                   ,1979,M13,87.0,
3551,WDU01110217                   ,1980,M13,101.3,
3564,WDU01110217                   ,1981,M13,107.1,
3577,WDU01110217                   ,1982,M13,100.0,
3590,WDU01110217                   ,1983,M13,114.6,
3603,WDU01110217                   ,1984,M13,98.5,
3615,WDU01110217                   ,1985,M13,104.4,
3626,WDU01110218                   ,1947,M13,32.4,
3638,WDU01110218                   ,1948,M13,29.8,
3650,WDU01110218                   ,1949,M13,29.0,
3663,WDU01110218                   ,1950,M13,25.5,
3676,WDU01110218                   ,1951,M13,29.3,
3687,WDU01110218                   ,1952,M13,23.2,
3698,WDU01110218                   ,1953,M13,30.7,
3711,WDU01110218                   ,1954,M13,25.0,
3722,WDU01110218                   ,1955,M13,27.4,
3733,WDU01110218                   ,1956,M13,29.1,
3743,WDU01110218                   ,1957,M13,28.8,
3753,WDU01110218                   ,1958,M13,31.0,
3763,WDU01110218                   ,1959,M13,31.4,
3774,WDU01110218                   ,1960,M13,27.6,
3785,WDU01110218                   ,1961,M13,30.6,
3796,WDU01110218                   ,1962,M13,28.9,
3806,WDU01110218                   ,1963,M13,29.8,
3815,WDU01110218                   ,1964,M13,30.1,
3825,WDU01110218                   ,1965,M13,25.0,
3835,WDU01110218                   ,1966,M13,26.8,
3843,WDU01110218                   ,1967,M13,29.6,
3850,WDU01110218                   ,1968,M13,30.7,
3857,WDU01110218                   ,1969,M13,30.7,
3865,WDU01110218                   ,1970,M13,31.2,
3882,WDU01110218                   ,1972,M13,52.1,
3889,WDU01110218                   ,1973,M13,50.6,
3896,WDU01110218                   ,1974,M13,52.1,
3904,WDU01110218                   ,1975,M13,56.1,
3915,WDU01110218                   ,1976,M13,60.8,
3924,WDU01110218                   ,1977,M13,80.9,
3939,WDU01110218                   ,1979,M13,88.8,
3946,WDU01110218                   ,1980,M13,98.7,
3953,WDU01110218                   ,1981,M13,98.5,
3960,WDU01110218                   ,1982,M13,100.0,
3968,WDU01110218                   ,1983,M13,81.7,
3981,WDU01110218                   ,1985,M13,81.2,
3994,WDU01110218                   ,1986,M13,102.8,
4132,WDU01110218                   ,2008,M13,141.5,
4145,WDU01110218                   ,2009,M13,103.2,
4158,WDU01110218                   ,2010,M13,129.2,
4171,WDU01110218                   ,2011,M13,116.7,
4178,WDU01110223                   ,1947,M13,31.0,
4185,WDU01110223                   ,1948,M13,38.0,
4193,WDU01110223                   ,1949,M13,38.8,
4203,WDU01110223                   ,1950,M13,33.6,
4212,WDU01110223                   ,1951,M13,35.1,
4221,WDU01110223                   ,1952,M13,39.6,
4228,WDU01110223                   ,1953,M13,34.7,
4234,WDU01110223                   ,1954,M13,25.4,
4240,WDU01110223                   ,1955,M13,23.7,
4246,WDU01110223                   ,1956,M13,30.5,
4251,WDU01110223                   ,1957,M13,33.1,
4259,WDU01110223                   ,1958,M13,35.7,
4267,WDU01110223                   ,1959,M13,35.3,
4276,WDU01110223                   ,1960,M13,36.5,
4285,WDU01110223                   ,1961,M13,35.2,
4294,WDU01110223                   ,1962,M13,34.9,
4302,WDU01110223                   ,1963,M13,36.7,
4309,WDU01110223                   ,1964,M13,39.5,
4318,WDU01110223                   ,1965,M13,35.4,
4327,WDU01110223                   ,1966,M13,41.2,
4335,WDU01110223                   ,1967,M13,44.1,
4343,WDU01110223                   ,1968,M13,42.7,
4351,WDU01110223                   ,1969,M13,40.9,
4359,WDU01110223                   ,1970,M13,45.4,
4374,WDU01110223                   ,1972,M13,48.3,
4381,WDU01110223                   ,1973,M13,58.2,
4389,WDU01110223                   ,1974,M13,66.1,
4397,WDU01110223                   ,1975,M13,68.0,
4405,WDU01110223                   ,1976,M13,73.3,
4413,WDU01110223                   ,1977,M13,71.4,
4422,WDU01110223                   ,1978,M13,91.3,
4429,WDU01110223                   ,1979,M13,91.7,
4437,WDU01110223                   ,1980,M13,97.9,
4442,WDU01110223                   ,1981,M13,112.3,
4452,WDU01110223                   ,1984,M13,154.0,
4458,WDU01110223                   ,1985,M13,65.3,
4471,WDU01110223                   ,1986,M13,80.5,
4482,WDU01110223                   ,1987,M13,81.2,
4517,WDU0112                       ,1947,M13,16.3,
4530,WDU0112                       ,1948,M13,11.9,
4543,WDU0112                       ,1949,M13,12.8,
4556,WDU0112                       ,1950,M13,16.3,
4569,WDU0112                       ,1951,M13,18.1,
4582,WDU0112                       ,1952,M13,15.4,
4595,WDU0112                       ,1953,M13,16.6,
4608,WDU0112                       ,1954,M13,18.5,
4621,WDU0112                       ,1955,M13,19.7,
4634,WDU0112                       ,1956,M13,19.6,
4647,WDU0112                       ,1957,M13,19.4,
4660,WDU0112                       ,1958,M13,27.3,
4673,WDU0112                       ,1959,M13,29.9,
4686,WDU0112                       ,1960,M13,24.9,
4699,WDU0112                       ,1961,M13,26.2,
4712,WDU0112                       ,1962,M13,24.4,
4725,WDU0112                       ,1963,M13,23.3,
4738,WDU0112                       ,1964,M13,23.2,
4751,WDU0112                       ,1965,M13,22.4,
4764,WDU0112                       ,1966,M13,23.1,
4777,WDU0112                       ,1967,M13,25.2,
4790,WDU0112                       ,1968,M13,28.2,
4803,WDU0112                       ,1969,M13,28.8,
4816,WDU0112                       ,1970,M13,30.1,
4829,WDU0112                       ,1971,M13,30.2,
4842,WDU0112                       ,1972,M13,35.7,
4855,WDU0112                       ,1973,M13,52.7,
