index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WDUSOP1000                    ,WDUSOP1000                    ,"PPI Commodity data for Stage of processing-Crude materials, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,31.7,34.7,30.1,32.7,37.6,34.5,31.9,31.6,30.4,30.6,31.2,31.9,31.1,30.4,30.2,30.5,29.9,29.6,31.1,33.1,31.3,31.8,33.9,35.2,36.0,39.9,54.5,61.4,61.6,63.4,65.5,73.4,85.9,95.3,103.0,100.0,101.3,103.5,95.8,87.7,93.7,96.0,103.1,108.9,101.2,100.4,102.4,101.8,102.7,113.8,111.1,96.8,98.2,120.6,121.0,108.1,135.3,159.0,182.2,184.8,207.1,251.8,175.2,212.2,249.4,241.3,246.6,249.2,189.1
WDUSOP1100                    ,WDUSOP1100                    ,"PPI Commodity data for Stage of processing-Crude foodstuffs and feedstuffs, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,45.1,48.8,40.5,43.4,50.2,47.3,42.3,42.3,38.4,37.6,39.2,41.6,38.8,38.4,37.9,38.6,37.5,36.6,39.2,42.7,40.3,40.9,44.1,45.2,46.1,51.5,72.6,76.4,77.4,76.8,77.5,87.3,100.0,104.6,103.9,100.0,101.8,104.7,94.8,93.2,96.2,106.1,111.2,113.1,105.5,105.1,108.4,106.5,105.8,121.5,112.2,103.9,98.7,100.2,106.1,99.5,113.5,127.0,122.7,119.3,146.7,163.4,134.5,152.4,188.4,196.3,200.2,210.1,181.3
WDUSOP1200                    ,WDUSOP1200                    ,"PPI Commodity data for Stage of processing-Crude nonfood materials except fuel, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,24.0,26.7,24.3,27.8,32.0,27.8,26.6,26.1,27.5,28.6,28.2,27.1,28.1,26.9,27.2,27.1,26.7,27.2,27.7,28.3,26.5,27.1,28.4,29.1,29.4,32.3,42.9,54.5,50.0,54.9,56.3,61.9,75.5,91.8,109.8,100.0,98.8,101.0,94.3,76.0,88.5,85.9,95.8,107.3,97.5,94.2,94.1,97.0,105.8,105.7,103.5,84.5,91.1,118.0,101.5,101.0,116.9,149.2,176.7,210.0,238.7,308.5,211.1,280.8,342.0,332.4,327.9,312.2,213.9
WDUSOP1210                    ,WDUSOP1210                    ,"PPI Commodity data for Stage of processing-Crude nonfood materials except fuel to manufacturing industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,24.0,26.7,24.1,27.7,32.1,27.6,26.3,25.8,27.3,28.3,27.8,26.6,27.6,26.3,26.6,26.5,26.1,26.6,27.2,27.8,25.8,26.3,27.6,28.3,28.4,31.5,42.7,55.0,49.7,54.7,56.0,61.5,75.6,92.3,110.9,100.0,98.6,100.8,93.1,72.6,84.7,81.5,91.0,102.5,92.2,87.9,85.6,88.3,97.3,97.6,95.0,76.7,83.0,108.7,93.2,92.5,107.5,137.7,163.4,194.5,221.6,287.3,197.1,265.0,324.6,314.9,310.1,294.2,197.1
WDUSOP121X                    ,WDUSOP121X                    ,"PPI Commodity data for Stage of processing-Crude nonfood materials except fuel for mfg, excluding selected items, not seasonally adjusted, discontinued",Index base: 1982 = 100,1967-M01,2015-M13,,,,,,,,,,,,,,,,,,,,,22.3,22.7,25.2,26.3,25.8,27.6,34.7,52.2,47.7,51.4,53.1,59.1,74.0,90.9,112.0,100.0,97.8,100.1,92.3,70.4,82.6,79.5,88.9,100.4,89.8,85.9,83.5,85.5,93.8,94.8,92.5,73.7,81.2,107.7,92.4,91.8,106.5,138.3,165.3,197.5,225.3,292.5,199.9,268.6,329.0,319.5,314.8,298.6,199.3
WDUSOP1220                    ,WDUSOP1220                    ,"PPI Commodity data for Stage of processing-Crude nonfood materials except fuel to construction industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,23.5,25.7,26.6,26.9,28.5,28.5,29.6,30.5,31.5,32.9,34.3,35.1,35.4,35.9,35.9,36.1,36.0,35.9,36.1,36.3,37.0,38.4,39.8,42.1,44.1,45.0,46.2,50.0,55.9,59.6,63.1,68.7,76.6,87.9,96.8,100.0,100.1,103.1,105.7,106.5,114.8,126.5,136.9,145.2,147.5,162.1,193.6,199.1,201.7,195.7,201.4,196.0,195.7,193.4,181.7,181.4,180.8,191.8,199.3,201.1,201.7,199.0,200.5,203.0,206.6,212.3,216.9,225.3,233.5
WDUSOP1300                    ,WDUSOP1300                    ,"PPI Commodity data for Stage of processing-Crude fuel, excluding crude petroleum, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,7.5,8.9,8.8,8.8,9.0,9.0,9.3,8.9,8.9,9.5,10.1,10.2,10.4,10.5,10.5,10.4,10.5,10.5,10.6,10.9,11.3,11.5,12.0,13.8,15.7,16.8,18.6,24.8,30.6,34.5,42.0,48.2,57.3,69.4,84.8,100.0,105.1,105.1,102.7,92.2,84.1,82.1,85.3,84.8,82.9,84.0,87.1,82.4,72.1,92.6,101.3,86.7,91.2,136.9,151.4,117.3,185.7,211.4,279.7,241.5,236.8,298.3,166.3,188.0,181.5,143.9,167.4,184.0,131.0
WDUSOP1310                    ,WDUSOP1310                    ,"PPI Commodity data for Stage of processing-Crude fuel to manufacturing industries, excluding crude petroleum, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,6.5,7.7,7.6,7.6,7.7,7.7,8.0,7.6,7.6,8.2,8.7,8.8,8.9,9.0,9.0,8.9,9.0,9.0,9.0,9.3,9.7,9.9,10.2,11.3,12.6,13.5,14.8,19.1,24.4,29.0,37.2,43.1,53.1,66.7,83.6,100.0,105.8,105.6,102.7,91.1,82.1,80.1,83.9,82.9,82.3,83.1,85.9,81.7,72.5,90.7,98.4,84.8,90.0,136.9,150.2,113.4,176.4,200.5,263.9,229.2,224.9,283.5,185.0,202.3,206.0,184.2,196.7,202.5,169.7
WDUSOP1320                    ,WDUSOP1320                    ,"PPI Commodity data for Stage of processing-Crude fuel to nonmanufacturing industries, excluding crude petroleum, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,8.5,10.0,9.9,9.9,10.1,10.2,10.6,10.1,10.1,10.7,11.4,11.5,11.7,11.8,11.8,11.8,11.9,11.9,11.9,12.3,12.8,13.1,13.8,16.6,19.3,20.6,22.9,31.8,38.0,40.5,47.4,53.8,62.0,72.5,86.2,100.0,104.4,104.6,102.5,93.6,86.3,84.5,87.0,87.0,84.1,85.2,88.6,83.6,72.9,94.3,103.3,88.5,92.9,139.3,154.2,119.8,189.9,216.2,286.3,247.0,242.2,305.0,169.0,191.3,184.3,145.5,169.7,187.1,132.3
WDUSOP1400                    ,WDUSOP1400                    ,"PPI Commodity data for Stage of processing-Crude materials less agricultural products, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,14.8,17.3,15.7,17.4,19.2,17.4,17.3,16.4,18.0,19.1,18.8,18.1,19.1,18.3,18.1,17.8,17.6,18.1,18.8,19.5,18.6,19.0,20.6,22.2,23.0,24.4,28.9,40.8,42.0,45.8,49.6,55.7,68.3,83.2,101.7,100.0,100.4,102.0,96.7,81.1,87.3,85.0,92.9,100.9,94.0,93.1,94.3,94.0,95.4,103.9,106.0,87.5,94.3,131.8,128.6,112.6,150.3,183.0,229.4,237.1,253.0,323.0,201.2,254.4,285.8,263.0,271.0,270.2,184.7
