,series_id,year,period,value,footnote_codes
7466,WPU12                         ,1926,M13,28.6,
7479,WPU12                         ,1927,M13,27.9,
7492,WPU12                         ,1928,M13,27.2,
7505,WPU12                         ,1929,M13,27.0,
7518,WPU12                         ,1930,M13,26.5,
7531,WPU12                         ,1931,M13,24.4,
7544,WPU12                         ,1932,M13,21.5,
7557,WPU12                         ,1933,M13,21.6,
7570,WPU12                         ,1934,M13,23.4,
7583,WPU12                         ,1935,M13,23.2,
7596,WPU12                         ,1936,M13,23.6,
7609,WPU12                         ,1937,M13,26.1,
7622,WPU12                         ,1938,M13,25.5,
7635,WPU12                         ,1939,M13,25.4,
7648,WPU12                         ,1940,M13,26.0,
7661,WPU12                         ,1941,M13,27.6,
7674,WPU12                         ,1942,M13,29.9,
7687,WPU12                         ,1943,M13,29.7,
7700,WPU12                         ,1944,M13,30.5,
7713,WPU12                         ,1945,M13,30.5,
7726,WPU12                         ,1946,M13,32.4,
7739,WPU12                         ,1947,M13,37.2,
7752,WPU12                         ,1948,M13,39.4,
7765,WPU12                         ,1949,M13,40.1,
7778,WPU12                         ,1950,M13,40.9,
7791,WPU12                         ,1951,M13,44.4,
7804,WPU12                         ,1952,M13,43.5,
7817,WPU12                         ,1953,M13,44.4,
7830,WPU12                         ,1954,M13,44.9,
7843,WPU12                         ,1955,M13,45.1,
7856,WPU12                         ,1956,M13,46.3,
7869,WPU12                         ,1957,M13,47.5,
7882,WPU12                         ,1958,M13,47.9,
7895,WPU12                         ,1959,M13,48.0,
7908,WPU12                         ,1960,M13,47.8,
7921,WPU12                         ,1961,M13,47.5,
7934,WPU12                         ,1962,M13,47.2,
7947,WPU12                         ,1963,M13,46.9,
7960,WPU12                         ,1964,M13,47.1,
7973,WPU12                         ,1965,M13,46.8,
7986,WPU12                         ,1966,M13,47.4,
7999,WPU12                         ,1967,M13,48.3,
8012,WPU12                         ,1968,M13,49.7,
8025,WPU12                         ,1969,M13,50.7,
8038,WPU12                         ,1970,M13,51.9,
8051,WPU12                         ,1971,M13,53.1,
8064,WPU12                         ,1972,M13,53.8,
8077,WPU12                         ,1973,M13,55.7,
8090,WPU12                         ,1974,M13,61.8,
8103,WPU12                         ,1975,M13,67.5,
8116,WPU12                         ,1976,M13,70.3,
8129,WPU12                         ,1977,M13,73.2,
8142,WPU12                         ,1978,M13,77.5,
8155,WPU12                         ,1979,M13,82.8,
8168,WPU12                         ,1980,M13,90.7,
8181,WPU12                         ,1981,M13,95.9,
