,series_id,year,period,value,footnote_codes
8285,WPU15                         ,1947,M13,26.6,
8298,WPU15                         ,1948,M13,27.7,
8311,WPU15                         ,1949,M13,28.2,
8324,WPU15                         ,1950,M13,28.6,
8337,WPU15                         ,1951,M13,30.3,
8350,WPU15                         ,1952,M13,30.2,
8363,WPU15                         ,1953,M13,31.0,
8376,WPU15                         ,1954,M13,31.3,
8389,WPU15                         ,1955,M13,31.3,
8402,WPU15                         ,1956,M13,31.7,
8415,WPU15                         ,1957,M13,32.6,
8428,WPU15                         ,1958,M13,33.3,
8441,WPU15                         ,1959,M13,33.4,
8454,WPU15                         ,1960,M13,33.6,
8467,WPU15                         ,1961,M13,33.7,
8480,WPU15                         ,1962,M13,33.9,
8493,WPU15                         ,1963,M13,34.2,
8506,WPU15                         ,1964,M13,34.4,
8519,WPU15                         ,1965,M13,34.7,
8532,WPU15                         ,1966,M13,35.3,
8545,WPU15                         ,1967,M13,36.2,
8558,WPU15                         ,1968,M13,37.0,
8571,WPU15                         ,1969,M13,38.1,
8584,WPU15                         ,1970,M13,39.8,
8597,WPU15                         ,1971,M13,40.8,
8610,WPU15                         ,1972,M13,41.5,
8623,WPU15                         ,1973,M13,43.3,
8636,WPU15                         ,1974,M13,48.1,
8649,WPU15                         ,1975,M13,53.4,
8662,WPU15                         ,1976,M13,55.6,
8675,WPU15                         ,1977,M13,59.4,
8688,WPU15                         ,1978,M13,66.7,
8701,WPU15                         ,1979,M13,75.5,
8714,WPU15                         ,1980,M13,93.6,
8727,WPU15                         ,1981,M13,96.1,
8740,WPU15                         ,1982,M13,100.0,
8753,WPU15                         ,1983,M13,104.8,
8766,WPU15                         ,1984,M13,107.0,
8779,WPU15                         ,1985,M13,109.4,
8792,WPU15                         ,1986,M13,111.6,
8805,WPU15                         ,1987,M13,114.9,
8818,WPU15                         ,1988,M13,120.2,
8831,WPU15                         ,1989,M13,126.5,
8844,WPU15                         ,1990,M13,134.2,
8857,WPU15                         ,1991,M13,140.8,
8870,WPU15                         ,1992,M13,145.3,
8883,WPU15                         ,1993,M13,145.4,
8896,WPU15                         ,1994,M13,141.9,
8909,WPU15                         ,1995,M13,145.4,
8922,WPU15                         ,1996,M13,147.7,
8935,WPU15                         ,1997,M13,150.9,
8948,WPU15                         ,1998,M13,156.0,
8961,WPU15                         ,1999,M13,166.6,
8974,WPU15                         ,2000,M13,170.8,
