,series_id,year,period,value,footnote_codes
20193,WPU30                         ,2010,M13,105.9,
20206,WPU30                         ,2011,M13,112.9,
20219,WPU30                         ,2012,M13,117.5,
20232,WPU30                         ,2013,M13,119.7,
20245,WPU30                         ,2014,M13,122.9,
20258,WPU30                         ,2015,M13,121.3,
20271,WPU30                         ,2016,M13,119.7,
20284,WPU30                         ,2017,M13,122.2,
20297,WPU30                         ,2018,M13,128.3,
20310,WPU30                         ,2019,M13,132.4,
20323,WPU30                         ,2020,M13,129.6,
20336,WPU30                         ,2021,M13,138.962,
20361,WPU301                        ,2010,M13,104.9,
20374,WPU301                        ,2011,M13,111.7,
20387,WPU301                        ,2012,M13,116.1,
20400,WPU301                        ,2013,M13,118.9,
20413,WPU301                        ,2014,M13,122.2,
20426,WPU301                        ,2015,M13,121.4,
20439,WPU301                        ,2016,M13,120.1,
20452,WPU301                        ,2017,M13,122.9,
20465,WPU301                        ,2018,M13,129.6,
20478,WPU301                        ,2019,M13,133.5,
20491,WPU301                        ,2020,M13,134.3,
20504,WPU301                        ,2021,M13,146.321,
20523,WPU3011                       ,2009,M13,96.4,
20536,WPU3011                       ,2010,M13,101.6,
20549,WPU3011                       ,2011,M13,110.5,
20562,WPU3011                       ,2012,M13,115.5,
20575,WPU3011                       ,2013,M13,118.8,
20588,WPU3011                       ,2014,M13,121.1,
20601,WPU3011                       ,2015,M13,116.5,
20614,WPU3011                       ,2016,M13,113.7,
20627,WPU3011                       ,2017,M13,117.8,
20640,WPU3011                       ,2018,M13,124.6,
20653,WPU3011                       ,2019,M13,128.4,
20666,WPU3011                       ,2020,M13,128.3,
20679,WPU3011                       ,2021,M13,134.686,
20698,WPU301101                     ,2009,M13,96.4,
20711,WPU301101                     ,2010,M13,101.6,
20724,WPU301101                     ,2011,M13,110.5,
20737,WPU301101                     ,2012,M13,115.5,
20750,WPU301101                     ,2013,M13,118.8,
20763,WPU301101                     ,2014,M13,121.1,
20776,WPU301101                     ,2015,M13,116.5,
20789,WPU301101                     ,2016,M13,113.7,
20802,WPU301101                     ,2017,M13,117.8,
20815,WPU301101                     ,2018,M13,124.6,
20828,WPU301101                     ,2019,M13,128.4,
20841,WPU301101                     ,2020,M13,128.3,
20854,WPU301101                     ,2021,M13,134.686,
20873,WPU30110101                   ,2009,M13,96.4,
20886,WPU30110101                   ,2010,M13,101.6,
20899,WPU30110101                   ,2011,M13,110.5,
20912,WPU30110101                   ,2012,M13,115.5,
20925,WPU30110101                   ,2013,M13,118.8,
20938,WPU30110101                   ,2014,M13,121.1,
20951,WPU30110101                   ,2015,M13,116.5,
20964,WPU30110101                   ,2016,M13,113.7,
20977,WPU30110101                   ,2017,M13,117.8,
20990,WPU30110101                   ,2018,M13,124.6,
21003,WPU30110101                   ,2019,M13,128.4,
21016,WPU30110101                   ,2020,M13,128.3,
21029,WPU30110101                   ,2021,M13,134.686,
21054,WPU3012                       ,2010,M13,102.0,
21067,WPU3012                       ,2011,M13,108.0,
21080,WPU3012                       ,2012,M13,111.8,
21093,WPU3012                       ,2013,M13,113.3,
21106,WPU3012                       ,2014,M13,115.5,
21119,WPU3012                       ,2015,M13,113.4,
21132,WPU3012                       ,2016,M13,112.2,
21145,WPU3012                       ,2017,M13,114.9,
21158,WPU3012                       ,2018,M13,122.6,
21171,WPU3012                       ,2019,M13,125.4,
21184,WPU3012                       ,2020,M13,124.7,
21197,WPU3012                       ,2021,M13,140.338,
21222,WPU301201                     ,2010,M13,100.9,
21235,WPU301201                     ,2011,M13,104.1,
21248,WPU301201                     ,2012,M13,106.0,
21261,WPU301201                     ,2013,M13,107.9,
21274,WPU301201                     ,2014,M13,108.2,
21287,WPU301201                     ,2015,M13,107.2,
21300,WPU301201                     ,2016,M13,105.4,
21313,WPU301201                     ,2017,M13,105.9,
21326,WPU301201                     ,2018,M13,111.2,
21339,WPU301201                     ,2019,M13,115.9,
21352,WPU301201                     ,2020,M13,115.0,
21365,WPU301201                     ,2021,M13,121.093,
21390,WPU30120101                   ,2010,M13,100.9,
21403,WPU30120101                   ,2011,M13,104.1,
21416,WPU30120101                   ,2012,M13,106.0,
21429,WPU30120101                   ,2013,M13,107.9,
21442,WPU30120101                   ,2014,M13,108.2,
21455,WPU30120101                   ,2015,M13,107.2,
21468,WPU30120101                   ,2016,M13,105.4,
21481,WPU30120101                   ,2017,M13,105.9,
21494,WPU30120101                   ,2018,M13,111.2,
21507,WPU30120101                   ,2019,M13,115.9,
21520,WPU30120101                   ,2020,M13,115.0,
21533,WPU30120101                   ,2021,M13,121.093,
21558,WPU301202                     ,2010,M13,102.5,
21571,WPU301202                     ,2011,M13,109.7,
21584,WPU301202                     ,2012,M13,114.3,
21597,WPU301202                     ,2013,M13,115.6,
21610,WPU301202                     ,2014,M13,118.4,
21623,WPU301202                     ,2015,M13,116.0,
21636,WPU301202                     ,2016,M13,114.9,
21649,WPU301202                     ,2017,M13,118.3,
21662,WPU301202                     ,2018,M13,126.8,
21675,WPU301202                     ,2019,M13,128.9,
21688,WPU301202                     ,2020,M13,128.3,
21701,WPU301202                     ,2021,M13,147.608,
21726,WPU30120201                   ,2010,M13,102.5,
21739,WPU30120201                   ,2011,M13,109.7,
21752,WPU30120201                   ,2012,M13,114.3,
21765,WPU30120201                   ,2013,M13,115.6,
21778,WPU30120201                   ,2014,M13,118.4,
21791,WPU30120201                   ,2015,M13,116.0,
21804,WPU30120201                   ,2016,M13,114.9,
21817,WPU30120201                   ,2017,M13,118.3,
21830,WPU30120201                   ,2018,M13,126.8,
21843,WPU30120201                   ,2019,M13,128.9,
21856,WPU30120201                   ,2020,M13,128.3,
21869,WPU30120201                   ,2021,M13,147.608,
21894,WPU3013                       ,2010,M13,112.8,
21907,WPU3013                       ,2011,M13,120.8,
21920,WPU3013                       ,2012,M13,123.4,
21933,WPU3013                       ,2013,M13,121.3,
21946,WPU3013                       ,2014,M13,122.4,
21959,WPU3013                       ,2015,M13,121.9,
21972,WPU3013                       ,2016,M13,114.5,
21985,WPU3013                       ,2017,M13,113.2,
21998,WPU3013                       ,2018,M13,116.8,
22011,WPU3013                       ,2019,M13,122.8,
22024,WPU3013                       ,2020,M13,118.0,
22037,WPU3013                       ,2021,M13,124.228,
22056,WPU301301                     ,2009,M13,84.7,
22069,WPU301301                     ,2010,M13,94.7,
22082,WPU301301                     ,2011,M13,98.2,
22095,WPU301301                     ,2012,M13,96.3,
22108,WPU301301                     ,2013,M13,96.2,
22121,WPU301301                     ,2014,M13,101.4,
22134,WPU301301                     ,2015,M13,100.1,
22147,WPU301301                     ,2016,M13,93.2,
22160,WPU301301                     ,2017,M13,101.4,
22173,WPU301301                     ,2018,M13,112.5,
22186,WPU301301                     ,2019,M13,119.4,
22199,WPU301301                     ,2020,M13,112.5,
22212,WPU301301                     ,2021,M13,126.746,
22231,WPU30130101                   ,2009,M13,84.7,
22244,WPU30130101                   ,2010,M13,94.7,
22257,WPU30130101                   ,2011,M13,98.2,
22270,WPU30130101                   ,2012,M13,96.3,
22283,WPU30130101                   ,2013,M13,96.2,
22296,WPU30130101                   ,2014,M13,101.4,
22309,WPU30130101                   ,2015,M13,100.1,
22322,WPU30130101                   ,2016,M13,93.2,
22335,WPU30130101                   ,2017,M13,101.4,
22348,WPU30130101                   ,2018,M13,112.5,
22361,WPU30130101                   ,2019,M13,119.4,
22374,WPU30130101                   ,2020,M13,112.5,
22387,WPU30130101                   ,2021,M13,126.746,
22406,WPU301302                     ,2009,M13,95.9,
22419,WPU301302                     ,2010,M13,103.8,
22432,WPU301302                     ,2011,M13,111.5,
22445,WPU301302                     ,2012,M13,117.3,
22458,WPU301302                     ,2013,M13,114.6,
22471,WPU301302                     ,2014,M13,114.6,
22484,WPU301302                     ,2015,M13,119.6,
22497,WPU301302                     ,2016,M13,112.8,
22510,WPU301302                     ,2017,M13,99.7,
22523,WPU301302                     ,2018,M13,91.7,
22536,WPU301302                     ,2019,M13,91.4,
22549,WPU301302                     ,2020,M13,91.5,
22562,WPU301302                     ,2021,M13,92.777,
22581,WPU30130201                   ,2009,M13,95.9,
22594,WPU30130201                   ,2010,M13,103.8,
22607,WPU30130201                   ,2011,M13,111.5,
22620,WPU30130201                   ,2012,M13,117.3,
22633,WPU30130201                   ,2013,M13,114.6,
22646,WPU30130201                   ,2014,M13,114.6,
22659,WPU30130201                   ,2015,M13,119.6,
22672,WPU30130201                   ,2016,M13,112.8,
22685,WPU30130201                   ,2017,M13,99.7,
22698,WPU30130201                   ,2018,M13,91.7,
22711,WPU30130201                   ,2019,M13,91.4,
22724,WPU30130201                   ,2020,M13,91.5,
22737,WPU30130201                   ,2021,M13,92.777,
22756,WPU301303                     ,2009,M13,98.3,
22769,WPU301303                     ,2010,M13,102.6,
22782,WPU301303                     ,2011,M13,114.3,
22795,WPU301303                     ,2012,M13,126.2,
22808,WPU301303                     ,2013,M13,129.3,
22821,WPU301303                     ,2014,M13,124.9,
22854,WPU301303                     ,2017,M13,116.2,
22867,WPU301303                     ,2018,M13,123.2,
22880,WPU301303                     ,2019,M13,127.1,
22893,WPU301303                     ,2020,M13,121.5,
22906,WPU301303                     ,2021,M13,131.436,
22925,WPU30130301                   ,2009,M13,98.3,
22938,WPU30130301                   ,2010,M13,102.6,
22951,WPU30130301                   ,2011,M13,114.3,
22964,WPU30130301                   ,2012,M13,126.2,
22977,WPU30130301                   ,2013,M13,129.3,
22990,WPU30130301                   ,2014,M13,124.9,
23023,WPU30130301                   ,2017,M13,116.2,
23036,WPU30130301                   ,2018,M13,123.2,
23049,WPU30130301                   ,2019,M13,127.1,
23062,WPU30130301                   ,2020,M13,121.5,
23075,WPU30130301                   ,2021,M13,131.436,
23094,WPU301304                     ,2009,M13,93.2,
23107,WPU301304                     ,2010,M13,95.9,
23120,WPU301304                     ,2011,M13,107.7,
23133,WPU301304                     ,2012,M13,112.5,
23146,WPU301304                     ,2013,M13,108.1,
23159,WPU301304                     ,2014,M13,103.3,
23172,WPU301304                     ,2015,M13,99.1,
23185,WPU301304                     ,2016,M13,93.8,
23198,WPU301304                     ,2017,M13,89.2,
23211,WPU301304                     ,2018,M13,89.1,
23224,WPU301304                     ,2019,M13,96.5,
23237,WPU301304                     ,2020,M13,93.5,
23250,WPU301304                     ,2021,M13,86.365,
23269,WPU30130401                   ,2009,M13,93.2,
23282,WPU30130401                   ,2010,M13,95.9,
