,series_id,year,period,value,footnote_codes
0,WPS05                         ,1967,M01,14.4,
1,WPS05                         ,1967,M02,14.4,
2,WPS05                         ,1967,M03,14.4,
3,WPS05                         ,1967,M04,14.4,
4,WPS05                         ,1967,M05,14.5,
5,WPS05                         ,1967,M06,14.4,
6,WPS05                         ,1967,M07,14.4,
7,WPS05                         ,1967,M08,14.6,
8,WPS05                         ,1967,M09,14.5,
9,WPS05                         ,1967,M10,14.4,
10,WPS05                         ,1967,M11,14.4,
11,WPS05                         ,1967,M12,14.3,
12,WPS05                         ,1968,M01,14.3,
13,WPS05                         ,1968,M02,14.3,
14,WPS05                         ,1968,M03,14.2,
15,WPS05                         ,1968,M04,14.2,
16,WPS05                         ,1968,M05,14.2,
17,WPS05                         ,1968,M06,14.4,
18,WPS05                         ,1968,M07,14.4,
19,WPS05                         ,1968,M08,14.3,
20,WPS05                         ,1968,M09,14.3,
21,WPS05                         ,1968,M10,14.2,
22,WPS05                         ,1968,M11,14.3,
23,WPS05                         ,1968,M12,14.3,
24,WPS05                         ,1969,M01,14.3,
25,WPS05                         ,1969,M02,14.3,
26,WPS05                         ,1969,M03,14.5,
27,WPS05                         ,1969,M04,14.5,
28,WPS05                         ,1969,M05,14.5,
29,WPS05                         ,1969,M06,14.5,
30,WPS05                         ,1969,M07,14.6,
31,WPS05                         ,1969,M08,14.6,
32,WPS05                         ,1969,M09,14.6,
33,WPS05                         ,1969,M10,14.7,
34,WPS05                         ,1969,M11,14.7,
35,WPS05                         ,1969,M12,14.8,
36,WPS05                         ,1970,M01,14.8,
37,WPS05                         ,1970,M02,14.8,
38,WPS05                         ,1970,M03,14.8,
39,WPS05                         ,1970,M04,14.9,
40,WPS05                         ,1970,M05,15.1,
41,WPS05                         ,1970,M06,15.1,
42,WPS05                         ,1970,M07,15.2,
43,WPS05                         ,1970,M08,15.3,
44,WPS05                         ,1970,M09,15.6,
45,WPS05                         ,1970,M10,15.8,
46,WPS05                         ,1970,M11,16.0,
47,WPS05                         ,1970,M12,16.5,
48,WPS05                         ,1971,M01,16.6,
49,WPS05                         ,1971,M02,16.4,
50,WPS05                         ,1971,M03,16.4,
51,WPS05                         ,1971,M04,16.3,
52,WPS05                         ,1971,M05,16.5,
53,WPS05                         ,1971,M06,16.5,
54,WPS05                         ,1971,M07,16.6,
55,WPS05                         ,1971,M08,16.7,
56,WPS05                         ,1971,M09,16.8,
57,WPS05                         ,1971,M10,16.8,
58,WPS05                         ,1971,M11,16.9,
59,WPS05                         ,1971,M12,17.0,
60,WPS05                         ,1972,M01,16.8,
61,WPS05                         ,1972,M02,16.7,
62,WPS05                         ,1972,M03,16.8,
63,WPS05                         ,1972,M04,16.8,
64,WPS05                         ,1972,M05,16.9,
65,WPS05                         ,1972,M06,17.0,
66,WPS05                         ,1972,M07,17.0,
67,WPS05                         ,1972,M08,17.2,
68,WPS05                         ,1972,M09,17.4,
69,WPS05                         ,1972,M10,17.5,
70,WPS05                         ,1972,M11,17.7,
71,WPS05                         ,1972,M12,17.7,
72,WPS051                        ,1967,M01,18.5,
73,WPS051                        ,1967,M02,18.5,
74,WPS051                        ,1967,M03,18.5,
75,WPS051                        ,1967,M04,18.5,
76,WPS051                        ,1967,M05,18.7,
77,WPS051                        ,1967,M06,18.6,
78,WPS051                        ,1967,M07,18.7,
79,WPS051                        ,1967,M08,18.9,
80,WPS051                        ,1967,M09,19.1,
81,WPS051                        ,1967,M10,18.7,
82,WPS051                        ,1967,M11,18.7,
83,WPS051                        ,1967,M12,18.9,
84,WPS051                        ,1968,M01,19.0,
85,WPS051                        ,1968,M02,19.0,
86,WPS051                        ,1968,M03,19.1,
87,WPS051                        ,1968,M04,19.1,
88,WPS051                        ,1968,M05,19.2,
89,WPS051                        ,1968,M06,19.2,
90,WPS051                        ,1968,M07,19.3,
91,WPS051                        ,1968,M08,19.4,
92,WPS051                        ,1968,M09,19.6,
93,WPS051                        ,1968,M10,19.8,
94,WPS051                        ,1968,M11,19.9,
95,WPS051                        ,1968,M12,20.2,
96,WPS051                        ,1969,M01,20.3,
97,WPS051                        ,1969,M02,20.4,
98,WPS051                        ,1969,M03,20.5,
99,WPS051                        ,1969,M04,20.4,
100,WPS051                        ,1969,M05,20.6,
101,WPS051                        ,1969,M06,20.7,
102,WPS051                        ,1969,M07,21.0,
103,WPS051                        ,1969,M08,21.1,
104,WPS051                        ,1969,M09,21.3,
105,WPS051                        ,1969,M10,21.9,
106,WPS051                        ,1969,M11,22.0,
107,WPS051                        ,1969,M12,22.3,
108,WPS051                        ,1970,M01,22.7,
109,WPS051                        ,1970,M02,23.8,
110,WPS051                        ,1970,M03,24.3,
111,WPS051                        ,1970,M04,26.2,
112,WPS051                        ,1970,M05,26.6,
113,WPS051                        ,1970,M06,27.8,
114,WPS051                        ,1970,M07,28.6,
115,WPS051                        ,1970,M08,29.1,
116,WPS051                        ,1970,M09,30.6,
117,WPS051                        ,1970,M10,32.8,
118,WPS051                        ,1970,M11,32.4,
119,WPS051                        ,1970,M12,32.4,
120,WPS051                        ,1971,M01,32.8,
121,WPS051                        ,1971,M02,33.0,
122,WPS051                        ,1971,M03,33.2,
123,WPS051                        ,1971,M04,34.1,
124,WPS051                        ,1971,M05,34.1,
125,WPS051                        ,1971,M06,34.2,
126,WPS051                        ,1971,M07,34.4,
127,WPS051                        ,1971,M08,34.6,
128,WPS051                        ,1971,M09,34.6,
129,WPS051                        ,1971,M10,34.3,
130,WPS051                        ,1971,M11,33.6,
131,WPS051                        ,1971,M12,35.4,
132,WPS051                        ,1972,M01,35.8,
133,WPS051                        ,1972,M02,36.1,
134,WPS051                        ,1972,M03,36.5,
135,WPS051                        ,1972,M04,35.4,
136,WPS051                        ,1972,M05,35.7,
137,WPS051                        ,1972,M06,35.8,
138,WPS051                        ,1972,M07,36.0,
139,WPS051                        ,1972,M08,36.3,
140,WPS051                        ,1972,M09,36.3,
141,WPS051                        ,1972,M10,36.2,
142,WPS051                        ,1972,M11,37.1,
143,WPS051                        ,1972,M12,37.7,
144,WPS051                        ,1973,M01,38.0,
145,WPS051                        ,1973,M02,38.8,
146,WPS051                        ,1973,M03,39.3,
147,WPS051                        ,1973,M04,39.8,
148,WPS051                        ,1973,M05,40.0,
149,WPS051                        ,1973,M06,40.3,
150,WPS051                        ,1973,M07,40.2,
151,WPS051                        ,1973,M08,40.5,
152,WPS051                        ,1973,M09,42.0,
153,WPS051                        ,1973,M10,42.1,
154,WPS051                        ,1973,M11,44.2,
155,WPS051                        ,1973,M12,44.1,
156,WPS051                        ,1974,M01,46.1,
157,WPS051                        ,1974,M02,47.3,
158,WPS051                        ,1974,M03,49.2,
159,WPS051                        ,1974,M04,56.8,
160,WPS051                        ,1974,M05,57.5,
161,WPS051                        ,1974,M06,60.2,
162,WPS051                        ,1974,M07,64.5,
163,WPS051                        ,1974,M08,67.4,
164,WPS051                        ,1974,M09,69.8,
165,WPS051                        ,1974,M10,74.0,
166,WPS051                        ,1974,M11,74.1,
167,WPS051                        ,1974,M12,78.9,
168,WPS051                        ,1975,M01,79.6,
169,WPS051                        ,1975,M02,77.0,
170,WPS051                        ,1975,M03,73.9,
171,WPS051                        ,1975,M04,72.8,
172,WPS051                        ,1975,M05,72.8,
173,WPS051                        ,1975,M06,72.2,
174,WPS051                        ,1975,M07,71.4,
175,WPS051                        ,1975,M08,70.8,
176,WPS051                        ,1975,M09,69.9,
177,WPS051                        ,1975,M10,69.4,
178,WPS051                        ,1975,M11,67.9,
179,WPS051                        ,1975,M12,68.5,
180,WPS051                        ,1976,M01,68.7,
181,WPS051                        ,1976,M02,69.2,
182,WPS051                        ,1976,M03,70.3,
183,WPS051                        ,1976,M04,69.3,
184,WPS051                        ,1976,M05,68.7,
185,WPS051                        ,1976,M06,68.4,
186,WPS051                        ,1976,M07,68.5,
187,WPS051                        ,1976,M08,68.7,
188,WPS051                        ,1976,M09,68.7,
189,WPS051                        ,1976,M10,68.6,
190,WPS051                        ,1976,M11,69.1,
191,WPS051                        ,1976,M12,69.4,
192,WPS051                        ,2002,M01,101.1,
193,WPS051                        ,2002,M02,100.1,
194,WPS051                        ,2002,M03,100.4,
195,WPS051                        ,2002,M04,99.0,
196,WPS051                        ,2002,M05,99.4,
197,WPS051                        ,2002,M06,99.0,
198,WPS051                        ,2002,M07,99.3,
199,WPS051                        ,2002,M08,99.5,
200,WPS051                        ,2002,M09,99.1,
201,WPS051                        ,2002,M10,99.9,
202,WPS051                        ,2002,M11,100.3,
203,WPS051                        ,2002,M12,100.1,
204,WPS051                        ,2003,M01,97.9,
205,WPS051                        ,2003,M02,97.4,
206,WPS051                        ,2003,M03,97.7,
207,WPS051                        ,2003,M04,99.1,
208,WPS051                        ,2003,M05,99.3,
209,WPS051                        ,2003,M06,100.0,
210,WPS051                        ,2003,M07,99.1,
211,WPS051                        ,2003,M08,100.4,
212,WPS051                        ,2003,M09,102.0,
213,WPS051                        ,2003,M10,102.0,
214,WPS051                        ,2003,M11,102.1,
215,WPS051                        ,2003,M12,102.2,
216,WPS051                        ,2004,M01,104.2,
217,WPS051                        ,2004,M02,106.6,
218,WPS051                        ,2004,M03,104.6,
219,WPS051                        ,2004,M04,107.9,
220,WPS051                        ,2004,M05,108.1,
221,WPS051                        ,2004,M06,108.3,
222,WPS051                        ,2004,M07,109.4,
223,WPS051                        ,2004,M08,110.1,
224,WPS051                        ,2004,M09,111.0,
225,WPS051                        ,2004,M10,112.1,
226,WPS051                        ,2004,M11,111.8,
227,WPS051                        ,2004,M12,112.9,
228,WPS051                        ,2005,M01,112.2,
229,WPS051                        ,2005,M02,112.9,
230,WPS051                        ,2005,M03,113.9,
231,WPS051                        ,2005,M04,114.6,
232,WPS051                        ,2005,M05,114.5,
233,WPS051                        ,2005,M06,114.8,
234,WPS051                        ,2005,M07,115.8,
235,WPS051                        ,2005,M08,116.8,
236,WPS051                        ,2005,M09,116.9,
237,WPS051                        ,2005,M10,118.6,
238,WPS051                        ,2005,M11,123.1,
239,WPS051                        ,2005,M12,124.1,
240,WPS051                        ,2006,M01,124.1,
241,WPS051                        ,2006,M02,123.7,
242,WPS051                        ,2006,M03,123.0,
243,WPS051                        ,2006,M04,124.1,
244,WPS051                        ,2006,M05,125.5,
245,WPS051                        ,2006,M06,126.6,
246,WPS051                        ,2006,M07,126.3,
247,WPS051                        ,2006,M08,127.6,
248,WPS051                        ,2006,M09,128.0,
249,WPS051                        ,2006,M10,127.7,
250,WPS051                        ,2006,M11,128.0,
251,WPS051                        ,2006,M12,131.0,
252,WPS051                        ,2007,M01,127.3,
