,series_id,year,period,value,footnote_codes
9472,WPU06                         ,1933,M13,16.2,
9485,WPU06                         ,1934,M13,17.0,
9498,WPU06                         ,1935,M13,17.7,
9511,WPU06                         ,1936,M13,17.8,
9524,WPU06                         ,1937,M13,18.6,
9537,WPU06                         ,1938,M13,17.7,
9550,WPU06                         ,1939,M13,17.6,
9563,WPU06                         ,1940,M13,17.9,
9576,WPU06                         ,1941,M13,19.5,
9589,WPU06                         ,1942,M13,21.7,
9602,WPU06                         ,1943,M13,21.9,
9615,WPU06                         ,1944,M13,22.2,
9628,WPU06                         ,1945,M13,22.3,
9641,WPU06                         ,1946,M13,24.1,
9654,WPU06                         ,1947,M13,32.1,
9667,WPU06                         ,1948,M13,32.8,
9680,WPU06                         ,1949,M13,30.0,
9693,WPU06                         ,1950,M13,30.4,
9706,WPU06                         ,1951,M13,34.8,
9719,WPU06                         ,1952,M13,33.0,
9732,WPU06                         ,1953,M13,33.4,
9745,WPU06                         ,1954,M13,33.8,
9758,WPU06                         ,1955,M13,33.7,
9771,WPU06                         ,1956,M13,33.9,
9784,WPU06                         ,1957,M13,34.6,
9797,WPU06                         ,1958,M13,34.9,
9810,WPU06                         ,1959,M13,34.8,
9823,WPU06                         ,1960,M13,34.8,
9836,WPU06                         ,1961,M13,34.5,
9849,WPU06                         ,1962,M13,33.9,
9862,WPU06                         ,1963,M13,33.5,
9875,WPU06                         ,1964,M13,33.6,
9888,WPU06                         ,1965,M13,33.9,
9901,WPU06                         ,1966,M13,34.0,
9914,WPU06                         ,1967,M13,34.2,
9927,WPU06                         ,1968,M13,34.1,
9940,WPU06                         ,1969,M13,34.2,
9953,WPU06                         ,1970,M13,35.0,
9966,WPU06                         ,1971,M13,35.6,
9979,WPU06                         ,1972,M13,35.6,
9992,WPU06                         ,1973,M13,37.6,
10005,WPU06                         ,1974,M13,50.2,
10018,WPU06                         ,1975,M13,62.0,
10031,WPU06                         ,1976,M13,64.0,
10044,WPU06                         ,1977,M13,65.9,
10057,WPU06                         ,1978,M13,68.0,
10070,WPU06                         ,1979,M13,76.0,
10083,WPU06                         ,1980,M13,89.0,
10096,WPU06                         ,1981,M13,98.4,
10109,WPU06                         ,1982,M13,100.0,
10122,WPU06                         ,1983,M13,100.3,
10135,WPU06                         ,1984,M13,102.9,
10148,WPU06                         ,1985,M13,103.7,
10161,WPU06                         ,1986,M13,102.6,
10174,WPU06                         ,1987,M13,106.4,
10187,WPU06                         ,1988,M13,116.3,
10200,WPU06                         ,1989,M13,123.0,
10213,WPU06                         ,1990,M13,123.6,
10226,WPU06                         ,1991,M13,125.6,
10239,WPU06                         ,1992,M13,125.9,
10252,WPU06                         ,1993,M13,128.2,
10265,WPU06                         ,1994,M13,132.1,
10278,WPU06                         ,1995,M13,142.5,
10291,WPU06                         ,1996,M13,142.1,
10304,WPU06                         ,1997,M13,143.6,
10317,WPU06                         ,1998,M13,143.9,
10330,WPU06                         ,1999,M13,144.2,
10343,WPU06                         ,2000,M13,151.0,
10356,WPU06                         ,2001,M13,151.8,
10369,WPU06                         ,2002,M13,151.9,
10382,WPU06                         ,2003,M13,161.8,
10395,WPU06                         ,2004,M13,174.4,
10408,WPU06                         ,2005,M13,192.0,
10421,WPU06                         ,2006,M13,205.8,
10434,WPU06                         ,2007,M13,214.8,
10447,WPU06                         ,2008,M13,245.5,
10460,WPU06                         ,2009,M13,229.4,
10473,WPU06                         ,2010,M13,246.6,
10486,WPU06                         ,2011,M13,275.1,
10499,WPU06                         ,2012,M13,276.6,
10512,WPU06                         ,2013,M13,279.2,
10525,WPU06                         ,2014,M13,280.9,
10538,WPU06                         ,2015,M13,266.0,
10551,WPU06                         ,2016,M13,265.1,
10564,WPU06                         ,2017,M13,280.8,
10577,WPU06                         ,2018,M13,295.1,
10590,WPU06                         ,2019,M13,289.1,
10603,WPU06                         ,2020,M13,279.8,
10616,WPU06                         ,2021,M13,331.405,
10621,WPU061                        ,1926,M13,19.9,
10622,WPU061                        ,1927,M13,19.8,
10623,WPU061                        ,1928,M13,19.6,
10624,WPU061                        ,1929,M13,19.8,
10625,WPU061                        ,1930,M13,19.3,
10626,WPU061                        ,1931,M13,17.9,
10627,WPU061                        ,1932,M13,17.7,
10640,WPU061                        ,1933,M13,17.3,
10653,WPU061                        ,1934,M13,17.3,
10666,WPU061                        ,1935,M13,17.6,
10679,WPU061                        ,1936,M13,17.5,
10692,WPU061                        ,1937,M13,17.5,
10705,WPU061                        ,1938,M13,17.2,
10718,WPU061                        ,1939,M13,16.8,
10731,WPU061                        ,1940,M13,16.9,
10744,WPU061                        ,1941,M13,17.4,
10757,WPU061                        ,1942,M13,19.2,
10770,WPU061                        ,1943,M13,19.2,
10783,WPU061                        ,1944,M13,19.1,
10796,WPU061                        ,1945,M13,19.1,
