,series_id,year,period,value,footnote_codes
22,WPUIP326100                   ,2015,M13,92.8,
35,WPUIP326100                   ,2016,M13,89.5,
48,WPUIP326100                   ,2017,M13,94.5,
61,WPUIP326100                   ,2018,M13,98.9,
74,WPUIP326100                   ,2019,M13,95.9,
87,WPUIP326100                   ,2020,M13,93.6,
100,WPUIP326100                   ,2021,M13,117.62,P
125,WPUIP3261001                  ,2015,M13,90.8,
138,WPUIP3261001                  ,2016,M13,87.4,
151,WPUIP3261001                  ,2017,M13,92.9,
164,WPUIP3261001                  ,2018,M13,97.3,
177,WPUIP3261001                  ,2019,M13,92.2,
190,WPUIP3261001                  ,2020,M13,88.5,
203,WPUIP3261001                  ,2021,M13,115.134,P
228,WPUIP32610012                 ,2015,M13,92.4,
241,WPUIP32610012                 ,2016,M13,86.8,
254,WPUIP32610012                 ,2017,M13,97.9,
267,WPUIP32610012                 ,2018,M13,102.1,
280,WPUIP32610012                 ,2019,M13,99.3,
293,WPUIP32610012                 ,2020,M13,95.1,
306,WPUIP32610012                 ,2021,M13,104.759,P
331,WPUIP32610013                 ,2015,M13,90.7,
344,WPUIP32610013                 ,2016,M13,87.5,
357,WPUIP32610013                 ,2017,M13,92.6,
370,WPUIP32610013                 ,2018,M13,96.9,
383,WPUIP32610013                 ,2019,M13,91.7,
396,WPUIP32610013                 ,2020,M13,88.1,
409,WPUIP32610013                 ,2021,M13,116.003,P
434,WPUIP3261002                  ,2015,M13,100.9,
447,WPUIP3261002                  ,2016,M13,97.7,
460,WPUIP3261002                  ,2017,M13,100.7,
473,WPUIP3261002                  ,2018,M13,105.2,
486,WPUIP3261002                  ,2019,M13,109.5,
499,WPUIP3261002                  ,2020,M13,111.6,
512,WPUIP3261002                  ,2021,M13,121.738,P
537,WPUIP32610021                 ,2015,M13,103.0,
550,WPUIP32610021                 ,2016,M13,98.2,
563,WPUIP32610021                 ,2017,M13,101.7,
576,WPUIP32610021                 ,2018,M13,106.1,
589,WPUIP32610021                 ,2019,M13,111.4,
602,WPUIP32610021                 ,2020,M13,116.4,
615,WPUIP32610021                 ,2021,M13,130.335,P
640,WPUIP32610022                 ,2015,M13,97.8,
653,WPUIP32610022                 ,2016,M13,96.2,
666,WPUIP32610022                 ,2017,M13,98.7,
679,WPUIP32610022                 ,2018,M13,104.5,
692,WPUIP32610022                 ,2019,M13,107.3,
705,WPUIP32610022                 ,2020,M13,105.2,
718,WPUIP32610022                 ,2021,M13,113.45,P
743,WPUIP32610023                 ,2015,M13,100.0,
756,WPUIP32610023                 ,2016,M13,100.3,
769,WPUIP32610023                 ,2017,M13,102.5,
782,WPUIP32610023                 ,2018,M13,105.4,
795,WPUIP32610023                 ,2019,M13,107.5,
808,WPUIP32610023                 ,2020,M13,103.4,
821,WPUIP32610023                 ,2021,M13,106.742,P
