,series_id,year,period,value,footnote_codes
7180,WPU08                         ,1926,M13,9.3,
7193,WPU08                         ,1927,M13,8.8,
7206,WPU08                         ,1928,M13,8.5,
7219,WPU08                         ,1929,M13,8.8,
7232,WPU08                         ,1930,M13,8.0,
7245,WPU08                         ,1931,M13,6.5,
7258,WPU08                         ,1932,M13,5.6,
7271,WPU08                         ,1933,M13,6.7,
7284,WPU08                         ,1934,M13,7.8,
7297,WPU08                         ,1935,M13,7.5,
7310,WPU08                         ,1936,M13,7.9,
7323,WPU08                         ,1937,M13,9.3,
7336,WPU08                         ,1938,M13,8.5,
7349,WPU08                         ,1939,M13,8.7,
7362,WPU08                         ,1940,M13,9.6,
7375,WPU08                         ,1941,M13,11.5,
7388,WPU08                         ,1942,M13,12.5,
7401,WPU08                         ,1943,M13,13.2,
7414,WPU08                         ,1944,M13,14.3,
7427,WPU08                         ,1945,M13,14.5,
7440,WPU08                         ,1946,M13,16.6,
7453,WPU08                         ,1947,M13,25.8,
7466,WPU08                         ,1948,M13,29.5,
7479,WPU08                         ,1949,M13,27.3,
7492,WPU08                         ,1950,M13,31.4,
7505,WPU08                         ,1951,M13,34.1,
7518,WPU08                         ,1952,M13,33.2,
7531,WPU08                         ,1953,M13,33.1,
7544,WPU08                         ,1954,M13,32.5,
7557,WPU08                         ,1955,M13,34.1,
7570,WPU08                         ,1956,M13,34.6,
7583,WPU08                         ,1957,M13,32.8,
7596,WPU08                         ,1958,M13,32.5,
7609,WPU08                         ,1959,M13,34.7,
7622,WPU08                         ,1960,M13,33.5,
7635,WPU08                         ,1961,M13,32.0,
7648,WPU08                         ,1962,M13,32.2,
7661,WPU08                         ,1963,M13,32.8,
7674,WPU08                         ,1964,M13,33.5,
7687,WPU08                         ,1965,M13,33.7,
7700,WPU08                         ,1966,M13,35.2,
7713,WPU08                         ,1967,M13,35.1,
7726,WPU08                         ,1968,M13,39.8,
7739,WPU08                         ,1969,M13,44.0,
7752,WPU08                         ,1970,M13,39.9,
7765,WPU08                         ,1971,M13,44.7,
7778,WPU08                         ,1972,M13,50.7,
7791,WPU08                         ,1973,M13,62.2,
7804,WPU08                         ,1974,M13,64.5,
7817,WPU08                         ,1975,M13,62.1,
7830,WPU08                         ,1976,M13,72.2,
7843,WPU08                         ,1977,M13,83.0,
7856,WPU08                         ,1978,M13,96.9,
7869,WPU08                         ,1979,M13,105.5,
7882,WPU08                         ,1980,M13,101.5,
7895,WPU08                         ,1981,M13,102.8,
7908,WPU08                         ,1982,M13,100.0,
7921,WPU08                         ,1983,M13,107.9,
7934,WPU08                         ,1984,M13,108.0,
7947,WPU08                         ,1985,M13,106.6,
7960,WPU08                         ,1986,M13,107.2,
7973,WPU08                         ,1987,M13,112.8,
7986,WPU08                         ,1988,M13,118.9,
7999,WPU08                         ,1989,M13,126.7,
8012,WPU08                         ,1990,M13,129.7,
