"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.6868,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.4072,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.1657,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",101.0325,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",101.0661,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.1613,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.1814,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",101.0294,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.7936,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.5978,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.5343,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.5572,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.6099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.666,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.7407,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.8728,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",101.0885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.3074,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.4125,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.3166,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.1426,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",101.0553,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.1714,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.3825,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.5332,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.5037,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.3526,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-04",101.1559,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-05",100.9649,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-06",100.8126,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-07",100.742,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-08",100.7965,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-09",100.9292,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-10",101.0928,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-11",101.2516,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-12",101.3632,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-01",101.3643,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-02",101.2038,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-03",100.987,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-04",100.8501,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-05",100.8917,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-06",101.0249,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-07",101.1352,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-08",101.1477,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-09",101.1173,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-10",101.1306,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-11",101.2512,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-12",101.4215,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-01",101.5587,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-02",101.6026,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-03",101.5952,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-04",101.5939,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-05",101.637,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-06",101.702,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-07",101.7517,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-08",101.7591,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-09",101.7472,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-10",101.7514,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-11",101.8016,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-12",101.8886,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-01",102.0031,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-02",102.1381,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-03",102.2642,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-04",102.3387,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-05",102.3252,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-06",102.2631,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-07",102.1965,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-08",102.151,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-09",102.1151,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-10",102.0639,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-11",101.9746,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-12",101.8556,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-01",101.713,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-02",101.5452,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-03",101.3627,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-04",101.1726,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-05",100.9777,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-06",100.7835,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-07",100.6012,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-08",100.4507,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-09",100.3511,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-10",100.3472,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-11",100.4862,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-12",100.6974,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-01",100.901,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-02",101.0433,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-03",101.1407,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-04",101.2137,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-05",101.2662,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-06",101.2895,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-07",101.2563,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-08",101.1443,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-09",101.0166,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-10",100.9586,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-11",101.0316,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-12",101.1554,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-01",101.2193,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-02",101.1406,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-03",100.9846,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-04",100.8385,
