,series_id,year,period,value,footnote_codes
0,CES3000000007    ,1939,M01,37.1,
1,CES3000000007    ,1939,M02,37.2,
2,CES3000000007    ,1939,M03,37.3,
3,CES3000000007    ,1939,M04,37.3,
4,CES3000000007    ,1939,M05,37.0,
5,CES3000000007    ,1939,M06,37.4,
6,CES3000000007    ,1939,M07,37.3,
7,CES3000000007    ,1939,M08,38.1,
8,CES3000000007    ,1939,M09,38.1,
9,CES3000000007    ,1939,M10,39.1,
10,CES3000000007    ,1939,M11,38.5,
11,CES3000000007    ,1939,M12,38.4,
12,CES3000000007    ,1940,M01,37.9,
13,CES3000000007    ,1940,M02,37.3,
14,CES3000000007    ,1940,M03,37.4,
15,CES3000000007    ,1940,M04,37.4,
16,CES3000000007    ,1940,M05,37.5,
17,CES3000000007    ,1940,M06,37.6,
18,CES3000000007    ,1940,M07,38.0,
19,CES3000000007    ,1940,M08,38.4,
20,CES3000000007    ,1940,M09,39.0,
21,CES3000000007    ,1940,M10,39.3,
22,CES3000000007    ,1940,M11,38.6,
23,CES3000000007    ,1940,M12,39.6,
24,CES3000000007    ,1941,M01,39.4,
25,CES3000000007    ,1941,M02,40.1,
26,CES3000000007    ,1941,M03,40.4,
27,CES3000000007    ,1941,M04,40.5,
28,CES3000000007    ,1941,M05,40.8,
29,CES3000000007    ,1941,M06,41.4,
30,CES3000000007    ,1941,M07,41.1,
31,CES3000000007    ,1941,M08,41.2,
32,CES3000000007    ,1941,M09,41.3,
33,CES3000000007    ,1941,M10,41.2,
34,CES3000000007    ,1941,M11,40.4,
35,CES3000000007    ,1941,M12,40.9,
36,CES3000000007    ,1942,M01,42.1,
37,CES3000000007    ,1942,M02,42.4,
38,CES3000000007    ,1942,M03,42.7,
39,CES3000000007    ,1942,M04,42.8,
40,CES3000000007    ,1942,M05,43.1,
41,CES3000000007    ,1942,M06,43.0,
42,CES3000000007    ,1942,M07,43.5,
43,CES3000000007    ,1942,M08,43.3,
44,CES3000000007    ,1942,M09,43.2,
45,CES3000000007    ,1942,M10,43.7,
46,CES3000000007    ,1942,M11,44.2,
47,CES3000000007    ,1942,M12,44.2,
48,CES3000000007    ,1943,M01,44.6,
49,CES3000000007    ,1943,M02,44.5,
50,CES3000000007    ,1943,M03,44.7,
51,CES3000000007    ,1943,M04,45.1,
52,CES3000000007    ,1943,M05,45.4,
53,CES3000000007    ,1943,M06,45.3,
54,CES3000000007    ,1943,M07,45.4,
