,series_id,year,period,value,footnote_codes
292395,CEU3100000007    ,1939,M13,38.2,
292408,CEU3100000007    ,1940,M13,39.5,
292421,CEU3100000007    ,1941,M13,42.3,
292434,CEU3100000007    ,1942,M13,45.3,
292447,CEU3100000007    ,1943,M13,46.7,
292460,CEU3100000007    ,1944,M13,46.7,
292473,CEU3100000007    ,1945,M13,44.6,
292486,CEU3100000007    ,1946,M13,40.3,
292499,CEU3100000007    ,1947,M13,40.7,
292512,CEU3100000007    ,1948,M13,40.6,
292525,CEU3100000007    ,1949,M13,39.6,
292538,CEU3100000007    ,1950,M13,41.3,
292551,CEU3100000007    ,1951,M13,41.7,
292564,CEU3100000007    ,1952,M13,41.6,
292577,CEU3100000007    ,1953,M13,41.4,
292590,CEU3100000007    ,1954,M13,40.3,
292603,CEU3100000007    ,1955,M13,41.5,
292616,CEU3100000007    ,1956,M13,41.2,
292629,CEU3100000007    ,1957,M13,40.5,
292642,CEU3100000007    ,1958,M13,39.6,
292655,CEU3100000007    ,1959,M13,40.9,
292668,CEU3100000007    ,1960,M13,40.3,
292681,CEU3100000007    ,1961,M13,40.4,
292694,CEU3100000007    ,1962,M13,41.1,
292707,CEU3100000007    ,1963,M13,41.3,
292720,CEU3100000007    ,1964,M13,41.6,
292733,CEU3100000007    ,1965,M13,42.1,
292746,CEU3100000007    ,1966,M13,42.3,
292759,CEU3100000007    ,1967,M13,41.3,
292772,CEU3100000007    ,1968,M13,41.5,
292785,CEU3100000007    ,1969,M13,41.4,
292798,CEU3100000007    ,1970,M13,40.4,
292811,CEU3100000007    ,1971,M13,40.4,
292824,CEU3100000007    ,1972,M13,41.3,
292837,CEU3100000007    ,1973,M13,41.6,
292850,CEU3100000007    ,1974,M13,40.8,
292863,CEU3100000007    ,1975,M13,40.0,
292876,CEU3100000007    ,1976,M13,40.8,
292889,CEU3100000007    ,1977,M13,41.1,
292902,CEU3100000007    ,1978,M13,41.2,
292915,CEU3100000007    ,1979,M13,40.9,
292928,CEU3100000007    ,1980,M13,40.2,
292941,CEU3100000007    ,1981,M13,40.3,
292954,CEU3100000007    ,1982,M13,39.4,
292967,CEU3100000007    ,1983,M13,40.8,
292980,CEU3100000007    ,1984,M13,41.5,
292993,CEU3100000007    ,1985,M13,41.3,
293006,CEU3100000007    ,1986,M13,41.4,
293019,CEU3100000007    ,1987,M13,41.6,
293032,CEU3100000007    ,1988,M13,41.9,
293045,CEU3100000007    ,1989,M13,41.7,
293058,CEU3100000007    ,1990,M13,41.1,
293071,CEU3100000007    ,1991,M13,40.9,
293084,CEU3100000007    ,1992,M13,41.3,
293097,CEU3100000007    ,1993,M13,41.9,
293110,CEU3100000007    ,1994,M13,42.6,
293123,CEU3100000007    ,1995,M13,42.1,
293136,CEU3100000007    ,1996,M13,42.1,
293149,CEU3100000007    ,1997,M13,42.6,
293162,CEU3100000007    ,1998,M13,42.1,
293175,CEU3100000007    ,1999,M13,41.9,
293188,CEU3100000007    ,2000,M13,41.8,
293201,CEU3100000007    ,2001,M13,40.6,
293214,CEU3100000007    ,2002,M13,40.8,
293227,CEU3100000007    ,2003,M13,40.8,
293240,CEU3100000007    ,2004,M13,41.3,
293253,CEU3100000007    ,2005,M13,41.1,
293266,CEU3100000007    ,2006,M13,41.4,
293279,CEU3100000007    ,2007,M13,41.5,
293292,CEU3100000007    ,2008,M13,41.1,
293305,CEU3100000007    ,2009,M13,39.8,
293318,CEU3100000007    ,2010,M13,41.4,
293331,CEU3100000007    ,2011,M13,41.9,
293344,CEU3100000007    ,2012,M13,42.0,
293357,CEU3100000007    ,2013,M13,42.2,
293370,CEU3100000007    ,2014,M13,42.5,
293383,CEU3100000007    ,2015,M13,42.1,
293396,CEU3100000007    ,2016,M13,42.3,
293409,CEU3100000007    ,2017,M13,42.3,
293422,CEU3100000007    ,2018,M13,42.5,
293435,CEU3100000007    ,2019,M13,42.0,
293448,CEU3100000007    ,2020,M13,40.9,
293461,CEU3100000007    ,2021,M13,41.5,P
293475,CEU3100000008    ,1939,M13,0.65,
293488,CEU3100000008    ,1940,M13,0.68,
293501,CEU3100000008    ,1941,M13,0.76,
293514,CEU3100000008    ,1942,M13,0.9,
293527,CEU3100000008    ,1943,M13,1.01,
293540,CEU3100000008    ,1944,M13,1.06,
293553,CEU3100000008    ,1945,M13,1.07,
293566,CEU3100000008    ,1946,M13,1.11,
293579,CEU3100000008    ,1947,M13,1.24,
293592,CEU3100000008    ,1948,M13,1.35,
293605,CEU3100000008    ,1949,M13,1.41,
293618,CEU3100000008    ,1950,M13,1.48,
293631,CEU3100000008    ,1951,M13,1.61,
293644,CEU3100000008    ,1952,M13,1.7,
293657,CEU3100000008    ,1953,M13,1.81,
293670,CEU3100000008    ,1954,M13,1.86,
293683,CEU3100000008    ,1955,M13,1.94,
293696,CEU3100000008    ,1956,M13,2.04,
293709,CEU3100000008    ,1957,M13,2.14,
293722,CEU3100000008    ,1958,M13,2.21,
293735,CEU3100000008    ,1959,M13,2.31,
293748,CEU3100000008    ,1960,M13,2.38,
293761,CEU3100000008    ,1961,M13,2.44,
293774,CEU3100000008    ,1962,M13,2.51,
293787,CEU3100000008    ,1963,M13,2.59,
293800,CEU3100000008    ,1964,M13,2.65,
293813,CEU3100000008    ,1965,M13,2.73,
293826,CEU3100000008    ,1966,M13,2.84,
293839,CEU3100000008    ,1967,M13,2.94,
293852,CEU3100000008    ,1968,M13,3.13,
293865,CEU3100000008    ,1969,M13,3.32,
293878,CEU3100000008    ,1970,M13,3.49,
293891,CEU3100000008    ,1971,M13,3.74,
293904,CEU3100000008    ,1972,M13,4.01,
293917,CEU3100000008    ,1973,M13,4.29,
293930,CEU3100000008    ,1974,M13,4.64,
293943,CEU3100000008    ,1975,M13,5.09,
293956,CEU3100000008    ,1976,M13,5.51,
293969,CEU3100000008    ,1977,M13,5.99,
293982,CEU3100000008    ,1978,M13,6.51,
293995,CEU3100000008    ,1979,M13,7.05,
294008,CEU3100000008    ,1980,M13,7.68,
294021,CEU3100000008    ,1981,M13,8.45,
294034,CEU3100000008    ,1982,M13,8.96,
294047,CEU3100000008    ,1983,M13,9.3,
294060,CEU3100000008    ,1984,M13,9.65,
294073,CEU3100000008    ,1985,M13,10.01,
294086,CEU3100000008    ,1986,M13,10.2,
294099,CEU3100000008    ,1987,M13,10.35,
294112,CEU3100000008    ,1988,M13,10.64,
294125,CEU3100000008    ,1989,M13,10.93,
294138,CEU3100000008    ,1990,M13,11.4,
294151,CEU3100000008    ,1991,M13,11.81,
294164,CEU3100000008    ,1992,M13,12.09,
294177,CEU3100000008    ,1993,M13,12.41,
294190,CEU3100000008    ,1994,M13,12.78,
294203,CEU3100000008    ,1995,M13,13.05,
294216,CEU3100000008    ,1996,M13,13.45,
294229,CEU3100000008    ,1997,M13,13.83,
294242,CEU3100000008    ,1998,M13,14.07,
294255,CEU3100000008    ,1999,M13,14.46,
294268,CEU3100000008    ,2000,M13,14.93,
294281,CEU3100000008    ,2001,M13,15.38,
294294,CEU3100000008    ,2002,M13,16.02,
294307,CEU3100000008    ,2003,M13,16.45,
294320,CEU3100000008    ,2004,M13,16.82,
294333,CEU3100000008    ,2005,M13,17.33,
294346,CEU3100000008    ,2006,M13,17.68,
294359,CEU3100000008    ,2007,M13,18.2,
294372,CEU3100000008    ,2008,M13,18.7,
294385,CEU3100000008    ,2009,M13,19.36,
294398,CEU3100000008    ,2010,M13,19.81,
