,series_id,year,period,value,footnote_codes
6267,CEU4000000007    ,1964,M13,39.7,
6280,CEU4000000007    ,1965,M13,39.6,
6293,CEU4000000007    ,1966,M13,39.1,
6306,CEU4000000007    ,1967,M13,38.5,
6319,CEU4000000007    ,1968,M13,38.2,
6332,CEU4000000007    ,1969,M13,37.9,
6345,CEU4000000007    ,1970,M13,37.6,
6358,CEU4000000007    ,1971,M13,37.4,
6371,CEU4000000007    ,1972,M13,37.4,
6384,CEU4000000007    ,1973,M13,37.2,
6397,CEU4000000007    ,1974,M13,36.8,
6410,CEU4000000007    ,1975,M13,36.4,
6423,CEU4000000007    ,1976,M13,36.3,
6436,CEU4000000007    ,1977,M13,36.0,
6449,CEU4000000007    ,1978,M13,35.6,
6462,CEU4000000007    ,1979,M13,35.4,
6475,CEU4000000007    ,1980,M13,35.0,
6488,CEU4000000007    ,1981,M13,35.0,
6501,CEU4000000007    ,1982,M13,34.6,
6514,CEU4000000007    ,1983,M13,34.6,
6527,CEU4000000007    ,1984,M13,34.7,
6540,CEU4000000007    ,1985,M13,34.4,
6553,CEU4000000007    ,1986,M13,34.1,
6566,CEU4000000007    ,1987,M13,34.1,
6579,CEU4000000007    ,1988,M13,33.8,
6592,CEU4000000007    ,1989,M13,33.8,
6605,CEU4000000007    ,1990,M13,33.7,
6618,CEU4000000007    ,1991,M13,33.6,
6631,CEU4000000007    ,1992,M13,33.8,
6644,CEU4000000007    ,1993,M13,34.1,
6657,CEU4000000007    ,1994,M13,34.3,
6670,CEU4000000007    ,1995,M13,34.1,
6683,CEU4000000007    ,1996,M13,34.1,
6696,CEU4000000007    ,1997,M13,34.2,
6709,CEU4000000007    ,1998,M13,34.1,
6722,CEU4000000007    ,1999,M13,33.9,
6735,CEU4000000007    ,2000,M13,33.8,
6748,CEU4000000007    ,2001,M13,33.5,
6761,CEU4000000007    ,2002,M13,33.6,
6774,CEU4000000007    ,2003,M13,33.5,
6787,CEU4000000007    ,2004,M13,33.5,
6800,CEU4000000007    ,2005,M13,33.4,
6813,CEU4000000007    ,2006,M13,33.4,
6826,CEU4000000007    ,2007,M13,33.3,
6839,CEU4000000007    ,2008,M13,33.1,
6852,CEU4000000007    ,2009,M13,32.8,
6865,CEU4000000007    ,2010,M13,33.3,
6878,CEU4000000007    ,2011,M13,33.7,
6891,CEU4000000007    ,2012,M13,33.8,
6904,CEU4000000007    ,2013,M13,33.7,
6917,CEU4000000007    ,2014,M13,33.6,
6930,CEU4000000007    ,2015,M13,33.7,
6943,CEU4000000007    ,2016,M13,33.5,
6956,CEU4000000007    ,2017,M13,33.8,
6969,CEU4000000007    ,2018,M13,33.9,
6982,CEU4000000007    ,2019,M13,33.8,
6995,CEU4000000007    ,2020,M13,34.1,
7019,CEU4000000008    ,1964,M13,2.85,
7032,CEU4000000008    ,1965,M13,2.94,
7045,CEU4000000008    ,1966,M13,3.04,
7058,CEU4000000008    ,1967,M13,3.15,
7071,CEU4000000008    ,1968,M13,3.32,
7084,CEU4000000008    ,1969,M13,3.48,
7097,CEU4000000008    ,1970,M13,3.65,
7110,CEU4000000008    ,1971,M13,3.86,
7123,CEU4000000008    ,1972,M13,4.23,
7136,CEU4000000008    ,1973,M13,4.46,
7149,CEU4000000008    ,1974,M13,4.74,
7162,CEU4000000008    ,1975,M13,5.01,
7175,CEU4000000008    ,1976,M13,5.31,
7188,CEU4000000008    ,1977,M13,5.66,
7201,CEU4000000008    ,1978,M13,6.1,
7214,CEU4000000008    ,1979,M13,6.55,
7227,CEU4000000008    ,1980,M13,7.03,
7240,CEU4000000008    ,1981,M13,7.54,
7253,CEU4000000008    ,1982,M13,7.9,
7266,CEU4000000008    ,1983,M13,8.22,
7279,CEU4000000008    ,1984,M13,8.44,
7292,CEU4000000008    ,1985,M13,8.59,
7305,CEU4000000008    ,1986,M13,8.73,
7318,CEU4000000008    ,1987,M13,8.91,
