,series_id,year,period,value,footnote_codes
90661,CEU4142000002    ,2007,M13,38.1,
90674,CEU4142000002    ,2008,M13,38.4,
90687,CEU4142000002    ,2009,M13,38.0,
90700,CEU4142000002    ,2010,M13,38.1,
90713,CEU4142000002    ,2011,M13,38.7,
90726,CEU4142000002    ,2012,M13,38.7,
90739,CEU4142000002    ,2013,M13,38.7,
90752,CEU4142000002    ,2014,M13,38.9,
90765,CEU4142000002    ,2015,M13,38.9,
90778,CEU4142000002    ,2016,M13,38.8,
90791,CEU4142000002    ,2017,M13,39.1,
90804,CEU4142000002    ,2018,M13,39.1,
90817,CEU4142000002    ,2019,M13,38.9,
90830,CEU4142000002    ,2020,M13,38.5,
90843,CEU4142000002    ,2021,M13,39.1,P
90867,CEU4142000003    ,2007,M13,23.91,
90880,CEU4142000003    ,2008,M13,24.3,
90893,CEU4142000003    ,2009,M13,25.34,
90906,CEU4142000003    ,2010,M13,26.04,
90919,CEU4142000003    ,2011,M13,26.28,
90932,CEU4142000003    ,2012,M13,26.79,
90945,CEU4142000003    ,2013,M13,27.54,
90958,CEU4142000003    ,2014,M13,27.97,
90971,CEU4142000003    ,2015,M13,28.53,
90984,CEU4142000003    ,2016,M13,29.36,
90997,CEU4142000003    ,2017,M13,29.92,
91010,CEU4142000003    ,2018,M13,30.45,
91023,CEU4142000003    ,2019,M13,31.36,
91036,CEU4142000003    ,2020,M13,32.37,
91049,CEU4142000003    ,2021,M13,33.66,P
91073,CEU4142000011    ,2007,M13,911.15,
91086,CEU4142000011    ,2008,M13,934.22,
91099,CEU4142000011    ,2009,M13,961.56,
91112,CEU4142000011    ,2010,M13,991.59,
91125,CEU4142000011    ,2011,M13,1015.85,
91138,CEU4142000011    ,2012,M13,1038.3,
91151,CEU4142000011    ,2013,M13,1066.81,
91164,CEU4142000011    ,2014,M13,1088.33,
91177,CEU4142000011    ,2015,M13,1109.79,
91190,CEU4142000011    ,2016,M13,1140.05,
91203,CEU4142000011    ,2017,M13,1169.15,
91216,CEU4142000011    ,2018,M13,1189.45,
91229,CEU4142000011    ,2019,M13,1220.61,
91242,CEU4142000011    ,2020,M13,1245.71,
91255,CEU4142000011    ,2021,M13,1315.24,P
91279,CEU4142000012    ,2007,M13,439.44,
91292,CEU4142000012    ,2008,M13,433.91,
91305,CEU4142000012    ,2009,M13,448.2,
91318,CEU4142000012    ,2010,M13,454.74,
91331,CEU4142000012    ,2011,M13,451.61,
91344,CEU4142000012    ,2012,M13,452.23,
91357,CEU4142000012    ,2013,M13,457.94,
91370,CEU4142000012    ,2014,M13,459.72,
91383,CEU4142000012    ,2015,M13,468.23,
91396,CEU4142000012    ,2016,M13,475.01,
91409,CEU4142000012    ,2017,M13,476.97,
91422,CEU4142000012    ,2018,M13,473.68,
91435,CEU4142000012    ,2019,M13,477.44,
91448,CEU4142000012    ,2020,M13,481.32,
91461,CEU4142000012    ,2021,M13,485.38,P
91485,CEU4142000013    ,2007,M13,11.53,
91498,CEU4142000013    ,2008,M13,11.29,
91511,CEU4142000013    ,2009,M13,11.81,
91524,CEU4142000013    ,2010,M13,11.94,
91537,CEU4142000013    ,2011,M13,11.68,
91550,CEU4142000013    ,2012,M13,11.67,
91563,CEU4142000013    ,2013,M13,11.82,
91576,CEU4142000013    ,2014,M13,11.81,
91589,CEU4142000013    ,2015,M13,12.04,
91602,CEU4142000013    ,2016,M13,12.23,
91615,CEU4142000013    ,2017,M13,12.21,
91628,CEU4142000013    ,2018,M13,12.13,
91641,CEU4142000013    ,2019,M13,12.27,
91654,CEU4142000013    ,2020,M13,12.51,
91667,CEU4142000013    ,2021,M13,12.42,P
91691,CEU4142000016    ,2007,M13,100.0,
91704,CEU4142000016    ,2008,M13,99.6,
91717,CEU4142000016    ,2009,M13,92.4,
91730,CEU4142000016    ,2010,M13,90.5,
91743,CEU4142000016    ,2011,M13,93.3,
91756,CEU4142000016    ,2012,M13,95.6,
91769,CEU4142000016    ,2013,M13,96.7,
91782,CEU4142000016    ,2014,M13,98.5,
91795,CEU4142000016    ,2015,M13,99.2,
91808,CEU4142000016    ,2016,M13,99.1,
91821,CEU4142000016    ,2017,M13,100.2,
91834,CEU4142000016    ,2018,M13,100.6,
91847,CEU4142000016    ,2019,M13,101.1,
91860,CEU4142000016    ,2020,M13,95.6,
91873,CEU4142000016    ,2021,M13,97.9,P
91897,CEU4142000017    ,2007,M13,100.0,
91910,CEU4142000017    ,2008,M13,101.3,
91923,CEU4142000017    ,2009,M13,97.9,
91936,CEU4142000017    ,2010,M13,98.5,
91949,CEU4142000017    ,2011,M13,102.6,
91962,CEU4142000017    ,2012,M13,107.2,
91975,CEU4142000017    ,2013,M13,111.4,
91988,CEU4142000017    ,2014,M13,115.2,
