index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU4200000002    ,CEU4200000002    ,42000000,2,2006-M03,2022-M02,31.7,31.4,31.3,31.4,31.6,31.7,31.4,31.3,31.4,31.0,31.0,31.0,30.6,30.8,30.8
CEU4200000003    ,CEU4200000003    ,42000000,3,2006-M03,2022-M02,15.13,15.21,15.4,15.57,15.87,16.31,16.64,17.01,17.52,17.88,18.18,18.79,19.7,20.86,21.87
CEU4200000011    ,CEU4200000011    ,42000000,11,2006-M03,2022-M02,479.96,478.1,481.42,488.08,501.04,516.1,522.57,532.88,550.74,554.27,563.8,582.14,602.58,642.56,674.19
CEU4200000012    ,CEU4200000012    ,42000000,12,2006-M03,2022-M02,231.48,222.06,224.4,223.83,222.74,224.79,224.32,225.09,232.36,230.94,230.01,231.83,235.7,248.27,248.81
CEU4200000013    ,CEU4200000013    ,42000000,13,2006-M03,2022-M02,7.3,7.06,7.18,7.14,7.06,7.1,7.14,7.19,7.39,7.45,7.42,7.48,7.71,8.06,8.07
CEU4200000016    ,CEU4200000016    ,42000000,16,2006-M03,2022-M02,100.0,97.6,92.2,92.0,94.1,95.4,96.2,97.7,99.6,99.7,99.8,99.3,97.0,93.0,96.4
CEU4200000017    ,CEU4200000017    ,42000000,17,2006-M03,2022-M02,100.0,98.1,93.9,94.6,98.7,102.8,105.8,109.9,115.4,117.8,119.9,123.3,126.3,128.2,139.3
CEU4200000056    ,CEU4200000056    ,42000000,56,2006-M03,2022-M02,492470.0,480449.0,454119.0,452945.0,463399.0,469916.0,473809.0,481201.0,490605.0,490812.0,491525.0,489112.0,477841.0,458127.0,474567.0
CEU4200000057    ,CEU4200000057    ,42000000,57,2006-M03,2022-M02,7451701.0,7309588.0,6994022.0,7050805.0,7352059.0,7662466.0,7882834.0,8186856.0,8597584.0,8774884.0,8933810.0,9189756.0,9412288.0,9555716.0,10379729.0
CEU4244100002    ,CEU4244100002    ,42441000,2,2006-M03,2022-M01,36.0,35.9,36.3,36.8,37.3,37.9,37.7,37.5,37.6,37.2,37.4,37.4,37.3,36.7,36.9
CEU4244100003    ,CEU4244100003    ,42441000,3,2006-M03,2022-M01,19.82,19.43,19.39,19.83,20.37,21.06,21.81,22.27,22.6,22.94,23.48,24.11,25.21,27.03,29.38
CEU4244100011    ,CEU4244100011    ,42441000,11,2006-M03,2022-M01,714.04,696.59,703.54,729.51,759.88,797.67,821.85,834.45,849.81,853.41,878.94,901.3,939.28,991.58,1084.81
CEU4244100012    ,CEU4244100012    ,42441000,12,2006-M03,2022-M01,344.38,323.54,327.93,334.55,337.82,347.43,352.79,352.48,358.54,355.58,358.58,358.93,367.4,383.13,400.34
CEU4244100013    ,CEU4244100013    ,42441000,13,2006-M03,2022-M01,9.56,9.02,9.04,9.09,9.06,9.17,9.36,9.41,9.54,9.56,9.58,9.6,9.86,10.44,10.84
CEU4244100016    ,CEU4244100016    ,42441000,16,2006-M03,2022-M01,100.0,95.5,86.4,87.2,91.8,95.7,98.3,101.5,105.5,107.2,109.2,109.6,109.8,101.2,104.2
CEU4244100017    ,CEU4244100017    ,42441000,17,2006-M03,2022-M01,100.0,93.6,84.5,87.2,94.3,101.7,108.2,114.0,120.3,124.0,129.3,133.3,139.7,138.0,154.5
CEU4244100056    ,CEU4244100056    ,42441000,56,2006-M03,2022-M01,68736.0,65655.0,59398.0,59936.0,63104.0,65804.0,67562.0,69785.0,72547.0,73659.0,75042.0,75338.0,75499.0,69574.0,71650.0
CEU4244100057    ,CEU4244100057    ,42441000,57,2006-M03,2022-M01,1362623.0,1275594.0,1152007.0,1188531.0,1285120.0,1385593.0,1473685.0,1553884.0,1639286.0,1689416.0,1761963.0,1816318.0,1903260.0,1880776.0,2104839.0
CEU4244110002    ,CEU4244110002    ,42441100,2,2006-M03,2022-M01,35.8,35.7,36.1,36.9,37.4,38.0,37.7,37.3,37.6,37.1,37.5,37.6,37.4,36.8,37.0
CEU4244110003    ,CEU4244110003    ,42441100,3,2006-M03,2022-M01,21.59,21.01,21.2,21.5,22.04,22.83,23.68,24.51,24.95,25.26,25.76,26.64,27.77,29.91,32.75
CEU4244110011    ,CEU4244110011    ,42441100,11,2006-M03,2022-M01,773.95,749.33,766.5,792.53,823.64,867.27,893.03,915.25,937.86,937.46,965.09,1000.44,1039.01,1100.67,1210.0
CEU4244110012    ,CEU4244110012    ,42441100,12,2006-M03,2022-M01,373.27,348.04,357.28,363.45,366.16,377.74,383.35,386.61,395.69,390.6,393.72,398.41,406.41,425.28,446.54
CEU4244110013    ,CEU4244110013    ,42441100,13,2006-M03,2022-M01,10.41,9.76,9.88,9.86,9.8,9.94,10.16,10.35,10.53,10.52,10.51,10.61,10.86,11.56,12.09
CEU4244110016    ,CEU4244110016    ,42441100,16,2006-M03,2022-M01,100.0,94.3,82.7,83.7,88.7,93.4,96.4,99.6,104.6,106.6,108.8,109.4,109.3,99.4,101.5
CEU4244110017    ,CEU4244110017    ,42441100,17,2006-M03,2022-M01,100.0,91.7,81.2,83.4,90.5,98.8,105.7,113.1,120.8,124.7,129.8,134.9,140.5,137.7,153.9
CEU4244110056    ,CEU4244110056    ,42441100,56,2006-M03,2022-M01,44525.0,41967.0,36808.0,37284.0,39506.0,41608.0,42930.0,44366.0,46567.0,47460.0,48455.0,48697.0,48644.0,44257.0,45199.0
CEU4244110057    ,CEU4244110057    ,42441100,57,2006-M03,2022-M01,961415.0,881742.0,780479.0,801620.0,870518.0,950053.0,1016661.0,1087197.0,1161747.0,1198982.0,1248109.0,1297118.0,1351052.0,1323752.0,1480094.0
CEU4244111002    ,CEU4244111002    ,42441110,2,2006-M03,2022-M01,35.9,35.6,36.0,36.8,37.4,38.1,37.8,37.5,37.8,37.3,37.6,37.7,37.7,37.1,37.1
CEU4244111003    ,CEU4244111003    ,42441110,3,2006-M03,2022-M01,21.98,21.45,21.78,22.01,22.65,23.5,24.4,25.22,25.54,25.92,26.44,27.33,28.35,30.59,34.0
CEU4244111011    ,CEU4244111011    ,42441110,11,2006-M03,2022-M01,788.48,762.7,784.56,810.39,846.73,894.18,921.66,945.95,965.72,966.03,993.36,1031.17,1069.68,1134.51,1263.0
CEU4244111012    ,CEU4244111012    ,42441110,12,2006-M03,2022-M01,380.28,354.24,365.7,371.64,376.43,389.46,395.64,399.58,407.45,402.5,405.25,410.65,418.4,438.35,466.1
CEU4244111013    ,CEU4244111013    ,42441110,13,2006-M03,2022-M01,10.6,9.96,10.15,10.09,10.07,10.24,10.47,10.65,10.78,10.8,10.79,10.88,11.09,11.82,12.55
CEU4244111016    ,CEU4244111016    ,42441110,16,2006-M03,2022-M01,100.0,93.7,82.0,82.7,87.6,92.1,94.5,97.9,102.9,104.5,106.5,107.1,107.3,97.3,98.3
CEU4244111017    ,CEU4244111017    ,42441110,17,2006-M03,2022-M01,100.0,91.4,81.2,82.8,90.2,98.4,104.9,112.4,119.6,123.2,128.0,133.2,138.4,135.3,152.1
CEU4244111056    ,CEU4244111056    ,42441110,56,2006-M03,2022-M01,39867.0,37354.0,32674.0,32966.0,34918.0,36713.0,37688.0,39045.0,41022.0,41662.0,42444.0,42709.0,42764.0,38775.0,39199.0
CEU4244111057    ,CEU4244111057    ,42441110,57,2006-M03,2022-M01,876393.0,801112.0,711606.0,725749.0,790807.0,862583.0,919712.0,984729.0,1047786.0,1079735.0,1122045.0,1167129.0,1212538.0,1186055.0,1332943.0
CEU4244112002    ,CEU4244112002    ,42441120,2,2006-M03,2022-M01,35.7,36.5,37.2,37.4,37.2,37.4,37.3,36.2,36.0,35.9,36.7,36.5,35.2,34.9,35.8
CEU4244112003    ,CEU4244112003    ,42441120,3,2006-M03,2022-M01,18.26,17.48,16.66,17.59,17.35,17.86,18.5,19.24,20.56,20.56,20.97,21.72,23.55,25.12,24.51
CEU4244112011    ,CEU4244112011    ,42441120,11,2006-M03,2022-M01,651.7,637.67,619.71,657.62,646.21,667.34,690.92,696.52,740.97,738.14,768.91,792.9,829.22,876.26,876.49
CEU4244112012    ,CEU4244112012    ,42441120,12,2006-M03,2022-M01,314.31,296.17,288.86,301.58,287.28,290.66,296.59,294.22,312.62,307.55,313.69,315.76,324.35,338.57,323.46
CEU4244112013    ,CEU4244112013    ,42441120,13,2006-M03,2022-M01,8.81,8.12,7.77,8.07,7.71,7.78,7.94,8.13,8.67,8.57,8.55,8.65,9.21,9.71,9.05
CEU4244112016    ,CEU4244112016    ,42441120,16,2006-M03,2022-M01,100.0,98.7,88.7,92.8,98.1,104.7,112.5,113.9,118.7,124.1,128.6,128.8,125.8,117.5,128.6
CEU4244112017    ,CEU4244112017    ,42441120,17,2006-M03,2022-M01,100.0,94.6,80.9,89.5,93.3,102.4,114.0,120.1,133.7,139.7,147.8,153.3,162.3,161.7,172.7
CEU4244112056    ,CEU4244112056    ,42441120,56,2006-M03,2022-M01,4667.0,4608.0,4138.0,4333.0,4580.0,4886.0,5249.0,5317.0,5541.0,5791.0,6004.0,6012.0,5873.0,5485.0,6003.0
CEU4244112057    ,CEU4244112057    ,42441120,57,2006-M03,2022-M01,85194.0,80565.0,68933.0,76223.0,79457.0,87277.0,97115.0,102301.0,113917.0,119032.0,125877.0,130590.0,138293.0,137784.0,147111.0
CEU4244120002    ,CEU4244120002    ,42441200,2,2006-M03,2022-M01,34.5,34.8,34.7,34.6,35.1,34.5,34.9,35.7,36.1,35.7,35.7,35.1,35.7,35.3,35.5
CEU4244120003    ,CEU4244120003    ,42441200,3,2006-M03,2022-M01,20.34,19.55,19.06,19.75,20.13,20.11,21.21,21.37,20.43,20.74,21.65,22.44,24.1,26.22,28.5
CEU4244120011    ,CEU4244120011    ,42441200,11,2006-M03,2022-M01,701.44,679.45,661.17,683.4,706.86,694.61,740.09,762.1,738.45,740.33,772.05,787.81,859.53,926.72,1012.63
CEU4244120012    ,CEU4244120012    ,42441200,12,2006-M03,2022-M01,338.3,315.58,308.18,313.41,314.25,302.54,317.69,321.92,311.56,308.46,314.97,313.73,336.2,358.07,373.71
CEU4244120013    ,CEU4244120013    ,42441200,13,2006-M03,2022-M01,9.81,9.08,8.88,9.06,8.95,8.76,9.1,9.03,8.62,8.64,8.83,8.94,9.43,10.13,10.52
CEU4244120016    ,CEU4244120016    ,42441200,16,2006-M03,2022-M01,100.0,95.4,79.6,75.2,75.6,75.7,78.9,84.4,88.9,90.8,94.0,94.8,97.9,89.8,100.9
CEU4244120017    ,CEU4244120017    ,42441200,17,2006-M03,2022-M01,100.0,91.7,74.6,73.0,74.9,74.9,82.2,88.7,89.3,92.6,100.0,104.6,116.0,115.7,141.3
CEU4244120056    ,CEU4244120056    ,42441200,56,2006-M03,2022-M01,5918.0,5646.0,4712.0,4450.0,4476.0,4482.0,4667.0,4994.0,5260.0,5375.0,5562.0,5609.0,5793.0,5312.0,5969.0
CEU4244120057    ,CEU4244120057    ,42441200,57,2006-M03,2022-M01,120373.0,110360.0,89792.0,87868.0,90113.0,90131.0,99000.0,106738.0,107481.0,111451.0,120427.0,125859.0,139617.0,139301.0,170122.0
CEU4244130002    ,CEU4244130002    ,42441300,2,2006-M03,2022-M01,37.0,36.6,37.0,37.2,37.7,38.5,38.3,38.2,38.0,37.9,37.8,37.6,37.4,36.8,37.3
CEU4244130003    ,CEU4244130003    ,42441300,3,2006-M03,2022-M01,15.35,15.71,15.76,16.42,16.97,17.53,17.92,17.62,17.86,18.2,18.7,18.7,19.59,20.88,22.2
CEU4244130011    ,CEU4244130011    ,42441300,11,2006-M03,2022-M01,567.93,575.61,582.19,610.58,639.93,675.07,686.25,673.14,679.27,689.61,707.47,703.19,732.8,768.45,827.79
CEU4244130012    ,CEU4244130012    ,42441300,12,2006-M03,2022-M01,273.91,267.35,271.37,280.01,284.49,294.03,294.58,284.34,286.59,287.33,288.62,280.04,286.63,296.92,305.49
CEU4244130013    ,CEU4244130013    ,42441300,13,2006-M03,2022-M01,7.4,7.3,7.35,7.53,7.54,7.64,7.69,7.44,7.54,7.58,7.63,7.45,7.66,8.07,8.19
CEU4244130016    ,CEU4244130016    ,42441300,16,2006-M03,2022-M01,100.0,98.6,97.6,99.4,104.5,107.8,109.0,111.5,113.3,113.9,114.8,114.9,115.2,109.4,111.9
CEU4244130017    ,CEU4244130017    ,42441300,17,2006-M03,2022-M01,100.0,100.9,100.2,106.4,115.5,123.0,127.3,128.0,131.8,135.1,139.9,139.9,147.0,148.8,161.8
CEU4244130056    ,CEU4244130056    ,42441300,56,2006-M03,2022-M01,18293.0,18031.0,17863.0,18188.0,19110.0,19714.0,19944.0,20404.0,20722.0,20841.0,21008.0,21021.0,21078.0,20010.0,20477.0
CEU4244130057    ,CEU4244130057    ,42441300,57,2006-M03,2022-M01,280843.0,283237.0,281430.0,298686.0,324322.0,345521.0,357484.0,359613.0,370015.0,379354.0,392927.0,393018.0,412966.0,417844.0,454506.0
CEU4244131002    ,CEU4244131002    ,42441310,2,2006-M03,2022-M01,36.4,36.2,36.5,36.5,36.6,37.9,38.1,37.8,37.4,37.1,37.1,37.0,36.6,35.6,36.4
CEU4244131003    ,CEU4244131003    ,42441310,3,2006-M03,2022-M01,14.7,15.25,15.37,15.94,16.31,17.36,17.76,17.44,17.91,18.37,19.06,18.96,19.31,20.52,21.99
CEU4244131011    ,CEU4244131011    ,42441310,11,2006-M03,2022-M01,534.3,551.62,560.14,582.21,596.69,657.14,677.58,659.62,669.35,681.23,707.3,702.17,706.42,731.2,800.78
CEU4244131012    ,CEU4244131012    ,42441310,12,2006-M03,2022-M01,257.69,256.21,261.09,267.0,265.27,286.22,290.86,278.63,282.41,283.84,288.55,279.63,276.32,282.52,295.52
CEU4244131013    ,CEU4244131013    ,42441310,13,2006-M03,2022-M01,7.09,7.08,7.16,7.31,7.25,7.56,7.62,7.37,7.56,7.65,7.78,7.55,7.55,7.93,8.12
CEU4244131016    ,CEU4244131016    ,42441310,16,2006-M03,2022-M01,100.0,99.0,98.3,99.4,103.6,107.5,110.5,113.2,114.8,114.8,115.8,116.8,116.3,109.1,113.6
CEU4244131017    ,CEU4244131017    ,42441310,17,2006-M03,2022-M01,100.0,102.8,102.8,107.8,114.9,127.0,133.5,134.4,139.9,143.5,150.2,150.7,152.8,152.4,170.0
CEU4244131056    ,CEU4244131056    ,42441310,56,2006-M03,2022-M01,11880.0,11765.0,11676.0,11811.0,12304.0,12770.0,13124.0,13454.0,13635.0,13643.0,13759.0,13878.0,13815.0,12964.0,13498.0
CEU4244131057    ,CEU4244131057    ,42441310,57,2006-M03,2022-M01,174579.0,179393.0,179423.0,188229.0,200632.0,221652.0,233131.0,234571.0,244189.0,250562.0,262256.0,263113.0,266809.0,265991.0,296783.0
CEU4244132002    ,CEU4244132002    ,42441320,2,2006-M03,2022-M01,38.3,37.6,37.9,38.5,39.9,39.8,38.5,39.0,39.4,39.5,39.3,38.8,39.1,39.1,39.2
CEU4244132003    ,CEU4244132003    ,42441320,3,2006-M03,2022-M01,16.57,16.57,16.49,17.32,18.17,17.84,18.23,17.99,17.76,17.9,18.03,18.18,20.12,21.55,22.6
CEU4244132011    ,CEU4244132011    ,42441320,11,2006-M03,2022-M01,634.06,622.35,625.7,666.15,724.96,710.48,702.35,700.79,699.93,706.23,707.65,704.79,786.09,843.63,884.74
CEU4244132012    ,CEU4244132012    ,42441320,12,2006-M03,2022-M01,305.8,289.06,291.65,305.49,322.29,309.45,301.49,296.02,295.31,294.25,288.7,280.67,307.48,325.96,326.51
