index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5500000002    ,CEU5500000002    ,55000000,2,2006-M03,2022-M02,36.6,36.5,36.6,36.9,37.3,37.4,37.1,37.3,37.6,37.4,37.5,37.6,37.6,37.7,37.5
CEU5500000003    ,CEU5500000003    ,55000000,3,2006-M03,2022-M02,25.64,26.18,26.53,27.21,27.91,29.26,30.15,30.76,31.52,32.29,33.24,34.79,35.94,37.85,40.03
CEU5500000011    ,CEU5500000011    ,55000000,11,2006-M03,2022-M02,937.27,956.24,971.76,1003.94,1039.7,1093.0,1119.71,1146.22,1185.77,1208.2,1246.39,1309.49,1351.3,1426.24,1500.23
CEU5500000012    ,CEU5500000012    ,55000000,12,2006-M03,2022-M02,452.04,444.14,452.96,460.4,462.21,476.06,480.65,484.18,500.29,503.4,508.48,521.49,528.56,551.07,553.65
CEU5500000013    ,CEU5500000013    ,55000000,13,2006-M03,2022-M02,12.37,12.16,12.37,12.48,12.41,12.74,12.94,12.99,13.3,13.45,13.56,13.85,14.06,14.62,14.77
CEU5500000016    ,CEU5500000016    ,55000000,16,2006-M03,2022-M02,100.0,98.2,94.1,93.0,94.0,95.3,96.0,97.4,100.1,101.6,103.8,106.0,107.9,107.5,107.8
CEU5500000017    ,CEU5500000017    ,55000000,17,2006-M03,2022-M02,100.0,100.3,97.3,98.7,102.3,108.7,112.9,116.9,123.1,128.0,134.6,143.8,151.2,158.7,168.3
CEU5500000056    ,CEU5500000056    ,55000000,56,2006-M03,2022-M02,305199.0,299722.0,287131.0,283875.0,286757.0,290774.0,292849.0,297261.0,305642.0,310065.0,316915.0,323365.0,329161.0,328009.0,328908.0
CEU5500000057    ,CEU5500000057    ,55000000,57,2006-M03,2022-M02,7824524.0,7846793.0,7616500.0,7725092.0,8002018.0,8507389.0,8830259.0,9142994.0,9632370.0,10012324.0,10533332.0,11248989.0,11829373.0,12413720.0,13167393.0
CEU5552200002    ,CEU5552200002    ,55522000,2,2006-M03,2022-M01,37.6,37.5,37.5,38.1,38.4,38.1,37.8,38.0,38.4,38.3,38.6,38.8,38.6,38.8,38.4
CEU5552200003    ,CEU5552200003    ,55522000,3,2006-M03,2022-M01,23.78,23.89,23.86,24.28,24.93,26.71,26.91,27.6,28.92,29.75,31.29,33.85,35.86,38.79,41.84
CEU5552200011    ,CEU5552200011    ,55522000,11,2006-M03,2022-M01,893.2,894.59,894.75,924.32,958.64,1016.77,1017.03,1049.5,1111.76,1140.78,1206.75,1312.37,1383.4,1506.56,1608.33
CEU5552200012    ,CEU5552200012    ,55522000,12,2006-M03,2022-M01,430.79,415.5,417.06,423.89,426.18,442.86,436.57,443.32,469.06,475.31,492.31,522.63,541.12,582.11,593.55
CEU5552200013    ,CEU5552200013    ,55522000,13,2006-M03,2022-M01,11.47,11.1,11.12,11.13,11.08,11.63,11.55,11.66,12.2,12.4,12.77,13.48,14.03,14.99,15.44
CEU5552200016    ,CEU5552200016    ,55522000,16,2006-M03,2022-M01,100.0,95.1,90.2,90.2,91.2,91.3,91.8,90.6,91.8,92.9,94.8,95.5,94.9,96.2,96.7
CEU5552200017    ,CEU5552200017    ,55522000,17,2006-M03,2022-M01,100.0,95.5,90.5,92.1,95.6,102.6,103.8,105.1,111.6,116.3,124.7,135.9,143.1,157.0,170.0
CEU5552200056    ,CEU5552200056    ,55522000,56,2006-M03,2022-M01,107655.0,102340.0,97113.0,97067.0,98205.0,98335.0,98791.0,97497.0,98822.0,100058.0,102004.0,102778.0,102182.0,103602.0,104057.0
CEU5552200057    ,CEU5552200057    ,55522000,57,2006-M03,2022-M01,2560208.0,2444619.0,2317567.0,2356959.0,2448490.0,2626566.0,2658629.0,2690925.0,2857992.0,2977062.0,3191684.0,3479331.0,3664473.0,4019189.0,4353585.0
CEU5552210002    ,CEU5552210002    ,55522100,2,2006-M03,2022-M01,37.4,37.2,37.2,38.0,38.4,37.8,37.6,38.1,38.3,38.2,38.4,38.7,38.6,38.9,38.7
CEU5552210003    ,CEU5552210003    ,55522100,3,2006-M03,2022-M01,23.23,23.51,23.7,24.33,24.91,26.32,26.23,26.86,28.42,29.09,30.69,34.22,36.87,39.74,42.93
CEU5552210011    ,CEU5552210011    ,55522100,11,2006-M03,2022-M01,867.6,874.68,882.49,924.63,957.03,995.55,986.4,1023.17,1089.43,1110.09,1179.41,1323.67,1424.07,1546.38,1661.47
CEU5552210012    ,CEU5552210012    ,55522100,12,2006-M03,2022-M01,418.44,406.26,411.35,424.03,425.46,433.61,423.43,432.2,459.64,462.52,481.16,527.13,557.02,597.49,613.16
CEU5552210013    ,CEU5552210013    ,55522100,13,2006-M03,2022-M01,11.2,10.92,11.05,11.16,11.07,11.46,11.26,11.35,11.99,12.12,12.52,13.63,14.42,15.35,15.84
CEU5552210016    ,CEU5552210016    ,55522100,16,2006-M03,2022-M01,100.0,98.9,95.6,96.2,97.7,96.4,95.5,94.9,94.5,94.9,96.5,97.7,98.5,99.0,96.8
CEU5552210017    ,CEU5552210017    ,55522100,17,2006-M03,2022-M01,100.0,100.1,97.5,100.8,104.7,109.2,107.8,109.8,115.7,118.9,127.4,143.9,156.4,169.4,178.9
CEU5552210056    ,CEU5552210056    ,55522100,56,2006-M03,2022-M01,69637.0,68894.0,66587.0,66990.0,68011.0,67104.0,66498.0,66117.0,65826.0,66114.0,67166.0,68035.0,68612.0,68948.0,67397.0
CEU5552210057    ,CEU5552210057    ,55522100,57,2006-M03,2022-M01,1617588.0,1619894.0,1577802.0,1630022.0,1693899.0,1766156.0,1744542.0,1775921.0,1870763.0,1922966.0,2061596.0,2328472.0,2529650.0,2739697.0,2893415.0
CEU5552211002    ,CEU5552211002    ,55522110,2,2006-M03,2022-M01,37.4,37.2,37.3,38.3,38.8,37.9,37.7,38.3,38.7,38.4,38.6,39.0,38.8,39.2,38.9
CEU5552211003    ,CEU5552211003    ,55522110,3,2006-M03,2022-M01,23.54,23.81,23.96,24.67,25.36,26.95,26.73,27.57,29.47,30.11,31.83,35.95,39.0,42.35,46.14
CEU5552211011    ,CEU5552211011    ,55522110,11,2006-M03,2022-M01,881.03,885.5,893.0,946.02,983.84,1022.34,1007.79,1055.29,1139.05,1155.46,1227.94,1401.57,1514.88,1659.38,1793.89
CEU5552211012    ,CEU5552211012    ,55522110,12,2006-M03,2022-M01,424.92,411.28,416.25,433.84,437.38,445.28,432.61,445.77,480.58,481.43,500.95,558.16,592.54,641.16,662.03
CEU5552211013    ,CEU5552211013    ,55522110,13,2006-M03,2022-M01,11.35,11.06,11.17,11.31,11.27,11.74,11.47,11.65,12.43,12.55,12.99,14.32,15.25,16.36,17.03
CEU5552211016    ,CEU5552211016    ,55522110,16,2006-M03,2022-M01,100.0,99.3,96.3,98.2,100.0,98.2,97.1,96.8,97.0,97.9,99.4,101.0,101.4,102.0,99.0
CEU5552211017    ,CEU5552211017    ,55522110,17,2006-M03,2022-M01,100.0,100.5,98.1,103.0,107.8,112.5,110.3,113.3,121.4,125.3,134.5,154.2,168.1,183.5,194.1
CEU5552211056    ,CEU5552211056    ,55522110,56,2006-M03,2022-M01,53342.0,52971.0,51391.0,52396.0,53366.0,52399.0,51787.0,51619.0,51726.0,52245.0,53041.0,53853.0,54099.0,54396.0,52817.0
CEU5552211057    ,CEU5552211057    ,55522110,57,2006-M03,2022-M01,1255439.0,1261186.0,1231125.0,1292518.0,1353163.0,1412201.0,1384400.0,1422882.0,1524388.0,1573105.0,1688421.0,1936138.0,2109934.0,2303668.0,2437117.0
CEU5552212002    ,CEU5552212002    ,55522120,2,2006-M03,2022-M01,37.2,37.3,37.1,36.6,37.0,37.3,37.3,37.8,37.4,37.2,37.4,37.7,37.8,37.9,37.6
